Date,rolling_equal_weight,ewma_lambda_0.94,ewma_lambda_0.97,ewma_lambda_0.99,vix,spy_ret
2010-01-05,,,,,19.350000381469727,0.002643598856945032
2010-01-06,,,,,19.15999984741211,0.0007038078265661165
2010-01-07,,,,,19.059999465942383,0.004212409508558978
2010-01-08,,,,,18.1299991607666,0.003322238148105345
2010-01-11,,,,,17.549999237060547,0.001395583828601838
2010-01-12,,,,,18.25,-0.009370002981638407
2010-01-13,,,,,17.850000381469727,0.008410764997257939
2010-01-14,,,,,17.6299991607666,0.0027009169498924896
2010-01-15,,,,,17.90999984741211,-0.01128769842092077
2010-01-19,,,,,17.579999923706055,0.012418158601532813
2010-01-20,,,,,18.68000030517578,-0.010220645289470582
2010-01-21,,,,,22.270000457763672,-0.019416386172991826
2010-01-22,,,,,27.309999465942383,-0.022544052927681114
2010-01-25,,,,,25.40999984741211,0.005114611291248728
2010-01-26,,,,,24.549999237060547,-0.004199377146661329
2010-01-27,,,,,23.139999389648438,0.004745872500929444
2010-01-28,,,,,23.729999542236328,-0.011538609039077309
2010-01-29,,,,,24.6200008392334,-0.010928061246273754
2010-02-01,,,,,22.59000015258789,0.01543110492539478
2010-02-02,,,,,21.479999542236328,0.012030766016371344
2010-02-03,,,,,21.600000381469727,-0.0049952006564152355
2010-02-04,,,,,26.079999923706055,-0.0313522634255587
2010-02-05,,,,,26.110000610351562,0.0020647704604640923
2010-02-08,,,,,26.510000228881836,-0.007245425828528924
2010-02-09,,,,,26.0,0.012481996106075654
2010-02-10,,,,,25.399999618530273,-0.001960501782608886
2010-02-11,,,,,23.959999084472656,0.01041187355489067
2010-02-12,,,,,22.729999542236328,-0.0008326441583239722
2010-02-16,,,,,22.25,0.015612374766159553
2010-02-17,,,,,21.719999313354492,0.004727320371479247
2010-02-18,,,,,20.6299991607666,0.005877862099377857
2010-02-19,,,,,20.020000457763672,0.002071567724640939
2010-02-22,,,,,19.940000534057617,0.00017997545875216554
2010-02-23,,,,,21.3700008392334,-0.012219060442174298
2010-02-24,,,,,20.270000457763672,0.009155683308789709
2010-02-25,,,,,20.100000381469727,-0.0013544769538892949
2010-02-26,,,,,19.5,0.0006323083727991272
2010-03-01,,,,,19.260000228881836,0.010331148260388218
