Date,SPY,QQQ,IWM
2010-01-05,0.002643598856945032,0.0,-0.0034445192093809306
2010-01-06,0.0007038078265661165,-0.006050121883551786,-0.0009414336020085808
2010-01-07,0.004212409508558978,0.0006499573425706707,0.007351208672799514
2010-01-08,0.003322238148105345,0.008196790473473348,0.005439417999669095
2010-01-11,0.001395583828601838,-0.004089955696370274,-0.004037814296396775
2010-01-12,-0.009370002981638407,-0.01258974377715923,-0.010953023656531117
2010-01-13,0.008410764997257939,0.012373971231197664,0.012818619933892994
2010-01-14,0.0027009169498924896,0.0008626465156207753,0.003721019691319284
2010-01-15,-0.01128769842092077,-0.011708740184016546,-0.014653456571481163
2010-01-19,0.012418158601532813,0.016010763681154887,0.01820634090463322
2010-01-20,-0.010220645289470582,-0.01448521696740062,-0.014601045958446888
2010-01-21,-0.019416386172991826,-0.009408153657024304,-0.016565800195528523
2010-01-22,-0.022544052927681114,-0.029673159965903383,-0.018140012088892852
2010-01-25,0.005114611291248728,0.0033910176907006283,0.0011333231281205464
2010-01-26,-0.004199377146661329,0.0009022581460022437,-0.009919597086960347
2010-01-27,0.004745872500929444,0.007860844337318701,0.010566651715243191
2010-01-28,-0.011538609039077309,-0.026063832907709653,-0.01728963934194297
2010-01-29,-0.010928061246273754,-0.017605233955260025,-0.011084540199705041
2010-02-01,0.01543110492539478,0.010923929900852001,0.011742450026549422
2010-02-02,0.012030766016371344,0.00897493551734269,0.010955910030428834
2010-02-03,-0.0049952006564152355,0.005483172551005321,-0.006690076933553691
2010-02-04,-0.0313522634255587,-0.02936288818464104,-0.033969314529289446
2010-02-05,0.0020647704604640923,0.008411278954634591,0.003888087723992499
2010-02-08,-0.007245425828528924,-0.0072388262758278765,-0.010004325047649979
2010-02-09,0.012481996106075654,0.010258948629131452,0.013709300938622881
2010-02-10,-0.001960501782608886,-0.0020898684367457844,0.002350561633312873
2010-02-11,0.01041187355489067,0.014996191087817728,0.015806014777095322
2010-02-12,-0.0008326441583239722,0.0020587941894175564,0.007236850965896387
2010-02-16,0.015612374766159553,0.012715915795756328,0.01673881256467035
2010-02-17,0.004727320371479247,0.005624944558059228,0.006745961691050962
2010-02-18,0.005877862099377857,0.006262574371625915,0.008130747358373278
2010-02-19,0.002071567724640939,-0.0004459554712257683,0.0012694674899631105
2010-02-22,0.00017997545875216554,-0.002009605433748357,0.003008451713185446
2010-02-23,-0.012219060442174298,-0.013048595064506138,-0.01176861051508152
2010-02-24,0.009155683308789709,0.01013866430862002,0.008442942980034744
2010-02-25,-0.0013544769538892949,-0.00022423800863199755,0.00031721582186146943
