date,code,foreign_net_shares,trust_net_shares,dealer_net_shares,total_inst_net_shares
2018-01-05,1301,916819.0,-290000.0,-115000.0,511819.0
2018-01-05,1303,1267606.0,-51000.0,42000.0,1258606.0
2018-01-05,2002,7260013.0,1960000.0,-136000.0,9084013.0
2018-01-05,2303,-13469.0,-16000.0,1553000.0,1523531.0
2018-01-05,2330,9298675.0,23000.0,-12000.0,9309675.0
2018-01-05,2454,292704.0,6000.0,50000.0,348704.0
2018-01-05,2603,-15626345.0,50000.0,11808000.0,-3768345.0
2018-01-05,2881,4104261.0,-60000.0,372000.0,4416261.0
2018-01-05,2882,3066459.0,-1057000.0,507000.0,2516459.0
2018-01-05,2891,16286148.0,505000.0,120000.0,16911148.0
