date,actual_rv,position,HAR_RV_forecast,HAR_RV_resid_var,HAR_MedRV_input_forecast,HAR_MedRV_input_resid_var,HAR_RK_input_forecast,HAR_RK_input_resid_var,HAR_TSRV_input_forecast,HAR_TSRV_input_resid_var
2020-01-02,1.4326470903746078e-05,596,1.4590959936194367e-05,0.2575396660597139,1.578537538255801e-05,0.26754473590975125,1.4835737525393308e-05,0.26482451469970325,1.4967430788284506e-05,0.26902226650152217
2020-01-03,5.890854675130141e-05,597,1.5697963203897368e-05,0.2571257914527464,1.555502581896827e-05,0.26709583308779744,1.71443746944215e-05,0.2643938546544175,1.739191561808719e-05,0.26858240608668216
2020-01-06,2.3949347365181938e-05,598,2.99202002613429e-05,0.2602211263401774,2.770295387760254e-05,0.27024556359796076,3.024442543687877e-05,0.26707871853077186,3.112564243376576e-05,0.2712038098128794
2020-01-07,4.368533804151508e-05,599,2.491720408070292e-05,0.2597979767390557,2.4179868987056924e-05,0.2697915519817938,2.6583175404436082e-05,0.26664642513167486,2.7884663608567734e-05,0.27077460974745954
2020-01-08,5.068845297414244e-05,600,3.2272051838912996e-05,0.26016134166595906,3.479876134837794e-05,0.27022113290534344,3.8746078569355664e-05,0.2668626343557657,4.006623747065316e-05,0.2708905722990932
2020-01-09,2.340993856868325e-05,601,3.7252977299194474e-05,0.2602884116967031,3.6469875886443194e-05,0.2702022434379803,4.100533900164117e-05,0.2666838028646922,3.833793266581099e-05,0.2706645202837868
2020-01-10,2.919468955366427e-05,602,3.1630635099979525e-05,0.26003866543944065,3.0727677498023393e-05,0.2699079599521128,3.693738715946123e-05,0.2665403523595131,3.735179149425512e-05,0.27042431812965967
2020-01-13,3.186127136898585e-05,603,3.114755946794191e-05,0.25960865897009633,3.4249784100799247e-05,0.26946896671480053,3.115421607446044e-05,0.26611254908921006,3.000113241643096e-05,0.2699932939731403
2020-01-14,1.140118396247744e-05,604,3.2650762694918697e-05,0.25921454616849693,3.3393948683417316e-05,0.2690263121311619,3.090778561607031e-05,0.26570903488641595,2.9861121272375562e-05,0.26960633541724754
2020-01-16,3.039000755086864e-05,605,2.3294971215538206e-05,0.2601931558855469,2.3065544532319535e-05,0.2700405945105112,2.2632143768623823e-05,0.26650223329042416,2.1198670968859384e-05,0.2702921729293082
2020-01-17,2.2023720474625204e-05,606,2.7568548005109266e-05,0.2600189559850069,3.1004046977108696e-05,0.2698696616574671,2.079597676442482e-05,0.2663622166586197,2.111077563445375e-05,0.2702491599697448
