date,actual_rv,position,HAR_RV_forecast,HAR_RV_resid_var,HAR_MedRV_input_forecast,HAR_MedRV_input_resid_var,HAR_RK_input_forecast,HAR_RK_input_resid_var,HAR_TSRV_input_forecast,HAR_TSRV_input_resid_var
2026-04-23,5.497409441636991e-05,45,3.075307758799919e-05,0.3528325557576909,2.6362174768748247e-05,0.31487562867002433,2.8172129541601066e-05,0.34021883024943533,2.5768127399479378e-05,0.32575231681815686
2026-04-24,1.5921419355061234e-05,46,4.0172232902331665e-05,0.3563747143451063,3.7675916975623126e-05,0.32407835241761473,2.936397068600427e-05,0.34628272731260773,2.7877862942534444e-05,0.3349340343948802
2026-04-27,1.1648704293849265e-05,47,3.551131987251714e-05,0.3594775509664942,3.0714120191713676e-05,0.3260666095745331,2.916108379787937e-05,0.3418415874327976,2.6897627023904254e-05,0.3299976865129198
2026-04-28,1.3968193988795509e-05,48,2.982772553845431e-05,0.36855849526377765,2.4426612813836832e-05,0.33076744485675236,2.496425495825032e-05,0.3445200995821791,2.34882703975321e-05,0.3310298410431829
2026-04-29,2.4229022895581713e-05,49,2.195820952681313e-05,0.36650228255720024,2.003229871176099e-05,0.3262474362319885,1.7430586858803826e-05,0.33970337407929596,1.757604072100153e-05,0.32577157895869124
2026-04-30,2.373134419932133e-05,50,2.4447885286098608e-05,0.3600138734601674,2.0957100532680064e-05,0.3214682638532835,1.7841726729907152e-05,0.33686049629424597,1.7506594827391842e-05,0.3230365096606567
2026-05-01,2.0962877609056692e-05,51,2.038267638916022e-05,0.35276583202960476,1.7239248163473734e-05,0.316076564171134,1.4233626126737433e-05,0.33337827211902454,1.475836512048188e-05,0.32010166426226383
2026-05-04,3.2473320654326834e-05,52,1.9827429822702507e-05,0.3461377182516215,1.5183146368439057e-05,0.31160851440569565,1.3771033053851617e-05,0.33138545305467804,1.253601337999116e-05,0.3177333346572018
2026-05-05,9.433060705648705e-06,53,2.625386125832194e-05,0.34636026315019325,2.1733311696675062e-05,0.31868314552333077,1.9063079317489964e-05,0.3408958841192133,1.716141463282962e-05,0.3304262461138016
2026-05-06,1.1141032313705218e-05,54,1.8350280370133182e-05,0.3512812299139305,1.4822160368902973e-05,0.31954229465461714,1.3057567755956016e-05,0.3385259176477966,1.0998495309945869e-05,0.32674991147857485
2026-05-07,3.109581643585981e-05,55,1.545853271094009e-05,0.34592969044769467,1.3319318864026992e-05,0.3135139458960941,1.2561295109222065e-05,0.331889689932314,1.1254938460037397e-05,0.32076934450102024
2026-05-08,1.058674379149999e-05,56,1.9768226652516662e-05,0.3509358987345882,1.7036342419997495e-05,0.32316911324442016,1.3932965006785325e-05,0.342888647938399,1.264856301563941e-05,0.3354700996213158
2026-05-11,1.3712111186874957e-05,57,1.5378729496313025e-05,0.3472287936010622,1.4493695367765678e-05,0.3185218575497648,1.2010331840369311e-05,0.3365720041274542,1.1337517779604348e-05,0.32914195733717455
2026-05-12,2.5112584230930963e-05,58,1.3541864303427603e-05,0.3408503437773033,1.2802920194024171e-05,0.31278851023634713,1.072084484741049e-05,0.33169870926202594,1.0473707449786213e-05,0.32494545999559804
2026-05-13,1.749303414778288e-05,59,1.793367984527481e-05,0.3440924414816038,1.7335423115297342e-05,0.31779230014458576,1.4428709189124579e-05,0.34128470738822697,1.4078503120324261e-05,0.3353347048629517
