date,rv,medrv,rk_bartlett_h5,tsrv_k5,ret,n_bars,n_returns,source
2026-01-14,5.1574640324777066e-05,4.427680754524649e-05,4.320852827641809e-05,3.325170374987034e-05,-0.0016425436898703794,78,77,data/intraday/SPY_5min_2026-*.csv
2026-01-15,1.5158728333116409e-05,1.566283380690746e-05,1.266966650703533e-05,1.0280934141766307e-05,-0.0030581435153447245,78,77,data/intraday/SPY_5min_2026-*.csv
2026-01-16,2.0722355154871897e-05,2.387436568727434e-05,1.6781495308587552e-05,1.5338227144292803e-05,-0.0034325915490471814,78,77,data/intraday/SPY_5min_2026-*.csv
2026-01-20,4.1585588222433804e-05,4.027266128876557e-05,3.298982571388403e-05,3.277049273798839e-05,-0.007381112683796154,78,77,data/intraday/SPY_5min_2026-*.csv
2026-01-21,8.877377944675283e-05,6.424656669504818e-05,0.00015659126638010087,0.00016207218982608283,0.008469702580599758,77,76,data/intraday/SPY_5min_2026-*.csv
2026-01-22,2.1876870493756364e-05,1.870225138057275e-05,2.619273065471977e-05,2.27705813227762e-05,-0.001464982122810099,78,77,data/intraday/SPY_5min_2026-*.csv
2026-01-23,2.299969102461701e-05,2.2046483449902407e-05,1.661988728025589e-05,1.4512765018209608e-05,0.0021207387009889445,78,77,data/intraday/SPY_5min_2026-*.csv
2026-01-26,9.961998316639371e-06,9.52822811935908e-06,6.565136762653634e-06,3.869007171148996e-06,0.0020664789943376505,78,77,data/intraday/SPY_5min_2026-*.csv
2026-01-27,7.3048168994141995e-06,6.875503130120655e-06,6.912136592957486e-06,5.657225986449525e-06,0.0019139506539724849,78,77,data/intraday/SPY_5min_2026-*.csv
2026-01-28,2.4511319351265033e-05,2.8416365905174375e-05,8.968753300652489e-06,7.454119996705623e-06,-0.0027570530451503927,78,77,data/intraday/SPY_5min_2026-*.csv
2026-01-29,6.484575260259263e-05,5.726643155731214e-05,0.00011470211937116508,0.000103767864925683,-0.0027988051754199716,78,77,data/intraday/SPY_5min_2026-*.csv
2026-02-02,4.108004105062093e-06,5.189564973031301e-06,1.936698484164358e-06,1.3468048557425678e-06,-0.0017454716967204575,27,26,data/intraday/SPY_5min_2026-*.csv
2026-02-03,6.909275724104756e-05,5.740654130667929e-05,6.711121773143107e-05,6.213761726763644e-05,-0.009570286532872174,78,77,data/intraday/SPY_5min_2026-*.csv
2026-02-04,0.0001029722399205941,0.0001024988396746127,7.207329900654946e-05,7.237317305371583e-05,-0.005030208966630312,78,77,data/intraday/SPY_5min_2026-*.csv
2026-02-05,9.677836376092714e-05,9.581070549302932e-05,0.0001156114025963518,0.00011877815508063913,-0.004918251108260385,78,77,data/intraday/SPY_5min_2026-*.csv
2026-02-06,3.348010613121347e-05,3.3460149093106786e-05,2.4634056553022253e-05,1.8713480134117877e-05,0.009895290250488742,76,75,data/intraday/SPY_5min_2026-*.csv
2026-02-09,1.9642618194521963e-05,1.3334466330162934e-05,2.001700690793026e-05,1.4953733901916692e-05,0.005839240379581945,78,77,data/intraday/SPY_5min_2026-*.csv
2026-02-10,2.4502214256943127e-05,1.9977639119757296e-05,1.7516813419714753e-05,1.2415104342171051e-05,-0.004267724092503755,78,77,data/intraday/SPY_5min_2026-*.csv
2026-02-11,5.1859701273905603e-05,4.871861582164656e-05,6.29137526869678e-05,5.931827594846273e-05,-0.006033672900283449,78,77,data/intraday/SPY_5min_2026-*.csv
2026-02-12,6.417083938450841e-05,7.675577728852247e-05,0.00010230421380577506,9.453054066672132e-05,-0.01995465279202424,78,77,data/intraday/SPY_5min_2026-*.csv
2026-02-13,7.872622813461903e-05,9.192021535924105e-05,4.559940641814823e-05,3.501723953725732e-05,0.000586972987925094,78,77,data/intraday/SPY_5min_2026-*.csv
2026-02-17,0.00011437101846306809,0.00010678959938298385,0.00012043946735183643,0.00011389905866812404,0.0014804211937340384,78,77,data/intraday/SPY_5min_2026-*.csv
2026-02-18,3.490832028131523e-05,3.897999365285815e-05,4.55904958804371e-05,4.1082876313231314e-05,0.003927904701289009,78,77,data/intraday/SPY_5min_2026-*.csv
2026-02-19,5.9806351306390814e-05,6.213777463615647e-05,3.026004595059328e-05,2.294994833946917e-05,0.0008184347088855404,78,77,data/intraday/SPY_5min_2026-*.csv
