date,台股崩盤,股市,isPartial
2020-01-01,0,43,False
2020-02-01,0,56,False
2020-03-01,0,100,False
2020-04-01,0,73,False
2020-05-01,0,64,False
2020-06-01,0,64,False
2020-07-01,0,66,False
2020-08-01,0,55,False
2020-09-01,0,62,False
2020-10-01,0,51,False
2020-11-01,0,59,False
2020-12-01,0,66,False
2021-01-01,0,63,False
2021-02-01,0,59,False
2021-03-01,0,73,False
2021-04-01,0,74,False
2021-05-01,0,85,False
2021-06-01,0,64,False
2021-07-01,0,72,False
2021-08-01,0,68,False
2021-09-01,0,62,False
2021-10-01,0,59,False
2021-11-01,0,61,False
2021-12-01,0,61,False
2022-01-01,0,52,False
2022-02-01,0,57,False
2022-03-01,0,67,False
2022-04-01,0,52,False
2022-05-01,0,56,False
2022-06-01,0,56,False
2022-07-01,0,59,False
2022-08-01,0,54,False
2022-09-01,0,56,False
2022-10-01,0,57,False
2022-11-01,0,57,False
2022-12-01,0,50,False
2023-01-01,0,41,False
2023-02-01,0,49,False
2023-03-01,0,57,False
2023-04-01,0,43,False
2023-05-01,0,47,False
2023-06-01,0,47,False
2023-07-01,0,46,False
2023-08-01,0,54,False
2023-09-01,0,47,False
2023-10-01,0,44,False
2023-11-01,0,45,False
2023-12-01,0,42,False
2024-01-01,0,41,False
2024-02-01,0,32,False
2024-03-01,0,36,False
2024-04-01,0,38,False
2024-05-01,0,35,False
2024-06-01,0,33,False
2024-07-01,0,37,False
2024-08-01,0,44,False
2024-09-01,0,35,False
2024-10-01,0,34,False
2024-11-01,0,31,False
2024-12-01,0,31,False
2025-01-01,0,28,False
2025-02-01,0,30,False
2025-03-01,0,34,False
2025-04-01,0,57,False
2025-05-01,0,29,False
2025-06-01,0,27,False
2025-07-01,0,28,False
2025-08-01,0,30,False
2025-09-01,0,31,False
2025-10-01,0,32,False
2025-11-01,0,33,False
2025-12-01,0,32,False
2026-01-01,0,37,False
2026-02-01,0,40,False
2026-03-01,0,55,True
