date,put_volume,call_volume,pc_volume_ratio,put_oi,call_oi,pc_oi_ratio
2018-01-02,464670,341765,135.96,866600,446284,194.18
2018-01-03,645072,627576,102.79,684187,372008,183.92
2018-01-04,386841,358822,107.81,790539,442672,178.58
2018-01-05,395176,338670,116.68,865538,468541,184.73
2018-01-08,351208,331180,106.05,924687,502495,184.02
2018-01-09,376391,325132,115.77,968742,529425,182.98
2018-01-10,668874,575388,116.25,762061,416027,183.18
2018-01-11,438343,319618,137.15,846698,481337,175.91
2018-01-12,422541,353472,119.54,925201,481531,192.14
2018-01-15,421316,389148,108.27,986125,500524,197.02
2018-01-16,335238,343504,97.59,1014749,503266,201.63
2018-01-17,681167,678752,100.36,412790,267839,154.12
2018-01-18,554821,549244,101.02,566515,361748,156.6
2018-01-19,374875,296512,126.43,652943,399724,163.35
2018-01-22,550878,510506,107.91,750307,430295,174.37
2018-01-23,523009,546656,95.67,822109,482704,170.31
2018-01-24,740034,709142,104.36,569312,349124,163.07
2018-01-25,564609,482998,116.9,697731,419733,166.23
2018-01-26,441008,428799,102.85,756264,477114,158.51
2018-01-29,399368,418960,95.32,815257,546267,149.24
2018-01-30,571714,561697,101.78,837739,613935,136.45
2018-01-31,844089,769435,109.7,686129,392759,174.69
2018-02-01,385994,297777,129.63,790308,441816,178.88
2018-02-02,443349,409461,108.28,843537,502078,168.01
2018-02-05,771693,618840,124.7,860170,581797,147.85
2018-02-06,1258494,950447,132.41,662031,633224,104.55
2018-02-07,949138,995649,95.33,556090,392927,141.53
2018-02-08,256230,248442,103.13,597536,437609,136.55
2018-02-09,443831,423426,104.82,626576,478898,130.84
2018-02-12,395745,367055,107.82,689540,533112,129.34
2018-02-21,577730,565464,102.17,350590,235651,148.78
2018-02-22,208554,224755,92.79,398538,301049,132.38
2018-02-23,319170,305690,104.41,464371,327113,141.96
2018-02-26,271380,317442,85.49,494494,365289,135.37
2018-02-27,339566,333859,101.71,531295,389648,136.35
2018-03-01,664110,586813,113.17,439641,299479,146.8
2018-03-02,324779,335649,96.76,479424,359764,133.26
2018-03-05,414829,388871,106.68,520695,407961,127.63
2018-03-06,446353,369370,120.84,572143,418908,136.58
2018-03-07,697704,597874,116.7,491293,339064,144.9
2018-03-08,308945,215394,143.43,561182,375364,149.5
2018-03-09,286582,248145,115.49,584560,400575,145.93
2018-03-12,439901,345899,127.18,676640,412483,164.04
2018-03-13,430207,349807,122.98,719379,414028,173.75
2018-03-14,572829,513294,111.6,558283,338259,165.05
2018-03-15,249635,221861,112.52,599126,371808,161.14
2018-03-16,328575,367703,89.36,621828,401247,154.97
2018-03-19,273557,257593,106.2,657275,412043,159.52
2018-03-20,337408,277134,121.75,673259,436947,154.08
2018-03-21,483411,488286,99.0,259250,171475,151.19
2018-03-22,378292,339377,111.47,348863,252893,137.95
2018-03-23,499368,401361,124.42,404137,334074,120.97
2018-03-26,432622,310269,139.43,456241,360054,126.71
2018-03-27,534792,417028,128.24,509835,360620,141.38
2018-03-28,601466,535328,112.35,369416,249269,148.2
2018-03-29,252730,240814,104.95,423465,291781,145.13
2018-03-30,265677,212343,125.12,464070,309972,149.71
2018-03-31,83439,101456,82.24,475306,323425,146.96
2018-04-02,193821,185526,104.47,488897,347713,140.6
2018-04-03,333144,287349,115.94,506609,374230,135.37
2018-04-09,582805,463480,125.75,446915,285911,156.31
2018-04-10,464610,374716,123.99,533218,336668,158.38
2018-04-11,533914,430432,124.04,485002,299648,161.86
2018-04-12,283455,257281,110.17,536573,336987,159.23
2018-04-13,254073,234551,108.32,569281,356151,159.84
2018-04-16,261751,253841,103.12,590322,383374,153.98
2018-04-17,416626,425508,97.91,573851,441820,129.88
2018-04-18,668502,667888,100.09,230109,163371,140.85
2018-04-19,308247,249668,123.46,307447,206458,148.92
2018-04-20,416993,359112,116.12,354204,290600,121.89
2018-04-23,427532,425330,100.52,378074,354458,106.66
