date,stock_id,buy,name,sell
2012-05-02,0050,1416000,Foreign_Investor,585000
2012-05-02,0050,0,Investment_Trust,1114000
2012-05-02,0050,4343000,Dealer,4541000
2012-05-03,0050,888000,Foreign_Investor,412000
2012-05-03,0050,0,Investment_Trust,0
2012-05-03,0050,480000,Dealer,3198000
2012-05-04,0050,253000,Foreign_Investor,4734000
2012-05-04,0050,319000,Investment_Trust,394000
2012-05-04,0050,2221000,Dealer,2647000
2012-05-07,0050,233000,Foreign_Investor,14243000
2012-05-07,0050,1500000,Investment_Trust,0
2012-05-07,0050,811000,Dealer,5755000
2012-05-08,0050,312000,Foreign_Investor,4495000
2012-05-08,0050,0,Investment_Trust,0
2012-05-08,0050,1535000,Dealer,3157000
2012-05-09,0050,750000,Foreign_Investor,8578000
2012-05-09,0050,0,Investment_Trust,226000
2012-05-09,0050,4507000,Dealer,12712000
2012-05-10,0050,267000,Foreign_Investor,784000
2012-05-10,0050,0,Investment_Trust,0
2012-05-10,0050,936000,Dealer,4069000
2012-05-11,0050,603000,Foreign_Investor,8498000
2012-05-11,0050,143000,Investment_Trust,846000
2012-05-11,0050,1704000,Dealer,16679000
2012-05-14,0050,203000,Foreign_Investor,249000
2012-05-14,0050,0,Investment_Trust,800000
2012-05-14,0050,1759000,Dealer,5394000
2012-05-15,0050,403000,Foreign_Investor,865000
2012-05-15,0050,0,Investment_Trust,0
2012-05-15,0050,7247000,Dealer,17877000
2012-05-16,0050,215000,Foreign_Investor,3409000
2012-05-16,0050,0,Investment_Trust,934000
2012-05-16,0050,2564000,Dealer,25719000
2012-05-17,0050,200000,Foreign_Investor,252000
2012-05-17,0050,0,Investment_Trust,473000
2012-05-17,0050,1244000,Dealer,3294000
2012-05-18,0050,231000,Foreign_Investor,8400000
2012-05-18,0050,0,Investment_Trust,68000
2012-05-18,0050,4111000,Dealer,25530000
2012-05-21,0050,205000,Foreign_Investor,1115000
2012-05-21,0050,0,Investment_Trust,362000
2012-05-21,0050,2347000,Dealer,10164000
2012-05-22,0050,205000,Foreign_Investor,866000
2012-05-22,0050,0,Investment_Trust,1111000
2012-05-22,0050,1786000,Dealer,3677000
2012-05-23,0050,221000,Foreign_Investor,4850000
2012-05-23,0050,0,Investment_Trust,0
2012-05-23,0050,1853000,Dealer,17734000
2012-05-24,0050,203000,Foreign_Investor,391000
2012-05-24,0050,0,Investment_Trust,0
2012-05-24,0050,1931000,Dealer,9995000
2012-05-25,0050,208000,Foreign_Investor,6605000
2012-05-25,0050,0,Investment_Trust,123000
2012-05-25,0050,784000,Dealer,4800000
2012-05-28,0050,406000,Foreign_Investor,2642000
2012-05-28,0050,0,Investment_Trust,0
2012-05-28,0050,656000,Dealer,1136000
2012-05-29,0050,552000,Foreign_Investor,565000
2012-05-29,0050,0,Investment_Trust,3541000
2012-05-29,0050,8258000,Dealer,1894000
2012-05-30,0050,1192000,Foreign_Investor,1093000
2012-05-30,0050,0,Investment_Trust,635000
2012-05-30,0050,1656000,Dealer,7474000
2012-05-31,0050,415000,Foreign_Investor,950000
2012-05-31,0050,0,Investment_Trust,0
