ticker,target,signal,n,coef,t_stat,expected_direction_pass
IWM,log_range_var,loss_memory_lag1,5274,0.14142960253336018,2.0556902615275843,True
IWM,log_range_var,rally_memory_lag1,5274,-0.1694927272746227,-2.4025217219217447,False
IWM,log_fwd5_rv,loss_memory_lag1,5270,0.09189340178399194,0.8473029122257155,True
IWM,log_fwd5_rv,rally_memory_lag1,5270,-0.32774888844558925,-2.906044275243183,False
IWM,volume_z,loss_memory_lag1,5274,0.14578679503697864,1.968923563504093,True
IWM,volume_z,rally_memory_lag1,5274,-0.23407538812826384,-3.3269378072696303,False
QQQ,log_range_var,loss_memory_lag1,5375,0.042980433263413054,0.5593039407443017,True
QQQ,log_range_var,rally_memory_lag1,5375,-0.26424846450214723,-3.4986911131226752,False
QQQ,log_fwd5_rv,loss_memory_lag1,5371,0.0843725217426915,0.7923010631975271,True
QQQ,log_fwd5_rv,rally_memory_lag1,5371,-0.4102985481666873,-3.5861285435063963,False
QQQ,volume_z,loss_memory_lag1,5375,0.029103735786134233,0.41886214665817245,True
QQQ,volume_z,rally_memory_lag1,5375,-0.4003552672222049,-6.2627660591362435,False
SPY,log_range_var,loss_memory_lag1,5375,0.22177486272367847,2.7977288100125275,True
SPY,log_range_var,rally_memory_lag1,5375,-0.22400059063185263,-2.92977090348775,False
SPY,log_fwd5_rv,loss_memory_lag1,5371,0.27394029998564573,2.336264888464006,True
SPY,log_fwd5_rv,rally_memory_lag1,5371,-0.3312132074885441,-2.7107549223832326,False
SPY,volume_z,loss_memory_lag1,5375,0.06457644031868345,1.0015190636856581,True
SPY,volume_z,rally_memory_lag1,5375,-0.40320488643069097,-6.852347373027745,False
XLB,log_range_var,loss_memory_lag1,5375,0.035913989065328514,0.5028441916281942,True
XLB,log_range_var,rally_memory_lag1,5375,-0.18457179000993895,-2.677294707001534,False
XLB,log_fwd5_rv,loss_memory_lag1,5371,0.0691451264121717,0.6460585686507736,True
XLB,log_fwd5_rv,rally_memory_lag1,5371,-0.25295170324158545,-2.3078039272521593,False
XLB,volume_z,loss_memory_lag1,5375,0.1580773845701084,2.4214240941371092,True
XLB,volume_z,rally_memory_lag1,5375,-0.10450733050761093,-1.6562116677917673,False
XLE,log_range_var,loss_memory_lag1,5375,0.059989738403341875,0.9320441041667764,True
XLE,log_range_var,rally_memory_lag1,5375,-0.06954171941162779,-1.141672220689844,False
