DATE,VALUE,RELEASE_DATE
1967-03-01,-0.35,1967-04-30
1967-04-01,0.0,1967-05-31
1967-05-01,-0.56,1967-06-30
1967-06-01,0.04,1967-07-31
1967-07-01,-0.32,1967-08-31
1967-08-01,1.03,1967-09-30
1967-09-01,-0.05,1967-10-31
1967-10-01,0.03,1967-11-30
1967-11-01,1.36,1967-12-31
1967-12-01,1.0,1968-01-31
1968-01-01,-0.46,1968-02-29
1968-02-01,0.43,1968-03-31
1968-03-01,0.39,1968-04-30
1968-04-01,0.13,1968-05-31
1968-05-01,0.67,1968-06-30
1968-06-01,0.27,1968-07-31
1968-07-01,0.23,1968-08-31
1968-08-01,0.02,1968-09-30
1968-09-01,0.49,1968-10-31
1968-10-01,0.56,1968-11-30
1968-11-01,0.82,1968-12-31
1968-12-01,0.01,1969-01-31
1969-01-01,0.34,1969-02-28
1969-02-01,0.51,1969-03-31
1969-03-01,0.5,1969-04-30
1969-04-01,0.05,1969-05-31
1969-05-01,-0.02,1969-06-30
1969-06-01,0.38,1969-07-31
1969-07-01,0.18,1969-08-31
1969-08-01,0.45,1969-09-30
1969-09-01,-0.09,1969-10-31
1969-10-01,0.2,1969-11-30
1969-11-01,-0.81,1969-12-31
1969-12-01,-0.23,1970-01-31
1970-01-01,-1.36,1970-02-28
1970-02-01,-0.15,1970-03-31
1970-03-01,-0.57,1970-04-30
1970-04-01,-0.7,1970-05-31
1970-05-01,-0.32,1970-06-30
1970-06-01,-0.27,1970-07-31
1970-07-01,0.0,1970-08-31
1970-08-01,-0.56,1970-09-30
1970-09-01,-0.64,1970-10-31
1970-10-01,-1.8,1970-11-30
1970-11-01,-1.03,1970-12-31
1970-12-01,1.65,1971-01-31
1971-01-01,0.56,1971-02-28
1971-02-01,0.0,1971-03-31
1971-03-01,-0.05,1971-04-30
1971-04-01,0.47,1971-05-31
1971-05-01,0.44,1971-06-30
1971-06-01,0.41,1971-07-31
1971-07-01,-0.13,1971-08-31
1971-08-01,-0.06,1971-09-30
1971-09-01,1.01,1971-10-31
1971-10-01,0.44,1971-11-30
1971-11-01,0.66,1971-12-31
1971-12-01,0.86,1972-01-31
1972-01-01,1.44,1972-02-29
1972-02-01,0.4,1972-03-31
1972-03-01,1.05,1972-04-30
1972-04-01,0.76,1972-05-31
1972-05-01,0.52,1972-06-30
1972-06-01,0.52,1972-07-31
1972-07-01,-0.05,1972-08-31
1972-08-01,1.52,1972-09-30
1972-09-01,0.91,1972-10-31
1972-10-01,1.38,1972-11-30
1972-11-01,1.31,1972-12-31
1972-12-01,1.23,1973-01-31
1973-01-01,1.09,1973-02-28
1973-02-01,1.25,1973-03-31
1973-03-01,0.48,1973-04-30
1973-04-01,0.09,1973-05-31
1973-05-01,0.47,1973-06-30
1973-06-01,0.24,1973-07-31
1973-07-01,0.53,1973-08-31
1973-08-01,-0.38,1973-09-30
1973-09-01,0.66,1973-10-31
1973-10-01,1.09,1973-11-30
1973-11-01,0.81,1973-12-31
1973-12-01,-0.4,1974-01-31
1974-01-01,-0.22,1974-02-28
1974-02-01,-0.26,1974-03-31
1974-03-01,0.08,1974-04-30
1974-04-01,-0.36,1974-05-31
1974-05-01,0.49,1974-06-30
1974-06-01,-0.29,1974-07-31
1974-07-01,-0.27,1974-08-31
1974-08-01,-0.73,1974-09-30
1974-09-01,-0.86,1974-10-31
1974-10-01,-1.1,1974-11-30
1974-11-01,-2.48,1974-12-31
1974-12-01,-3.35,1975-01-31
1975-01-01,-1.82,1975-02-28
1975-02-01,-2.11,1975-03-31
1975-03-01,-2.04,1975-04-30
1975-04-01,-0.24,1975-05-31
1975-05-01,-0.22,1975-06-30
1975-06-01,0.13,1975-07-31
1975-07-01,0.65,1975-08-31
1975-08-01,0.71,1975-09-30
1975-09-01,0.63,1975-10-31
1975-10-01,0.29,1975-11-30
1975-11-01,0.14,1975-12-31
1975-12-01,0.89,1976-01-31
1976-01-01,1.4,1976-02-29
1976-02-01,0.82,1976-03-31
1976-03-01,0.41,1976-04-30
1976-04-01,0.33,1976-05-31
1976-05-01,0.21,1976-06-30
1976-06-01,0.22,1976-07-31
1976-07-01,0.31,1976-08-31
1976-08-01,0.28,1976-09-30
1976-09-01,0.35,1976-10-31
1976-10-01,-0.33,1976-11-30
1976-11-01,1.0,1976-12-31
1976-12-01,1.12,1977-01-31
1977-01-01,-0.19,1977-02-28
1977-02-01,1.15,1977-03-31
1977-03-01,1.1,1977-04-30
1977-04-01,0.66,1977-05-31
1977-05-01,0.68,1977-06-30
1977-06-01,0.73,1977-07-31
1977-07-01,0.37,1977-08-31
1977-08-01,0.28,1977-09-30
1977-09-01,0.43,1977-10-31
1977-10-01,0.44,1977-11-30
1977-11-01,0.53,1977-12-31
1977-12-01,0.8,1978-01-31
1978-01-01,-1.24,1978-02-28
1978-02-01,1.04,1978-03-31
1978-03-01,1.32,1978-04-30
1978-04-01,1.8,1978-05-31
1978-05-01,0.36,1978-06-30
1978-06-01,0.82,1978-07-31
1978-07-01,-0.1,1978-08-31
1978-08-01,0.71,1978-09-30
1978-09-01,0.29,1978-10-31
1978-10-01,0.74,1978-11-30
1978-11-01,0.73,1978-12-31
