Price,Adj Close,Close,High,Low,Open,Volume
Ticker,SPY,SPY,SPY,SPY,SPY,SPY
Date,,,,,,
2006-01-03,87.22505950927734,126.69999694824219,127.0,124.38999938964844,125.19000244140625,73256700
2006-01-04,87.63813018798828,127.30000305175781,127.48999786376953,126.69999694824219,126.86000061035156,51899600
2006-01-05,87.69316864013672,127.37999725341797,127.58999633789062,126.87999725341797,127.1500015258789,47307500
2006-01-06,88.42294311523438,128.44000244140625,128.5800018310547,127.36000061035156,128.02000427246094,62885900
2006-01-09,88.65013885498047,128.77000427246094,129.05999755859375,128.3800048828125,128.4199981689453,43527400
2006-01-10,88.7396011352539,128.89999389648438,128.97999572753906,128.25999450683594,128.38999938964844,44960800
2006-01-11,89.02186584472656,129.30999755859375,129.44000244140625,128.72999572753906,129.02000427246094,49598900
2006-01-12,88.6707763671875,128.8000030517578,129.27999877929688,128.44000244140625,129.0800018310547,40509200
2006-01-13,88.58816528320312,128.67999267578125,128.89999389648438,128.1999969482422,128.57000732421875,44856700
2006-01-17,88.34721374511719,128.3300018310547,128.4199981689453,127.80999755859375,128.1999969482422,52066600
2006-01-18,87.99610900878906,127.81999969482422,128.89999389648438,127.16000366210938,127.58000183105469,75067600
2006-01-19,88.33342742919922,128.30999755859375,128.77000427246094,127.80999755859375,128.1300048828125,81530400
2006-01-20,86.72249603271484,125.97000122070312,128.30999755859375,125.97000122070312,128.27999877929688,114957800
2006-01-23,87.03231811523438,126.41999816894531,126.81999969482422,126.12999725341797,126.20999908447266,67017400
2006-01-24,87.12178802490234,126.55000305175781,127.1500015258789,126.41999816894531,126.62999725341797,53008800
2006-01-25,87.19752502441406,126.66000366210938,127.18000030517578,125.83999633789062,127.04000091552734,87747700
2006-01-26,87.67941284179688,127.36000061035156,127.66999816894531,126.76000213623047,127.25,71294000
2006-01-27,88.49177551269531,128.5399932861328,128.66000366210938,127.44999694824219,127.66000366210938,65771200
2006-01-30,88.42294311523438,128.44000244140625,128.80999755859375,128.35000610351562,128.44000244140625,33709600
2006-01-31,87.77580261230469,127.5,128.5399932861328,127.48999786376953,128.32000732421875,72937000
2006-02-01,88.38851165771484,128.38999938964844,128.42999267578125,127.72000122070312,127.81999969482422,63561000
2006-02-02,87.36273193359375,126.9000015258789,128.13999938964844,126.80000305175781,128.10000610351562,83626900
2006-02-03,86.92901611328125,126.2699966430664,128.38999938964844,126.13999938964844,126.58000183105469,86040400
2006-02-06,87.15621185302734,126.5999984741211,126.80000305175781,126.16999816894531,126.44000244140625,45511900
2006-02-07,86.38516235351562,125.4800033569336,126.66000366210938,125.4000015258789,126.37999725341797,71208100
2006-02-08,87.16999816894531,126.62000274658203,128.10000610351562,125.5999984741211,125.8499984741211,59422200
2006-02-09,87.02542877197266,126.41000366210938,127.5999984741211,126.37000274658203,126.91999816894531,62023300
2006-02-10,87.18375396728516,126.63999938964844,127.12999725341797,125.44999694824219,126.43000030517578,64508700
2006-02-13,87.02542877197266,126.41000366210938,126.79000091552734,125.94999694824219,126.5999984741211,52308700
2006-02-14,87.94792175292969,127.75,128.02999877929688,126.20999908447266,126.45999908447266,90964400
2006-02-15,88.2577133178711,128.1999969482422,128.32000732421875,127.23999786376953,127.68000030517578,85471300
2006-02-16,88.91860961914062,129.16000366210938,129.2100067138672,128.17999267578125,128.33999633789062,61017900
2006-02-17,88.67766571044922,128.80999755859375,129.16000366210938,128.5800018310547,129.0500030517578,40342600
2006-02-21,88.45735931396484,128.49000549316406,129.39999389648438,128.2899932861328,129.11000061035156,46456300
2006-02-22,88.99433135986328,129.27000427246094,129.64999389648438,128.64999389648438,128.77000427246094,42326700
2006-02-23,88.86353302001953,129.0800018310547,129.63999938964844,128.27999877929688,129.27000427246094,43423200
2006-02-24,89.09070587158203,129.41000366210938,129.47999572753906,128.75999450683594,129.11000061035156,36777400
2006-02-27,89.1251220703125,129.4600067138672,130.0399932861328,129.27999877929688,129.39999389648438,35858600
