ticker,category,family,legal_type,holder_rows,holder_error,turnover,expense_ratio,duration,maturity,rating_bb,rating_b,rating_below_b,rating_bbb,rating_a,rating_aa,rating_aaa,rating_us_government
AGG,Intermediate Core Bond,iShares,Exchange Traded Fund,0,,0.62,0.00029999999,3.82,9.422,0.0,0.0,0.0,0.1168,0.1201,0.7404,0.0227,0.48790002
BND,Intermediate Core Bond,Vanguard,Exchange Traded Fund,0,,0.38,0.00029999999,,9.456,0.0,0.0,0.0,0.1238,0.119899996,0.0359,0.72099996,0.5143
LQD,Corporate Bond,iShares,Exchange Traded Fund,0,,0.16,0.0014,4.65,9.411,0.0,0.0,0.0,0.4091,0.471,0.1095,0.0104,0.0
HYG,High Yield Bond,iShares,Exchange Traded Fund,0,,0.22,0.0049,6.65,9.914,0.5786,0.3185,0.0926,0.0069,0.0,0.0,0.0,0.0
MUB,Muni National Interm,iShares,Exchange Traded Fund,0,,0.11,0.0005,4.7,10.407,0.0,0.0,0.0,0.0091,0.156,0.6153,0.219,0.0
EMB,Emerging Markets Bond,iShares,Exchange Traded Fund,0,,0.12,0.0039,5.68,,0.2459,0.1595,0.0763,0.3362,0.1728,0.0091,0.0,0.8719
TLT,Long Government,iShares,Exchange Traded Fund,0,,0.18,0.0015,3.52,7.874,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.996
IEF,Long Government,iShares,Exchange Traded Fund,0,,0.53,0.0015,4.18,9.863,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.99660003
