event_date,trading_date,event_label,shock_type,source,ticker,group,horizon,baseline_rv,pre_rv,post_rv,same_day_r2,log_rv_ratio,control_log_rv_ratio,adj_log_rv_ratio
2021-06-04,2021-06-04,FDA Wegovy chronic weight-management approval,approval,FDA approval / Wegovy label event,LLY,glp_makers,5,0.00030709589416022184,8.869820780836991e-05,0.0025510140442386417,1.1292082351929593e-05,2.1170861658708287,-1.6957422825680595,3.8128284484388884
2021-06-04,2021-06-04,FDA Wegovy chronic weight-management approval,approval,FDA approval / Wegovy label event,NVO,glp_makers,5,0.00015270714653235933,9.247857137915339e-05,0.00012771200183358327,0.0002500572617841495,-0.1787442690346967,-1.6957422825680595,1.5169980135333627
2021-06-04,2021-06-04,FDA Wegovy chronic weight-management approval,approval,FDA approval / Wegovy label event,XLV,healthcare_broad,5,4.276531535916537e-05,4.597905429960272e-05,9.070015080597542e-05,1.0234768445707619e-05,0.7518316345689388,-1.6957422825680595,2.447573917136998
2021-06-04,2021-06-04,FDA Wegovy chronic weight-management approval,approval,FDA approval / Wegovy label event,IYH,healthcare_broad,5,4.673712287457164e-05,4.685493430671534e-05,0.00010115195512694132,2.01335508903123e-05,0.7720851211539201,-1.6957422825680595,2.4678274037219796
2021-06-04,2021-06-04,FDA Wegovy chronic weight-management approval,approval,FDA approval / Wegovy label event,IHE,healthcare_broad,5,4.733389416693364e-05,3.9249893373032937e-05,0.00015561901950110918,1.1888758088979567e-08,1.1901842201118806,-1.6957422825680595,2.88592650267994
2021-06-04,2021-06-04,FDA Wegovy chronic weight-management approval,approval,FDA approval / Wegovy label event,PPH,healthcare_broad,5,5.435870602297232e-05,4.245077317298014e-05,0.00016813812877999664,9.460248684735365e-07,1.1291810515506557,-1.6957422825680595,2.824923334118715
2021-06-04,2021-06-04,FDA Wegovy chronic weight-management approval,approval,FDA approval / Wegovy label event,DXCM,diabetes_medtech,5,0.0005757537497923518,0.00041821349871531965,0.00013883700618959647,0.00026389078989340033,-1.4223794238265144,-1.6957422825680595,0.2733628587415451
2021-06-04,2021-06-04,FDA Wegovy chronic weight-management approval,approval,FDA approval / Wegovy label event,PODD,diabetes_medtech,5,0.0007703826261265352,0.0004817346701026716,0.0003332253066510483,0.0008922646640124156,-0.8380684507309019,-1.6957422825680595,0.8576738318371576
2021-06-04,2021-06-04,FDA Wegovy chronic weight-management approval,approval,FDA approval / Wegovy label event,TNDM,diabetes_medtech,5,0.0006621316872647146,0.00030138557127894823,0.00047391556365490513,1.0553566566509039e-05,-0.3344352894371019,-1.6957422825680595,1.3613069931309576
2021-06-04,2021-06-04,FDA Wegovy chronic weight-management approval,approval,FDA approval / Wegovy label event,ABT,diabetes_medtech,5,0.00013174324924278996,0.0010730297288569402,0.00012627047827732128,6.786074871510306e-07,-0.042428687786196344,-1.6957422825680595,1.6533135947818631
2021-06-04,2021-06-04,FDA Wegovy chronic weight-management approval,approval,FDA approval / Wegovy label event,MDT,diabetes_medtech,5,8.841026646860813e-05,9.275130597563402e-05,0.00013138868524630644,3.991390805254727e-05,0.39617189368327393,-1.6957422825680595,2.0919141762513336
2021-06-04,2021-06-04,FDA Wegovy chronic weight-management approval,approval,FDA approval / Wegovy label event,XLP,food_beverage,5,5.222889706487533e-05,2.0424548129354195e-05,2.7256319398246727e-05,1.226168471160337e-05,-0.6503505265896379,-1.6957422825680595,1.0453917559784216
2021-06-04,2021-06-04,FDA Wegovy chronic weight-management approval,approval,FDA approval / Wegovy label event,PBJ,food_beverage,5,8.037200897502294e-05,5.396037908320338e-05,3.494212282436784e-05,2.5444795572477366e-06,-0.8329729093520902,-1.6957422825680595,0.8627693732159692
2021-06-04,2021-06-04,FDA Wegovy chronic weight-management approval,approval,FDA approval / Wegovy label event,PEP,food_beverage,5,8.65564635928989e-05,4.620156947321302e-05,3.9309894192443275e-05,1.3237349317249083e-06,-0.7893207114724162,-1.6957422825680595,0.9064215710956433
2021-06-04,2021-06-04,FDA Wegovy chronic weight-management approval,approval,FDA approval / Wegovy label event,KO,food_beverage,5,5.9109336247880043e-05,2.1257761153262174e-05,3.0066269939921144e-05,0.00011504237910319467,-0.6759849422623402,-1.6957422825680595,1.0197573403057194
2021-06-04,2021-06-04,FDA Wegovy chronic weight-management approval,approval,FDA approval / Wegovy label event,MDLZ,food_beverage,5,7.645247702594459e-05,2.6532718586734403e-05,1.9389712669341398e-05,1.9210765306449148e-05,-1.3719266818034848,-1.6957422825680595,0.3238156007645747
2021-06-04,2021-06-04,FDA Wegovy chronic weight-management approval,approval,FDA approval / Wegovy label event,HSY,food_beverage,5,8.52668069993153e-05,2.1897819359220772e-05,2.649719996705464e-05,4.244307133648515e-06,-1.1687461804952781,-1.6957422825680595,0.5269961020727814
2021-06-04,2021-06-04,FDA Wegovy chronic weight-management approval,approval,FDA approval / Wegovy label event,GIS,food_beverage,5,0.00016420850724970968,4.1826444108077295e-05,8.754276839002115e-05,1.2949411812324891e-05,-0.6290095504177852,-1.6957422825680595,1.0667327321502742
