group,horizon,n_events,mean,median,t_stat,p_t_upper,sign_positive,p_sign_upper,boot_ci_low,boot_ci_high,boot_prob_mean_le_0,n_placebo,p_placebo_upper,placebo_mean,placebo_ci_low,placebo_ci_high,p_holm_t_upper,p_holm_sign_upper,p_holm_placebo_upper
glp_makers,5,6,0.013700690273593441,0.1580169117898979,0.01853679040636442,0.49296379389307354,3,0.65625,-1.318467860800853,1.3377003765497877,0.4896,2000,0.31984007996002,-0.16118282446618476,-0.9239753845195477,0.6045797337660386,1.0,1.0,1.0
healthcare_broad,5,6,-0.13042385272363624,-0.4528735298898563,-0.21496029099753286,0.5808545198293115,2,0.890625,-1.0585970015446613,1.1022214848601324,0.6397,2000,0.7226386806596702,0.04178830569795892,-0.5296724203566135,0.6253886352853434,1.0,1.0,1.0
diabetes_medtech,5,6,-0.0147862009909789,-0.23892420710355441,-0.04676786218072277,0.5177456312657913,2,0.890625,-0.5408498050751486,0.5802487307612635,0.5467,2000,0.2928535732133933,-0.16342537554421166,-0.6966375548452576,0.49180499292325575,1.0,1.0,1.0
food_beverage,5,6,-0.3992217322000052,-0.4049791234225294,-0.8610442351499796,0.7857184109299118,1,0.984375,-1.2384221116493563,0.4380464524517158,0.8281,2000,0.9185407296351824,-0.004045983564228958,-0.5534808175271829,0.5398754986474993,1.0,1.0,1.0
restaurants,5,6,-0.12229827196305297,-0.41319372536348936,-0.30897281027976636,0.61509894822359,2,0.890625,-0.7798047552054971,0.6037550087321368,0.627,2000,0.5887056471764118,-0.05435286324933589,-0.5190303057874665,0.4785684625687173,1.0,1.0,1.0
glp_makers,22,6,0.0793198715034963,-0.04539683101373591,0.3782046778729721,0.36040181159806767,3,0.65625,-0.23518120307272927,0.5013418934571289,0.3733,2000,0.35282358820589704,0.0011254893290266674,-0.41342370729552197,0.4551315059758364,1.0,1.0,1.0
healthcare_broad,22,6,0.019684182165956077,-0.07806560452110806,0.07537929488587439,0.47141798882141417,3,0.65625,-0.40305352814350764,0.5076008178220196,0.4711,2000,0.5177411294352824,0.02571053488198877,-0.25469021661419033,0.32066056201501353,1.0,1.0,1.0
diabetes_medtech,22,6,0.04098637107423292,0.13071103416119273,0.17025027929208542,0.4357439180562802,4,0.34375,-0.4096582589532473,0.4462232328157345,0.4133,2000,0.24187906046976512,-0.06634066175693867,-0.3588245053770219,0.21725717093558478,1.0,1.0,1.0
food_beverage,22,6,-0.05172797587723618,-0.10598690516262199,-0.2788854586303048,0.6042501644298381,3,0.65625,-0.34263416050600903,0.2871261934787275,0.6217,2000,0.7586206896551724,0.06430106403490717,-0.2963437136661477,0.38669547087447664,1.0,1.0,1.0
restaurants,22,6,-0.0208296107865244,-0.30528229634985393,-0.09959264462904799,0.5377312149643788,2,0.890625,-0.3568728066476034,0.35764580956893793,0.5859,2000,0.607696151924038,0.023449794778591788,-0.2905768899046047,0.35029357688595397,1.0,1.0,1.0
