anchor_date,year,group,horizon,n_tickers,control_log_rv_ratio,adj_log_rv_ratio
2020-03-31,2020,glp_makers,5,2,0.3659060655607562,-1.0899933206061594
2020-03-31,2020,healthcare_broad,5,4,0.3659060655607562,-0.18053183743501106
2020-03-31,2020,diabetes_medtech,5,5,0.3659060655607562,0.05410055950038056
2020-03-31,2020,food_beverage,5,12,0.3659060655607562,-0.36829995005138455
2020-03-31,2020,restaurants,5,8,0.3659060655607562,0.11573550727647647
2020-04-01,2020,glp_makers,5,2,0.08135380058266421,-0.7375861536384642
2020-04-01,2020,healthcare_broad,5,4,0.08135380058266421,-0.010227174414872586
2020-04-01,2020,diabetes_medtech,5,5,0.08135380058266421,0.26264921002039077
2020-04-01,2020,food_beverage,5,12,0.08135380058266421,-0.34650541556771075
2020-04-01,2020,restaurants,5,8,0.08135380058266421,0.32586888814634385
2020-04-02,2020,glp_makers,5,2,0.0638267269844955,-1.1453824883574577
2020-04-02,2020,healthcare_broad,5,4,0.0638267269844955,-0.13825251677534334
2020-04-02,2020,diabetes_medtech,5,5,0.0638267269844955,0.17732086242031087
2020-04-02,2020,food_beverage,5,12,0.0638267269844955,-0.6301995765787265
2020-04-02,2020,restaurants,5,8,0.0638267269844955,0.27270293695492986
2020-04-03,2020,glp_makers,5,2,0.04170930568579611,-1.1883996593891835
2020-04-03,2020,healthcare_broad,5,4,0.04170930568579611,-0.11189009974788039
2020-04-03,2020,diabetes_medtech,5,5,0.04170930568579611,0.11245668743501211
2020-04-03,2020,food_beverage,5,12,0.04170930568579611,-0.8527280707358491
2020-04-03,2020,restaurants,5,8,0.04170930568579611,0.2489133992847371
2020-04-06,2020,glp_makers,5,2,-0.7769035570661692,0.03866072492872841
2020-04-06,2020,healthcare_broad,5,4,-0.7769035570661692,0.25850107833851477
2020-04-06,2020,diabetes_medtech,5,5,-0.7769035570661692,0.4953969051280816
2020-04-06,2020,food_beverage,5,12,-0.7769035570661692,0.03596002654296104
2020-04-06,2020,restaurants,5,8,-0.7769035570661692,0.31036819722912234
2020-04-07,2020,glp_makers,5,2,-0.6071641595449535,-0.5409243630474241
2020-04-07,2020,healthcare_broad,5,4,-0.6071641595449535,0.08000381092648223
2020-04-07,2020,diabetes_medtech,5,5,-0.6071641595449535,0.12141596650527187
2020-04-07,2020,food_beverage,5,12,-0.6071641595449535,-0.1670375041852129
2020-04-07,2020,restaurants,5,8,-0.6071641595449535,-0.04902581456817812
2020-04-08,2020,glp_makers,5,2,-0.9946379225168522,-0.0029190463881493267
2020-04-08,2020,healthcare_broad,5,4,-0.9946379225168522,-0.08107620373472901
2020-04-08,2020,diabetes_medtech,5,5,-0.9946379225168522,0.3556440166751228
2020-04-08,2020,food_beverage,5,12,-0.9946379225168522,0.20223304165873035
2020-04-08,2020,restaurants,5,8,-0.9946379225168522,-0.23447155417454613
2020-04-09,2020,glp_makers,5,2,-0.9194465352465556,0.07317302784137214
2020-04-09,2020,healthcare_broad,5,4,-0.9194465352465556,0.03333116505852762
