event_date,trading_date,event_label,shock_type,group,horizon,n_tickers,mean_log_rv_ratio,median_log_rv_ratio,control_log_rv_ratio,adj_log_rv_ratio
2021-06-04,2021-06-04,FDA Wegovy chronic weight-management approval,approval,glp_makers,5,2,0.969170948418066,0.969170948418066,-1.6957422825680595,2.6649132309861256
2021-06-04,2021-06-04,FDA Wegovy chronic weight-management approval,approval,healthcare_broad,5,4,0.9608205068463488,0.9506330863522879,-1.6957422825680595,2.656562789414408
2021-06-04,2021-06-04,FDA Wegovy chronic weight-management approval,approval,diabetes_medtech,5,5,-0.4482279916194881,-0.3344352894371019,-1.6957422825680595,1.2475142909485712
2021-06-04,2021-06-04,FDA Wegovy chronic weight-management approval,approval,food_beverage,5,12,-0.35998087837951925,-0.663167734425989,-1.6957422825680595,1.3357614041885402
2021-06-04,2021-06-04,FDA Wegovy chronic weight-management approval,approval,restaurants,5,8,-0.2468942851304256,-0.2341273063686689,-1.6957422825680595,1.4488479974376338
2021-06-04,2021-06-04,FDA Wegovy chronic weight-management approval,approval,glp_makers,22,2,0.11824044574328296,0.11824044574328296,-0.9147468294492693,1.0329872751925522
2021-06-04,2021-06-04,FDA Wegovy chronic weight-management approval,approval,healthcare_broad,22,4,0.20861693779582302,0.18342261829629602,-0.9147468294492693,1.1233637672450922
2021-06-04,2021-06-04,FDA Wegovy chronic weight-management approval,approval,diabetes_medtech,22,5,-0.7005776567251745,-0.9180679981398939,-0.9147468294492693,0.21416917272409486
2021-06-04,2021-06-04,FDA Wegovy chronic weight-management approval,approval,food_beverage,22,12,-0.19620407624351477,-0.28323724916430204,-0.9147468294492693,0.7185427532057546
2021-06-04,2021-06-04,FDA Wegovy chronic weight-management approval,approval,restaurants,22,8,-0.40214646202684184,-0.34306138680149756,-0.9147468294492693,0.5126003674224275
2022-04-28,2022-04-28,Lilly SURMOUNT-1 top-line tirzepatide obesity result,clinical_topline,glp_makers,5,2,-0.3756504944423782,-0.3756504944423782,1.1833072740880577,-1.5589577685304359
2022-04-28,2022-04-28,Lilly SURMOUNT-1 top-line tirzepatide obesity result,clinical_topline,healthcare_broad,5,4,0.7326948747853407,0.7512910426933184,1.1833072740880577,-0.450612399302717
2022-04-28,2022-04-28,Lilly SURMOUNT-1 top-line tirzepatide obesity result,clinical_topline,diabetes_medtech,5,5,0.8453445740285828,0.6281620335515593,1.1833072740880577,-0.33796270005947493
2022-04-28,2022-04-28,Lilly SURMOUNT-1 top-line tirzepatide obesity result,clinical_topline,food_beverage,5,12,0.5681225069568646,0.5206264742324682,1.1833072740880577,-0.6151847671311931
2022-04-28,2022-04-28,Lilly SURMOUNT-1 top-line tirzepatide obesity result,clinical_topline,restaurants,5,8,0.5647988666688619,0.6269006720574878,1.1833072740880577,-0.6185084074191958
2022-04-28,2022-04-28,Lilly SURMOUNT-1 top-line tirzepatide obesity result,clinical_topline,glp_makers,22,2,0.2585097128236127,0.2585097128236127,0.7371649657791949,-0.4786552529555822
2022-04-28,2022-04-28,Lilly SURMOUNT-1 top-line tirzepatide obesity result,clinical_topline,healthcare_broad,22,4,0.3758888068659344,0.3830860339078307,0.7371649657791949,-0.3612761589132605
2022-04-28,2022-04-28,Lilly SURMOUNT-1 top-line tirzepatide obesity result,clinical_topline,diabetes_medtech,22,5,0.7844178613774855,0.7386628405649927,0.7371649657791949,0.0472528955982906
2022-04-28,2022-04-28,Lilly SURMOUNT-1 top-line tirzepatide obesity result,clinical_topline,food_beverage,22,12,0.7762173848694918,0.9349075569756917,0.7371649657791949,0.039052419090296886
2022-04-28,2022-04-28,Lilly SURMOUNT-1 top-line tirzepatide obesity result,clinical_topline,restaurants,22,8,0.4406128579177564,0.44003826320911055,0.7371649657791949,-0.2965521078614385
2023-08-08,2023-08-08,Novo SELECT semaglutide CV outcomes headline,clinical_topline,glp_makers,5,2,0.4891178138046183,0.4891178138046183,-0.4375409958140381,0.9266588096186563
2023-08-08,2023-08-08,Novo SELECT semaglutide CV outcomes headline,clinical_topline,healthcare_broad,5,4,-1.3533745403190989,-1.3621635769832265,-0.4375409958140381,-0.9158335445050607
2023-08-08,2023-08-08,Novo SELECT semaglutide CV outcomes headline,clinical_topline,diabetes_medtech,5,5,-0.577426709961672,-0.959844282872061,-0.4375409958140381,-0.1398857141476339
2023-08-08,2023-08-08,Novo SELECT semaglutide CV outcomes headline,clinical_topline,food_beverage,5,12,-0.4595872799156397,-0.28693310870401045,-0.4375409958140381,-0.022046284101601588
2023-08-08,2023-08-08,Novo SELECT semaglutide CV outcomes headline,clinical_topline,restaurants,5,8,-1.1958251493386283,-1.1640619363885896,-0.4375409958140381,-0.7582841535245901
2023-08-08,2023-08-08,Novo SELECT semaglutide CV outcomes headline,clinical_topline,glp_makers,22,2,0.03827508198561119,0.03827508198561119,-0.12641049024390857,0.16468557222951977
2023-08-08,2023-08-08,Novo SELECT semaglutide CV outcomes headline,clinical_topline,healthcare_broad,22,4,-0.44590661077684446,-0.4731338498081853,-0.12641049024390857,-0.31949612053293586
2023-08-08,2023-08-08,Novo SELECT semaglutide CV outcomes headline,clinical_topline,diabetes_medtech,22,5,0.3493213417415932,0.1507577911523333,-0.12641049024390857,0.47573183198550173
2023-08-08,2023-08-08,Novo SELECT semaglutide CV outcomes headline,clinical_topline,food_beverage,22,12,-0.37743671965944947,-0.342535295067885,-0.12641049024390857,-0.25102622941554087
2023-08-08,2023-08-08,Novo SELECT semaglutide CV outcomes headline,clinical_topline,restaurants,22,8,-0.45967032857393664,-0.39944244715115357,-0.12641049024390857,-0.33325983833002804
2023-11-08,2023-11-08,FDA Zepbound chronic weight-management approval,approval,glp_makers,5,2,0.5694755757097284,0.5694755757097284,1.048651919565325,-0.4791763438555966
2023-11-08,2023-11-08,FDA Zepbound chronic weight-management approval,approval,healthcare_broad,5,4,1.1149320000882421,1.231234749614302,1.048651919565325,0.06628008052291712
2023-11-08,2023-11-08,FDA Zepbound chronic weight-management approval,approval,diabetes_medtech,5,5,0.3719745503363433,0.15886203202265248,1.048651919565325,-0.6766773692289817
2023-11-08,2023-11-08,FDA Zepbound chronic weight-management approval,approval,food_beverage,5,12,-1.108660900254055,-1.401433511777491,1.048651919565325,-2.15731281981938
2023-11-08,2023-11-08,FDA Zepbound chronic weight-management approval,approval,restaurants,5,8,-0.11961017746561717,-0.09940944687990316,1.048651919565325,-1.168262097030942
2023-11-08,2023-11-08,FDA Zepbound chronic weight-management approval,approval,glp_makers,22,2,-0.09830326734689313,-0.09830326734689313,0.004988066299469944,-0.10329133364636307
2023-11-08,2023-11-08,FDA Zepbound chronic weight-management approval,approval,healthcare_broad,22,4,0.16835297779018968,0.22991286047223108,0.004988066299469944,0.16336491149071974
2023-11-08,2023-11-08,FDA Zepbound chronic weight-management approval,approval,diabetes_medtech,22,5,-0.30326430009875505,-0.42302603812868644,0.004988066299469944,-0.308252366398225
2023-11-08,2023-11-08,FDA Zepbound chronic weight-management approval,approval,food_beverage,22,12,-0.6123952293417971,-0.6970553056980691,0.004988066299469944,-0.617383295641267
2023-11-08,2023-11-08,FDA Zepbound chronic weight-management approval,approval,restaurants,22,8,-0.3090244185387995,-0.38904037369849376,0.004988066299469944,-0.31401248483826943
2024-03-08,2024-03-08,FDA Wegovy CV risk-reduction label expansion,label_expansion,glp_makers,5,2,0.2322858177320465,0.2322858177320465,-0.5629243497033459,0.7952101674353924
2024-03-08,2024-03-08,FDA Wegovy CV risk-reduction label expansion,label_expansion,healthcare_broad,5,4,-1.0180590101803415,-1.0513634420783577,-0.5629243497033459,-0.4551346604769956
2024-03-08,2024-03-08,FDA Wegovy CV risk-reduction label expansion,label_expansion,diabetes_medtech,5,5,-0.00741175460486283,-0.1537852469454127,-0.5629243497033459,0.555512595098483
2024-03-08,2024-03-08,FDA Wegovy CV risk-reduction label expansion,label_expansion,food_beverage,5,12,-0.7576978294172116,-0.8750821865067182,-0.5629243497033459,-0.19477347971386572
2024-03-08,2024-03-08,FDA Wegovy CV risk-reduction label expansion,label_expansion,restaurants,5,8,0.007371722363213332,-0.23932220964628387,-0.5629243497033459,0.5702960720665593
2024-03-08,2024-03-08,FDA Wegovy CV risk-reduction label expansion,label_expansion,glp_makers,22,2,-0.47580300948714627,-0.47580300948714627,-0.4883006811060375,0.01249767161889126
2024-03-08,2024-03-08,FDA Wegovy CV risk-reduction label expansion,label_expansion,healthcare_broad,22,4,-0.2806515363445238,-0.2585355856246203,-0.4883006811060375,0.20764914476151375
2024-03-08,2024-03-08,FDA Wegovy CV risk-reduction label expansion,label_expansion,diabetes_medtech,22,5,0.24561537084327134,0.2744333523679489,-0.4883006811060375,0.7339160519493089
2024-03-08,2024-03-08,FDA Wegovy CV risk-reduction label expansion,label_expansion,food_beverage,22,12,-0.4060942693158513,-0.2770659112084569,-0.4883006811060375,0.08220641179018623
2024-03-08,2024-03-08,FDA Wegovy CV risk-reduction label expansion,label_expansion,restaurants,22,8,0.2596456797909319,0.1843426367073315,-0.4883006811060375,0.7479463608969694
2024-08-20,2024-08-20,Lilly SURMOUNT-1 three-year diabetes-risk reduction,clinical_topline,glp_makers,5,2,-2.6052106475832937,-2.6052106475832937,-0.3387666935707132,-2.2664439540125807
2024-08-20,2024-08-20,Lilly SURMOUNT-1 three-year diabetes-risk reduction,clinical_topline,healthcare_broad,5,4,-2.0225720755650825,-2.0465764980596894,-0.3387666935707132,-1.6838053819943692
2024-08-20,2024-08-20,Lilly SURMOUNT-1 three-year diabetes-risk reduction,clinical_topline,diabetes_medtech,5,5,-1.0759850021275503,-0.705730400507726,-0.3387666935707132,-0.7372183085568371
2024-08-20,2024-08-20,Lilly SURMOUNT-1 three-year diabetes-risk reduction,clinical_topline,food_beverage,5,12,-1.0805411401932443,-0.8462366376183362,-0.3387666935707132,-0.7417744466225311
2024-08-20,2024-08-20,Lilly SURMOUNT-1 three-year diabetes-risk reduction,clinical_topline,restaurants,5,8,-0.5466457368784962,-0.5425482396383765,-0.3387666935707132,-0.20787904330778295
2024-08-20,2024-08-20,Lilly SURMOUNT-1 three-year diabetes-risk reduction,clinical_topline,glp_makers,22,2,-0.16785977819947695,-0.16785977819947695,-0.015555074781436917,-0.15230470341804003
2024-08-20,2024-08-20,Lilly SURMOUNT-1 three-year diabetes-risk reduction,clinical_topline,healthcare_broad,22,4,-0.7110555258368298,-0.7292127171094002,-0.015555074781436917,-0.6955004510553929
2024-08-20,2024-08-20,Lilly SURMOUNT-1 three-year diabetes-risk reduction,clinical_topline,diabetes_medtech,22,5,-0.9324544341950105,-0.8253697431913597,-0.015555074781436917,-0.9168993594135736
2024-08-20,2024-08-20,Lilly SURMOUNT-1 three-year diabetes-risk reduction,clinical_topline,food_beverage,22,12,-0.2973149890742838,-0.26102886118929386,-0.015555074781436917,-0.28175991429284686
2024-08-20,2024-08-20,Lilly SURMOUNT-1 three-year diabetes-risk reduction,clinical_topline,restaurants,22,8,-0.4572550367902443,-0.30787928269399134,-0.015555074781436917,-0.4416999620088074
