market,n_common_valid,oos_start,oos_end,oos_overnight_variance_share,qlike_prg_open_known,qlike_fair_gjrx,qlike_prg_canonical_mixed,qlike_gjr,dm_t_open_panel_prg_vs_fairgjrx,dm_p_open_panel_prg_vs_fairgjrx,dm_t_mixed_anchor_prg_vs_gjr,dm_p_mixed_anchor_prg_vs_gjr,dm_t_fairgjrx_vs_gjr,dm_t_open_known_vs_gjr
SPY,1823,2019-01-02,2026-04-02,0.44807385896364776,0.669736591836922,0.726691330058789,0.7469334181272753,0.8533678975813833,-3.556722171277927,0.00038510711926753594,-5.826535365210632,6.676302843899862e-09,-6.192464514820912,-6.431797011785101
QQQ,1981,2018-05-16,2026-04-02,0.3854748125547527,0.7096347654560087,0.7423098643611417,0.7598453565485308,0.8304791978786752,-1.5632371252371544,0.11815663437023072,-4.781182219927142,1.8711323339637431e-06,-5.66459674364683,-4.360273646252602
GLD,1613,2019-10-31,2026-04-02,0.6094237506099783,0.5535320450412095,0.5871973050825737,0.820410372877124,0.9020842691744925,-3.643330704041451,0.0002776569417151098,-6.105800850260218,1.2791472325801578e-09,-10.877569043474866,-12.910281641944785
EEM,1734,2019-05-10,2026-04-02,0.7065152225072248,0.43853904242512287,0.527365892181575,0.6663507253299814,0.7904912141722655,-10.137308158211296,0.0,-6.404814533553168,1.9342261126098492e-10,-9.855118978931332,-12.964423122001941
0050.TW,1251,2021-01-08,2026-04-02,0.6348768012782159,0.5684059811481311,0.6256245260920575,0.7913306491994812,0.9753383594588664,-3.6702744878805573,0.00025249883082478775,-5.194315839449924,2.396970335549753e-07,-7.57111147365444,-8.920743694797572
TAIFEX,843,2022-07-14,2025-12-31,0.688979923119202,0.0392907889368349,0.058561080507333635,0.12093172883376502,0.255000905772963,-5.503475538655458,4.9440749938511885e-08,-4.328342906473849,1.682903873256869e-05,-5.1594700536917415,-5.719866301282184
