date,rv,ret,r2
2012-01-02,0.0001123554284548,-0.0104503134140501,0.00010920905045187547
2012-01-03,3.010102352751936e-05,0.0041225447540188,1.699537524888793e-05
2012-01-04,4.433905506606829e-05,-0.0015540018667342,2.4149218018133784e-06
2012-01-05,3.964180757172931e-05,0.0043640528189564,1.9044957006641305e-05
2012-01-06,4.364614656880627e-05,-0.0021149109046259,4.472848134505542e-06
2012-01-09,3.620939883390291e-05,0.0011345909598919,1.2872966462684229e-06
2012-01-10,2.697547345478316e-05,0.007276830319002,5.295225949154675e-05
2012-01-11,8.300945653066223e-06,-0.0008354219366422,6.97929812223004e-07
2012-01-12,1.368601253179613e-05,0.0,0.0
2012-01-13,4.522495897778018e-05,-0.0097222988033119,9.452309402088e-05
2012-01-16,0.0001581179781625,-0.019960185313099,0.000398408997733253
2012-01-17,4.021563802041288e-05,0.010431974429631,0.00010882609050047501
2012-01-18,3.770805929092457e-05,-0.0023560401723803,5.550925293869793e-06
2012-01-30,4.967330316624267e-05,0.0051553499067245,2.6577632660764312e-05
2012-01-31,8.50805093447521e-05,0.0030849732735603,9.517060098581353e-06
2012-02-01,5.569780198110719e-05,0.0039962754663026,1.5970217602572068e-05
2012-02-02,3.12166822910394e-05,0.0028829793261532,8.311569795026758e-06
2012-02-03,2.618474400397734e-05,0.0028829793261532,8.311569795026758e-06
2012-02-04,4.925774544275504e-05,0.0019411199883446,3.7679468091509402e-06
2012-02-06,3.635612658299167e-05,-0.0027288692134066,7.446727183878357e-06
2012-02-07,4.237811505956978e-05,0.0020741516380786,4.30210501774414e-06
2012-02-08,3.756418899074872e-05,0.0158409035483072,0.0002509342252267717
2012-02-09,4.698766241417718e-05,0.0079833155419895,6.37333270429711e-05
2012-02-10,6.246637377839523e-05,-0.0012704867672613,1.6141366257860687e-06
2012-02-13,4.424283646117473e-05,0.0040552583770932,1.6445120504984578e-05
2012-02-14,7.802682850081719e-05,-0.0039292781398895,1.5439226700613488e-05
2012-02-15,4.007834485040482e-05,0.0125535166021896,0.0001575907790814499
2012-02-16,5.691871167304144e-05,-0.0078115554078033,6.102039788918098e-05
2012-02-17,9.589574093728297e-05,-0.0062837959689925,3.948609177992639e-05
2012-02-20,5.849321604731993e-05,-0.004139234508179,1.7133262313699848e-05
2012-02-21,8.602607173590994e-05,-0.0008804478274564,7.751883768726946e-07
2012-02-22,0.0001010956217404,0.010802768037548,0.00011669979727306867
2012-02-23,3.883029518622251e-05,0.0003768134190161,1.4198835275060295e-07
2012-02-24,7.613774454055268e-05,-0.0005035880756054,2.5360094989195004e-07
2012-02-29,3.037779089831496e-05,0.0133997042138736,0.0001795520730193019
2012-03-01,4.567304729975201e-05,-0.000614212905496,3.772574932778382e-07
2012-03-02,2.705459044679871e-05,-0.003428854694232,1.1757044514156822e-05
2012-03-03,2.160395765992835e-05,-0.0012307693861326,1.5147932818412168e-06
2012-03-05,4.083124152893704e-05,-0.0075584276574791,5.7129828653345e-05
2012-03-06,6.538392213058518e-05,-0.0092697644860158,8.592853362619977e-05
2012-03-07,4.612529958415766e-05,0.0052066915517875,2.710963691545532e-05
2012-03-08,7.070682863149896e-05,0.0047756782986636,2.280710321232646e-05
2012-03-09,7.257867969025958e-05,0.0018755866704946,3.517825358537019e-06
2012-03-12,4.304754335082839e-05,-0.0096740499424839,9.358724228967276e-05
2012-03-13,5.574974994806435e-05,0.0082500467934463,6.806327209405359e-05
2012-03-14,2.256144965396991e-05,-0.0014727543162745,2.16900527610517e-06
2012-03-15,2.534388950577661e-05,-0.0007373725294161,5.437182471374972e-07
2012-03-16,3.506735554908626e-05,-0.0081512122307064,6.64422608300176e-05
2012-03-19,9.267486263172372e-05,-0.0074230205995201,5.5101234820899745e-05
2012-03-20,7.001234611000363e-05,-0.0115809774509963,0.00013411903872048475
2012-03-21,3.350955833072994e-05,0.0023858867348594,5.692455511578049e-06
2012-03-22,5.12134363410419e-05,0.0093208901998292,8.687899411727203e-05
2012-03-23,1.710092683577053e-05,-0.0025956383153501,6.7373382641135055e-06
2012-03-26,7.253365420337052e-05,-0.0153379152465736,0.00023525164411107493
2012-03-27,2.244175018344458e-05,0.0012492194004318,1.5605491104151857e-06
2012-03-28,5.851718365975751e-05,0.001869741897154,3.4959347619730393e-06
2012-03-29,0.0001067528816533,-0.0193151242396306,0.00037307402439236555
2012-03-30,8.766436049198521e-05,0.0093035782261766,8.655656781058733e-05
2012-04-02,3.51163480071174e-05,-0.0027929432907165,7.800532225158312e-06
2012-04-03,8.91840757327456e-05,-0.0139130459226522,0.000193572846845829
2012-04-05,0.0001630229312807,-0.0043224901933025,1.8683921471196283e-05
2012-04-06,6.246373964015852e-05,0.0043100700170991,1.8576703552296635e-05
2012-04-09,0.0001411040575417,0.0006601096021598,4.357446868635694e-07
2012-04-10,5.175633644487781e-05,-0.0031491956219476,9.91743306529393e-06
2012-04-11,8.845472896455272e-05,0.017159871961555,0.0002944612057369614
2012-04-12,8.407050334514573e-05,0.0034107339899066,1.1633106349904195e-05
2012-04-13,4.504662254999456e-05,0.0071165468232922,5.06452386881103e-05
2012-04-16,1.672147907484307e-05,0.0015572284486063,2.424960441148784e-06
2012-04-17,0.0001137766279409,-0.0151636892444932,0.00022993747150355874
2012-04-18,3.662234659846055e-05,-0.0091444138189975,8.362030409307245e-05
2012-04-19,0.0001842070785543,0.0030253229256745,9.152578804611717e-06
