target_date,origin_date,step1,step2,step3,step4,step5,step6,step7,step8,step9,step10,step11,step12,step13,step14,step15,step16,step17,step18,step19,step20,step21,step22,step23,step24,step25,step26,step27,step28,step29,step30,step31,step32
2012-01-04,2012-01-03,-9.899397677050713,-9.793148020333696,-9.733440456098316,-9.677033934615798,-9.652918977394755,-9.639001404229713,-9.58661795542725,-9.586554700802992,-9.635566088803644,-9.608029512157783,-9.553608360816686,-9.53289115913302,-9.567146736260298,-9.604185721155627,-9.634086056319456,-9.643684965195078,-9.642248739484833,-9.60120736342138,-9.590650818823061,-9.629030503159427,-9.665059739950932,-9.660239053960979,-9.669435427694792,-9.674497149162901,-9.654663500643236,-9.6460481579574,-9.68494495866923,-9.711952820948893,-9.737501721213306,-9.76724104487417,-9.74222848390838,-9.728173039235607
2012-01-05,2012-01-04,-9.888565269423578,-9.823413737692778,-9.787350414473554,-9.742964367304204,-9.711573985080658,-9.676363574860405,-9.684774936085725,-9.71350618633158,-9.698359211581987,-9.653841673797482,-9.631108848285546,-9.60725157591077,-9.652200030776395,-9.687963541357572,-9.691951377787902,-9.693121102837763,-9.682029201587286,-9.658048636423057,-9.656558278766997,-9.686645098889041,-9.698857299082901,-9.686838953355693,-9.682768519224771,-9.706765197762335,-9.691298727359893,-9.691504868763777,-9.71352147247334,-9.735305816216206,-9.762316182203095,-9.754142756890031,-9.759601682680058,-9.781232897796782
2012-01-06,2012-01-05,-9.579483502963093,-9.570596953761981,-9.566986183983406,-9.576444035616214,-9.555343579661795,-9.54885577104507,-9.581150751596526,-9.588262126608909,-9.536601609453133,-9.518563417829272,-9.530149233236179,-9.559862486700311,-9.580430564193799,-9.588812980647274,-9.608164613596712,-9.589733377548853,-9.572444292303585,-9.5826589223768,-9.609519092624367,-9.599158114057701,-9.61195495659358,-9.623258330524786,-9.614166029151592,-9.599757583916348,-9.630267471399158,-9.648069731464917,-9.659670828366378,-9.692229195497148,-9.704774112574631,-9.697359049172498,-9.713208738191627,-9.735055149499248
2012-01-09,2012-01-06,-9.974374763788562,-9.845820678249734,-9.802451357239333,-9.765450515798983,-9.765990803552455,-9.774032371514869,-9.75483173285868,-9.698574135176973,-9.661007350777991,-9.638586226003858,-9.68369827152192,-9.703555322134719,-9.696745145384002,-9.719851255926878,-9.705536140080733,-9.670018625295839,-9.678899258802492,-9.696007887574517,-9.701525820671248,-9.697694645973343,-9.709343743106063,-9.725191559075403,-9.704002347373377,-9.720404326328664,-9.744237450971575,-9.744205633122665,-9.770008165145711,-9.782621197096791,-9.797911836189714,-9.808363324265695,-9.797669485777657,-9.781422341047756
2012-01-10,2012-01-09,-10.100422460069995,-9.979091891875717,-9.918447814625198,-9.883818792864556,-9.908656567422122,-9.883938248459854,-9.828075037083183,-9.762073898738022,-9.777041311774232,-9.798728493860542,-9.801532217987255,-9.80042736316528,-9.834823129154984,-9.810713113697085,-9.784446446749733,-9.797105357152,-9.804021184984283,-9.7756640353483,-9.767438109228936,-9.784659619332068,-9.794217884350507,-9.764155434177551,-9.788966238988507,-9.815002255097337,-9.816590658070917,-9.823333348767482,-9.840184482623252,-9.840410120969924,-9.862245590739168,-9.860414047712473,-9.842054921805044,-9.804570999646105
2012-01-11,2012-01-10,-10.301031121411004,-10.135257264090784,-10.08603790464164,-10.071189992230611,-10.02922233347405,-9.967467543314047,-9.922243346301444,-9.89348483388617,-9.901967854590833,-9.921198593694712,-9.91031787259498,-9.914406567366418,-9.905803799166701,-9.903123139760805,-9.888381393309574,-9.886801568616518,-9.87350369941992,-9.861780752199707,-9.849183582999638,-9.856121020330392,-9.83555727063467,-9.848654260533504,-9.871319690651928,-9.890308805852277,-9.894492198422165,-9.87728450980004,-9.878763211105598,-9.904131825155494,-9.903260944171153,-9.882512103323915,-9.864894901888764,-9.876636931632197
2012-01-12,2012-01-11,-10.270377193851202,-10.151724260457927,-10.137106250301258,-10.086976295096067,-10.004845299942076,-9.948284999491154,-9.927861143813534,-9.923793032615091,-9.92601581406405,-9.91378341950699,-9.914987096862097,-9.884003007239242,-9.872917943440196,-9.890905895361778,-9.890875541179541,-9.873599618730294,-9.87348367164215,-9.8528592443913,-9.836830105644777,-9.831193989430727,-9.849530022785101,-9.880996347240343,-9.894523652141284,-9.897644322386684,-9.897742311079108,-9.871842670938683,-9.904224238291489,-9.92555111152222,-9.915044504848408,-9.902026573804962,-9.91658009488227,-9.946089876140862
2012-01-13,2012-01-12,-10.002473510244782,-10.009068152752882,-9.986717503194898,-9.917215134925845,-9.871380034153969,-9.864925062976571,-9.867385448033618,-9.868492837730939,-9.881751191838495,-9.888267256640422,-9.860828259246917,-9.841032693735587,-9.846708872192103,-9.849656751851562,-9.850803593008575,-9.860921130848006,-9.861141021437277,-9.833773718070326,-9.80765961219495,-9.849043531370638,-9.873287920682381,-9.897943789880188,-9.902475976666869,-9.902211407977026,-9.89368942809326,-9.905689207076511,-9.922686986568161,-9.913782246222082,-9.908054018165556,-9.941686917960213,-9.971495325886739,-9.95420547395945
2012-01-17,2012-01-13,-9.933290770566051,-9.917609522517516,-9.882679868858594,-9.86141251782967,-9.858335769351791,-9.863936865267492,-9.849194668799939,-9.8479944057641,-9.87298305442398,-9.855773618353785,-9.826718857771576,-9.830586044326028,-9.846391841327657,-9.822976893575163,-9.832377711706544,-9.835283183120591,-9.839816011109345,-9.799290958385722,-9.818253677754747,-9.859649133456713,-9.86352481110566,-9.856902206334894,-9.872652257791797,-9.867511221295967,-9.897604689650263,-9.885532536036857,-9.87518137324622,-9.871716929288715,-9.897740392356475,-9.932561171142847,-9.91260864713303,-9.895244273744204
2012-01-18,2012-01-17,-9.95085607780676,-9.885778048278866,-9.86160802233716,-9.88615115386684,-9.888154105937874,-9.88126118129343,-9.890334901912098,-9.885344599204211,-9.85403700303653,-9.834260821329796,-9.854103526277868,-9.856160974658454,-9.828987990138842,-9.849306404711582,-9.848859606129365,-9.826143964950802,-9.81534401997321,-9.852948554108458,-9.858565750000883,-9.869607494315062,-9.85626262736871,-9.86737302960794,-9.855497227242434,-9.886792084917095,-9.91042671516816,-9.883160601204418,-9.859538949211574,-9.902068144530556,-9.938111242608235,-9.92051654523388,-9.914119161116417,-9.935500942083609
2012-01-19,2012-01-18,-9.872394320356797,-9.857898662909538,-9.877595165323893,-9.898882895218094,-9.893137125609837,-9.883887873326286,-9.860639797346634,-9.843080110588753,-9.840827407692128,-9.85544982355939,-9.86158618408945,-9.845309381424903,-9.842081096225092,-9.833887552009639,-9.83968657419656,-9.825477587215872,-9.845040202061758,-9.873921894725376,-9.882177587524014,-9.87305490848778,-9.85704245526545,-9.864303346379065,-9.894296368356736,-9.894923872300916,-9.892270934071691,-9.87524461409307,-9.902680030913375,-9.940499762297375,-9.934154110337463,-9.934418506072852,-9.944348715482993,-9.949766822021024
2012-01-20,2012-01-19,-10.25789915034657,-10.161080417268282,-10.137957022589443,-10.108016123278906,-10.077752682340387,-10.045691420264772,-10.018192869081194,-9.977657171078883,-9.967602784904935,-9.970845136397188,-9.956512507634889,-9.94006282280045,-9.935922997760413,-9.940602339111775,-9.900610205801867,-9.909256126206254,-9.935348127647954,-9.940294893927721,-9.922010504423275,-9.92586383696909,-9.926905012593153,-9.945585494465698,-9.948249978189278,-9.946280873448359,-9.927544162344033,-9.930726205319758,-9.959810964744234,-9.965508566646637,-9.95589752455576,-9.960321230729711,-9.967320062658734,-9.9635245817875
2012-01-23,2012-01-20,-10.335424686915474,-10.243341190089097,-10.206867837382015,-10.204303882642167,-10.17328930020316,-10.114251142816517,-10.079934474506636,-10.065408437132193,-10.048994076100898,-10.031887918049359,-10.0317722836875,-10.041521765709817,-10.019387630253396,-10.001825410402326,-10.012834861864699,-10.034843657214909,-10.045782649300682,-10.034253708690336,-10.034146296392166,-10.020980670547821,-10.04689302972865,-10.04892044844788,-10.032451809432244,-10.015621554164436,-10.045912842279069,-10.065820776717112,-10.04418732166523,-10.049535526813722,-10.060632283610246,-10.050970895127437,-10.041939205447026,-10.077461487937583
2012-01-24,2012-01-23,-10.021782269294732,-10.025264979585035,-10.025228246631942,-10.035504854075114,-10.020057550562736,-9.986447454574103,-9.957717373110809,-9.944327562934502,-9.941266632831002,-9.95738765701166,-9.955431372384027,-9.962232220684456,-9.92743216546893,-9.93605503312017,-9.968343190760283,-9.972459830260846,-9.963554761465764,-9.962690517566427,-9.961798314606915,-9.98080040408627,-9.966292524995813,-9.961726563317125,-9.949762418057892,-9.946539279064385,-9.99353507632877,-9.993934566502404,-9.971312087670121,-9.979846196890545,-9.984985118491915,-9.98989275224355,-10.002427169648412,-10.010385723851064
2012-01-25,2012-01-24,-10.39992119376439,-10.297836163849842,-10.26773781144069,-10.214474828315346,-10.161601815782353,-10.141969046168892,-10.119338930771036,-10.083647430865964,-10.080228426670892,-10.093670250668852,-10.064753662023485,-10.04234291668825,-10.06314244167498,-10.093510790387755,-10.092846769679088,-10.07428640372202,-10.082062761443364,-10.070448247672212,-10.088522527447356,-10.106339838820748,-10.099567681678067,-10.072703219665904,-10.08359695935064,-10.150667011903357,-10.131814059694054,-10.099028493644335,-10.11806498144983,-10.138048823620839,-10.131838630131313,-10.161088157485066,-10.192599031530339,-10.169732897587185
2012-01-26,2012-01-25,-9.855179440778786,-9.920116006796297,-9.933907014397985,-9.934453150325329,-9.93400971469123,-9.925973621774036,-9.902871657346783,-9.907944451445646,-9.935456122286645,-9.956283732472354,-9.92201094093985,-9.948073805730493,-9.984962723596885,-9.974008206179636,-9.968166157948172,-9.987815956544214,-9.994968288447684,-10.018946215041623,-10.018152063399327,-10.0148353251659,-9.988394371032912,-9.9971373273064,-10.063196996930039,-10.049356024096033,-10.04610003640521,-10.058582029194929,-10.05904618438495,-10.060697249819517,-10.098929673827342,-10.126801608074599,-10.106883940746243,-10.07678983025787
2012-01-27,2012-01-26,-9.786215968219839,-9.844891728875323,-9.852398736163396,-9.880542851918007,-9.881930355552655,-9.8634240794097,-9.850458943553049,-9.895328684675363,-9.909193186226265,-9.89273571929169,-9.918231809136422,-9.946961602372102,-9.93621302149022,-9.92775007418409,-9.949338449977093,-9.951179119738052,-9.97832371972922,-9.98556506326083,-9.97989097910617,-9.946433456923533,-9.941688751817702,-10.012297276979574,-10.002572625709266,-9.973826705895005,-10.010663117016572,-10.02370602808698,-10.00833387680161,-10.026913425382787,-10.06111533436799,-10.047949589434662,-9.999754676018073,-10.018678088359614
2012-01-30,2012-01-27,-10.288540506994787,-10.191489899715954,-10.16285895601445,-10.131385929952279,-10.093188813327588,-10.093280243879825,-10.113770712453745,-10.073492908740626,-10.040597031451654,-10.072030793428956,-10.08665655674946,-10.068188265898732,-10.058171963813466,-10.077120953499916,-10.059520030727317,-10.07871404191738,-10.084397618760374,-10.071117323312643,-10.03221147293853,-10.046227761126046,-10.10669986649396,-10.086946226065889,-10.068592571491315,-10.110822842932977,-10.10774746569452,-10.088214124938846,-10.120521536010218,-10.158639196236212,-10.125957739836243,-10.095392119461202,-10.116374704087011,-10.104480718586151
2012-01-31,2012-01-30,-10.10889672189373,-10.069501917983976,-10.06863015334017,-10.042265729979922,-10.022245735204187,-10.041417412009643,-10.034331660235498,-10.002545023494603,-10.010080004872481,-10.056733812295725,-10.041954334646949,-10.016333306939565,-10.020517795789209,-10.022604116681075,-10.033342909682352,-10.0135402451549,-10.01313373303948,-9.983202584998903,-9.965152868640448,-10.026220101028413,-10.019033231608146,-9.99303269567187,-10.017596736201044,-10.031274467652358,-10.02860423797927,-10.035462853970161,-10.061112988959588,-10.04723163026312,-9.998643827995217,-10.00333376588017,-10.011194433307605,-9.997989950380859
