ticker,fy,available_after,assets,ppe,goodwill,intangibles,ppe_to_assets,intangible_to_assets,legacy_asset_score,assets_tag,ppe_tag,goodwill_tag,intangibles_tag
AAPL,2012,2012-11-01,176064000000.0,15452000000.0,1135000000.0,4224000000.0,0.0877635405307161,0.030437795347146492,0.0573257451835696,Assets,PropertyPlantAndEquipmentNet,Goodwill,IntangibleAssetsNetExcludingGoodwill
AAPL,2013,2013-10-31,207000000000.0,16597000000.0,1577000000.0,4179000000.0,0.08017874396135266,0.027806763285024155,0.052371980676328506,Assets,PropertyPlantAndEquipmentNet,Goodwill,IntangibleAssetsNetExcludingGoodwill
AAPL,2014,2014-10-28,231839000000.0,20624000000.0,4616000000.0,4142000000.0,0.08895828570689142,0.037776215390853136,0.05118207031603828,Assets,PropertyPlantAndEquipmentNet,Goodwill,IntangibleAssetsNetExcludingGoodwill
AAPL,2015,2015-10-29,290479000000.0,22471000000.0,5116000000.0,3893000000.0,0.07735843210696815,0.031014290189652263,0.04634414191731588,Assets,PropertyPlantAndEquipmentNet,Goodwill,IntangibleAssetsNetExcludingGoodwill
AAPL,2016,2016-10-27,321686000000.0,27010000000.0,5414000000.0,3206000000.0,0.0839638653842567,0.02679631690530517,0.05716754847895152,Assets,PropertyPlantAndEquipmentNet,Goodwill,IntangibleAssetsNetExcludingGoodwill
AAPL,2017,2017-11-04,375319000000.0,33783000000.0,5717000000.0,2298000000.0,0.09001143027664467,0.02135516720443143,0.06865626307221323,Assets,PropertyPlantAndEquipmentNet,Goodwill,IntangibleAssetsNetExcludingGoodwill
AAPL,2018,2018-11-06,365725000000.0,41304000000.0,0.0,0.0,0.11293731628956183,0.0,0.11293731628956183,Assets,PropertyPlantAndEquipmentNet,,
AAPL,2019,2019-11-01,338516000000.0,37378000000.0,0.0,0.0,0.11041723286343924,0.0,0.11041723286343924,Assets,PropertyPlantAndEquipmentNet,,
AAPL,2020,2020-10-31,323888000000.0,36766000000.0,0.0,0.0,0.1135145482388974,0.0,0.1135145482388974,Assets,PropertyPlantAndEquipmentNet,,
AAPL,2021,2021-10-30,351002000000.0,39440000000.0,0.0,0.0,0.11236403211377713,0.0,0.11236403211377713,Assets,PropertyPlantAndEquipmentNet,,
AAPL,2022,2022-10-29,352755000000.0,42117000000.0,0.0,0.0,0.11939448058851045,0.0,0.11939448058851045,Assets,PropertyPlantAndEquipmentNet,,
AAPL,2023,2023-11-04,352583000000.0,43715000000.0,0.0,0.0,0.12398499076813119,0.0,0.12398499076813119,Assets,PropertyPlantAndEquipmentNet,,
AAPL,2024,2024-11-02,364980000000.0,45680000000.0,0.0,0.0,0.12515754287906186,0.0,0.12515754287906186,Assets,PropertyPlantAndEquipmentNet,,
AAPL,2025,2025-11-01,359241000000.0,49834000000.0,0.0,0.0,0.13872024629705407,0.0,0.13872024629705407,Assets,PropertyPlantAndEquipmentNet,,
