Date,BOTZ,HYG,ICLN,KBE,KRE,LQD,ROBO,SPY,TAN,XLE,XLF,XLI,XLK,XLY,^VIX
2018-01-02,1217700.0,7223500.0,102000.0,2235900.0,5995800.0,8480600.0,696300.0,86655700.0,292500.0,29782800.0,55436100.0,14903900.0,27445600.0,9791200.0,0
2018-01-03,2335700.0,20557100.0,64200.0,1368500.0,4504000.0,5087600.0,905500.0,90070400.0,296800.0,38599200.0,56906200.0,18155000.0,22663600.0,10638000.0,0
2018-01-04,3069400.0,13610900.0,364000.0,4156000.0,6202500.0,7710100.0,1011800.0,80636400.0,210100.0,28613600.0,62247000.0,16483000.0,21493200.0,6914800.0,0
2018-01-05,1988400.0,9851600.0,167200.0,2138500.0,3952700.0,5796500.0,776300.0,83524000.0,125200.0,28408800.0,37989500.0,16996200.0,19356000.0,8588800.0,0
2018-01-08,2934200.0,9804000.0,155000.0,1974900.0,6449000.0,3897200.0,798700.0,57319200.0,225800.0,19558400.0,44252100.0,5727500.0,13467800.0,5340000.0,0
2018-01-09,3103900.0,13550400.0,102900.0,2112300.0,6372800.0,7621600.0,758300.0,57254000.0,132800.0,18469000.0,51418700.0,8967700.0,21212800.0,6321800.0,0
2018-01-10,1893500.0,33182000.0,80300.0,3071500.0,8676900.0,6050500.0,705900.0,69574300.0,134200.0,21644000.0,64670900.0,11669500.0,20815600.0,5677800.0,0
2018-01-11,2079600.0,12911500.0,106000.0,4540900.0,7331900.0,5192600.0,761100.0,62361500.0,305800.0,36179000.0,42361700.0,9448300.0,15775600.0,7245400.0,0
2018-01-12,2489500.0,12088500.0,63500.0,2627500.0,5823300.0,4463000.0,1012900.0,90816100.0,255600.0,39638400.0,44537500.0,7436200.0,16308600.0,8075600.0,0
2018-01-16,4708400.0,18474100.0,247500.0,2931100.0,8241700.0,7410200.0,1408200.0,106555100.0,394100.0,33789800.0,67563800.0,13343700.0,36443600.0,18503200.0,0
2018-01-17,3447400.0,16340400.0,88300.0,1770400.0,6441900.0,11240700.0,822500.0,113258800.0,209900.0,28014800.0,54312000.0,7814300.0,29376200.0,13312200.0,0
2018-01-18,4043000.0,16134900.0,128800.0,2710100.0,4538700.0,6399400.0,1011400.0,100728000.0,404300.0,23029200.0,49247400.0,7790400.0,29845800.0,6584600.0,0
2018-01-19,2883500.0,14401800.0,58400.0,4132400.0,5517600.0,6797800.0,1007800.0,140920100.0,169500.0,25925400.0,60727800.0,8657700.0,23894400.0,7520800.0,0
2018-01-22,3225000.0,16674700.0,62700.0,1528800.0,4100400.0,5096700.0,849200.0,91322400.0,169100.0,34033400.0,46868900.0,12175300.0,18004200.0,15504600.0,0
