,actual_future_index_var_21d,M0_index_rv,M1_index_rv_dispersion,M2_index_rv_corr,M3_index_rv_disp_corr,M4_vix_index_rv,M5_vix_index_rv_disp_corr
2022-01-03,0.034565377874216256,0.018982623237055473,0.01871641432738959,0.018170137448518964,0.018271924367063087,0.014261939775882242,0.014325927537228732
2022-01-04,0.04135308950649751,0.018648036475802834,0.01880508348508,0.01821580125362472,0.018527612270736595,0.014819700435863658,0.015090471510421928
2022-01-05,0.037106009170998544,0.0197048368094696,0.019646519124093695,0.018855103027582507,0.019150685810030717,0.020085118955817608,0.021144300593262545
2022-01-06,0.037219394990340784,0.017826025999446035,0.01816415527686011,0.017758393048215384,0.01808136603172206,0.019941532860129983,0.020818502947568797
2022-01-07,0.037836780776181224,0.017875385017051517,0.018384197079734186,0.01790487701152203,0.01833797402473972,0.018270395814917927,0.019033330799349858
2022-01-10,0.04035166930001655,0.017671916375060534,0.018302056017139388,0.017833511889593496,0.018320255696914034,0.019545534734318384,0.020541097034015396
2022-01-11,0.043309020769181604,0.01765389377616096,0.017878038511683556,0.01759978405052706,0.017818004045479573,0.017626967650468027,0.01801786957830752
2022-01-12,0.047981210377889744,0.017313653625489027,0.0168865849989832,0.016938255133491183,0.016722658896005726,0.016181807976914223,0.015924263576311774
2022-01-13,0.045799900063749004,0.018022618182515944,0.017628496166563232,0.017503992959323336,0.01737705821805518,0.021422905639533425,0.021875844705363152
2022-01-14,0.04886912922504238,0.01685754742635438,0.016830834208607735,0.01687726467338926,0.01684563888056579,0.019209634283519218,0.019386965433214675
2022-01-18,0.045052833951923284,0.018047194502839346,0.017332286547069354,0.017315074396336925,0.017002008388508346,0.02695448243995643,0.027835592028921902
2022-01-19,0.049340471021648284,0.018031094709670518,0.017054496005724906,0.017116443633933554,0.016657444514664152,0.029519032665511723,0.030493170051614782
2022-01-20,0.048360411155587396,0.018087859906448858,0.01718702522265205,0.01722740106709859,0.016810545268943385,0.03397166159368687,0.03567590188705749
2022-01-21,0.045040584560890246,0.0184899535409807,0.01763029173307472,0.01756959784401418,0.01721413652991132,0.04310390179954336,0.04662613106104844
2022-01-24,0.04866904091949813,0.018119338137839655,0.017598018510723398,0.017548904285597897,0.01733569701622396,0.04632782493923041,0.05071510531208443
2022-01-25,0.049535623610223734,0.018657810575782693,0.018837039851328737,0.018408559811516418,0.018669128353231805,0.05023484627287841,0.0571322057309668
2022-01-26,0.055175420745307804,0.0177626304798118,0.018218170563303424,0.017914210973629646,0.018252049540942738,0.05294649176710878,0.06050805229435473
2022-01-27,0.054960109599146906,0.01789037115886121,0.018461821474984784,0.018077988858009333,0.01850319494943779,0.04820823344451155,0.05487708200683824
2022-01-28,0.050564814800678315,0.02060978894757606,0.022929717528543198,0.02088662760943314,0.022811634064437005,0.039483065264163085,0.04832776738060303
2022-01-31,0.05072855850481435,0.021899999592180426,0.024617789906997437,0.021942636554421663,0.024301047585584972,0.03177953596845802,0.03897035203061455
2022-02-01,0.05048325563231887,0.022070907762327934,0.02536380367520577,0.02230144434177535,0.025095123568968477,0.024890378024047068,0.030421903458540372
2022-02-02,0.050160433531804056,0.02232427140942265,0.025795511849179154,0.022552051588431606,0.025504087353339568,0.025188919010077106,0.031034467894605153
2022-02-03,0.054115501097815474,0.02446777095247773,0.043443101665237814,0.027744381215105175,0.04362157710220362,0.03047989405930086,0.06106726942513499
2022-02-04,0.05454649384166174,0.023177273575275822,0.04262373740114887,0.02708878562757123,0.043353260284262056,0.02781263246458515,0.05602069423593509
2022-02-07,0.06282263072325324,0.023232118201982937,0.040897641635422484,0.027165403183706405,0.04179965754239046,0.026976654524083706,0.05069580635585591
2022-02-08,0.06226269698471732,0.023449528435263586,0.039506964981802395,0.027338485857879857,0.04049895168892005,0.02374884774051645,0.04144011857449573
2022-02-09,0.0616942816552011,0.0242533436985883,0.039686295381047565,0.028104549304474185,0.04066504193610115,0.020580861570944683,0.034120239813313476
2022-02-10,0.05839603595454465,0.025167542739379482,0.03966549699818064,0.028856207432452277,0.04056693831543601,0.02949205797215941,0.04848125629520499
2022-02-11,0.059314211923998036,0.026542110087232427,0.04124022090402545,0.030149493117205727,0.04201725603686152,0.03853728255167358,0.06400854571414868
2022-02-14,0.0649576631923323,0.025944471017076306,0.03931917340863737,0.02962136908648833,0.04027992709880848,0.041381206209712314,0.06637126449282954
2022-02-15,0.06374152158431873,0.026847419278247266,0.03934719678556796,0.030266656426705,0.04017660737951504,0.03404708202536596,0.05161993138076228
2022-02-16,0.06515038358759213,0.025781199089519508,0.036922050380879395,0.029296937458320942,0.03795947239348271,0.03049595791955715,0.044014951937774695
2022-02-17,0.05955640965388017,0.02703819654578095,0.03854087100331814,0.030483754005741187,0.03946669693227274,0.040794870253783484,0.06037105006630364
2022-02-18,0.060674034367043175,0.026787883924141238,0.037646497944649145,0.030283361126573972,0.03866426143084018,0.03979987725482345,0.05739739384844446
2022-02-22,0.061293235954829564,0.0258539322277529,0.03666102872615603,0.02972664995200599,0.03795141907532865,0.042993031545078976,0.06212293412031443
2022-02-23,0.060135530458103985,0.02692959181858296,0.03734453863068196,0.030571405894115524,0.03848462498328632,0.04980173136530768,0.07139649884128746
