Date,SPY,^VIX,AAPL,MSFT,NVDA,AMZN,META,GOOGL,BRK-B,JPM,XOM,UNH,JNJ,PG,HD,MA,V,BAC,WMT,KO,PEP,COST
2013-01-02,116.29174041748047,14.680000305175781,16.58139991760254,22.14426612854004,0.2930767834186554,12.865500450134277,27.781982421875,17.940269470214844,93.19999694824219,31.340911865234375,51.692508697509766,43.931640625,48.71416473388672,47.28626251220703,46.36502456665039,47.10923767089844,35.2712516784668,9.346942901611328,17.750425338745117,24.909406661987305,46.209564208984375,79.76647186279297
2013-01-03,116.02896118164062,14.5600004196167,16.372095108032227,21.84761619567871,0.29330718517303467,12.923999786376953,27.55377197265625,17.950687408447266,93.62000274658203,31.277746200561523,51.59928512573242,41.87763214111328,48.6453857421875,46.98643112182617,46.23357009887695,47.17665100097656,35.298492431640625,9.292553901672363,17.63762855529785,24.909406661987305,46.22958755493164,80.58413696289062
2013-01-04,116.53853607177734,13.829999923706055,15.916067123413086,21.4387264251709,0.30298444628715515,12.957500457763672,28.536062240600586,18.305400848388672,93.8499984741211,31.83213996887207,51.83818817138672,41.95819091796875,49.202396392822266,47.08183670043945,46.145912170410156,47.17475509643555,35.58677291870117,9.409104347229004,17.704280853271484,24.949169158935547,46.296241760253906,80.32471466064453
2013-01-07,116.22010803222656,13.789999961853027,15.822442054748535,21.398645401000977,0.2942289113998413,13.42300033569336,29.19092559814453,18.225526809692383,93.44999694824219,31.867218017578125,51.23799514770508,41.95819091796875,49.0992546081543,46.76155471801758,45.89759063720703,47.9923095703125,35.841026306152344,9.39356517791748,17.53508758544922,24.710662841796875,46.28956604003906,79.70355987548828
2013-01-08,115.88565063476562,13.619999885559082,15.865032196044922,21.286392211914062,0.2877775728702545,13.319000244140625,28.833728790283203,18.18956184387207,93.80999755859375,31.930387496948242,51.55848693847656,41.40239334106445,49.10612869262695,46.68659973144531,46.17511749267578,47.8343505859375,36.17470932006836,9.308096885681152,17.58379364013672,24.538423538208008,46.42953872680664,79.55416870117188
2013-01-09,116.18025970458984,13.8100004196167,15.617080688476562,21.406658172607422,0.2813260853290558,13.317500114440918,30.351818084716797,18.30912208557129,93.31999969482422,31.909318923950195,51.360374450683594,42.18372344970703,49.326194763183594,46.93872833251953,46.138607025146484,49.18027114868164,36.72632598876953,8.880768775939941,17.57866668701172,24.531803131103516,46.662818908691406,79.59346771240234
2013-01-10,117.10384368896484,13.489999771118164,15.8106689453125,21.214235305786133,0.28178706765174866,13.267000198364258,31.056283950805664,18.392465591430664,94.6500015258789,32.386531829833984,51.91975784301758,42.77978515625,49.64250564575195,47.20449447631836,46.46728515625,48.74241638183594,36.43575668334961,9.152702331542969,17.52482795715332,24.485427856445312,47.196014404296875,79.20819091796875
2013-01-11,117.09585571289062,13.359999656677246,15.713717460632324,21.510875701904297,0.2813260853290558,13.397000312805176,31.4730167388916,18.355506896972656,94.38999938964844,32.37952423095703,52.216949462890625,42.54619216918945,49.752525329589844,47.170406341552734,46.52572250366211,48.83757019042969,36.583309173583984,9.03615665435791,17.59404754638672,24.452299118041992,47.24267578125,78.84651947021484
2013-01-14,117.01625061035156,13.520000457763672,15.153483390808105,21.558990478515625,0.2810957729816437,13.636500358581543,30.709012985229492,17.940269470214844,95.36000061035156,32.19706344604492,52.19947814941406,42.981170654296875,49.89695358276367,47.44981384277344,46.36502456665039,48.35997772216797,36.46754455566406,8.911844253540039,17.509449005126953,24.505292892456055,47.515953063964844,78.91727447509766
2013-01-15,117.09585571289062,13.550000190734863,14.675397872924805,21.815547943115234,0.27602675557136536,13.595000267028809,29.865631103515625,17.9819393157959,95.36000061035156,32.52688217163086,52.17033004760742,43.19058609008789,49.766300201416016,47.62017822265625,46.70831298828125,48.29438018798828,36.422149658203125,8.974002838134766,17.683773040771484,24.723915100097656,47.72256851196289,79.53059387207031
2013-01-16,117.0799331665039,13.420000076293945,15.284560203552246,21.67925262451172,0.2785613238811493,13.446499824523926,29.61757469177246,17.740341186523438,95.02999877929688,32.85672378540039,52.13538360595703,43.22281265258789,49.91069030761719,47.63528060913086,46.642578125,48.1548957824707,36.365386962890625,9.152702331542969,17.74273109436035,24.723915100097656,47.6425895690918,79.82933807373047
2013-01-17,117.83638000488281,13.569999694824219,15.181572914123535,21.84761619567871,0.2822478115558624,13.52400016784668,29.905317306518555,17.64434242248535,95.30000305175781,32.59004592895508,52.560733795166016,43.81886672973633,50.13075256347656,47.86200714111328,47.511741638183594,48.34520721435547,36.29275131225586,8.764220237731934,17.650442123413086,24.84979248046875,48.275779724121094,79.38118743896484
2013-01-18,118.09905242919922,12.460000038146973,15.100638389587402,21.84761619567871,0.2804044783115387,13.605999946594238,29.42905616760254,17.475421905517578,95.16000366210938,32.60408020019531,52.910400390625,43.94775390625,50.357688903808594,48.04747772216797,47.81850051879883,48.12809753417969,35.927284240722656,8.65544319152832,17.74017333984375,24.975666046142578,48.309104919433594,79.56986236572266
2013-01-22,118.73603057861328,12.430000305175781,15.24470329284668,21.767444610595703,0.27902206778526306,13.509499549865723,30.490724563598633,17.43474006652832,95.91000366210938,32.66022491455078,52.98029708862305,45.12378692626953,49.98634719848633,48.054351806640625,48.02299880981445,48.01355743408203,36.104339599609375,8.818610191345215,17.837594985961914,24.59804916381836,48.122474670410156,80.31684875488281
2013-01-23,118.92710876464844,12.460000038146973,15.52375316619873,22.136245727539062,0.2794828414916992,13.405500411987305,30.58002471923828,18.392959594726562,96.4800033569336,32.44268035888672,52.85209274291992,45.03518295288086,50.09636688232422,48.562721252441406,48.54157257080078,47.81033706665039,36.104339599609375,8.872993469238281,17.814523696899414,24.59804916381836,47.86254119873047,80.29325866699219
2013-01-24,118.95895385742188,12.6899995803833,13.605672836303711,22.15228271484375,0.28086531162261963,13.67300033569336,30.838001251220703,18.708232879638672,97.30999755859375,32.540931701660156,53.23088073730469,45.284889221191406,50.26828384399414,48.377227783203125,49.19162368774414,48.2445068359375,36.22010803222656,8.958460807800293,17.89142608642578,24.58479118347168,48.142486572265625,80.89867401123047
2013-01-25,119.62773895263672,12.890000343322754,13.284932136535645,22.352725982666016,0.28593432903289795,14.19950008392334,31.294416427612305,18.694839477539062,97.38999938964844,33.09532165527344,53.45231246948242,45.139888763427734,50.83217239379883,50.321388244628906,49.534908294677734,47.9821662902832,36.28365707397461,9.028388023376465,17.68890380859375,24.5450439453125,48.31576919555664,80.48193359375
