mapDate,state,none,d0,d1,d2,d3,d4,valid_start,valid_end,statisticFormatID,release_date,dsci,dsci_delta4w,dsci_delta4w_z
2014-12-30T00:00:00,CA,0.0,100.0,98.12,94.34,77.94,32.21,2014-12-30,2015-01-05,1,2015-01-01,402.61,,
2015-01-06T00:00:00,CA,0.0,100.0,98.12,94.34,77.94,32.21,2015-01-06,2015-01-12,1,2015-01-08,402.61,,
2015-01-13T00:00:00,CA,0.0,100.0,98.12,94.34,77.52,39.15,2015-01-13,2015-01-19,1,2015-01-15,409.13,,
2015-01-20T00:00:00,CA,0.0,100.0,98.13,94.34,77.52,39.15,2015-01-20,2015-01-26,1,2015-01-22,409.14,,
2015-01-27T00:00:00,CA,0.0,100.0,98.13,94.34,77.52,39.99,2015-01-27,2015-02-02,1,2015-01-29,409.98,7.3700000000000045,
2015-02-03T00:00:00,CA,0.16,99.84,98.13,93.57,77.46,39.99,2015-02-03,2015-02-09,1,2015-02-05,408.98999999999995,6.379999999999939,
2015-02-10T00:00:00,CA,0.16,99.84,98.1,93.44,67.46,39.99,2015-02-10,2015-02-16,1,2015-02-12,398.83,-10.300000000000011,
2015-02-17T00:00:00,CA,0.16,99.84,98.1,93.44,67.46,41.2,2015-02-17,2015-02-23,1,2015-02-19,400.03999999999996,-9.100000000000023,
2015-02-24T00:00:00,CA,0.16,99.84,98.1,93.44,67.46,39.92,2015-02-24,2015-03-02,1,2015-02-26,398.76,-11.220000000000027,
2015-03-03T00:00:00,CA,0.16,99.84,98.1,93.44,67.46,39.92,2015-03-03,2015-03-09,1,2015-03-05,398.76,-10.229999999999961,
2015-03-10T00:00:00,CA,0.16,99.84,98.11,93.44,67.46,39.92,2015-03-10,2015-03-16,1,2015-03-12,398.77,-0.060000000000002274,
2015-03-17T00:00:00,CA,0.16,99.84,98.11,93.44,67.46,39.92,2015-03-17,2015-03-23,1,2015-03-19,398.77,-1.2699999999999818,
2015-03-24T00:00:00,CA,0.15,99.85,98.11,93.44,66.6,41.41,2015-03-24,2015-03-30,1,2015-03-26,399.40999999999997,0.6499999999999773,
2015-03-31T00:00:00,CA,0.15,99.85,98.11,93.44,66.6,41.41,2015-03-31,2015-04-06,1,2015-04-02,399.40999999999997,0.6499999999999773,
2015-04-07T00:00:00,CA,0.15,99.85,98.11,93.44,66.6,44.32,2015-04-07,2015-04-13,1,2015-04-09,402.32,3.5500000000000114,
2015-04-14T00:00:00,CA,0.14,99.86,98.11,93.44,66.6,44.32,2015-04-14,2015-04-20,1,2015-04-16,402.33,3.5600000000000023,
2015-04-21T00:00:00,CA,0.14,99.86,98.11,93.44,66.6,46.77,2015-04-21,2015-04-27,1,2015-04-23,404.78,5.3700000000000045,
2015-04-28T00:00:00,CA,0.14,99.86,98.11,93.44,66.6,46.77,2015-04-28,2015-05-04,1,2015-04-30,404.78,5.3700000000000045,
2015-05-05T00:00:00,CA,0.14,99.86,98.28,93.91,66.6,46.77,2015-05-05,2015-05-11,1,2015-05-07,405.41999999999996,3.099999999999966,
2015-05-12T00:00:00,CA,0.14,99.86,98.28,93.91,66.6,46.77,2015-05-12,2015-05-18,1,2015-05-14,405.41999999999996,3.089999999999975,
2015-05-19T00:00:00,CA,0.14,99.86,98.28,93.91,66.6,46.77,2015-05-19,2015-05-25,1,2015-05-21,405.41999999999996,0.6399999999999864,
2015-05-26T00:00:00,CA,0.14,99.86,98.71,93.91,66.6,46.73,2015-05-26,2015-06-01,1,2015-05-28,405.81000000000006,1.0300000000000864,
2015-06-02T00:00:00,CA,0.14,99.86,98.71,93.91,69.61,46.73,2015-06-02,2015-06-08,1,2015-06-04,408.82000000000005,3.400000000000091,
2015-06-09T00:00:00,CA,0.14,99.86,98.71,93.91,71.08,46.73,2015-06-09,2015-06-15,1,2015-06-11,410.29,4.870000000000061,
2015-06-16T00:00:00,CA,0.14,99.86,98.71,94.59,71.08,46.73,2015-06-16,2015-06-22,1,2015-06-18,410.96999999999997,5.550000000000011,
2015-06-23T00:00:00,CA,0.14,99.86,98.71,94.59,71.08,46.73,2015-06-23,2015-06-29,1,2015-06-25,410.96999999999997,5.159999999999911,
2015-06-30T00:00:00,CA,0.14,99.86,98.71,94.59,71.08,46.73,2015-06-30,2015-07-06,1,2015-07-02,410.96999999999997,2.1499999999999204,
2015-07-07T00:00:00,CA,0.14,99.86,98.71,94.59,71.08,46.73,2015-07-07,2015-07-13,1,2015-07-09,410.96999999999997,0.67999999999995,
2015-07-14T00:00:00,CA,0.14,99.86,98.71,94.59,71.08,46.0,2015-07-14,2015-07-20,1,2015-07-16,410.23999999999995,-0.7300000000000182,
2015-07-21T00:00:00,CA,0.14,99.86,97.35,94.59,71.08,46.0,2015-07-21,2015-07-27,1,2015-07-23,408.87999999999994,-2.090000000000032,
2015-07-28T00:00:00,CA,0.14,99.86,97.35,94.59,71.08,46.0,2015-07-28,2015-08-03,1,2015-07-30,408.87999999999994,-2.090000000000032,-0.5185054953443112
2015-08-04T00:00:00,CA,0.14,99.86,97.35,94.59,71.08,46.0,2015-08-04,2015-08-10,1,2015-08-06,408.87999999999994,-2.090000000000032,-0.5065735211737938
2015-08-11T00:00:00,CA,0.14,99.86,97.35,92.36,71.08,46.0,2015-08-11,2015-08-17,1,2015-08-13,406.65,-3.589999999999975,-0.7848001717975537
2015-08-18T00:00:00,CA,0.14,99.86,97.35,92.36,71.08,46.0,2015-08-18,2015-08-24,1,2015-08-20,406.65,-2.2299999999999613,-0.4990051348734502
2015-08-25T00:00:00,CA,0.14,99.86,97.35,92.36,71.08,46.0,2015-08-25,2015-08-31,1,2015-08-27,406.65,-2.2299999999999613,-0.48881326461751196
2015-09-01T00:00:00,CA,0.14,99.86,97.35,92.36,71.08,46.0,2015-09-01,2015-09-07,1,2015-09-03,406.65,-2.2299999999999613,-0.4792251703487253
2015-09-08T00:00:00,CA,0.14,99.86,97.35,92.36,71.08,46.0,2015-09-08,2015-09-14,1,2015-09-10,406.65,0.0,-0.019635690075469885
2015-09-15T00:00:00,CA,0.14,99.86,97.33,92.36,71.08,46.0,2015-09-15,2015-09-21,1,2015-09-17,406.63,-0.01999999999998181,-0.023450639565719255
2015-09-22T00:00:00,CA,0.14,99.86,97.33,92.36,71.08,46.0,2015-09-22,2015-09-28,1,2015-09-24,406.63,-0.01999999999998181,-0.023113625552601644
2015-09-29T00:00:00,CA,0.14,99.86,97.33,92.36,71.08,46.0,2015-09-29,2015-10-05,1,2015-10-01,406.63,-0.01999999999998181,-0.02279071864005587
2015-10-06T00:00:00,CA,0.14,99.86,97.33,92.36,71.08,46.0,2015-10-06,2015-10-12,1,2015-10-08,406.63,-0.01999999999998181,-0.022480962526262766
2015-10-13T00:00:00,CA,0.14,99.86,97.33,92.36,71.08,46.0,2015-10-13,2015-10-19,1,2015-10-15,406.63,0.0,-0.017829170333551903
2015-10-20T00:00:00,CA,0.14,99.86,97.33,92.27,71.08,46.0,2015-10-20,2015-10-26,1,2015-10-22,406.53999999999996,-0.09000000000003183,-0.037463995480785314
