converged,theta0,theta_vix,theta_eav,loglik,nit,mean_sigma2,start_seed,start_theta_eav,start_theta0,market,reason,fun
True,5.2707249259815976e-05,-6.320994738472838e-07,-0.0011002168879789959,67808.5509869123,4.0,0.0006465069535481589,43,1.132554875961837e-06,5.76150766343344e-05,BR,,
True,2.141907118426978e-06,-2.1224815367268914e-07,1.2449818583770718e-05,63610.644514395004,0.0,0.0006465069535481589,44,1.2449818583770718e-05,2.141907118426978e-06,BR,,
True,0.00028750151059964184,7.534814572732625e-07,1.3257980948077633e-05,71569.16738083168,8.0,0.0006465069535481589,45,0.00011509834820107835,3.522592869595156e-05,BR,,
False,,,,,,,46,5.4407352746566345e-06,0.00027809858465410546,BR,penalty-trap,10000000000000.0
True,0.00010048502217734858,2.2258639249473352e-07,1.8009776333784686e-05,70061.9451556623,0.0,0.0006465069535481589,47,1.8009776333784686e-05,0.00010048502217734858,BR,,
True,0.0004971448025251271,2.773026162307778e-07,0.00021849936657675345,71653.35481797707,9.0,0.0006465069535481589,48,2.436308381612445e-05,1.1127313550901642e-05,BR,,
True,0.00039362156250982353,5.460761337999303e-07,0.0004297253025357771,72000.27062822181,24.0,0.0006465069535481589,49,1.1425148807831397e-05,9.535260907994748e-06,BR,,
True,0.00038484243411079396,3.098835860842194e-07,0.00037320299348534086,71620.45797765537,21.0,0.0006465069535481589,50,3.011464190246085e-05,0.00013342285396419502,BR,,
False,,,,,,,51,4.87512056084135e-06,0.00034963952341182495,BR,penalty-trap,10000000000000.0
True,0.00042484047076922396,3.5014429782226005e-07,0.00017674800098432472,71685.53397375955,7.0,0.0006465069535481589,52,2.524832292533634e-05,4.591195063624828e-05,BR,,
True,0.00034392567875347944,3.417473455068038e-07,0.0007543377877480697,71932.32756633924,68.0,0.0006465069535481589,53,7.828929036770207e-06,1.071596840758407e-06,BR,,
True,0.00036192096611370683,3.27995603849073e-07,0.0001448826891149933,71713.73314694235,13.0,0.0006465069535481589,54,1.6405281277794262e-06,3.9846487727265224e-06,BR,,
True,0.00039933551092695516,4.66846909395109e-07,0.0010767523019108722,71937.82286496717,21.0,0.0006465069535481589,55,3.8846528562406475e-06,0.00017628837689328424,BR,,
False,,,,,,,56,0.00044376460756318545,9.115750463865973e-05,BR,penalty-trap,562900816994.9285
True,0.00037263305645844445,4.1848067786547475e-07,0.001133673847994254,71897.19481772263,39.0,0.0006465069535481589,57,0.0001864079546879464,7.023367761511215e-05,BR,,
True,0.00041188346999310025,4.087389543546911e-07,0.0004592606730205101,71572.0983206351,25.0,0.0006465069535481589,58,4.529982639888567e-06,6.8236003171799026e-06,BR,,
True,0.00034940064177444694,4.3448748264789364e-07,0.000776514124928555,71845.77983655829,21.0,0.0006465069535481589,59,2.06836773785462e-06,3.857553441493934e-05,BR,,
True,7.502953992022563e-06,-4.1491413884183654e-07,1.4050443529891941e-06,67669.84009330189,3.0,0.0006465069535481589,60,1.4050443529891941e-06,7.502953992022563e-06,BR,,
True,0.0003079428156569401,4.131567379036992e-07,0.0002778999501812416,71559.63758832868,18.0,0.0006465069535481589,61,6.477316299193317e-05,1.0242947809569076e-05,BR,,
True,4.4109979240506425e-05,2.1741326554629403e-07,0.00012796135280570512,68956.3109804083,0.0,0.0006465069535481589,62,0.00012796135280570512,4.4109979240506425e-05,BR,,
True,0.0003347644342045233,3.785487357106008e-07,0.0004118382838927736,71760.75985692178,23.0,0.0006465069535481589,63,3.3951059286042443e-06,3.2481600817804704e-05,BR,,
True,0.0004221929824497564,4.3955376731560214e-07,0.0011237638260587057,71850.64325940367,26.0,0.0006465069535481589,64,1.5043602486919662e-06,0.0003519334348616875,BR,,
