key,group,control,window,metric,n_events,mean_did,median_did,std_did,t_stat,p_value_two_sided,wilcoxon_p,positive_event_share,bootstrap_ci_low,bootstrap_ci_high,bootstrap_p_mean_gt_0,insufficient,p_holm,p_bonferroni,positive_support_gate
restaurants_minus_low_labor_tech_22d_rv,restaurants,low_labor_tech,22,rv,20,0.13139782819221574,0.15622597491579882,0.6086310023007191,0.9654929664212591,0.34642718893941404,0.3904502982130381,0.65,-0.12079933137507459,0.40069321003776265,0.8295,False,1.0,1.0,False
restaurants_minus_SPY_22d_rv,restaurants,SPY,22,rv,20,0.09964528149130603,0.0698740712653696,0.5364094422564571,0.8307595112956077,0.41642734868097353,0.6541026035396191,0.6,-0.10478402393580233,0.3481673973270247,0.793,False,1.0,1.0,False
wage_sensitive_minus_low_labor_tech_22d_rv,wage_sensitive,low_labor_tech,22,rv,20,0.10882190577984145,0.2880045243882764,0.6592924460472068,0.7381646194301444,0.46943455040390936,0.3505725107798856,0.6,-0.18822223264369983,0.38444508542297395,0.775,False,1.0,1.0,False
wage_sensitive_minus_SPY_22d_rv,wage_sensitive,SPY,22,rv,20,0.07706935907893175,-0.12928029467917646,0.586165351270403,0.5879990194211723,0.5634573622392819,0.6812698457572635,0.45,-0.15984822931875478,0.3329004212388103,0.7195,False,1.0,1.0,False
retail_minus_low_labor_tech_22d_rv,retail,low_labor_tech,22,rv,20,0.06279908293057052,0.23195598698665254,0.7051944255897729,0.3982533419488189,0.694883136290632,0.6541026035396191,0.55,-0.25054545367440656,0.35397178392861894,0.663,False,1.0,1.0,False
retail_minus_SPY_22d_rv,retail,SPY,22,rv,20,0.031046536229660804,-0.01307218295408119,0.7058263739714403,0.19671173545079398,0.8461420107070464,0.7938039302228239,0.5,-0.2725734382875864,0.30900640712550154,0.5735,False,1.0,1.0,False
restaurants_minus_XLY_22d_downside,restaurants,XLY,22,downside,20,-0.0548629728362048,-0.12324333754949746,0.8026878866301206,-0.30566634616726995,0.7631824078909516,0.3904502982130381,0.45,-0.369313716949632,0.30888662981219434,0.3655,False,1.0,1.0,False
restaurants_minus_XLY_22d_rv,restaurants,XLY,22,rv,20,-0.0798286623748647,-0.16073014739258196,0.5759699921667056,-0.619831998370542,0.5427311647996086,0.21787707790698652,0.3,-0.3152043124128702,0.18176188113076874,0.247,False,1.0,1.0,False
wage_sensitive_minus_XLY_22d_downside,wage_sensitive,XLY,22,downside,20,-0.10619534529788524,-0.25048897350907895,0.6662473103020474,-0.7128284266467959,0.48461522891767583,0.31337874536302657,0.45,-0.3830754873808205,0.200585526367774,0.242,False,1.0,1.0,False
wage_sensitive_minus_XLY_22d_rv,wage_sensitive,XLY,22,rv,20,-0.10240458478723895,0.051736045376475914,0.5814399767316851,-0.7876431685314796,0.4406214379320243,0.7368312183597443,0.55,-0.3521401517009905,0.1558403297173212,0.203,False,1.0,1.0,False
retail_minus_XLY_22d_rv,retail,XLY,22,rv,20,-0.14842740763650994,-0.024700544011658554,0.6606172926125946,-1.0047989264305859,0.3276196256682775,0.3904502982130381,0.45,-0.44120449638228754,0.13152899050433778,0.1565,False,1.0,1.0,False
retail_minus_XLY_22d_downside,retail,XLY,22,downside,20,-0.23758755917027186,-0.39754202359194313,1.0077464957908135,-1.0543562991922522,0.30494375471061175,0.1912564806974696,0.35,-0.66223414098627,0.1850466644861483,0.126,False,1.0,1.0,False
