event_date,event_trade_date,event_type,event_label,window,group,control,did_rv,did_downside,group_delta_log_rv,control_delta_log_rv,group_delta_log_downside,control_delta_log_downside,group_delta_return,control_delta_return
2021-01-01,2021-01-04,multi_state_jan,Annual state minimum-wage increases,10,restaurants,SPY,0.15299789614824677,0.0382676731282543,1.402686114960948,1.2496882188127012,2.1757595025515672,2.137491829423313,0.021901919598679948,-0.00937029899708186
2021-01-01,2021-01-04,multi_state_jan,Annual state minimum-wage increases,10,restaurants,XLY,-0.06441898450567818,1.0506158397977665,1.402686114960948,1.4671050994666262,2.1757595025515672,1.1251436627538007,0.021901919598679948,0.022028002693287974
2021-01-01,2021-01-04,multi_state_jan,Annual state minimum-wage increases,10,restaurants,XLP,1.6838174318786439,1.8251125045428807,1.402686114960948,-0.2811313169176959,2.1757595025515672,0.3506469980086866,0.021901919598679948,-0.03717494998079118
2021-01-01,2021-01-04,multi_state_jan,Annual state minimum-wage increases,10,restaurants,low_labor_tech,-0.5209259010336833,-0.2972257184798117,1.402686114960948,1.9236120159946313,2.1757595025515672,2.472985221031379,0.021901919598679948,-0.05154522235372187
2021-01-01,2021-01-04,multi_state_jan,Annual state minimum-wage increases,10,retail,SPY,-0.09834305125212595,-1.1333287486590837,1.1513451675605753,1.2496882188127012,1.0041630807642292,2.137491829423313,0.018104740939577313,-0.00937029899708186
2021-01-01,2021-01-04,multi_state_jan,Annual state minimum-wage increases,10,retail,XLY,-0.3157599319060509,-0.12098058198957151,1.1513451675605753,1.4671050994666262,1.0041630807642292,1.1251436627538007,0.018104740939577313,0.022028002693287974
2021-01-01,2021-01-04,multi_state_jan,Annual state minimum-wage increases,10,retail,XLP,1.4324764844782711,0.6535160827555426,1.1513451675605753,-0.2811313169176959,1.0041630807642292,0.3506469980086866,0.018104740939577313,-0.03717494998079118
2021-01-01,2021-01-04,multi_state_jan,Annual state minimum-wage increases,10,retail,low_labor_tech,-0.772266848434056,-1.4688221402671497,1.1513451675605753,1.9236120159946313,1.0041630807642292,2.472985221031379,0.018104740939577313,-0.05154522235372187
2021-01-01,2021-01-04,multi_state_jan,Annual state minimum-wage increases,10,wage_sensitive,SPY,0.44023104679825487,0.3069653051103236,1.689919265610956,1.2496882188127012,2.4444571345336366,2.137491829423313,0.020003330269128643,-0.00937029899708186
2021-01-01,2021-01-04,multi_state_jan,Annual state minimum-wage increases,10,wage_sensitive,XLY,0.22281416614432992,1.3193134717798358,1.689919265610956,1.4671050994666262,2.4444571345336366,1.1251436627538007,0.020003330269128643,0.022028002693287974
2021-01-01,2021-01-04,multi_state_jan,Annual state minimum-wage increases,10,wage_sensitive,XLP,1.971050582528652,2.09381013652495,1.689919265610956,-0.2811313169176959,2.4444571345336366,0.3506469980086866,0.020003330269128643,-0.03717494998079118
2021-01-01,2021-01-04,multi_state_jan,Annual state minimum-wage increases,10,wage_sensitive,low_labor_tech,-0.2336927503836752,-0.02852808649774241,1.689919265610956,1.9236120159946313,2.4444571345336366,2.472985221031379,0.020003330269128643,-0.05154522235372187
2021-01-01,2021-01-04,multi_state_jan,Annual state minimum-wage increases,22,restaurants,SPY,-0.5349769642673143,-0.7355862188241291,0.7641142754050709,1.2990912396723853,1.5029060976306576,2.2384923164547867,-0.007798114453944474,-0.015285679327534218
2021-01-01,2021-01-04,multi_state_jan,Annual state minimum-wage increases,22,restaurants,XLY,-1.089770154578761,-0.6505097429238518,0.7641142754050709,1.853884429983832,1.5029060976306576,2.1534158405545094,-0.007798114453944474,0.024689855464854027
2021-01-01,2021-01-04,multi_state_jan,Annual state minimum-wage increases,22,restaurants,XLP,0.14476644733674915,0.3253291104907401,0.7641142754050709,0.6193478280683218,1.5029060976306576,1.1775769871399175,-0.007798114453944474,-0.0583102375444291
2021-01-01,2021-01-04,multi_state_jan,Annual state minimum-wage increases,22,restaurants,low_labor_tech,-0.6819457405792795,0.09424320385475538,0.7641142754050709,1.4460600159843504,1.5029060976306576,1.4086628937759023,-0.007798114453944474,-0.0021527500525970744
