date,actual_var,baseline_har_vix,plus_oil_volshock,plus_oil_ovx
2020-11-10,0.002041717293753104,0.00014327465257991752,0.00013982675984057792,0.0001253659431116067
2020-11-11,5.43285096772076e-05,0.0001461334807719218,0.00014406671311521015,0.00012941532909135548
2020-11-12,0.00048163143251122795,0.00013804145475221512,0.0001372278546396198,0.0001269766239281804
2020-11-13,0.000831469529506528,0.0001474504702143006,0.00014756719249441757,0.00013837746444162556
2020-11-16,0.004758877021149334,0.0001429525755449704,0.000144648566117072,0.0001307220022205075
2020-11-17,5.201145301606323e-05,0.0001505139904275669,0.0001559419522019893,0.00014402072866171494
2020-11-18,0.0010383412370863106,0.00014433330235923448,0.00014917517134808945,0.0001387675558363673
2020-11-19,0.00029098914032341545,0.0001541640502252287,0.00015683351994346046,0.00014913737638659632
2020-11-20,4.894809741625011e-07,0.0001503180015409601,0.00015012161718774524,0.00014289892994399805
2020-11-23,0.0035148941982105723,0.0001447046559879423,0.00014264572025861715,0.00013358489425070987
2020-11-24,0.002419965366835916,0.0001529228599747865,0.00013702535071858244,0.00013034192693937602
2020-11-25,0.0013743967313588673,0.00015765756274625458,0.00014560662082882867,0.00013526352920245624
2020-11-27,8.188218106530928e-05,0.00015756993313522147,0.00014641579849025642,0.00013719360251057846
2020-11-30,0.002142348757872027,0.00015149003144406271,0.0001417611767442518,0.0001372626118510305
2020-12-01,9.561422030424544e-06,0.00015723432297381666,0.00014761109160145919,0.0001408089309116469
2020-12-02,0.0007451301392513303,0.00014642606955681174,0.00013956086134312622,0.00013342265977664888
2020-12-03,6.06832891866064e-07,0.00015068368655101648,0.00014355784645356555,0.00013574599139552174
2020-12-04,0.0014455860338987519,0.00013772631982974026,0.00013130819468416049,0.00012150792872071619
2020-12-07,0.0007500615521123121,0.00014923281500182087,0.00014087416628484476,0.0001295936954563312
2020-12-08,7.322733802407268e-05,0.00014872930915648248,0.00013904465499398977,0.00012987411538338054
2020-12-09,0.00014614911410521355,0.00014396638197070657,0.00013387120334678362,0.00012784992018642768
2020-12-10,0.0010029196500368502,0.0001491647364684289,0.00013787988931339868,0.00013613704237671673
2020-12-11,9.385023750419261e-05,0.0001267473975506979,0.00011682091593568856,0.00011096497459580907
2020-12-14,0.001095613537271587,0.0001179179587579896,0.00010852443163651663,0.00010320878078528355
2020-12-15,6.131894328840524e-07,0.00012849404955973896,0.00011765280758597434,0.00011218296816229256
2020-12-16,5.833974659752398e-05,0.00011474235615895096,0.00010600482499696852,0.00010068549849090986
2020-12-17,9.996616774841951e-06,0.00011414152503185091,0.00010488333628787967,9.878979989336329e-05
2020-12-18,0.00019308754349567334,9.346152255531794e-05,8.726302972900902e-05,8.260444471313483e-05
2020-12-21,0.00016119642353113243,9.488453583786645e-05,8.714572564741949e-05,8.427268292617855e-05
2020-12-22,0.0004120842146103411,9.457709665772985e-05,8.617120820161041e-05,8.675779720623119e-05
2020-12-23,0.00024469100302520775,9.700423370504302e-05,9.256457633937223e-05,8.821461507911703e-05
2020-12-24,1.772171115574412e-05,9.594975556167667e-05,9.104734671949242e-05,8.308402500896485e-05
2020-12-28,2.5526285065129802e-05,7.8443090927795e-05,7.480414996084439e-05,7.110245556808824e-05
2020-12-29,1.1706078812471986e-05,6.979296854572015e-05,6.672809163810035e-05,6.458265751648267e-05
2020-12-30,7.180476354913641e-05,6.623316019930007e-05,6.420277544693004e-05,6.16905061531812e-05
2020-12-31,0.00010747101033129108,6.3574206294067e-05,6.269488702216693e-05,6.056375263353467e-05
2021-01-04,9.451029622326542e-06,5.3721730632035324e-05,5.2586970200765465e-05,5.246958365760719e-05
2021-01-05,0.0007115194981784585,5.928687744817558e-05,5.8817963265424466e-05,6.178977371871232e-05
2021-01-06,0.0010034365808872317,6.338725527370675e-05,6.162008999224892e-05,5.6807599077520556e-05
2021-01-07,2.177215838734397e-05,7.090157489350282e-05,6.840707511200006e-05,6.30624491507999e-05
2021-01-08,9.000581409379269e-05,5.706053185785045e-05,5.5409319238937305e-05,4.98517627872168e-05
2021-01-11,3.2408410418475815e-05,5.270910543006772e-05,5.175491219565862e-05,4.942715965154394e-05
2021-01-12,0.0003540956132948314,5.6372041228845596e-05,5.515404812645576e-05,5.036498974867361e-05
2021-01-13,9.302198378674355e-07,5.61079265748588e-05,5.5187338266624406e-05,5.101380455559656e-05
2021-01-14,0.0005634663296461988,4.383146149626748e-05,4.361451403905469e-05,4.487747237939927e-05
2021-01-15,0.001314438423621462,5.182114017985143e-05,5.126619108019481e-05,5.0376245268025155e-05
2021-01-19,0.0006728404715674388,5.766331871538834e-05,5.752506841728167e-05,5.800693301606637e-05
2021-01-20,8.396227083551646e-05,5.9649084486550234e-05,5.931984693713443e-05,5.2737591686802594e-05
2021-01-21,0.0012939385454804506,5.5206238129048116e-05,5.571096817816939e-05,5.45179306310333e-05
2021-01-22,9.288428589773709e-06,6.282513411048969e-05,6.35318922548931e-05,6.068068486376813e-05
2021-01-25,8.261721548137921e-05,6.056219769198075e-05,6.146810689409018e-05,6.0939936229502155e-05
2021-01-26,0.00029196580452741223,6.191012461883765e-05,6.238122339084724e-05,6.300425444493497e-05
2021-01-27,0.0001707236273642108,6.0685649840648624e-05,6.083365663803254e-05,5.885845747161919e-05
2021-01-28,8.563291909668455e-05,8.817178428122036e-05,8.835662401263893e-05,8.758458081230455e-05
2021-01-29,0.0019236411172397503,6.980765283757682e-05,6.941904780013906e-05,6.658017192410148e-05
2021-02-01,0.0001988575603816532,9.452716141890644e-05,9.335492559706114e-05,8.859265984424258e-05
2021-02-02,5.616728088340191e-05,8.769533915376136e-05,8.898883357766921e-05,8.168162981497547e-05
2021-02-03,0.0004660911495862766,7.529895798318358e-05,7.641874686697975e-05,7.133100941009437e-05
2021-02-04,2.021839764278599e-07,7.162327179562476e-05,7.273336174361055e-05,6.659784873609459e-05
2021-02-05,8.508835744775918e-06,6.502061159564113e-05,6.648560605843248e-05,6.120383502447114e-05
2021-02-08,0.0006035369180290139,5.684276010507974e-05,5.808466578901764e-05,5.444971685562274e-05
2021-02-09,3.250095154103254e-05,5.931808473442305e-05,6.067529617527908e-05,5.6868564573638896e-05
2021-02-10,0.00028917167526193807,5.889504956680038e-05,6.078452452497652e-05,5.6990397464170465e-05
2021-02-11,2.9363473021948362e-05,6.0481941231964926e-05,6.229805525545659e-05,6.0094254152732874e-05
2021-02-12,3.2985745616333124e-05,5.7773804112298486e-05,5.973950545647724e-05,5.865610992948076e-05
2021-02-16,0.0004114262949439803,5.3637281805859736e-05,5.548184039627155e-05,5.338094330801045e-05
2021-02-17,0.0008713351447027236,5.8443608330725606e-05,6.095726462676682e-05,5.9831352040217226e-05
2021-02-18,9.288528829349907e-05,6.246246652841289e-05,6.455678831829123e-05,6.441796909434622e-05
2021-02-19,7.032020613388942e-05,5.8615018797430714e-05,6.093089729607514e-05,5.9754655975477765e-05
2021-02-22,0.0007116317979266482,5.503949428900323e-05,5.69389118788901e-05,5.428140202003621e-05
2021-02-23,0.0001568556296174357,6.301369644922246e-05,6.488748643361477e-05,6.13553644421028e-05
2021-02-24,0.0013155705292561932,5.6265941444993426e-05,5.817106631143484e-05,5.610175531235797e-05
2021-02-25,8.715674030582745e-05,5.9241525046070156e-05,6.123433519299671e-05,5.7284821992268294e-05
2021-02-26,0.0005395463207057028,7.625685639184495e-05,7.955682171417886e-05,7.416905429141594e-05
2021-03-01,0.0004117901595953958,7.709368930497664e-05,8.090357307983723e-05,7.665188419082633e-05
2021-03-02,1.4550002799791885e-05,6.618640206900815e-05,7.193556880195575e-05,6.858319583044223e-05
2021-03-03,0.00012463032094260984,6.617675389799279e-05,7.188881144782658e-05,6.607399209877858e-05
2021-03-04,7.649014177811623e-05,6.198981818620877e-05,6.732842492408907e-05,6.140158081079507e-05
2021-03-05,0.001777550463785758,6.50642865310192e-05,6.975397817416402e-05,5.966832364006819e-05
2021-03-08,4.701922773909821e-05,6.90528155263214e-05,7.298917282721351e-05,6.49835731000704e-05
2021-03-09,5.200126719847143e-06,6.695106502750805e-05,7.047426383958351e-05,6.742166511874361e-05
2021-03-10,0.0002867402467739478,6.273764291628001e-05,6.595404910787689e-05,5.930971695341041e-05
2021-03-11,2.616288488723397e-06,6.233213694956712e-05,6.539058272066296e-05,5.9706924455021676e-05
2021-03-12,1.1035980041919413e-05,5.6479896807003034e-05,5.967207034855186e-05,5.700220836898697e-05
2021-03-15,0.00013952579428318218,4.819228322731575e-05,5.1475655096061955e-05,4.95525777504442e-05
2021-03-16,0.0005739905671171423,4.773388155069302e-05,4.926959071822468e-05,5.071887485829243e-05
