cit,year,month,monthly,CPU_US,CPU_UK,CPU_NZL,CPU_CAN,CPU_AUS,CPU_IRL,CPU_ESP,CPU_ITA,CPU_DEU,CPU_MEX,CPU_FRA,CPU_pos_US,CPU_neg_US,CPU_neg_UK,CPU_neg_AUS,CPU_neg_CAN,CPU_pos_UK,CPU_pos_AUS,CPU_pos_CAN
,1994,9,1994m9,113.9840893135659,,,,,,,,,,,40.43093064809965,34.27683779891433,,,,,,
,1994,10,1994m10,45.00576622733244,,,,,,,,,,,79.5709322089007,25.3314824960847,,,,,,
,1994,11,1994m11,47.40401180773132,,,,,,,,,,,66.82334371005359,88.43266845227171,,,,,,
,1994,12,1994m12,131.0303982816459,,,,,,,,,,,121.6335020340301,179.953518186451,,,,,,
,1995,1,1995m1,76.55561959196898,117.7569976347754,,,,,,,,,,74.08754954324549,118.1087243037949,,,,,,
,1995,2,1995m2,66.75607635163365,136.7639184788082,,,,,,,,,,119.5956555609573,44.68217585008441,,,,,,
,1995,3,1995m3,109.7504716787445,111.602663261997,,,,,,,,,,187.5820603483815,43.57499109985755,,,,,,
,1995,4,1995m4,74.10409177950143,104.0305246987704,,,,,,,,,,110.708061831379,57.00939630464855,,,,,,
,1995,5,1995m5,46.43877666509172,114.6975949242756,,,,,,,,,,0,0,,,,,,
,1995,6,1995m6,49.7852183265328,82.17342976541164,,,,,,,,,,0,68.03692422271241,,,,,,
,1995,7,1995m7,53.30309484473223,55.41952405254141,,,,,,,,,,114.176545151908,40.96296238749805,,,,,,
,1995,8,1995m8,94.38781751139159,112.7634079752198,,,,,,,,,,147.9315949629563,47.30730853415074,,,,,,
,1995,9,1995m9,75.97887397506227,74.95811619409515,,,,,,,,,,37.400294536221,87.2826101398926,,,,,,
,1995,10,1995m10,54.2401703636642,101.6983560492638,,,,,,,,,,0,77.4886542654625,,,,,,
,1995,11,1995m11,54.29812157260875,65.28471036327684,,,,,,,,,,35.8668426303163,120.172234224743,,,,,,
,1995,12,1995m12,125.3301458196393,73.51374863846101,,,,,,,,,,34.70269472423185,134.4600140523347,,,,,,
,1996,1,1996m1,94.0233545979996,101.0150475005646,,,,,,,,,,53.84326975198563,73.89364357117191,6.86755344934055,,,216.1064250790565,,
,1996,2,1996m2,54.26952570526006,61.46800317808974,,,,,,,,,,50.99010632833764,25.09162999996844,25.01631659413703,,,0,,
,1996,3,1996m3,38.73481973561786,80.79940835027637,,,,,,,,,,0,17.72799760803579,164.2985192955995,,,0,,
,1996,4,1996m4,32.82089211963632,32.55274702265519,,,,,,,,,,0,33.52960487393553,41.08170453779135,,,35.86834109732008,,
,1996,5,1996m5,50.1316772693934,73.51455070913461,,,,,,,,,,0,40.23775978363452,119.228409717787,,,89.29246366936778,,
,1996,6,1996m6,99.4493682629703,63.9377079765643,,,,,,,,,,0,67.93277134527659,76.81317091132318,,,133.7321551999082,,
,1996,7,1996m7,60.06652472456101,31.01529210152843,,,,,,,,,,52.94047455572493,34.25972221499991,23.56833972863898,,,95.34048638512058,,
,1996,8,1996m8,94.31456923569273,55.47461503713659,,,,,,,,,,51.70772553203737,161.1435466110499,0,,,52.05993437077308,,
,1996,9,1996m9,35.26353440766687,44.56076891287175,,,,,,,,,,48.81009453603914,60.04717976441722,72.88429515304945,,,0,,
,1996,10,1996m10,12.71273240204893,55.9916861995798,,,,,,,,,,0,0,20.11828218202951,,,151.3804652559832,,
,1996,11,1996m11,61.97129882011341,45.10341712866499,,,,,,,,,,107.0311206727319,34.76153409807568,33.10495457501147,,,0,,
,1996,12,1996m12,87.03783683427112,55.21658313601579,,,,,,,,,,107.1024747531803,60.3620641644716,118.2624598275357,,,0,,
,1997,1,1997m1,53.72020313199438,18.24567679260669,,,17.33741256708819,,18.32950604768968,13.70339720953299,,,,149.2214632386819,45.95905805580183,0,,,0,,
,1997,2,1997m2,79.55010193982154,55.57812913553981,,,3.899168679395781,,16.48272930689336,54.27563091766881,,,,78.7147626834326,83.95559017693257,26.4383483038268,,,0,,
,1997,3,1997m3,21.41655330282274,45.65939728807044,,,27.15148840568961,,0,13.40495661694787,,,,0,11.06835815782223,34.31209459924413,,,91.72574489990599,,
,1997,4,1997m4,52.34511335216641,77.6409173816176,,,34.26589264612514,,0,52.24495912246351,,,,0,0,46.37339464177938,,,162.4758384008433,,
,1997,5,1997m5,59.25409465755109,48.02798661854423,,,27.19293950081751,,15.48175384291198,26.10666805884348,,,,0,87.15356410328407,17.22277770172107,,,96.65738304839344,,
,1997,6,1997m6,56.84010316610604,50.79985270106419,,,11.90720709167506,,51.38039020128601,58.41661299118455,,,,78.32673216316218,65.82317357465507,103.9179968562806,,,0,,
,1997,7,1997m7,73.75854476250555,50.6682681701815,,,7.102422738846911,,16.91097047738755,78.96083029420467,,,,143.7002062941735,64.14364644223491,40.26435778957757,,,85.08225389787333,,
,1997,8,1997m8,56.85861345455361,43.04351012173166,,,14.65670126611827,,0,13.85116004864187,,,,0,23.55795538731934,24.18178856606543,,,50.49078570838085,,
,1997,9,1997m9,49.86686137856022,65.36476532875773,,,8.234407241436609,,39.75561480649003,60.24218958063059,,,,46.31533151024572,22.79122844141071,63.6838979169794,,,197.0265593476175,,
,1997,10,1997m10,142.1189255921739,60.92791498704986,,,31.92860665598091,,57.79492081318189,52.71101584969334,,,,140.8637877466289,174.2530804695173,5.179071005253074,,,136.3437301211215,,
,1997,11,1997m11,133.2881736436281,92.4409930851978,,,29.86960193197992,,13.7491890308288,13.16600908366894,,,,395.2018884835864,42.60416867603895,82.5795505278803,,,187.9583065037027,,
,1997,12,1997m12,143.6182511624697,72.95733226297898,,,33.2596839551531,,0,28.65618271945016,,,,159.5920923417166,150.6443189960607,56.18810074972392,,,100.1375842537057,,
,1998,1,1998m1,17.42665839540961,44.99168712275725,0,,5.928306582482079,,0,35.3480322327894,,,,0,23.09540888653077,48.26452455383828,6.74767152973979,,56.57346188520571,50.66288452888547,
,1998,2,1998m2,65.88307337925852,35.44327359856879,77.69632368057604,,51.39832767711005,,0,62.31050636842101,,,,0,19.92094210219759,59.56597436909612,63.17094579076061,,0,0,
,1998,3,1998m3,53.64581713697108,77.46567686365641,46.27860362521888,,49.83684692568487,,0,50.67621972116639,,,,58.93082279941735,33.27101054923142,25.94809425101079,28.93196249096827,,38.17181254393697,0,
,1998,4,1998m4,52.93189958745992,49.85244494066403,78.4732606898158,,0,,0,35.04688538997997,,,,65.61885526353407,68.60762824170445,20.8661531866739,0,,0,0,
,1998,5,1998m5,73.9233670061525,37.90524990077455,112.3984377686955,,9.570551010466087,,56.22510275876104,75.2314367860001,,,,167.3256633919558,60.21820039242956,23.07153638292717,7.926536145285421,,0,0,
,1998,6,1998m6,46.41023304306351,48.65620614024589,119.4086951704061,,11.49735327082574,,99.699499018821,37.51446568489447,,,,197.3632827147058,35.23884339473393,26.42274908388739,15.21201897349486,,57.21261244696225,0,
,1998,7,1998m7,22.39954794048118,72.89686406990636,84.53842616145974,,38.91330011260234,,49.76037073238125,97.05863647553055,,,,0,40.26101988157595,47.9593884646066,19.29700062809389,,153.6104352092675,41.43904667767982,
,1998,8,1998m8,62.89289502295393,26.02798525731248,37.71553963206571,,58.07901647901453,,62.02822452616171,131.7323653918368,,,,0,60.54800548952743,7.133593024751447,24.20573800821646,,0,0,
,1998,9,1998m9,80.82963268602033,50.53610034257186,114.7508662033159,,5.842355443012295,,0,50.68810754705088,,,,57.18455510112609,130.7901892334916,42.33484856625592,12.98293266636484,,148.9365921813066,0,
,1998,10,1998m10,85.0929274763543,31.66469273258515,79.41488518197734,,25.13789192735996,,0,69.43673566506651,,,,57.2434172268092,72.38055769105628,39.69512992242336,87.76903121859877,,0,0,
,1998,11,1998m11,56.36975879590459,89.91025303182889,0,,21.00911317308087,,0,103.0383030534127,,,,62.20579399982677,24.55232356897859,104.9314001034948,19.63074324903963,,45.91147660456969,51.11975057166271,
,1998,12,1998m12,62.23881599903836,14.81835319357236,208.3180713214009,,34.73222862975493,,147.5635097230653,22.41552680181023,,,,113.2161466735522,82.56877494472214,48.63591155903633,51.39296186972496,,0,228.5906778963655,
,1999,1,1999m1,49.08035185092726,26.23464484007067,29.7593326203983,,6.043936909713778,,0,113.0206977285412,,,,127.773500714007,52.50251743146752,34.68361749275354,0,,92.71892863154766,0,
,1999,2,1999m2,70.89070493804321,50.3893307773119,107.7132206009215,,35.75069065027549,,9.662648639795982,0,,,,114.5072787810196,95.53438976816116,36.15190692993746,4.397004341891548,,102.8110837385202,0,
,1999,3,1999m3,40.07160520627562,29.13449001255461,154.5856163325255,,11.45827803096035,,33.29777454245791,36.18871352697165,,,,0,80.31104536630248,33.37184200441153,16.27233341099018,,97.84906932263316,0,
,1999,4,1999m4,69.57601640938255,28.20596054711925,247.258447313286,,10.94919227507104,,53.16569469650939,45.59340182677949,,,,64.60159570946358,0,8.838665182200442,5.275293052366222,,100.2146843339749,0,
,1999,5,1999m5,116.0597631961113,27.03118140362487,126.2361185898191,,49.33174300786617,,64.56622813768628,89.59036650843298,,,,249.483635240941,136.0127934430753,16.89177846111831,46.55449670491868,,0,111.955461708616,
,1999,6,1999m6,47.55563696765384,38.4767372502112,79.48370224019395,,21.24609031261781,,62.05584991097971,103.7950595578322,,,,106.9598616043745,38.88702830935233,38.3254845769962,27.3486623735415,,0,0,
,1999,7,1999m7,95.92961455917302,31.71630031848738,58.62699984393074,,6.140207535492371,,176.3324723904215,0,,,,0,22.5230351819279,0,4.398633402675517,,0,0,
,1999,8,1999m8,121.3195773921064,40.75225570049059,93.54626867527594,,11.27775159446113,,0,48.69307685826636,,,,64.95460989366829,112.7862691927079,17.02407770500959,18.83096937737938,,0,0,
,1999,9,1999m9,132.819048726135,46.09530135788494,0,,37.95041596025069,,0,23.7210151615842,,,,0,85.64211800610806,7.531769367087944,29.07098390389327,,136.3006925034916,32.42331541889692,
,1999,10,1999m10,52.32506440056406,54.24636262706665,199.3582384288548,,36.67915288721108,,86.67508189887704,59.44007577147003,,,,0,55.41138260485959,14.75956779323615,43.94869566020519,,78.91283619071577,0,
,1999,11,1999m11,81.72870748014442,38.11462393432119,75.72473319996929,,24.78854425068876,,17.57147937598741,141.4348234657898,,,,0,23.25220052866608,72.04806172843929,36.8948001930644,,0,0,
,1999,12,1999m12,71.53982647313359,17.12003396615209,99.76931632581218,,35.16979429197064,,0,90.3502274732511,,,,113.6842708181165,72.10629763942134,28.27314575432899,40.23608126265157,,0,0,
,2000,1,2000m1,144.0945557005797,26.09944236558474,35.15644909226167,,29.11699057209696,,45.32433180939977,83.47811323912494,,,21.8145908017704,169.3999458066204,199.8907071128963,6.629026959964353,5.215976313349956,,0,0,
,2000,2,2000m2,61.01177908123316,34.12689280568094,94.31969246925244,,78.59524139536884,,82.34473928705573,132.5986093873192,,,7.451416853349108,0,53.4555491347378,30.7203994094665,82.78267852850837,,0,61.07731985175086,
,2000,3,2000m3,49.16624483057357,44.71563889934863,0,,32.91243765136548,,34.84224654141396,10.22655741909073,,,4.324502033019431,46.01999348194079,11.32294804029548,70.04177211834705,19.39715357730857,,0,64.95482318034111,
,2000,4,2000m4,104.1151709218123,49.49900696530742,96.30662595908332,,32.65631768878314,,57.91531894793701,122.602049020661,,,5.429741352636079,0,100.8161372322517,33.96529547533646,37.32579080479762,,92.99716491352288,0,
,2000,5,2000m5,91.30007203731337,31.98709904936067,154.2961933595659,,53.60653049864802,,102.9751315245258,34.5296859544176,,,233.0932767330406,74.82706666500722,82.74293104987277,36.93379712715797,62.51806970535073,,77.05051050535425,0,
,2000,6,2000m6,143.5342442138274,19.90779694411939,101.7201573310505,,56.86139823732674,,11.53107636396309,68.70369975799156,,,22.9273717806628,156.2845557720066,200.1014665007671,24.11905260912204,100.3797673478966,,135.161058835516,365.575720080256,
,2000,7,2000m7,113.9849282402518,13.41673719019792,88.53686523666393,,35.59934104630554,,48.29036399935924,74.33357009314724,,,19.82211673921914,400.886307032799,118.4711976726462,14.76439060482439,15.08565307806889,,0,159.8197536139844,
,2000,8,2000m8,80.5490955682094,25.98926220230963,98.0054302313258,,54.27855880147464,,67.1679310342759,120.4173523728906,,,28.11014881188635,0,87.85459881876189,51.27817583311604,61.71869568395371,,0,0,
,2000,9,2000m9,72.90950589191917,59.88477032694362,0,,22.45786202015773,,123.4979511238334,59.69766726032374,,,35.93753434408922,0,89.11555859295166,91.50102805767762,23.23353366489248,,0,0,
,2000,10,2000m10,98.11652177132586,40.76436150557711,66.08299296392404,,19.49125034125911,,93.82496320273367,126.1465433603955,,,18.85899141965847,0,81.00997226917582,48.23154363251565,11.61497762095216,,0,188.7897830333759,
,2000,11,2000m11,89.82158448554945,71.73954227424785,111.9026908198615,,38.3554567519779,,43.03596591160634,113.5958152706412,,,56.63893998064121,0,94.78808882687265,50.64716019225656,55.57126826946417,,104.9886704995804,141.6831807513502,
,2000,12,2000m12,125.2217889428305,38.03115703271116,0,,28.95455738990838,,94.62492081413114,56.39621300351984,,,59.16425508746225,195.9893562496745,156.061200912045,26.83630058595443,35.38506881573267,,0,74.41464404738127,
,2001,1,2001m1,229.2664790805768,33.98402120275751,272.3874058738406,,29.78474853503228,,141.3085064198706,145.877605721394,,,16.51245400703466,142.6131488058327,287.0561052872398,6.05718823626813,10.90450504493066,142.7914863055815,0,85.93785124924706,0
,2001,2,2001m2,81.05351432128303,14.08361833901085,77.33911668227978,,60.24696360907253,,85.84097483266619,113.477391933874,,,17.13093666141029,78.17167945036829,55.74813422530757,14.53567949235532,8.06490550784973,79.05417700305503,0,30.297570162694,91.59292747227576
,2001,3,2001m3,44.17199992399954,36.47826366554588,29.68877943732481,,17.82556200409877,,74.45905924367815,188.4359643534407,,,38.127327915263,76.02475221188941,37.41088400672494,45.31162300301723,3.583189862531341,118.308952692542,0,187.7041876851045,73.41972757698295
,2001,4,2001m4,126.0461950028324,79.18951390231342,147.4665472430608,,36.06594343504016,,48.11025872737885,88.79768276763215,,,201.7128524515585,292.5685339440432,215.7016418763147,93.66934845023134,9.864828800231894,110.1910795425049,0,173.7762277033258,47.68334100343781
,2001,5,2001m5,310.2353004867809,69.86707693517236,136.4943339065235,,30.42127155622444,,89.56740341842877,193.8423847441541,,,21.80479275602037,727.9481190526433,251.4862567455676,74.94896149191233,22.87443242383969,98.04104794856995,69.04245279703299,77.23144595635459,0
,2001,6,2001m6,80.25724133883698,40.37249883484687,29.61855999683918,,14.50119117116945,,15.47487918620739,106.6650323613974,,,34.18741199950581,117.6973118218945,16.03487424097619,40.68575703022667,11.9577500128931,25.18704329648034,45.34852934375073,0,0
,2001,7,2001m7,127.9210739096281,44.8132225340699,30.67792054547674,,40.96468521663554,,88.56312627379667,130.0023366208488,,,18.89873231488672,129.6369115548711,131.7556384672652,72.18607785658786,66.26641980163203,31.22149272301936,0,31.46743707342629,0
,2001,8,2001m8,140.6228848851126,39.69508902258066,0,,30.47473199531704,,12.10309436434733,138.8578480590294,,,33.64085511442264,0,95.02700832610262,39.14196339917535,26.64386960475098,14.13552560195763,0,0,0
,2001,9,2001m9,113.6791777743614,63.81999152107561,0,,45.23057490758833,,125.9948589056301,113.6676271722627,,,63.68908252345427,0,89.83659125072784,97.20376190029447,15.16087719217119,38.11361415577304,0,30.99081137492451,132.3992629276281
,2001,10,2001m10,73.02404339508371,77.93203638511545,0,,45.25070110785012,,24.1299209348035,160.0829820683004,,,47.86909295980892,84.38843677669976,114.1287682209402,62.79206317323541,89.62362052851611,112.7782591668466,90.89303911520015,0,0
,2001,11,2001m11,101.5431603461096,46.94055839861772,0,,34.40947756616437,,17.61315282026195,175.9079740109321,,,27.60676229929699,54.4219892038518,86.65522630069891,43.55814135260191,40.97848242407792,40.70753562814302,0,71.78598677789061,38.89766405121151
,2001,12,2001m12,84.69289302114107,40.37903482469894,70.44868846788312,,29.84432726868159,,33.5481875233605,120.8549230202976,,,12.16227131589468,0,106.9543747394653,0,27.18530066182443,24.45998302170955,0,0,304.0591844937398
,2002,1,2002m1,127.2284965401978,26.51592503756952,0,,34.14393754091417,,12.57412355944555,165.9560470337637,,,25.96606362798912,98.15700900124807,160.9765939590646,17.92296003763635,74.15506616563806,226.9834222838888,97.86378346839595,44.65558762745935,0
,2002,2,2002m2,87.20681711756724,33.82055015096623,111.1032234886237,,26.63591377588479,,53.04798510136138,172.8980027356886,,,14.53588219866029,0,64.72834869350089,0,11.75120142932676,80.1149411364579,0,83.26917478495044,0
,2002,3,2002m3,99.38780394622854,40.81816348630053,32.24183101612669,,21.26614336671803,,69.52999051021045,129.1192699430815,,,42.59615140328366,132.7162691312242,54.9484043052808,40.88913899380216,25.70529091862906,76.0086178360995,0,0,51.46687343419474
,2002,4,2002m4,114.5970684884203,54.17131234430391,29.04157506183582,,9.899881821850745,,23.4675248573463,207.5583115743091,,,54.82516432900389,99.1182955878985,99.31927857487389,42.68850468386124,3.854406562460933,64.97029179406222,0,0,29.37623631635819
,2002,5,2002m5,89.64934530088688,47.86988850549442,0,,17.96831953244496,,102.014310349367,141.3839907114936,,,29.35181003218414,115.5778309611247,103.4167880789439,66.19196046695873,37.33645232952791,55.1954019511067,0,115.3036977386607,21.30155175687177
,2002,6,2002m6,84.87542666995546,26.73320479238562,63.76133995246234,,25.47502290781315,,55.12176422367865,126.9728533566906,,,24.6571714267923,145.4588415738415,69.56254494268435,15.13016228599361,59.7227458780101,67.16224093606601,97.20852919439193,0,30.08418105593448
,2002,7,2002m7,89.61162426162046,57.56738909259133,98.62816385503636,,14.12574051795835,,14.89981704903724,174.4770456573043,,,27.27279230536472,195.17150200473,70.51275646218775,31.54962364002229,17.27981857306587,95.52259156444295,122.0291652591966,28.04447001936155,0
,2002,8,2002m8,55.74925634817813,30.36468544699689,94.15584335837298,,49.96500887942383,,32.88266647514455,96.90473461193487,,,27.17900566464751,55.03724293585835,59.10684480057059,28.62926888341924,34.01317055396379,58.56684612061969,0,0,35.60772007197787
,2002,9,2002m9,65.35112997511551,63.20621069644379,0,,29.58671797209444,,72.42032314688913,191.1658907737455,,,46.43951945322845,83.42275297617844,51.85893710208073,77.30071813688784,54.29788104993467,53.20498497381077,0,0,41.50705855165385
,2002,10,2002m10,87.4127738907727,48.41938095511273,109.9914637234482,,23.57666006803587,,71.17693310975989,86.25391985370402,,,27.28734999755754,0,85.87423248839046,42.94815412979491,45.38720538037074,60.22605268162243,0,0,0
,2002,11,2002m11,103.4212947163716,55.91113170336261,34.44393255170252,,16.1268255430024,,22.2391584026097,100.9906554708827,,,26.53072045778391,204.2129864993604,90.95497912455572,75.19904505453223,13.16196914939131,84.30142639513215,122.3442435429169,0,58.86448778668369
,2002,12,2002m12,73.25339081636031,72.69189402079918,16.81161883892665,,24.27187982199874,,100.0101245057056,105.2551978406372,,,20.22124084174496,83.55845776232155,45.32183691880851,57.34482697866983,23.04217369359866,58.08001569865161,0,77.23144595635459,231.1885337680276
,2003,1,2003m1,63.29410512940155,65.48322827806568,40.03674918602524,,45.42236482683977,,78.04933952978936,141.5566154390711,,,42.64480615623754,67.86665967701144,74.2511007352048,64.33775545357427,23.48711781971583,87.29844635533992,85.29394807407773,137.6989362326997,0
,2003,2,2003m2,68.73208821076408,54.1168675960511,73.77985801333588,,24.82896816948945,,182.5087709646456,92.31593314594278,,,61.99712071715273,130.7854885433354,51.21507780295075,103.803056861062,46.17822158941514,11.56658514465956,0,0,0
,2003,3,2003m3,96.98632699778369,57.17183902540231,101.9553963845168,,24.63681109573903,,105.8193762205803,127.6470570744527,,,52.45752848329923,64.81582731450482,89.42031869808707,39.48699710968484,24.06940290921919,124.789754916144,0,42.50739127822563,0
,2003,4,2003m4,68.69396953761039,74.01695864423316,210.1429476654463,,40.45000977987076,,93.85053988417896,150.0254869269523,,,57.61015026178398,23.97648212852421,86.38464224683113,132.7601322262428,4.166533514114295,34.85089287000742,0,0,0
,2003,5,2003m5,60.96547063751706,62.408757565309,31.58546569737735,,61.1938712021958,,23.0923171233539,197.7727288363221,,,12.76235604255824,0,68.44364434778805,46.23939241388883,92.74136130156958,81.39493084490705,40.83943020135165,564.5792749358116,26.99992958371004
,2003,6,2003m6,87.70983829299981,55.65336581464462,0,,29.71795208321613,,16.64414885396849,190.66323981144,,,8.809295006778884,151.2741481816573,86.8906779297441,58.70980816497457,46.65659473694377,19.83887338910621,227.3599765225552,45.97925685799427,0
,2003,7,2003m7,78.67928759447585,42.46582533715708,254.0266944214792,,47.73479395776002,,90.01242834273295,99.18607554763581,,,32.42521789845794,97.06018503349833,39.83992742188717,30.64909741069311,33.76881784816509,4.963969330645843,0,0,0
,2003,8,2003m8,133.1734193174213,45.76480999507925,215.1671334478283,,59.96546412245335,,47.95734897724694,191.0217605182984,,,5.458613703989067,65.33110422147683,155.7321640314782,29.84549573269826,14.08208295327818,153.4993972156885,140.9255435393748,0,0
,2003,9,2003m9,95.70850818390251,30.15521912050848,173.6101627852741,,15.37361468058213,,59.03105870241171,349.7995793735316,,,39.59144371029247,149.0628481851217,128.1636619869767,27.24919534157568,10.56842384731528,96.86707213064317,0,0,0
,2003,10,2003m10,75.43170588138895,24.33241093109736,70.30469523647201,,54.92351309671193,,85.51067343269493,129.3372750929879,,,14.53992786937178,72.78506323812911,98.52429595273864,40.14134858169774,88.60063534781094,19.85173977478012,39.28689352412279,24.74282257765942,143.3009705872431
,2003,11,2003m11,117.2676416202832,64.66166501211688,50.01319104971855,,16.89056429861251,,45.08377122830834,91.69604767100552,,,23.04364957460159,0,128.5751171057582,57.23142049978738,25.88270590284616,4.174638896729104,106.4606837992529,0,17.82873654483229
