cit,year,month,monthly,CPU_US,CPU_UK,CPU_NZL,CPU_CAN,CPU_AUS,CPU_IRL,CPU_ESP,CPU_ITA,CPU_DEU,CPU_MEX,CPU_FRA,CPU_pos_US,CPU_neg_US,CPU_neg_UK,CPU_neg_AUS,CPU_neg_CAN,CPU_pos_UK,CPU_pos_AUS,CPU_pos_CAN
"Please cite as follows: Basaglia, P, C Berestycki, S Carattini, A Dechezlepretre and T Kruse (2025), 'DP20160 Climate Policy Uncertainty and Firms' and Investors' Behavior', CEPR Discussion Paper No. 20160. CEPR Press, Paris & London. https://cepr.org/publications/dp20160",1990,1,1990m1,19.71770739909631,,,,,,,,,,,45.8217214011796,11.2741643639314,,,,,,
,1990,2,1990m2,56.76932446954146,,,,,,,,,,,0,34.8932925455737,,,,,,
,1990,3,1990m3,79.96535851076086,,,,,,,,,,,196.837562771728,87.86796073454708,,,,,,
,1990,4,1990m4,82.39339450829424,,,,,,,,,,,0,88.73704462364611,,,,,,
,1990,5,1990m5,51.64840516576788,,,,,,,,,,,43.66330842247235,10.74309957755779,,,,,,
,1990,6,1990m6,38.76875629055086,,,,,,,,,,,0,13.8544672612681,,,,,,
,1990,7,1990m7,37.06057490150587,,,,,,,,,,,0,23.54493994235396,,,,,,
,1990,8,1990m8,116.305685985901,,,,,,,,,,,0,100.3412004943238,,,,,,
,1990,9,1990m9,67.73208020142094,,,,,,,,,,,56.21489003501542,69.15671111591821,,,,,,
,1990,10,1990m10,22.92985076677797,,,,,,,,,,,0,0,,,,,,
,1990,11,1990m11,34.29617339556865,,,,,,,,,,,99.62553395852196,73.53682557180561,,,,,,
,1990,12,1990m12,35.64428815596933,,,,,,,,,,,0,43.67280730084298,,,,,,
,1991,1,1991m1,120.9623511009991,,,,,,,,,,,0,49.89870016553338,,,,,,
,1991,2,1991m2,41.59793444384119,,,,,,,,,,,35.80329400765451,35.23675750881464,,,,,,
,1991,3,1991m3,99.45829052822614,,,,,,,,,,,113.7802879387399,9.331656314740513,,,,,,
,1991,4,1991m4,81.91824082887956,,,,,,,,,,,441.9082143171198,47.56574084297996,,,,,,
,1991,5,1991m5,54.37190893265895,,,,,,,,,,,135.0114812950122,27.90070978952719,,,,,,
,1991,6,1991m6,67.84232462117008,,,,,,,,,,,126.3000881523353,53.71477618130994,,,,,,
,1991,7,1991m7,64.07628863213631,,,,,,,,,,,140.6044141945204,41.2438153927145,,,,,,
,1991,8,1991m8,48.65162114718194,,,,,,,,,,,78.82730305410652,37.45959827046259,,,,,,
,1991,9,1991m9,45.72787596997745,,,,,,,,,,,32.55579045903045,69.85666678329798,,,,,,
,1991,10,1991m10,74.54965152538244,,,,,,,,,,,36.16856835138752,125.3631397949519,,,,,,
,1991,11,1991m11,133.6472730480432,,,,,,,,,,,459.0734028193828,124.5318091290867,,,,,,
,1991,12,1991m12,59.57951916394697,,,,,,,,,,,71.67008029054871,45.46463464562156,,,,,,
,1992,1,1992m1,64.35378151809581,,,,,,,,,,,39.69698841852496,57.75181197779784,,,,,,
,1992,2,1992m2,86.44358470415094,,,,,,,,,,,264.1944704652624,125.2169992191611,,,,,,
,1992,3,1992m3,161.7941435332251,,,,,,,,,,,189.6203827392997,297.4379589743277,,,,,,
,1992,4,1992m4,47.22452734770982,,,,,,,,,,,69.70962593811173,47.59212905927853,,,,,,
,1992,5,1992m5,91.3893130225205,,,,,,,,,,,155.0153536126809,98.03315540581687,,,,,,
,1992,6,1992m6,128.0764760534946,,,,,,,,,,,34.49535530542882,91.76922474070817,,,,,,
,1992,7,1992m7,102.6338082955882,,,,,,,,,,,144.1058565942611,152.0960529712417,,,,,,
,1992,8,1992m8,66.85965784869987,,,,,,,,,,,45.83558120678188,89.14215493275435,,,,,,
,1992,9,1992m9,87.8079376163759,,,,,,,,,,,110.7455926447947,109.8754109227026,,,,,,
,1992,10,1992m10,93.84948298825768,,,,,,,,,,,71.80139251589382,126.7846175604411,,,,,,
,1992,11,1992m11,40.74552858050244,,,,,,,,,,,34.18605842991068,72.42291186361413,,,,,,
,1992,12,1992m12,79.68333732419957,,,,,,,,,,,216.4751901137883,77.40776932153983,,,,,,
,1993,1,1993m1,106.8364133241671,,,,,,,,,,,44.07509249102071,75.44238367985048,,,,,,
,1993,2,1993m2,102.0385951837678,,,,,,,,,,,145.5338792792237,101.0909716208284,,,,,,
,1993,3,1993m3,87.38181195091531,,,,,,,,,,,162.8579484706367,56.17815527228672,,,,,,
,1993,4,1993m4,115.4393060006807,,,,,,,,,,,70.11581935433797,34.64381850946031,,,,,,
,1993,5,1993m5,94.96944916369571,,,,,,,,,,,137.045636744118,109.2736071102051,,,,,,
,1993,6,1993m6,120.6274473334177,,,,,,,,,,,34.66102768082368,132.8427274406681,,,,,,
,1993,7,1993m7,64.01414701936881,,,,,,,,,,,237.8281131257555,63.87505884990954,,,,,,
,1993,8,1993m8,108.197216153088,,,,,,,,,,,251.8059687990139,155.4296883655984,,,,,,
,1993,9,1993m9,85.71758891394016,,,,,,,,,,,204.4211009651266,47.79735176650664,,,,,,
,1993,10,1993m10,48.42820760054756,,,,,,,,,,,41.36295368943627,39.7734266033505,,,,,,
,1993,11,1993m11,92.81833057354035,,,,,,,,,,,245.9166089025218,66.46669550127785,,,,,,
,1993,12,1993m12,63.32825958190105,,,,,,,,,,,77.18632214637206,55.89265359595374,,,,,,
,1994,1,1994m1,78.9499507842602,,,,,,,,,,,35.51384734256627,45.77409044310286,,,,,,
,1994,2,1994m2,84.10600336087104,,,,,,,,,,,0,0,,,,,,
,1994,3,1994m3,74.92747138205809,,,,,,,,,,,37.21432622084752,27.76374965863875,,,,,,
,1994,4,1994m4,46.07166627188768,,,,,,,,,,,0,10.16033562109912,,,,,,
,1994,5,1994m5,82.18095988935882,,,,,,,,,,,163.3897689419533,101.312973677834,,,,,,
,1994,6,1994m6,79.52099383421891,,,,,,,,,,,42.72705109834322,67.17174231418089,,,,,,
,1994,7,1994m7,11.8475556791961,,,,,,,,,,,0,11.0449827083925,,,,,,
,1994,8,1994m8,62.40793614191187,,,,,,,,,,,73.62863595525671,42.02660922057785,,,,,,
