month,cpu_index_narrow,cpu_index_broad,cpu_index_narrow_llm,cpnews_index_narrow,cpnews_index_broad,cpsent_index,cpu_instrument,cpu_shock
1985-01-01,35.46986754189647,67.55832221514663,43.00237461569405,52.56052744443744,54.65404620959644,146.6982429132885,,
1985-02-01,12.95703327827725,16.96014878949829,38.88658569411582,51.73675726307276,51.67921488850639,98.2490984759793,,
1985-03-01,35.61842122547449,61.08541458098598,44.32097351018027,60.03346255223116,58.40057821308871,229.2548635519407,,
1985-04-01,59.48534567220221,48.46209528299546,38.36682271599675,47.96048738121882,51.49284499685235,178.4054187347602,,
1985-05-01,26.3754565104106,34.62111364528619,31.89079336754578,46.88729312895533,49.88390821415615,90.87904605622629,,
1985-06-01,47.98880884131756,62.90431863745125,47.58835694522826,55.01150905865958,56.75252197626786,193.3875934256623,,
1985-07-01,20.5813991630228,41.78224165208552,24.44264603192829,59.57472561251826,64.62576524298136,151.5792285324354,,
1985-08-01,50.57503185195272,46.82144787746436,45.85675813964627,64.102351130197,67.78379863353851,196.6691115300177,,
1985-09-01,6.830367709213935,32.34419699922763,45.70147878848548,51.37141646029121,61.23308210628841,176.5529384494832,,
1985-10-01,36.16061997583508,38.80617708552808,31.40583779252601,47.00611684174513,51.19979206049873,88.00613544362467,,
1985-11-01,59.71926564282245,50.98522626345851,38.87722201441096,61.08350990620475,60.22895498530314,149.8091515673838,,
1985-12-01,45.67302241077439,79.41200446775537,33.77227714218333,47.30403166853115,57.53330608039842,140.8971524663806,,
1986-01-01,49.78405911019944,66.54388339978462,38.59759005073835,62.47201652901151,64.88357121472872,160.8925824114341,0.0,0.9287978100773895
1986-02-01,50.02294701747127,92.89808599415743,32.52160754728789,39.82128999135274,53.86404424996255,90.70969457027324,0.0,-0.044102938882906464
1986-03-01,31.02705982232726,59.34298895094816,41.30712907949773,51.39267130188406,57.85156065249705,115.8333102746254,0.0,0.21482830410850515
1986-04-01,55.00245139181323,78.9495241417244,39.7558103935272,44.3046278957427,55.21517382608712,167.4736190419497,0.0,0.3445791113818639
1986-05-01,81.1126954768432,58.55612297115462,63.09796318882756,63.55109535902936,62.69750342759942,139.0974812338083,0.0,0.3354073622666265
1986-06-01,35.5618777662045,44.84519382378947,30.39162610628174,38.80180559373257,46.0938807624556,134.0471199469111,0.0,-0.29428666558308986
1986-07-01,18.67637474797563,42.77231590591698,20.56220903227602,39.10951235851788,47.87036667330934,120.5235874066568,0.0,-0.9803905452646472
1986-08-01,45.71197431181437,54.2672984419332,29.76996317934833,40.57363359075094,53.37593980446994,86.08809747002769,0.0,-0.06099682601880475
1986-09-01,46.45598842175898,54.9405600366031,31.70553062646022,52.33798738260993,55.64194657466042,91.72737910825364,0.0,-0.22890112230492463
1986-10-01,40.2027622238688,47.58615976459956,32.61898090788846,50.32476381567309,52.08877333125447,115.4573682905679,0.0,0.22485973336274595
1986-11-01,37.29420071206908,56.48062877666842,34.47127856137072,54.00220582738059,62.54646409292912,87.80776262370918,0.0,-0.1333063692285147
1986-12-01,23.37973172341534,27.05969368278355,25.97680944123492,47.72937967618977,50.31614791343186,113.1663189369906,0.0,-0.3241375422921005
1987-01-01,14.8354404259587,26.5474213679473,16.96138823329336,38.29394776746921,58.85907072239505,93.04804468554302,0.0,-0.7025808234161467
1987-02-01,19.9976900913576,31.02641017232395,29.84786703393168,48.48464230639858,63.97667728390125,102.3688035287696,0.0,-1.1308763300504368
1987-03-01,42.83124603705503,57.19421461994501,29.63049494268837,50.81470309768241,65.57272661091488,81.2862433935134,0.0,0.14890874873142107
1987-04-01,33.28435976518052,68.72215995558533,43.09561109272498,56.04280280310468,72.55584637834262,144.825141071926,0.0,0.5897358407624442
1987-05-01,15.79764792351287,37.4224912820287,35.07321253066162,37.08574761514542,61.05633460446776,95.74334133398561,0.0,-1.1942852685870595
1987-06-01,69.0395157980754,91.810960742404,28.28576959189737,49.05216398986601,67.90995911416641,53.1044016346685,0.0,0.7472808307619963
1987-07-01,29.49979786018116,49.24995460568267,35.0849511383115,41.27790480723952,57.33527567485477,95.41366130190168,0.0,-0.2320138802050546
1987-08-01,53.03207401303703,78.87926991693539,47.94880366337747,58.08256860980363,63.54157776191652,110.6865839315854,0.0,0.647123128183239
1987-09-01,43.31263442715538,54.576575234815,48.649733695061,62.25112821727519,65.65456042788969,112.8783212560805,0.025264046001414187,0.38369849375107973
1987-10-01,29.56305626857874,59.46292182734698,22.79654553279271,39.40231807901102,56.05518028621146,47.24093741348581,0.0,-1.3152241965205855
1987-11-01,44.08399627259301,69.5181324515194,36.29008117608515,52.31191566076932,60.5302762151662,80.18436051612298,0.0,-0.709992062256098
1987-12-01,38.1794982308897,67.93597478192733,34.78373807813134,51.03164397216698,60.48281292613162,87.54951554231116,0.0,-0.4177658123638264
1988-01-01,65.68817681224964,59.5011010467318,26.17275938381815,54.45162806512038,64.19759997989703,74.03886108280409,0.0,0.06502553841339477
1988-02-01,39.81335997632413,46.95233995244681,11.22512198107431,43.02988670581234,58.76574310881423,68.82243069725507,0.0,-0.27655643120968143
1988-03-01,52.23984552287785,49.33279883450959,42.56770087306013,52.60467942567458,59.69272574617974,58.50088782759651,-0.3051870030254249,-0.27743084950843644
1988-04-01,41.49108080092698,56.28048698391454,28.40007996881842,43.23752836760698,58.5643852833504,61.81143445487815,0.0,-0.1905802498386697
1988-05-01,64.50662595071576,69.65771754358572,26.92758834099366,47.54092389459279,56.82347442409398,64.95569610703751,0.0,1.1739064447989118
1988-06-01,49.12462727674738,59.70531754334269,42.43712568431003,57.98413802231975,74.14609526860166,128.9017127426466,0.2028967795270213,0.32967273784886564
1988-07-01,88.6974116628794,81.8002446175282,54.57827268673589,61.50590263520501,73.16010910369506,107.6612076583498,0.0,1.216742798886238
1988-08-01,35.90558415755838,53.30626304365295,43.50809629445943,74.18446158680999,78.563056411316,200.4429780795468,0.0,-0.35764467135371525
1988-09-01,51.0492200459249,82.79439019861687,51.98868707871542,72.32084176870804,80.08196116390671,134.0208620125958,0.0,0.30877374835539484
1988-10-01,58.86802987861233,65.21356425336465,38.31835185823495,66.64763977523678,86.7533555217204,147.5288703072246,0.0,0.3573051118388825
1988-11-01,41.86168675910783,70.4766838559893,46.09083350419575,58.46917097907555,79.71482510178582,35.62511749784812,0.0,-0.10822052400267372
1988-12-01,45.3682107984006,66.98166395922856,29.0230616114273,65.5179297714475,80.6829392005146,78.4425469533729,0.0,0.3649135712987441
