month,gcpu_proxy_equal_weight,gcpu_proxy_country_count
1990-01-01,,1
1990-02-01,,1
1990-03-01,,1
1990-04-01,,1
1990-05-01,,1
1990-06-01,,1
1990-07-01,,1
1990-08-01,,1
1990-09-01,,1
1990-10-01,,1
1990-11-01,,1
1990-12-01,,1
1991-01-01,,1
1991-02-01,,1
1991-03-01,,1
1991-04-01,,1
1991-05-01,,1
1991-06-01,,1
1991-07-01,,1
1991-08-01,,1
1991-09-01,,1
1991-10-01,,1
1991-11-01,,1
1991-12-01,,1
1992-01-01,,1
1992-02-01,,1
1992-03-01,,1
1992-04-01,,1
1992-05-01,,1
1992-06-01,,1
1992-07-01,,1
1992-08-01,,1
1992-09-01,,1
1992-10-01,,1
1992-11-01,,1
1992-12-01,,1
1993-01-01,,1
1993-02-01,,1
1993-03-01,,1
1993-04-01,,1
1993-05-01,,1
1993-06-01,,1
1993-07-01,,1
1993-08-01,,1
1993-09-01,,1
1993-10-01,,1
1993-11-01,,1
1993-12-01,,1
1994-01-01,,1
1994-02-01,,1
1994-03-01,,1
1994-04-01,,1
1994-05-01,,1
1994-06-01,,1
1994-07-01,,1
1994-08-01,,1
1994-09-01,,1
1994-10-01,,1
1994-11-01,,1
1994-12-01,,1
1995-01-01,,2
1995-02-01,,2
1995-03-01,,2
1995-04-01,,2
1995-05-01,,2
1995-06-01,,2
1995-07-01,,2
1995-08-01,,2
1995-09-01,,2
1995-10-01,,2
1995-11-01,,2
1995-12-01,,2
1996-01-01,,2
1996-02-01,,2
1996-03-01,,2
1996-04-01,,2
1996-05-01,,2
1996-06-01,,2
1996-07-01,,2
1996-08-01,,2
1996-09-01,,2
1996-10-01,,2
1996-11-01,,2
1996-12-01,,2
1997-01-01,24.267239149782387,5
1997-02-01,41.95715199586387,5
1997-03-01,21.526479122706128,5
1997-04-01,43.29937650047453,5
1997-05-01,35.21268853573366,5
1997-06-01,45.86883323026317,5
1997-07-01,45.48020728862524,5
1997-08-01,25.68199697820908,5
1997-09-01,44.69276766717504,5
1997-10-01,69.09627677961598,5
1997-11-01,56.50279335506072,5
1997-12-01,55.69829002001039,5
1998-01-01,17.28244738890639,6
1998-02-01,48.78858411732241,6
1998-03-01,46.317194045449604,6
1998-04-01,36.05074843465328,6
1998-05-01,60.875690871808295,6
1998-06-01,60.53107538804278,6
1998-07-01,60.927857582060234,6
1998-08-01,63.07933771822419,6
1998-09-01,50.441177036995214,6
1998-10-01,48.457855497223875,6
1998-11-01,45.05457134237117,6
1998-12-01,81.68108427810701,6
1999-01-01,37.35649399160854,6
1999-02-01,45.73443260105802,6
1999-03-01,50.78941294195761,6
1999-04-01,75.79145217802463,6
1999-05-01,78.80256680725678,6
1999-06-01,58.768846039914784,6
1999-07-01,61.4575991079175,6
1999-08-01,52.59815503676674,6
1999-09-01,40.09763020097581,6
1999-10-01,81.4539960023406,6
1999-11-01,63.22715195115014,6
1999-12-01,52.324866421719925,6
2000-01-01,55.01206765440259,7
2000-02-01,70.0640530398942,7
2000-03-01,25.16966105354454,7
2000-04-01,66.93203297946005,7
2000-05-01,100.25542702241027,7
2000-06-01,60.74082066127736,7
2000-07-01,56.28341750644926,7
2000-08-01,67.78825414605319,7
2000-09-01,53.48361299532384,7
2000-10-01,66.18366065212483,7
2000-11-01,75.01285649921792,7
2000-12-01,57.48469889579475,7
2001-01-01,124.16017440578665,7
2001-02-01,64.16750233994239,7
2001-03-01,61.312422363335834,7
2001-04-01,103.91271336140234,7
2001-05-01,121.74750911475778,7
2001-06-01,45.86811641268615,7
2001-07-01,68.83444248790606,7
2001-08-01,56.48492906297282,7
2001-09-01,75.15447325776748,7
