comparison,month,ticker,sector,actual_rv,pred_har,pred_har_gcpu_proxy,train_n,loss_har,loss_har_gcpu_proxy,loss_diff_challenger_minus_har
har_gcpu_proxy,2013-01-01,GLD,metal,0.009349494385059292,0.015654105400547822,0.017099280874902704,72,0.11266604942568437,0.1504911949731098,0.03782514554742544
har_gcpu_proxy,2013-02-01,GLD,metal,0.021896207353571135,0.01578335310643176,0.016425449786749837,73,0.059939908484947235,0.045584428000503774,-0.014355480484443461
har_gcpu_proxy,2013-03-01,GLD,metal,0.00476299249887975,0.025285027690795558,0.022458722002515384,74,0.8577083326730484,0.7628805280875588,-0.09482780458548956
har_gcpu_proxy,2013-04-01,GLD,metal,0.15169785311067865,0.01205402905182937,0.010911323602604071,75,9.05233380759303,10.270701518813928,1.218367711220898
har_gcpu_proxy,2013-04-01,USO,energy,0.06326592255477491,0.028991999259533646,0.028979155143097606,72,0.40185864271472016,0.4023827081896778,0.0005240654749576468
har_gcpu_proxy,2013-05-01,GLD,metal,0.04970006881770304,0.08316454747232618,0.07270736718291262,76,0.11242607289686446,0.06399943669909325,-0.04842663619777121
har_gcpu_proxy,2013-05-01,USO,energy,0.04510394476205563,0.06188829413075116,0.06160545828830299,73,0.04515740016350023,0.04392278692452445,-0.0012346132389757791
har_gcpu_proxy,2013-06-01,GLD,metal,0.0981009565082071,0.07085556868848822,0.060241444449397774,77,0.05916650865222994,0.14082633097284392,0.08165982232061397
har_gcpu_proxy,2013-06-01,USO,energy,0.03452383850057977,0.05687254019315238,0.05529538734617848,74,0.10620136962596272,0.09539239236714847,-0.010808977258814245
har_gcpu_proxy,2013-07-01,GLD,metal,0.03961018373111966,0.10171065543886357,0.0945764382041213,78,0.3324856837949828,0.289138742549893,-0.043346941245089754
har_gcpu_proxy,2013-07-01,USO,energy,0.03915090455861396,0.053190164626321514,0.052403413404189796,75,0.04250531387423684,0.038654203083458016,-0.0038511107907788222
har_gcpu_proxy,2013-08-01,GLD,metal,0.026893067286402297,0.06119168875177012,0.05878762824952479,79,0.2616317325766777,0.23952423871430906,-0.022107493862368655
har_gcpu_proxy,2013-08-01,USO,energy,0.032330087786443765,0.05109564827899637,0.050990828013740185,76,0.09043764559897927,0.08968478364426025,-0.0007528619547190196
