comparison,month,ticker,sector,actual_rv,pred_har,pred_har_cpu,train_n,loss_har,loss_har_cpu,loss_diff_challenger_minus_har
har_cpu,2013-01-01,GLD,metal,0.009349494385059292,0.015654105400547822,0.016491518592064134,72,0.11266604942568437,0.13445139670944095,0.021785347283756584
har_cpu,2013-02-01,GLD,metal,0.021896207353571135,0.01578335310643176,0.015134676881668883,73,0.059939908484947235,0.0774326558334475,0.01749274734850026
har_cpu,2013-03-01,GLD,metal,0.00476299249887975,0.025285027690795558,0.027317341599319738,74,0.8577083326730484,0.921003410519307,0.06329507784625865
har_cpu,2013-04-01,GLD,metal,0.15169785311067865,0.01205402905182937,0.011559627105813685,75,9.05233380759303,9.54870283930099,0.4963690317079603
har_cpu,2013-04-01,USO,energy,0.06326592255477491,0.028991999259533646,0.02844326541392565,72,0.40185864271472016,0.4248493671392055,0.022990724424485354
har_cpu,2013-05-01,GLD,metal,0.04970006881770304,0.08316454747232618,0.08449074985985523,76,0.11242607289686446,0.1188666294914289,0.006440556594564439
har_cpu,2013-05-01,USO,energy,0.04510394476205563,0.06188829413075116,0.061934654695096396,73,0.04515740016350023,0.045360687449505166,0.0002032872860049384
har_cpu,2013-06-01,GLD,metal,0.0981009565082071,0.07085556868848822,0.07235948007049135,77,0.05916650865222994,0.051393711552121246,-0.007772797100108697
har_cpu,2013-06-01,USO,energy,0.03452383850057977,0.05687254019315238,0.05934424659990086,74,0.10620136962596272,0.12346056322310073,0.01725919359713801
har_cpu,2013-07-01,GLD,metal,0.03961018373111966,0.10171065543886357,0.10435071155973727,78,0.3324856837949828,0.3482582999231967,0.0157726161282139
har_cpu,2013-07-01,USO,energy,0.03915090455861396,0.053190164626321514,0.054691366034855436,75,0.04250531387423684,0.050133976648641054,0.007628662774404216
har_cpu,2013-08-01,GLD,metal,0.026893067286402297,0.06119168875177012,0.060755477086631864,79,0.2616317325766777,0.2576330315908866,-0.003998700985791137
har_cpu,2013-08-01,USO,energy,0.032330087786443765,0.05109564827899637,0.04840401797775608,76,0.09043764559897927,0.07150609144556652,-0.018931554153412744
har_cpu,2013-09-01,GLD,metal,0.06549991745727789,0.051052706446679266,0.05383152566549267,80,0.03379586879520202,0.020567982433611576,-0.013227886361590446
har_cpu,2013-09-01,USO,energy,0.034194357144163454,0.04418278418117742,0.046344007202274974,77,0.03020401415558993,0.04186908606333439,0.011665071907744462
har_cpu,2013-10-01,GLD,metal,0.038975296017384455,0.0518424921569972,0.05142162520168006,81,0.0370842447242381,0.035086149528534394,-0.0019980951957037085
