Date,adjclose,high,low,close,volume
1998-01-02,17.895402908325195,24.25,23.5625,24.0,426300
1998-01-05,18.36142349243164,25.125,23.875,24.625,1209700
1998-01-06,18.175024032592773,24.5,24.125,24.375,198500
1998-01-07,17.988609313964844,24.25,23.625,24.125,355200
1998-01-08,17.988609313964844,24.4375,23.875,24.125,416000
1998-01-09,17.475976943969727,24.0,23.375,23.4375,157000
1998-01-12,17.14975357055664,23.1875,22.625,23.0,419100
1998-01-13,17.336172103881836,23.5625,22.875,23.25,419900
1998-01-14,18.454633712768555,24.75,23.5,24.75,380300
1998-01-15,18.36142349243164,25.25,24.5,24.625,317100
1998-01-16,18.687652587890625,25.5625,24.5,25.0625,291600
1998-01-20,19.29347801208496,25.875,24.9375,25.875,300300
1998-01-21,19.573104858398438,26.375,25.0,26.25,236100
1998-01-22,19.479896545410156,26.4375,25.6875,26.125,417300
1998-01-23,18.73426055908203,25.875,24.5625,25.125,403900
1998-01-26,19.246883392333984,26.0,24.5,25.8125,136600
1998-01-27,18.920665740966797,25.8125,25.0,25.375,251300
1998-01-28,18.780853271484375,25.1875,24.75,25.1875,242100
1998-01-29,18.920665740966797,25.8125,24.625,25.375,503600
1998-01-30,19.20027732849121,25.875,25.375,25.75,477700
1998-02-02,20.598352432250977,27.9375,26.5625,27.625,1353900
1998-02-03,19.99252700805664,27.8125,25.5,26.8125,1114400
1998-02-04,20.178932189941406,27.0625,26.3125,27.0625,401600
1998-02-05,20.03912353515625,27.25,26.5,26.875,212500
1998-02-06,20.03912353515625,27.0,26.6875,26.875,368700
1998-02-09,20.225536346435547,27.125,26.5,27.125,216900
1998-02-10,20.178932189941406,27.1875,26.75,27.0625,383000
1998-02-11,20.225536346435547,27.125,26.625,27.125,231500
1998-02-12,20.738157272338867,27.875,26.9375,27.8125,240800
1998-02-13,20.50515365600586,27.625,27.25,27.5,146100
1998-02-17,20.411945343017578,27.5,27.25,27.375,165300
1998-02-18,20.132335662841797,27.5,26.6875,27.0,275600
1998-02-19,20.598352432250977,27.875,26.625,27.625,374300
1998-02-20,21.204187393188477,28.9375,27.4375,28.4375,516000
1998-02-23,20.877975463867188,28.4375,27.6875,28.0,273700
1998-02-24,20.9711856842041,28.5625,27.875,28.125,279200
1998-02-25,21.204187393188477,29.0,28.0,28.4375,223700
1998-02-26,21.297393798828125,28.75,28.375,28.5625,131400
1998-02-27,21.06437873840332,28.5,27.75,28.25,256300
1998-03-02,20.877975463867188,28.4375,27.9375,28.0,330700
1998-03-03,20.784765243530273,28.1875,27.375,27.875,128900
1998-03-04,20.877975463867188,28.0,27.625,28.0,113700
1998-03-05,20.691553115844727,28.1875,27.4375,27.75,152100
1998-03-06,20.877975463867188,28.0625,27.5,28.0,211200
1998-03-09,21.11098289489746,28.4375,27.875,28.3125,89900
1998-03-10,21.9498291015625,29.875,28.3125,29.4375,420200
1998-03-11,21.71681785583496,29.5,28.9375,29.125,150100
1998-03-12,22.276052474975586,30.5,28.75,29.875,463500
1998-03-13,22.08963394165039,30.3125,29.5,29.625,340000
1998-03-16,22.695470809936523,30.75,30.0625,30.4375,288300
1998-03-17,21.90323829650879,29.875,29.0,29.375,326800
1998-03-18,21.81002426147461,29.3125,28.8125,29.25,601600
1998-03-19,22.5556640625,30.625,29.1875,30.25,518700
1998-03-20,22.276052474975586,30.6875,29.8125,29.875,245500
1998-03-23,22.509057998657227,30.6875,29.6875,30.1875,217200
1998-03-24,22.975074768066406,30.9375,30.25,30.8125,194500
1998-03-25,22.5556640625,31.0,30.125,30.25,166300
1998-03-26,22.509057998657227,30.1875,29.5,30.1875,192600
1998-03-27,22.276052474975586,30.0,29.625,29.875,121400
1998-03-30,22.322656631469727,30.25,29.5,29.9375,492700
1998-03-31,22.41585350036621,30.1875,29.6875,30.0625,525000
1998-04-01,22.322656631469727,30.1875,29.625,29.9375,218000
1998-04-02,21.90323829650879,30.0625,29.375,29.375,79300
1998-04-03,21.996431350708008,29.875,29.0,29.5,236900
1998-04-06,22.136234283447266,29.9375,29.3125,29.6875,137600
1998-04-07,21.996431350708008,29.75,29.125,29.5,580800
1998-04-08,21.81002426147461,29.75,29.0,29.25,197700
1998-04-09,21.71681785583496,29.375,28.875,29.125,316500
1998-04-13,21.71681785583496,29.375,28.5625,29.125,108900
1998-04-14,21.25079345703125,28.6875,28.375,28.5,368500
1998-04-15,20.831361770629883,28.3125,27.875,27.9375,481500
1998-04-16,20.831361770629883,28.0,27.5,27.9375,105700
1998-04-17,20.831361770629883,28.1875,27.875,27.9375,117600
1998-04-20,20.738157272338867,28.4375,27.75,27.8125,554200
1998-04-21,20.877975463867188,28.0625,27.5625,28.0,360200
1998-04-22,21.48380470275879,28.875,27.625,28.8125,303900
1998-04-23,21.25079345703125,28.9375,28.375,28.5,251700
1998-04-24,20.92457389831543,28.5,27.875,28.0625,199600
1998-04-27,20.551748275756836,27.875,26.875,27.5625,416500
1998-04-28,20.784765243530273,28.1875,27.4375,27.875,324800
1998-04-29,20.50515365600586,27.875,27.25,27.5,220700
1998-04-30,20.9711856842041,28.375,27.875,28.125,187000
1998-05-01,20.691553115844727,28.0,27.25,27.75,181300
1998-05-04,20.738157272338867,28.0,27.5,27.8125,115800
1998-05-05,20.50515365600586,27.8125,27.375,27.5,279900
1998-05-06,20.50515365600586,28.0,27.1875,27.5,120100
1998-05-07,21.25079345703125,28.875,27.5,28.5,144900
1998-05-08,21.996431350708008,29.875,28.5,29.5,173600
1998-05-11,22.276052474975586,30.375,29.5,29.875,289800
1998-05-12,22.369251251220703,30.0,29.0,30.0,169200
1998-05-13,21.9498291015625,30.3125,29.125,29.4375,173900
1998-05-14,21.71681785583496,29.5,29.125,29.125,147400
1998-05-15,22.182844161987305,29.875,29.25,29.75,155000
1998-05-18,23.06829071044922,31.25,29.5625,30.9375,556100
1998-05-19,23.021690368652344,31.1875,30.375,30.875,861300
1998-05-20,23.114892959594727,31.375,30.75,31.0,508800
1998-05-21,22.928485870361328,31.1875,30.375,30.75,209400
1998-05-22,22.83528709411621,30.625,30.375,30.625,194900
1998-05-26,22.276052474975586,31.0,29.875,29.875,200700
1998-05-27,22.182844161987305,29.75,29.0,29.75,124400
1998-05-28,22.509057998657227,30.5,29.3125,30.1875,98900
1998-05-29,22.742080688476562,30.75,29.9375,30.5,126400
1998-06-01,22.182844161987305,30.5,29.5,29.75,79900
1998-06-02,21.71681785583496,29.625,29.0,29.125,110200
1998-06-03,21.437211990356445,29.375,28.75,28.75,143400
1998-06-04,21.25079345703125,28.875,27.875,28.5,197800
1998-06-05,21.11098289489746,28.9375,28.0,28.3125,138300
1998-06-08,21.204187393188477,28.6875,28.125,28.4375,120600
