Date,adjclose,high,low,close,volume
1998-01-02,6.214245319366455,21.25,21.0625,21.125,580400
1998-01-05,6.159090995788574,21.46875,20.84375,20.9375,1190800
1998-01-06,6.113125801086426,20.9375,20.6875,20.78125,1326800
1998-01-07,6.057966709136963,20.625,20.4375,20.59375,988000
1998-01-08,6.149895668029785,20.9375,20.59375,20.90625,971200
1998-01-09,5.956848621368408,21.0625,20.25,20.25,1833800
1998-01-12,6.002814769744873,20.4375,20.0625,20.40625,1098800
1998-01-13,5.929271221160889,20.5,20.125,20.15625,491600
1998-01-14,5.993620872497559,20.375,19.96875,20.375,764800
1998-01-15,5.975235939025879,20.375,20.3125,20.3125,3751600
1998-01-16,5.984430313110352,20.40625,20.3125,20.34375,975200
1998-01-20,5.984430313110352,20.375,20.3125,20.34375,808800
1998-01-21,6.002814769744873,20.40625,20.3125,20.40625,914600
1998-01-22,5.929271221160889,20.3125,19.9375,20.15625,761800
1998-01-23,5.818957328796387,20.21875,19.75,19.78125,635600
1998-01-26,5.883308410644531,20.09375,19.8125,20.0,578400
1998-01-27,5.818957328796387,20.0,19.78125,19.78125,748200
1998-01-28,5.837345600128174,19.875,19.6875,19.84375,680600
1998-01-29,5.920076847076416,20.125,19.75,20.125,1459600
1998-01-30,5.8741135597229,20.3125,19.90625,19.96875,1522000
1998-02-02,5.855731010437012,20.0625,19.78125,19.90625,1225800
1998-02-03,5.8741135597229,19.96875,19.78125,19.96875,770600
1998-02-04,5.9016900062561035,20.125,19.78125,20.0625,784800
1998-02-05,5.864924907684326,20.1875,19.875,19.9375,548000
1998-02-06,5.9384636878967285,20.28125,20.0625,20.1875,925600
1998-02-09,5.920076847076416,20.21875,20.03125,20.125,596600
1998-02-10,5.94765567779541,20.375,20.15625,20.21875,1615200
1998-02-11,5.956848621368408,20.34375,20.15625,20.25,491400
1998-02-12,5.9384636878967285,20.25,20.03125,20.1875,540400
1998-02-13,5.920076847076416,20.15625,20.0,20.125,651000
1998-02-17,5.9384636878967285,20.1875,20.0625,20.1875,523400
1998-02-18,5.984430313110352,20.40625,20.15625,20.34375,726600
1998-02-19,5.929271221160889,20.25,20.125,20.15625,487000
1998-02-20,5.956848621368408,20.28125,20.0625,20.25,449200
1998-02-23,6.002814769744873,20.40625,20.1875,20.40625,613600
1998-02-24,5.993620872497559,20.40625,20.21875,20.375,839200
1998-02-25,6.039583206176758,20.625,20.4375,20.53125,1094400
