Date,adjclose,high,low,close,volume
1998-01-02,13.284577369689941,28.375,28.0,28.28125,607200
1998-01-05,13.446048736572266,28.625,28.21875,28.625,1768200
1998-01-06,13.31394100189209,28.75,28.125,28.34375,1237200
1998-01-07,13.446048736572266,28.625,28.0625,28.625,1658600
1998-01-08,13.475409507751465,28.75,28.3125,28.6875,1588600
1998-01-09,13.328620910644531,28.75,28.09375,28.375,2305400
1998-01-12,13.592842102050781,29.15625,27.75,28.9375,2503200
1998-01-13,13.813027381896973,29.40625,28.9375,29.40625,1994600
1998-01-14,14.282757759094238,30.46875,29.34375,30.40625,3515600
1998-01-15,14.488263130187988,31.125,30.3125,30.84375,3762800
1998-01-16,14.546979904174805,31.125,30.625,30.96875,1648200
1998-01-20,14.723130226135254,31.5,30.84375,31.34375,1652400
1998-01-21,14.620372772216797,31.28125,30.65625,31.125,1446600
1998-01-22,14.664408683776855,31.34375,30.6875,31.21875,1415400
1998-01-23,14.591014862060547,31.21875,30.59375,31.0625,1381000
1998-01-26,14.312124252319336,31.0,30.3125,30.46875,1694200
1998-01-27,14.488263130187988,31.0625,30.375,30.84375,1482600
1998-01-28,14.47358512878418,30.96875,30.5,30.8125,1595200
1998-01-29,14.238720893859863,30.5625,30.1875,30.3125,3247200
1998-01-30,14.20936393737793,30.5625,30.03125,30.25,1477400
1998-02-02,14.47358512878418,31.0,30.65625,30.8125,2697600
1998-02-03,14.38550853729248,30.875,30.3125,30.625,1091800
1998-02-04,14.488263130187988,30.875,30.1875,30.84375,1186000
1998-02-05,14.591014862060547,31.125,30.625,31.0625,1399400
1998-02-06,15.016714096069336,32.0,31.25,31.96875,1901000
1998-02-09,15.22221851348877,32.46875,31.625,32.40625,2232200
1998-02-10,14.972676277160645,32.4375,31.8125,31.875,1669800
1998-02-11,15.016714096069336,31.96875,31.5,31.96875,979400
1998-02-12,14.987361907958984,32.09375,31.28125,31.90625,1142800
1998-02-13,14.811202049255371,31.875,31.375,31.53125,915400
1998-02-17,14.913960456848145,31.9375,31.4375,31.75,1492400
1998-02-18,15.013059616088867,32.15625,31.5,31.8125,1115600
1998-02-19,14.865585327148438,31.84375,31.1875,31.5,1127000
1998-02-20,14.791847229003906,31.5,30.90625,31.34375,976000
1998-02-23,14.791847229003906,31.5,30.875,31.34375,953800
1998-02-24,14.732856750488281,31.21875,30.75,31.21875,1189200
1998-02-25,15.086803436279297,31.96875,31.28125,31.96875,1174800
1998-02-26,14.998320579528809,31.9375,31.5625,31.78125,2099000
1998-02-27,15.057302474975586,31.9296875,31.21875,31.90625,965800
1998-03-02,15.204782485961914,32.21875,31.65625,32.21875,1034200
1998-03-03,15.16053295135498,32.1875,31.5625,32.125,1149800
1998-03-04,14.968825340270996,32.0,31.4375,31.71875,1369200
1998-03-05,15.013059616088867,32.03125,31.5625,31.8125,1078800
1998-03-06,15.602960586547852,33.0625,31.5625,33.0625,1454000
1998-03-09,15.3670015335083,32.875,32.3125,32.5625,1056200
1998-03-10,15.278521537780762,32.53125,32.3125,32.375,915000
1998-03-11,15.337510108947754,32.6875,32.09375,32.5,1052000
1998-03-12,15.219527244567871,32.59375,32.125,32.25,605800
1998-03-13,15.027810096740723,32.25,31.6875,31.84375,1157000
1998-03-16,15.16053295135498,32.1875,31.84375,32.125,1129000
1998-03-17,15.308015823364258,32.4375,31.875,32.4375,881400
1998-03-18,15.278521537780762,32.5,32.0625,32.375,1177400
1998-03-19,15.101556777954102,32.4375,31.78125,32.0,1215400
1998-03-20,15.484989166259766,33.0,32.0,32.8125,2130000
1998-03-23,15.425990104675293,33.125,32.53125,32.6875,2199000
1998-03-24,15.514474868774414,33.0,32.5625,32.875,831000
1998-03-25,15.131037712097168,33.09375,31.75,32.0625,2032000
1998-03-26,15.013059616088867,31.9375,31.28125,31.8125,2892800
1998-03-27,15.16053295135498,32.125,31.53125,32.125,1530600
1998-03-30,15.042559623718262,32.0625,31.5,31.875,1108800
1998-03-31,15.381747245788574,32.90625,31.90625,32.59375,1816400
1998-04-01,15.057302474975586,32.5,31.8125,31.90625,1556000
1998-04-02,15.352264404296875,32.59375,31.5,32.53125,2192600
1998-04-03,15.352264404296875,32.71875,32.3125,32.53125,1252600
1998-04-06,15.514474868774414,33.0,32.65625,32.875,2174600
1998-04-07,15.602960586547852,33.09375,32.625,33.0625,2278000
1998-04-08,15.57347583770752,33.21875,32.8125,33.0,1443000
1998-04-09,15.632460594177246,33.21875,32.8125,33.125,797600
1998-04-13,15.558722496032715,32.96875,32.21875,32.96875,1291800
1998-04-14,15.735696792602539,33.375,32.875,33.34375,1146800
1998-04-15,15.8389310836792,33.71875,33.25,33.5625,1356400
1998-04-16,15.588214874267578,33.5,32.75,33.03125,1062400
1998-04-17,15.676708221435547,33.3125,32.875,33.21875,1251400
1998-04-20,15.543970108032227,33.21875,32.53125,32.9375,1565600
1998-04-21,15.278521537780762,32.9375,32.125,32.375,2158400
1998-04-22,15.322755813598633,32.8125,32.34375,32.46875,1211800
