Date,ABNB,COIN,RIVN,HOOD,GEHC,KVUE,ARM,CAVA,VLTO,BIRK,SPY,QQQ,IWM,DIA,XLK,XLF,XLY,XLI,XLV,XLE,XLP,XLU,SMH,HYG,TLT,GLD,USO,UUP,EEM,EFA
2015-01-02,,,,,,,,,,,169.6878662109375,94.56114959716797,102.54312896728516,141.2525177001953,18.06273651123047,16.21797752380371,31.57374382019043,46.09798812866211,56.80729675292969,25.36513900756836,35.618247985839844,16.40650749206543,24.292722702026367,48.79640197753906,93.00154876708984,114.08000183105469,159.1199951171875,20.216691970825195,30.198091506958008,43.09861755371094
2015-01-05,,,,,,,,,,,166.6233673095703,93.1740493774414,101.17218780517578,138.79168701171875,17.78699493408203,15.876960754394531,30.969865798950195,45.02120590209961,56.517608642578125,24.31583023071289,35.36779022216797,16.205921173095703,23.860279083251953,48.3443717956543,94.46244812011719,115.80000305175781,150.32000732421875,20.258464813232422,29.660654067993164,42.08126449584961
2015-01-06,,,,,,,,,,,165.05389404296875,91.92476654052734,99.42192077636719,137.640625,17.572540283203125,15.634315490722656,30.66131591796875,44.466487884521484,56.32722854614258,23.958620071411133,35.323585510253906,16.21630096435547,23.298545837402344,48.159202575683594,96.16436767578125,117.12000274658203,144.39999389648438,20.300233840942383,29.53602409362793,41.604610443115234
2015-01-07,,,,,,,,,,,167.11070251464844,93.1097412109375,100.64627838134766,139.3870391845703,17.72135353088379,15.798270225524902,31.14618492126465,44.80093002319336,57.651580810546875,24.009645462036133,35.92766189575195,16.37538719177246,23.601701736450195,48.45872116088867,95.97447967529297,116.43000030517578,146.9600067138672,20.37541961669922,30.174724578857422,42.067039489746094
2015-01-08,,,,,,,,,,,170.0760498046875,94.89186096191406,102.35342407226562,141.90342712402344,18.110881805419922,16.03435516357422,31.6134090423584,45.69826126098633,58.6365966796875,24.548648834228516,36.47279739379883,16.4895076751709,24.190185546875,48.8236198425293,94.7034683227539,115.94000244140625,148.39999389648438,20.458959579467773,30.688804626464844,42.63618850708008
2015-01-09,,,,,,,,,,,168.71310424804688,94.2671890258789,101.37053680419922,140.68089294433594,18.053987503051758,15.817937850952148,31.247554779052734,45.20882034301758,58.1151237487793,24.354106903076172,36.17812728881836,16.385753631591797,24.11884880065918,49.06866455078125,95.74066162109375,117.26000213623047,146.24000549316406,20.367067337036133,30.587541580200195,42.42985916137695
2015-01-12,,,,,,,,,,,167.3915252685547,93.28431701660156,101.03427124023438,139.90306091308594,17.84389305114746,15.68678092956543,31.08005142211914,44.89883041381836,58.13996505737305,23.652437210083008,36.067626953125,16.34771156311035,23.811237335205078,49.00876998901367,96.28854370117188,118.55999755859375,139.27999877929688,20.367067337036133,30.338287353515625,42.33027648925781
2015-01-13,,,,,,,,,,,166.9207305908203,93.25672912597656,101.11183166503906,139.6966094970703,17.830772399902344,15.634315490722656,31.08005142211914,44.80910873413086,57.883338928222656,23.46426773071289,36.060245513916016,16.392675399780273,23.677494049072266,49.00876998901367,96.28854370117188,118.16000366210938,140.9600067138672,20.425546646118164,30.603116989135742,42.543701171875
2015-01-14,,,,,,,,,,,165.9130096435547,92.74231719970703,100.70658111572266,138.1724395751953,17.730100631713867,15.411340713500977,30.70539093017578,44.564388275146484,57.79231643676758,23.537614822387695,35.94974899291992,16.534461975097656,23.588329315185547,48.894412994384766,97.01901245117188,117.97000122070312,146.16000366210938,20.383771896362305,30.431758880615234,42.42275619506836
2015-01-15,,,,,,,,,,,164.39308166503906,91.5389404296875,99.00802612304688,137.378662109375,17.502521514892578,15.221158981323242,30.308671951293945,44.352291107177734,57.171512603759766,23.237817764282227,36.00868225097656,16.665884017944336,23.717615127563477,48.594871520996094,98.5456314086914,120.94000244140625,139.60000610351562,20.450605392456055,30.501863479614258,42.693092346191406
