Date,qqq,hyg,lqd,vix,hy_oas,ig_oas,qqq_rv,hyg_rv,lqd_rv
2023-08-07,368.7513427734375,63.266658782958984,93.14196014404297,15.770000457763672,3.97,1.22,16.796837445199547,7.470300793490292,10.666507822421668
2023-08-08,365.6159973144531,63.40201187133789,93.51225280761719,15.989999771118164,4.0,1.23,17.07729741494143,7.282992811047868,10.626289052264513
2023-08-09,361.5962219238281,63.41044998168945,93.60043334960938,15.960000038146973,3.94,1.23,16.926221874994347,6.7553643516901145,10.11150213376246
2023-08-10,362.2645568847656,63.39353561401367,92.9391860961914,15.850000381469727,3.83,1.22,15.65976138379864,6.387050579914982,9.9621597341197
2023-08-11,359.95489501953125,63.30048370361328,92.62174987792969,14.84000015258789,3.83,1.22,15.750467532509607,5.844215336203611,9.69487240423791
2023-08-14,363.9944152832031,63.29203796386719,92.58650970458984,14.819999694824219,3.79,1.22,15.93626214369607,5.805255069189338,9.648212170896715
2023-08-15,360.1318054199219,63.0890007019043,92.10155487060547,16.459999084472656,3.85,1.23,15.804428709346025,5.808130113221059,9.660848021407707
2023-08-16,356.31842041015625,62.89443588256836,91.6871566772461,16.780000686645508,3.81,1.25,16.030851915261003,5.87054065364314,9.339766749047158
2023-08-17,352.42633056640625,62.6321907043457,91.44027709960938,17.889999389648438,3.95,1.26,14.489717643932332,5.853482126228594,9.173138471761554
2023-08-18,351.9841003417969,62.67449188232422,91.78413391113281,17.299999237060547,4.02,1.27,14.494507842369819,5.761767732504473,9.30073525179657
2023-08-21,357.655029296875,62.657569885253906,91.23748016357422,17.1299991607666,3.97,1.26,15.854490509732381,5.747813563858529,9.42344444840636
2023-08-22,357.1440124511719,62.691429138183594,91.51964569091797,16.969999313354492,3.93,1.25,15.540997638068948,5.760410606397514,9.588180125923829
2023-08-23,362.775634765625,63.198951721191406,92.80691528320312,15.979999542236328,3.92,1.25,16.750360448838737,6.333818442459337,10.885370296772487
2023-08-24,355.0210876464844,62.85214614868164,92.48950958251953,17.200000762939453,3.91,1.23,18.263315251143993,5.985961024718816,10.115957968746653
2023-08-25,357.77301025390625,63.11436462402344,92.54240417480469,15.680000305175781,3.9,1.23,17.082564908557003,5.805274428211133,9.762175674939296
2023-08-28,360.4659729003906,63.351226806640625,92.83335876464844,15.079999923706055,3.86,1.22,17.427928282381096,5.905870228221529,9.781396272711318
2023-08-29,368.3385009765625,63.74884033203125,93.573974609375,14.449999809265137,3.87,1.22,19.37631736953693,6.039032790558399,9.670382683100769
2023-08-30,370.39263916015625,63.723453521728516,93.44176483154297,13.880000114440918,3.8,1.22,17.802557839959857,5.791774300324062,9.424414048368284
2023-08-31,371.50323486328125,63.681156158447266,93.60043334960938,13.569999694824219,3.85,1.22,17.811162991521527,5.637120181118811,8.79461077806738
2023-09-01,371.11016845703125,63.800994873046875,92.93415069580078,13.09000015258789,3.81,1.22,17.71551677845906,5.316797760893714,8.41768262494103
2023-09-05,371.5819091796875,63.3845329284668,92.27052307128906,14.010000228881836,3.83,1.22,17.48405236624401,5.845456475776567,8.742296390026324
2023-09-06,368.30902099609375,63.231544494628906,92.18205261230469,14.449999809265137,3.86,1.23,17.50522905855481,5.857734099032961,8.584089029033068
2023-09-07,365.6750183105469,63.44403839111328,92.58906555175781,14.399999618530273,3.9,1.23,17.221430149657255,5.987466430549629,8.759084797345183
2023-09-08,366.18609619140625,63.41853713989258,92.65985107421875,13.84000015258789,3.85,1.23,17.21771499816985,5.988537405338195,8.41755095873488
2023-09-11,370.5007629394531,63.52900314331055,92.48287200927734,13.800000190734863,3.82,1.23,17.448830369611176,5.99107872258977,8.356586259106988
2023-09-12,366.39251708984375,63.427040100097656,92.45632934570312,14.229999542236328,3.84,1.23,17.59765532119607,6.024024903371889,8.356198755579456
2023-09-13,367.78814697265625,63.59700012207031,92.65985107421875,13.479999542236328,3.85,1.24,17.142058176565683,5.955917739034148,8.159677154442434
2023-09-14,370.79559326171875,63.67348861694336,92.49174499511719,12.819999694824219,3.78,1.23,16.73417945169671,5.815560453265034,8.003529659203613
2023-09-15,364.44647216796875,63.435546875,92.35016632080078,13.789999961853027,3.79,1.22,17.5116035830188,5.769930467528744,7.953590590744125
2023-09-18,364.826416015625,63.478004455566406,92.52714538574219,14.0,3.82,1.22,17.479534928123012,5.769925569929685,7.880121516669865
2023-09-19,364.0488586425781,63.28254699707031,92.21744537353516,14.109999656677246,3.82,1.21,16.694035959002033,5.913261394319586,7.650389601320128
2023-09-20,358.8027038574219,63.231544494628906,92.2528305053711,15.140000343322754,3.77,1.2,17.55860321102574,5.931222451320782,7.590654087723216
2023-09-21,352.2278747558594,62.78111267089844,91.32373809814453,17.540000915527344,3.89,1.2,17.76437657990243,5.790651754389719,6.635748066465038
2023-09-22,352.27703857421875,62.8916015625,91.88118743896484,17.200000762939453,3.93,1.2,16.094320416361086,5.4968144644356185,6.987183697502671
2023-09-25,353.9503479003906,62.806617736816406,90.9875259399414,16.899999618530273,3.97,1.19,15.928958092961018,5.29175970361888,7.735130751796746
2023-09-26,348.6352844238281,62.5346565246582,90.73091125488281,18.940000534057617,4.04,1.2,16.432174870382337,5.261334632607617,7.61624915962871
2023-09-27,349.4522399902344,62.449668884277344,90.30620574951172,18.219999313354492,4.03,1.21,14.06582227555874,4.586890661928885,6.903128593963216
2023-09-28,352.3755187988281,62.74711227416992,90.46546936035156,17.34000015258789,4.09,1.23,14.311955079020994,5.024298835513054,7.016427252334828
2023-09-29,352.63140869140625,62.65363311767578,90.27081298828125,17.520000457763672,4.03,1.24,14.218964057724165,5.0305108418935385,6.907411892636092
2023-10-02,355.5743408203125,62.2734489440918,89.44380950927734,17.610000610351562,4.11,1.26,14.733909745941887,5.254612576646577,7.15266524787541
2023-10-03,349.3341369628906,61.6412239074707,88.41334533691406,19.780000686645508,4.26,1.28,15.662087777015774,5.871091129924943,7.731982178828447
2023-10-04,354.08807373046875,61.957332611083984,89.1861801147461,18.579999923706055,4.37,1.29,16.55743644470136,6.290876174687471,8.634870883344814
2023-10-05,353.0447692871094,62.01715087890625,89.07959747314453,18.489999771118164,4.38,1.29,16.44871046577686,6.125571515504188,8.33748962113959
2023-10-06,358.96026611328125,62.10258483886719,88.81310272216797,17.450000762939453,4.33,1.29,17.677185936320377,6.186128727361073,8.282869921468004
2023-10-09,360.7908935546875,62.56392288208008,89.91458892822266,17.700000762939453,4.34,1.29,17.195144058323727,6.818617168217965,9.743438757438767
2023-10-10,362.78900146484375,62.54685974121094,89.95012664794922,17.030000686645508,4.26,1.29,16.94868037137952,6.813233539486688,9.756849945088364
2023-10-11,365.37762451171875,62.53828811645508,90.5008773803711,16.09000015258789,4.25,1.27,17.099899974967535,6.70067060005264,10.040872767570448
2023-10-12,364.1079406738281,62.20509719848633,89.55928039550781,16.690000534057617,4.25,1.26,16.83173379596416,6.837490751045719,10.568440731805216
2023-10-13,359.5311279296875,62.153846740722656,90.0567398071289,19.31999969482422,4.3,1.27,16.30768056307394,6.769731531777225,10.869230007342354
2023-10-16,363.5960388183594,62.13676452636719,89.4349136352539,17.209999084472656,4.27,1.27,16.843632970051857,6.74673640542007,10.9796707186588
2023-10-17,362.4051208496094,61.846282958984375,88.72425079345703,17.8799991607666,4.25,1.27,16.86628738532622,6.833631409331299,11.1927131234725
2023-10-18,357.651123046875,61.5472412109375,88.01360321044922,19.219999313354492,4.32,1.29,16.724832373449864,6.956263362260426,11.35996211044791
2023-10-19,354.3046875,61.32511901855469,87.3029556274414,21.399999618530273,4.37,1.31,15.68168439025003,6.672872192339931,11.198523434147969
2023-10-20,349.0191345214844,61.453285217285156,87.64940643310547,21.709999084472656,4.52,1.33,16.599184591055717,6.6930602698954305,11.012560639815309
2023-10-23,350.0723876953125,61.701026916503906,88.33341979980469,20.3700008392334,4.51,1.33,16.538634797864212,6.939686775544521,11.205050806228135
2023-10-24,353.4778747558594,62.01715087890625,88.83085632324219,18.969999313354492,4.41,1.31,15.973004811480845,7.124546422868766,11.46817873600364
2023-10-25,344.8262634277344,61.68394088745117,88.02249908447266,20.190000534057617,4.37,1.3,18.32861105471621,7.335656443788806,11.760226222084702
2023-10-26,338.2513427734375,61.89753341674805,88.66207122802734,20.68000030517578,4.5,1.3,19.13032502348832,7.223510019884389,12.103914534713592
2023-10-27,339.8753356933594,61.82062530517578,88.48442077636719,21.270000457763672,4.53,1.31,19.262332902138848,7.220364798625926,12.102164052535649
2023-10-30,343.70416259765625,61.837711334228516,88.2179183959961,19.75,4.5,1.32,19.490464469769208,6.934798696203042,11.739711136059967
