date,adj_close,close,open,high,low,volume,adj_close_clean,ret_log,margin_buy_kntwd,margin_sell_kntwd,margin_cash_repay_kntwd,prev_balance_kntwd,today_balance_kntwd,twse_report_date,today_all_time_high,today_one_year_high,today_all_time_high_cool20,today_one_year_high_cool20,strict_prev_all_time_high,strict_prev_one_year_high,strict_prev_all_time_high_cool20,strict_prev_one_year_high_cool20,fwd_ret_5d,fwd_vol_5d_ann,fwd_down_5d,fwd_ret_20d,fwd_vol_20d_ann,fwd_down_20d,fwd_ret_60d,fwd_vol_60d_ann,fwd_down_60d,margin_balance_twd_trn
2014-01-02,9.329200744628906,14.637499809265137,14.675000190734863,14.6875,14.587499618530273,43048292.0,9.329200744628906,,10719223.0,10078559.0,157898.0,194476547.0,194959313.0,20140102,False,False,False,False,False,False,False,False,-0.017226923524573102,0.09342879912288644,True,-0.03387213255806001,0.1518693392320254,True,0.03770870598996695,0.12496668840383424,False,0.194959313
2014-01-03,9.21766471862793,14.462499618530273,14.612500190734863,14.612500190734863,14.425000190734863,58038024.0,9.21766471862793,-0.012027624918124721,9875716.0,8985084.0,146657.0,194959318.0,195703293.0,20140103,False,False,False,False,False,False,False,False,-0.005199298606448379,0.037919479723771174,True,-0.021844507639935277,0.14574475224863576,True,0.05302065527963746,0.1226963321266289,False,0.195703293
2014-01-06,9.193763732910156,14.425000190734863,14.4375,14.487500190734863,14.387499809265137,59483240.0,9.193763732910156,-0.0025963220840620293,10327406.0,9944665.0,142114.0,195704315.0,195944942.0,20140106,False,False,False,False,False,False,False,False,0.003460473705638148,0.054324246647514736,False,-0.01308327634189521,0.1470900219097016,True,0.05889015905748109,0.12276430997435926,False,0.195944942
2014-01-07,9.193763732910156,14.425000190734863,14.4375,14.475000381469727,14.425000190734863,52513328.0,9.193763732910156,0.0,10138275.0,8769248.0,118865.0,195944876.0,197195038.0,20140107,False,False,False,False,False,False,False,False,0.001731733711855654,0.05569332355778035,False,-0.0026029765223862366,0.1517215105634734,True,0.058072818557980674,0.12277573699451975,False,0.197195038
2014-01-08,9.209698677062988,14.449999809265137,14.425000190734863,14.487500190734863,14.425000190734863,30420860.0,9.209698677062988,0.001731733711855611,12834658.0,11810825.0,147984.0,197194975.0,198070824.0,20140108,False,False,False,False,False,False,False,False,0.010327279057397073,0.09124635532103485,False,-0.006944479929719876,0.15187971530117797,True,0.054704593053476414,0.12277024985821983,False,0.198070824
2014-01-09,9.1698637008667,14.387499809265137,14.412500381469727,14.449999809265137,14.350000381469727,34284912.0,9.1698637008667,-0.00433471023424196,13886654.0,13272657.0,122450.0,198070030.0,198561577.0,20140109,False,False,False,False,False,False,False,False,0.01722692352457306,0.08780929204540977,False,0.006926545887188497,0.15484365697742242,False,0.06394125399257664,0.12285983787805276,False,0.198561577
2014-01-10,9.1698637008667,14.387499809265137,14.375,14.412500381469727,14.375,18966496.0,9.1698637008667,0.0,10229496.0,9102744.0,177464.0,198561321.0,199510609.0,20140110,False,False,False,False,False,False,False,False,0.01893343611911222,0.08864110731131594,False,0.006926545887188497,0.15484365697742242,False,0.06312581516837355,0.12287120294609587,False,0.199510609
2014-01-13,9.22563362121582,14.475000381469727,14.5,14.550000190734863,14.449999809265137,24719476.0,9.22563362121582,0.0060634502280244975,9943236.0,9907962.0,170454.0,199510457.0,199375277.0,20140113,False,False,False,False,False,False,False,False,0.015424205038701202,0.07958064895064629,False,0.004308459898685392,0.15382744372409532,False,0.054612344852342544,0.12234430361250614,False,0.199375277
2014-01-14,9.209698677062988,14.449999809265137,14.425000190734863,14.462499618530273,14.399999618530273,17105764.0,9.209698677062988,-0.0017287399937824942,7602369.0,6959252.0,87040.0,199375274.0,199931351.0,20140114,False,False,False,False,False,False,False,False,0.01289221329033101,0.08424613020925777,False,0.006037199892467884,0.15370499931334966,False,0.06286108241989782,0.12302081245582742,False,0.199931351
2014-01-15,9.305302619934082,14.600000381469727,14.487500190734863,14.612500190734863,14.487500190734863,46703380.0,9.305302619934082,0.01032727905739703,9960270.0,9900310.0,121399.0,199931101.0,199869662.0,20140115,False,False,False,False,False,False,False,False,0.004271446827473142,0.04323064743369079,False,-0.012925953602903306,0.1523846770827485,True,0.05253380336250078,0.12118654623277532,False,0.199869662
