metric,n,mean,median,std,t_stat,p_value_normal,bootstrap_ci_low,bootstrap_ci_high,positive_count,negative_count,cluster_bootstrap_n_clusters,cluster_bootstrap_ci_low,cluster_bootstrap_ci_high
event_stock_rv_logratio_post20,16,-0.18317792458457408,-0.1705031161681903,0.9851125920683269,-0.7437847249520041,0.45700672270135323,-0.6716846545783274,0.2744381538405297,7,9,6,-0.8529179556649875,0.4037801868686917
event_stock_rv_logratio_post60,16,0.05662480906640416,0.14367370540345603,0.5842485345197961,0.38767617355134704,0.6982556902288934,-0.23125705003087296,0.32419757835818136,9,7,6,-0.27191023954106447,0.3062729194606855
sector_etf_rv_logratio_post60,16,0.33129355995259946,0.7419217283579802,0.9195948989553835,1.4410413121209495,0.14957301193939876,-0.14228377409594867,0.7408691826663204,11,5,6,-0.39382173552171146,0.8036876974902196
peer_avg_rv_logratio_post60,16,0.045917955972891,0.1252159083114434,0.577326077295387,0.31814226156562286,0.7503770275726807,-0.226297085032362,0.31829847494284413,9,7,6,-0.3861217467419203,0.34641706499260316
stock_minus_peer_rv_logratio_post60,16,0.010706853093513144,-0.21731234820236292,0.6443044238083543,0.06647077187660505,0.9470030268943002,-0.275297537968625,0.3395542333827277,7,9,6,-0.15435228117514274,0.20115599515788668
event_stock_jump_rate_delta_post60,16,0.021875000000000002,0.0,0.06374682272401824,1.3726174303434286,0.16987131029384628,-0.007291666666666665,0.053125000000000006,7,7,6,-0.005952380952380954,0.05111111111111111
peer_avg_jump_rate_delta_post60,16,0.01614583333333333,0.015624999999999997,0.030711728544958176,2.1028882577804535,0.03547553851169405,0.0005013020833333306,0.030264136904761898,11,5,6,-0.008333333333333335,0.031657268170426064
pairwise_corr_delta_post60,16,0.05681005796592098,0.06257912112147762,0.13889703180521476,1.6360337503997864,0.10183252400471199,-0.010313740730277056,0.12297212378865495,11,5,6,-0.03379036280291676,0.14110310288943526
xs_dispersion_logratio_post60,16,-0.0809309637732832,-0.07857185984360435,0.5414413281264175,-0.5978927693113752,0.5499114848474975,-0.3260935749338954,0.18492719599542584,7,9,6,-0.4493717411286134,0.27252152822467046
