ticker,company,index_name,effective_date,actual_event_trading_date,sector_etf,source,source_url,notes,valid_peer_count,valid_peers,event_stock_pre_rv,event_stock_post20_rv,event_stock_post60_rv,event_stock_rv_logratio_post20,event_stock_rv_logratio_post60,sector_etf_pre_rv,sector_etf_post60_rv,sector_etf_rv_logratio_post60,peer_avg_pre_rv,peer_avg_post60_rv,peer_avg_rv_logratio_post60,stock_minus_peer_rv_logratio_post60,event_stock_jump_rate_pre,event_stock_jump_rate_post60,event_stock_jump_rate_delta_post60,peer_avg_jump_rate_pre,peer_avg_jump_rate_post60,peer_avg_jump_rate_delta_post60,pairwise_corr_pre,pairwise_corr_post60,pairwise_corr_delta_post60,xs_dispersion_pre,xs_dispersion_post60,xs_dispersion_logratio_post60
SMCI,Super Micro Computer,S&P 500,2024-03-18,2024-03-18,XLK,"S&P Dow Jones Indices press release, 2024-03-01",https://press.spglobal.com/2024-03-01-Super-Micro-Computer-and-Deckers-Outdoor-Set-to-Join-S-P-500-Others-to-Join-S-P-100%2C-S-P-MidCap-400-and-S-P-SmallCap-600,,8,"NVDA,AMD,AVGO,DELL,HPE,ANET,CSCO,NTAP",2.1844540213371317,0.4332962893761898,0.8402509833953292,-1.6176994354148497,-0.9554205635223465,0.0388354791494184,0.030580176998157394,-0.23898225135689266,0.29255219192074505,0.1717788435758399,-0.5324352283631181,-0.4229853351592284,0.06666666666666667,0.016666666666666666,-0.05,0.05416666666666667,0.03125,-0.02291666666666667,0.3579417297467135,0.3950047761462965,0.037063046399582966,0.35835828633651623,0.16081340979012257,-0.8012885382721703
DECK,Deckers Outdoor,S&P 500,2024-03-18,2024-03-18,XLY,"S&P Dow Jones Indices press release, 2024-03-01",https://press.spglobal.com/2024-03-01-Super-Micro-Computer-and-Deckers-Outdoor-Set-to-Join-S-P-500-Others-to-Join-S-P-100%2C-S-P-MidCap-400-and-S-P-SmallCap-600,,7,"NKE,ONON,LULU,CROX,RL,TPR,VFC",0.20762556773037968,0.1283889944371792,0.18251244184087206,-0.4806716278563109,-0.12891795716320803,0.02274017561601247,0.021286054187771734,-0.06608108575667722,0.18257541107947386,0.14595574833385846,-0.22385981690612825,0.09494185974292021,0.03333333333333333,0.03333333333333333,0.0,0.047619047619047616,0.03571428571428571,-0.011904761904761904,0.2282749296070072,0.35213943295602823,0.12386450334902102,0.14906145662416254,0.10368823860474446,-0.3629699901734771
KKR,KKR & Co.,S&P 500,2024-06-24,2024-06-24,XLF,"S&P Dow Jones Indices press release, 2024-06-07",https://press.spglobal.com/2024-06-07-KKR%2C-CrowdStrike-Holdings-and-GoDaddy-Set-to-Join-S-P-500-Others-to-Join-S-P-MidCap-400-and-S-P-SmallCap-600,,8,"BX,APO,ARES,CG,BLK,BAM,TROW,BEN",0.18494317831005289,0.06665802696406098,0.116812667791631,-1.0204731596872643,-0.45947711199667157,0.013018461639787456,0.023950037624846585,0.6096014186569173,0.06741172057304531,0.09969048399451802,0.3912513274758325,-0.8507284394725041,0.03333333333333333,0.016666666666666666,-0.016666666666666666,0.03333333333333333,0.08333333333333334,0.05000000000000001,0.5376186295541646,0.6253209012884313,0.0877022717342667,0.03985661288615154,0.04289727546913749,0.07351997912485651
CRWD,CrowdStrike Holdings,S&P 500,2024-06-24,2024-06-24,XLK,"S&P Dow Jones Indices press release, 2024-06-07",https://press.spglobal.com/2024-06-07-KKR%2C-CrowdStrike-Holdings-and-GoDaddy-Set-to-Join-S-P-500-Others-to-Join-S-P-MidCap-400-and-S-P-SmallCap-600,,8,"PANW,FTNT,ZS,OKTA,DDOG,NET,S,GEN",0.295607788935018,0.5244151811058525,0.30623612638919445,0.5732501626436388,0.035322920942390174,0.027474122825367438,0.09439351210906004,1.2342277696345683,0.14680068919342912,0.1846458415033183,0.22936380912977142,-0.19404088818738124,0.1,0.05,-0.05,0.037500000000000006,0.05625,0.018749999999999996,0.3710849814095844,0.30712202520194953,-0.06396295620763487,0.11208336196143236,0.14509382086465183,0.25813767596014253
GDDY,GoDaddy,S&P 500,2024-06-24,2024-06-24,XLK,"S&P Dow Jones Indices press release, 2024-06-07",https://press.spglobal.com/2024-06-07-KKR%2C-CrowdStrike-Holdings-and-GoDaddy-Set-to-Join-S-P-500-Others-to-Join-S-P-MidCap-400-and-S-P-SmallCap-600,,8,"VRSN,AKAM,NET,WIX,SHOP,CRM,NOW,DDOG",0.026180772597468035,0.030624418480954776,0.07627034024441814,0.15677240928086483,1.0692588661912041,0.027474122825367438,0.09439351210906004,1.2342277696345683,0.22237658372264935,0.12764651007432049,-0.555107464304173,1.624366330495377,0.03333333333333333,0.2,0.16666666666666669,0.04166666666666667,0.05416666666666667,0.012499999999999997,0.19311872695695786,0.34617293921082454,0.15305421225386667,0.16442407561439987,0.0807686431387675,-0.710860107004289
PLTR,Palantir Technologies,S&P 500,2024-09-23,2024-09-23,XLK,"S&P Dow Jones Indices press release, 2024-09-06",https://press.spglobal.com/2024-09-06-Palantir-Technologies%2C-Dell-Technologies%2C-and-Erie-Indemnity-Set-to-Join-S-P-500-Others-to-Join-S-P-MidCap-400-and-S-P-SmallCap-600,,8,"SNOW,DDOG,MDB,CRM,NOW,ORCL,MSFT,AI",0.21385383842725922,0.16022252326004052,0.45151365717943026,-0.2887291642852728,0.7473128371899934,0.07724421503713595,0.03222994972228356,-0.8740758908633229,0.14979591915378682,0.22952716299881654,0.4267475510422362,0.3205652861477572,0.03333333333333333,0.11666666666666667,0.08333333333333334,0.04166666666666667,0.08750000000000001,0.04583333333333334,0.3917028999414731,0.3564110091142423,-0.03529189082723083,0.109541906558129,0.178836540320272,0.4901650217314003
DELL,Dell Technologies,S&P 500,2024-09-23,2024-09-23,XLK,"S&P Dow Jones Indices press release, 2024-09-06",https://press.spglobal.com/2024-09-06-Palantir-Technologies%2C-Dell-Technologies%2C-and-Erie-Indemnity-Set-to-Join-S-P-500-Others-to-Join-S-P-MidCap-400-and-S-P-SmallCap-600,,8,"HPQ,HPE,SMCI,NTAP,WDC,STX,CSCO,ANET",0.17442442066441122,0.16459860474202298,0.23282098209859103,-0.057981716868910974,0.288778312667836,0.07724421503713595,0.03222994972228356,-0.8740758908633229,0.19548072042872572,0.4033972472736869,0.7244600438538501,-0.4356817311860141,0.03333333333333333,0.1,0.06666666666666668,0.04583333333333334,0.07500000000000001,0.029166666666666674,0.44065366716450893,0.30751518096843167,-0.13313848619607727,0.12634431264860105,0.34113328497610484,0.9932624458014512
ERIE,Erie Indemnity,S&P 500,2024-09-23,2024-09-23,XLF,"S&P Dow Jones Indices press release, 2024-09-06",https://press.spglobal.com/2024-09-06-Palantir-Technologies%2C-Dell-Technologies%2C-and-Erie-Indemnity-Set-to-Join-S-P-500-Others-to-Join-S-P-MidCap-400-and-S-P-SmallCap-600,,8,"PGR,ALL,TRV,CB,AIG,HIG,CINF,WRB",0.05625256869506212,0.09974276426973268,0.09989523664306983,0.5727428087577443,0.5742702975352917,0.015498855197197618,0.029218298235082624,0.6340290019440912,0.03056420680020502,0.05125602235517765,0.5170035085849267,0.057266788950364966,0.03333333333333333,0.13333333333333333,0.1,0.05,0.10208333333333333,0.05208333333333333,0.5256033623107563,0.5602849826532764,0.03468162034252009,0.016484966701605583,0.027047973242213804,0.4951632195338275
PLTR,Palantir Technologies,Nasdaq-100,2024-12-23,2024-12-23,XLK,Nasdaq-100 annual reconstitution notice as summarized by Invesco QQQ,https://www.invesco.com/qqq-etf/en/etf-insights/innovation-loves-company.html,"Annual reconstitution proxy, not a fast-entry case.",8,"SNOW,DDOG,MDB,CRM,NOW,ORCL,MSFT,AI",0.40685002899742273,0.3065620319372125,0.7441483616958297,-0.28302451546746965,0.6037957874192059,0.029927726465346582,0.07030346760095729,0.8540357661136813,0.3790386957155789,0.24145728272346084,-0.4509457250697329,1.0547415124889388,0.06666666666666667,0.13333333333333333,0.06666666666666667,0.05416666666666667,0.05208333333333333,-0.00208333333333334,0.3376221200873393,0.4895906562634822,0.15196853617614292,0.2830427330206593,0.17181454720790204,-0.499182205101746
MSTR,MicroStrategy,Nasdaq-100,2024-12-23,2024-12-23,XLK,Nasdaq-100 annual reconstitution notice as summarized by Invesco QQQ,https://www.invesco.com/qqq-etf/en/etf-insights/innovation-loves-company.html,"Annual reconstitution proxy; peer set mixes software, crypto-linked, and broker proxies.",8,"COIN,MARA,RIOT,CLSK,HUT,HOOD,IBKR,SCHW",1.8613550406853296,1.0043162389569764,0.9335521072014111,-0.6169977882684017,-0.6900632373648014,0.029927726465346582,0.07030346760095729,0.8540357661136813,0.9665524030137751,0.6166219340492316,-0.44947942914745675,-0.2405838082173446,0.06666666666666667,0.016666666666666666,-0.05,0.05416666666666667,0.049999999999999996,-0.004166666666666673,0.59799720822605,0.6354531787347385,0.03745597050868854,0.48619868173139025,0.24058305162780133,-0.703551991560084
