ticker,index_name,effective_date,tau,date,event_stock_norm_sqret,sector_etf_norm_sqret,peer_avg_norm_sqret
SMCI,S&P 500,2024-03-18,-30,2024-02-02,0.00510834256768548,0.6868317180362468,0.7082648183373983
SMCI,S&P 500,2024-03-18,-29,2024-02-05,2.0997308187012553,0.03348828895791233,0.5320292449170909
SMCI,S&P 500,2024-03-18,-28,2024-02-06,0.08488160134938279,0.13721688363175175,0.5708809812006025
SMCI,S&P 500,2024-03-18,-27,2024-02-07,0.001000326087995832,1.1214074792803042,0.2653689977523361
SMCI,S&P 500,2024-03-18,-26,2024-02-08,0.050131518840181334,0.0633937507983876,0.3718721495442776
SMCI,S&P 500,2024-03-18,-25,2024-02-09,0.39916246434907,1.159673030661681,0.28854089984989695
SMCI,S&P 500,2024-03-18,-24,2024-02-12,0.2157895270326819,0.37787943521713785,0.07741747024421161
SMCI,S&P 500,2024-03-18,-23,2024-02-13,0.06438883920479561,1.9006610020117376,1.0527986943449281
SMCI,S&P 500,2024-03-18,-22,2024-02-14,1.3116317655116445,0.7020614296285564,0.4937440652657209
SMCI,S&P 500,2024-03-18,-21,2024-02-15,1.9857714996951585,0.028646048686217958,0.9967167809221098
SMCI,S&P 500,2024-03-18,-20,2024-02-16,5.736468797078722,0.5537495801662095,0.5120155752575507
SMCI,S&P 500,2024-03-18,-19,2024-02-20,0.045229845817223814,0.6779450102284598,0.4740039343536659
SMCI,S&P 500,2024-03-18,-18,2024-02-21,0.5686912806864568,0.25786219306145214,0.2027420718436733
SMCI,S&P 500,2024-03-18,-17,2024-02-22,9.319609015045577,6.727444421093159,4.284103774546202
SMCI,S&P 500,2024-03-18,-16,2024-02-23,1.8322408647273116,0.03539399067910229,0.21531942510194096
SMCI,S&P 500,2024-03-18,-15,2024-02-26,0.04081715876155384,0.006153880283698538,0.30643348649968
SMCI,S&P 500,2024-03-18,-14,2024-02-27,0.0984473001254594,0.004975175704427844,0.05420914660672995
SMCI,S&P 500,2024-03-18,-13,2024-02-28,0.19834953908395148,0.14502624358516106,0.0940471354186079
SMCI,S&P 500,2024-03-18,-12,2024-02-29,0.40085696119690273,0.7961537100304964,1.0382413509590893
SMCI,S&P 500,2024-03-18,-11,2024-03-01,0.22784461213130405,2.12531507668091,7.814517893715038
SMCI,S&P 500,2024-03-18,-10,2024-03-04,3.373127311391141,0.0,2.26747909345876
SMCI,S&P 500,2024-03-18,-9,2024-03-05,0.02676657650126677,4.018273624570393,1.0689373348325786
SMCI,S&P 500,2024-03-18,-8,2024-03-06,0.10786006564619359,0.4047272521512925,0.5152665150985698
SMCI,S&P 500,2024-03-18,-7,2024-03-07,0.1087030474174047,1.590877179342693,0.6908329870375657
SMCI,S&P 500,2024-03-18,-6,2024-03-08,0.03403327223131169,1.4565767925530244,1.9224503666499584
SMCI,S&P 500,2024-03-18,-5,2024-03-11,0.3348021828484959,0.04917431394363126,0.5769519136738719
SMCI,S&P 500,2024-03-18,-4,2024-03-12,0.6289544630163094,2.673343368125689,0.7489515479232961
SMCI,S&P 500,2024-03-18,-3,2024-03-13,0.05247189562399611,0.7657872442298798,0.35052960363341484
SMCI,S&P 500,2024-03-18,-2,2024-03-14,0.28857635790952424,0.00023838274371403213,0.42512164195912633
SMCI,S&P 500,2024-03-18,-1,2024-03-15,0.358552749420041,1.4997234939166773,1.08021109905211
SMCI,S&P 500,2024-03-18,0,2024-03-18,0.5007589257239197,0.15598711216920744,0.4873606447871913
SMCI,S&P 500,2024-03-18,1,2024-03-19,1.0177025426584998,0.17364511417853445,0.35705510816982733
SMCI,S&P 500,2024-03-18,2,2024-03-20,0.029699055654329835,0.8032208773318587,0.6097492169040333
SMCI,S&P 500,2024-03-18,3,2024-03-21,0.747373657020823,0.0033178242328039103,0.8080984983336815
SMCI,S&P 500,2024-03-18,4,2024-03-22,0.00015585391680139485,0.0007220038570418266,0.11735992495352532
SMCI,S&P 500,2024-03-18,5,2024-03-25,0.5578339401388199,0.2864370303649146,0.019380122002411584
SMCI,S&P 500,2024-03-18,6,2024-03-26,0.03392498145187949,0.11082101618916962,0.28376293343924963
SMCI,S&P 500,2024-03-18,7,2024-03-27,0.0003445309081514952,0.16820508848506,0.3404236571855953
SMCI,S&P 500,2024-03-18,8,2024-03-28,0.019624931806887288,0.030227400658666803,0.0455363756955985
SMCI,S&P 500,2024-03-18,9,2024-04-01,0.08099069521090996,0.05018187014739209,0.4275275856358325
SMCI,S&P 500,2024-03-18,10,2024-04-02,0.08171874223575695,0.6068621553199188,0.5851238772923439
SMCI,S&P 500,2024-03-18,11,2024-04-03,0.0036032944052207944,0.04575683686476806,0.6829172421695743
SMCI,S&P 500,2024-03-18,12,2024-04-04,0.3930123028321416,1.6491450472506926,1.569343137916065
SMCI,S&P 500,2024-03-18,13,2024-04-05,0.012626033097091462,0.8432001573132147,0.5447660685539873
SMCI,S&P 500,2024-03-18,14,2024-04-08,0.04993484801552922,0.008779922072519314,0.16017402674373693
SMCI,S&P 500,2024-03-18,15,2024-04-09,0.081133169280686,0.1642111873066906,2.043982640511458
SMCI,S&P 500,2024-03-18,16,2024-04-10,0.0026449894644376584,0.9866948725107838,0.6016688155584788
