symbol,fundingTime,fundingRate,markPrice,date
ETHUSDT,1574841600000,0.0001,,2019-11-27
ETHUSDT,1574870400000,0.0001,,2019-11-27
ETHUSDT,1574899200000,0.0001,,2019-11-28
ETHUSDT,1574928000000,1.401e-05,,2019-11-28
ETHUSDT,1574956800000,-0.0001061,,2019-11-28
ETHUSDT,1574985600000,-0.00022765,,2019-11-29
ETHUSDT,1575014400000,-0.00020527,,2019-11-29
ETHUSDT,1575043200000,-8.117e-05,,2019-11-29
ETHUSDT,1575072000000,1.27e-06,,2019-11-30
ETHUSDT,1575100800000,-3.953e-05,,2019-11-30
ETHUSDT,1575129600000,0.0001,,2019-11-30
ETHUSDT,1575158400000,0.0001,,2019-12-01
ETHUSDT,1575187200000,0.0001,,2019-12-01
ETHUSDT,1575216000000,0.0001,,2019-12-01
ETHUSDT,1575244800000,0.0001,,2019-12-02
ETHUSDT,1575273600000,0.0001,,2019-12-02
ETHUSDT,1575302400000,0.0001,,2019-12-02
ETHUSDT,1575331200000,0.0001,,2019-12-03
ETHUSDT,1575360000000,0.0001,,2019-12-03
ETHUSDT,1575388800000,0.0001,,2019-12-03
ETHUSDT,1575417600000,0.0001,,2019-12-04
ETHUSDT,1575446400000,0.0001,,2019-12-04
ETHUSDT,1575475200000,0.0001,,2019-12-04
ETHUSDT,1575504000000,1.618e-05,,2019-12-05
ETHUSDT,1575532800001,0.0001,,2019-12-05
ETHUSDT,1575561600000,0.0001,,2019-12-05
ETHUSDT,1575590400000,0.0001,,2019-12-06
ETHUSDT,1575619200000,8.067e-05,,2019-12-06
ETHUSDT,1575648000000,0.0001,,2019-12-06
ETHUSDT,1575676800000,0.0001,,2019-12-07
ETHUSDT,1575705600001,0.0001,,2019-12-07
ETHUSDT,1575734400000,0.0001,,2019-12-07
ETHUSDT,1575763200000,0.0001,,2019-12-08
ETHUSDT,1575792000000,0.0001,,2019-12-08
ETHUSDT,1575820800000,3.335e-05,,2019-12-08
ETHUSDT,1575849600000,0.0001,,2019-12-09
ETHUSDT,1575878400000,0.0001,,2019-12-09
ETHUSDT,1575907200000,0.0001,,2019-12-09
ETHUSDT,1575936000000,0.0001,,2019-12-10
ETHUSDT,1575964800001,0.0001,,2019-12-10
ETHUSDT,1575993600000,0.0001,,2019-12-10
ETHUSDT,1576022400000,0.0001,,2019-12-11
ETHUSDT,1576051200000,0.0001,,2019-12-11
ETHUSDT,1576080000000,0.0001,,2019-12-11
ETHUSDT,1576108800000,0.0001,,2019-12-12
ETHUSDT,1576137600001,0.0001,,2019-12-12
ETHUSDT,1576166400000,0.0001,,2019-12-12
ETHUSDT,1576195200000,0.0001,,2019-12-13
ETHUSDT,1576224000000,0.0001,,2019-12-13
ETHUSDT,1576252800000,0.0001,,2019-12-13
ETHUSDT,1576281600000,2.56e-06,,2019-12-14
ETHUSDT,1576310400000,9.895e-05,,2019-12-14
ETHUSDT,1576339200000,0.0001,,2019-12-14
ETHUSDT,1576368000000,0.0001,,2019-12-15
ETHUSDT,1576396800001,0.0001,,2019-12-15
ETHUSDT,1576425600000,0.0001,,2019-12-15
ETHUSDT,1576454400001,0.0001,,2019-12-16
ETHUSDT,1576483200000,0.0001,,2019-12-16
ETHUSDT,1576512000003,6.449e-05,,2019-12-16
ETHUSDT,1576540800008,0.0001,,2019-12-17
ETHUSDT,1576569600000,9.649e-05,,2019-12-17
ETHUSDT,1576598400000,3.382e-05,,2019-12-17
ETHUSDT,1576627200006,5.835e-05,,2019-12-18
ETHUSDT,1576656000000,9.072e-05,,2019-12-18
ETHUSDT,1576684800000,0.0001,,2019-12-18
ETHUSDT,1576713600001,0.0001,,2019-12-19
ETHUSDT,1576742400001,0.0001,,2019-12-19
ETHUSDT,1576771200000,0.0001,,2019-12-19
ETHUSDT,1576800000000,0.0001,,2019-12-20
ETHUSDT,1576828800000,0.0001,,2019-12-20
ETHUSDT,1576857600000,0.0001,,2019-12-20
ETHUSDT,1576886400000,0.0001,,2019-12-21
ETHUSDT,1576915200000,0.0001,,2019-12-21
ETHUSDT,1576944000000,0.0001,,2019-12-21
ETHUSDT,1576972800000,0.0001,,2019-12-22
ETHUSDT,1577001600001,0.0001,,2019-12-22
ETHUSDT,1577030400000,0.0001,,2019-12-22
ETHUSDT,1577059200000,0.0001,,2019-12-23
ETHUSDT,1577088000000,0.0001,,2019-12-23
ETHUSDT,1577116800000,0.0001,,2019-12-23
ETHUSDT,1577145600000,0.0001,,2019-12-24
ETHUSDT,1577174400000,0.0001,,2019-12-24
ETHUSDT,1577203200000,0.0001,,2019-12-24
ETHUSDT,1577232000000,0.0001,,2019-12-25
ETHUSDT,1577260800000,0.0001,,2019-12-25
ETHUSDT,1577289600000,0.0001,,2019-12-25
ETHUSDT,1577318400000,9.698e-05,,2019-12-26
ETHUSDT,1577347200000,0.0001,,2019-12-26
ETHUSDT,1577376000000,0.0001,,2019-12-26
ETHUSDT,1577404800001,0.0001,,2019-12-27
ETHUSDT,1577433600000,0.0001,,2019-12-27
ETHUSDT,1577462400000,0.0001,,2019-12-27
ETHUSDT,1577491200000,0.0001,,2019-12-28
ETHUSDT,1577520000000,0.0001,,2019-12-28
ETHUSDT,1577548800000,0.0001,,2019-12-28
ETHUSDT,1577577600000,0.0001,,2019-12-29
ETHUSDT,1577606400000,2.169e-05,,2019-12-29
ETHUSDT,1577635200000,8.291e-05,,2019-12-29
