date,open,high,low,close,volume,quote_volume,ret,rv1,range_var,funding_mean,funding_sum,funding_min,funding_max,funding_abs_mean,funding_count,asset,funding_lag1,funding_abs_lag1,funding_z_lag1,funding_abs_z_lag1,funding_q90_lag1,funding_q10_lag1,funding_abs_q90_lag1,pos_extreme_lag1,neg_extreme_lag1,abs_extreme_lag1,rv1_lag1,abs_ret_lag1,trailing_rv5_lag1,log_trailing_rv5_lag1,rv_fwd1,log_rv_fwd1,high_rv1_threshold,high_rv1,rv_fwd5,log_rv_fwd5,high_rv5_threshold,high_rv5
2019-11-27,146.0,155.66,125.03,152.52,115911.84,17460431.9833,,,0.048013764168771574,0.0001,0.0002,0.0001,0.0001,0.0001,2,ETH,,,,,,,,,,,,,,,,,,,,,,
2019-11-28,154.29,156.52,146.41,150.48,116824.07,17742043.26991,-0.013465549996588206,0.00018132103671061664,0.004458619124315518,2.636666666666666e-06,7.909999999999997e-06,-0.0001061,0.0001,7.337e-05,3,ETH,0.0001,0.0001,,,,,,,,,,,,,0.00018132103671061664,-8.615241408818346,,,0.0002903377975360672,-8.14446549032501,,
2019-11-29,150.56,157.4,150.55,154.41,167906.104,25824932.01289,0.025781217339997976,0.0006646711675322123,0.0019798122381408574,-0.00017136333333333335,-0.00051409,-0.00022765,-8.117e-05,0.00017136333333333335,3,ETH,2.636666666666666e-06,2.636666666666666e-06,,,,,,,,,0.00018132103671061664,0.013465549996588206,,,0.0006646711675322123,-7.316218123015866,,,0.00027438764412504466,-8.200968688180705,,
2019-11-30,154.4,155.15,149.66,151.38,370491.615,56539195.08197,-0.019818170451751528,0.00039275988005467736,0.0012978969030343814,2.058e-05,6.174e-05,-3.953e-05,0.0001,4.6933333333333333e-05,3,ETH,-0.00017136333333333335,0.00017136333333333335,,,,,,,,,0.0006646711675322123,0.025781217339997976,,,0.00039275988005467736,-7.842312122508028,,,0.0001701000183029231,-8.67912394508261,,
2019-12-01,151.38,152.5,145.5,150.65,394494.119,58741811.96827,-0.0048339663047110544,2.3367230235081846e-05,0.002207920019009464,0.0001,0.00030000000000000003,0.0001,0.0001,0.0001,3,ETH,2.058e-05,2.058e-05,,,,,,,,,0.00039275988005467736,0.019818170451751528,,,2.3367230235081846e-05,-10.6641758916106,,,0.00015880361463431572,-8.747842240932378,,
2019-12-02,150.72,151.3,146.67,148.59,395630.91,58829106.54673,-0.013768430308054283,0.00018956967314774778,0.0009659325563922228,0.0001,0.00030000000000000003,0.0001,0.0001,0.0001,3,ETH,0.0001,0.0001,,,,,,,,,2.3367230235081846e-05,0.0048339663047110544,,,0.00018956967314774778,-8.570753927414279,,,0.0001553763778553668,-8.769660133801953,,
2019-12-03,148.59,149.8,145.62,147.1,495996.573,73434360.19026,-0.010078207660864303,0.00010157026965550393,0.0008009229481358269,0.0001,0.00030000000000000003,0.0001,0.0001,0.0001,3,ETH,0.0001,0.0001,,,,,,,,,0.00018956967314774778,0.013768430308054283,0.0002903377975360672,-8.14446549032501,0.00010157026965550393,-9.194759677297464,,,0.00013318394048281501,-8.923779366564185,,
2019-12-04,147.12,152.22,142.96,145.35,684404.817,100448763.87067,-0.011968000602506865,0.00014323303842160467,0.003939065127831646,0.0001,0.00030000000000000003,0.0001,0.0001,0.0001,3,ETH,0.0001,0.0001,,,,,,,,,0.00010157026965550393,0.010078207660864303,0.00027438764412504466,-8.200968688180705,0.00014323303842160467,-8.851037607832097,,,0.000211902600014854,-8.459383818037399,,
2019-12-05,145.36,148.88,143.77,148.04,441113.912,64620018.03792,0.01833788051307022,0.00033627786171164047,0.0012198123368388416,7.206e-05,0.00021618,1.618e-05,0.0001,7.206e-05,3,ETH,0.0001,0.0001,,,,,,,,,0.00014323303842160467,0.011968000602506865,0.0001701000183029231,-8.67912394508261,0.00033627786171164047,-7.9975727673982355,,,0.0002666387548661303,-8.229615789944283,,
2019-12-06,148.08,149.5,145.66,148.41,334645.217,49359338.35101,0.002496206389771716,6.231046340337145e-06,0.0006771056618648079,9.355666666666666e-05,0.00028067,8.067e-05,0.0001,9.355666666666666e-05,3,ETH,7.206e-05,7.206e-05,,,,,,,,,0.00033627786171164047,0.01833788051307022,0.00015880361463431572,-8.747842240932378,6.231046340337145e-06,-11.985966126880554,,,0.00023026806048074048,-8.376266442992247,,
