date,crude_inventory
1982-08-27,338764.0
1982-09-03,336138.0
1982-10-01,335586.0
1982-10-08,334786.0
1982-10-15,335260.0
1982-10-22,326979.0
1982-10-29,334370.0
1982-11-05,333067.0
1982-11-12,331057.0
1982-11-19,323448.0
1982-11-26,331264.0
1982-12-03,325639.0
1982-12-10,332447.0
1982-12-17,337943.0
1982-12-24,338912.0
1982-12-31,335061.0
1983-01-07,330150.0
1983-01-14,326701.0
1983-01-21,339028.0
1983-01-28,334178.0
1983-02-04,339617.0
1983-02-11,332527.0
1983-02-18,338719.0
1983-02-25,342040.0
1983-03-04,349452.0
1983-03-11,339216.0
1983-03-18,341753.0
1983-03-25,335901.0
1983-04-01,337155.0
1983-04-08,331215.0
1983-04-15,335263.0
1983-04-22,340539.0
1983-05-06,342707.0
1983-05-20,342703.0
1983-05-27,345545.0
1983-06-10,334607.0
1983-06-17,333407.0
1983-06-24,332713.0
1983-07-01,331611.0
1983-07-08,333387.0
1983-07-15,326776.0
1983-07-22,324265.0
1983-07-29,323643.0
1983-08-05,326267.0
1983-08-12,322642.0
1983-08-19,314861.0
1983-08-26,320879.0
1983-09-02,325015.0
1983-09-09,328895.0
1983-09-16,326370.0
1983-09-23,328092.0
1983-09-30,328203.0
1983-10-07,329028.0
1983-10-14,331723.0
1983-10-21,334292.0
1983-10-28,331681.0
1983-11-04,324210.0
1983-11-11,335837.0
1983-11-18,339341.0
1983-11-25,334859.0
1983-12-02,330704.0
1983-12-09,326264.0
1983-12-16,332192.0
1983-12-23,330911.0
1983-12-30,326469.0
1984-01-06,327028.0
1984-01-13,328070.0
1984-01-20,331804.0
1984-01-27,327811.0
1984-02-03,324301.0
1984-02-10,320842.0
1984-02-17,320037.0
1984-02-24,322097.0
1984-03-02,317999.0
1984-03-09,317746.0
1984-03-16,313132.0
1984-03-23,312445.0
1984-03-30,309072.0
1984-04-06,310506.0
1984-04-13,320689.0
1984-04-20,324087.0
1984-04-27,323505.0
1984-05-04,319724.0
1984-05-11,326633.0
1984-05-18,332296.0
1984-05-25,340510.0
1984-06-01,332465.0
1984-06-08,339659.0
1984-06-15,342189.0
1984-06-22,338234.0
1984-06-29,331714.0
1984-07-06,335999.0
1984-07-13,330378.0
1984-07-20,333149.0
1984-07-27,339830.0
1984-08-03,331607.0
1984-08-10,332398.0
1984-08-17,333554.0
1984-08-24,323344.0
1984-08-31,326092.0
1984-09-07,321597.0
1984-09-14,318672.0
1984-09-21,318007.0
1984-09-28,306957.0
1984-10-05,308426.0
1984-10-12,311211.0
1984-10-19,318610.0
1984-10-26,315273.0
1984-11-02,320900.0
1984-11-09,314922.0
1984-11-16,325115.0
1984-11-23,334201.0
1984-11-30,332639.0
1984-12-07,325608.0
1984-12-14,322292.0
1984-12-21,331783.0
1984-12-28,320537.0
1985-01-04,322281.0
1985-01-11,319923.0
1985-01-18,324107.0
1985-01-25,326508.0
1985-02-01,317918.0
1985-02-08,309460.0
1985-02-15,305989.0
1985-02-22,298076.0
1985-03-01,295928.0
1985-03-08,298757.0
1985-03-15,303198.0
1985-03-22,307344.0
1985-03-29,310423.0
1985-04-05,313149.0
1985-04-12,302000.0
1985-04-19,304744.0
1985-04-26,309715.0
1985-05-03,322205.0
1985-05-10,330347.0
1985-05-17,327605.0
1985-05-24,328263.0
1985-05-31,333896.0
1985-06-07,333399.0
1985-06-14,330564.0
1985-06-21,331306.0
1985-06-28,330077.0
1985-07-05,323682.0
1985-07-12,320782.0
1985-07-19,314931.0
1985-07-26,313728.0
1985-08-02,307219.0
1985-08-09,302128.0
1985-08-16,307275.0
1985-08-23,304954.0
1985-08-30,294068.0
1985-09-06,299740.0
1985-09-13,294402.0
1985-09-20,294828.0
1985-09-27,289541.0
1985-10-04,291175.0
1985-10-11,294662.0
1985-10-18,302337.0
1985-10-25,294952.0
1985-11-01,298122.0
1985-11-08,290776.0
1985-11-15,290134.0
1985-11-22,288284.0
1985-11-29,291676.0
1985-12-06,294140.0
1985-12-13,300376.0
1985-12-20,296771.0
1985-12-27,300234.0
1986-01-03,298551.0
1986-01-10,305147.0
1986-01-17,299779.0
1986-01-24,297979.0
1986-01-31,305632.0
1986-02-07,302996.0
1986-02-14,311382.0
1986-02-21,306754.0
1986-02-28,300623.0
1986-03-07,310183.0
1986-03-14,313853.0
1986-03-21,312567.0
1986-03-28,314941.0
1986-04-04,323395.0
1986-04-11,316315.0
1986-04-18,319613.0
1986-04-25,317219.0
1986-05-02,311499.0
1986-05-09,317285.0
1986-05-16,311336.0
1986-05-23,303348.0
1986-05-30,308590.0
1986-06-06,305568.0
1986-06-13,310824.0
1986-06-20,299249.0
1986-06-27,302543.0
1986-07-04,303908.0
1986-07-11,299341.0
1986-07-18,298871.0
1986-07-25,307065.0
1986-08-01,310051.0
1986-08-08,320012.0
1986-08-15,312924.0
1986-08-22,310871.0
1986-08-29,308755.0
1986-09-05,310955.0
1986-09-12,306246.0
1986-09-19,310490.0
1986-09-26,307280.0
1986-10-03,313278.0
1986-10-10,315751.0
1986-10-17,313010.0
1986-10-24,320001.0
1986-10-31,318425.0
1986-11-07,327758.0
1986-11-14,315272.0
1986-11-21,319679.0
1986-11-28,318454.0
1986-12-05,321037.0
1986-12-12,317980.0
1986-12-19,321059.0
1986-12-26,317982.0
1987-01-02,306597.0
1987-01-09,307823.0
1987-01-16,316926.0
1987-01-23,307260.0
1987-01-30,304234.0
1987-02-06,309455.0
1987-02-13,308479.0
1987-02-20,307917.0
1987-02-27,308205.0
1987-03-06,311491.0
1987-03-13,310363.0
1987-03-20,305895.0
1987-03-27,313392.0
1987-04-03,308038.0
1987-04-10,314031.0
1987-04-17,308491.0
1987-04-24,299466.0
1987-05-01,298167.0
1987-05-08,307567.0
1987-05-15,302611.0
1987-05-22,300278.0
1987-05-29,303381.0
1987-06-05,299567.0
1987-06-12,300954.0
1987-06-19,301345.0
1987-06-26,301883.0
1987-07-03,304454.0
1987-07-10,304943.0
1987-07-17,302862.0
1987-07-24,298706.0
1987-07-31,301702.0
1987-08-07,307077.0
1987-08-14,300958.0
1987-08-21,302412.0
1987-08-28,309220.0
1987-09-04,309451.0
1987-09-11,313494.0
1987-09-18,312686.0
1987-09-25,312588.0
1987-10-02,316043.0
1987-10-09,314186.0
1987-10-16,310961.0
1987-10-23,313755.0
1987-10-30,316857.0
1987-11-06,328896.0
1987-11-13,333255.0
1987-11-20,335157.0
1987-11-27,338198.0
1987-12-04,335814.0
1987-12-11,337304.0
1987-12-18,338654.0
1987-12-25,340670.0
1988-01-01,339178.0
1988-01-08,333655.0
1988-01-15,320851.0
1988-01-22,320568.0
1988-01-29,319760.0
1988-02-05,316008.0
1988-02-12,317127.0
1988-02-19,312386.0
1988-02-26,320876.0
1988-03-04,324061.0
1988-03-11,325274.0
1988-03-18,325188.0
1988-03-25,328937.0
1988-04-01,327289.0
1988-04-08,328537.0
1988-04-15,333705.0
1988-04-22,333296.0
1988-04-29,338077.0
1988-05-06,335042.0
1988-05-13,340335.0
1988-05-20,343544.0
1988-05-27,345463.0
1988-06-03,341208.0
1988-06-10,343019.0
1988-06-17,340370.0
1988-06-24,344567.0
1988-07-01,341838.0
1988-07-08,342310.0
1988-07-15,339783.0
1988-07-22,334259.0
1988-07-29,330751.0
1988-08-05,332365.0
1988-08-12,330335.0
1988-08-19,327971.0
1988-08-26,323205.0
1988-09-02,318511.0
