date,gas_inventory_z,gas_surprise_z,gas_low_inventory
2010-01-08,,,0.0
2010-01-15,,,0.0
2010-01-22,,,0.0
2010-01-29,,,0.0
2010-02-05,,,0.0
2010-02-12,,,0.0
2010-02-19,,,0.0
2010-02-26,,,0.0
2010-03-05,,,0.0
2010-03-12,,,0.0
2010-03-19,,,0.0
2010-03-26,,,0.0
2010-04-02,,,0.0
2010-04-09,,,0.0
2010-04-16,,,0.0
2010-04-23,,,0.0
2010-04-30,,,0.0
2010-05-07,,,0.0
2010-05-14,,,0.0
2010-05-21,,,0.0
2010-05-28,,,0.0
2010-06-04,,,0.0
2010-06-11,,,0.0
2010-06-18,,,0.0
2010-06-25,,,0.0
2010-07-02,,,0.0
2010-07-09,,,0.0
2010-07-16,,0.771741698427344,0.0
2010-07-23,,0.5167790649949091,0.0
2010-07-30,,0.2863474489658442,0.0
2010-08-06,,0.29826283324545755,0.0
2010-08-13,,0.37129454362774394,0.0
2010-08-20,,0.2939766276209363,0.0
2010-08-27,,0.3966643240426862,0.0
2010-09-03,,0.4806934261889052,0.0
2010-09-10,,0.5364954703208644,0.0
2010-09-17,,0.9542534139881218,0.0
2010-09-24,,0.6500237512478473,0.0
2010-10-01,,0.6376927443545355,0.0
2010-10-08,,0.7206712296921388,0.0
2010-10-15,,0.7734760051799352,0.0
2010-10-22,,0.7773529611782732,0.0
2010-10-29,,0.5505474086695896,0.0
2010-11-05,,0.5032762618240765,0.0
2010-11-12,,0.025747417164311216,0.0
2010-11-19,,-0.22237931642996037,0.0
2010-11-26,,-0.21982780255364726,0.0
2010-12-03,,-0.38957826685264985,0.0
2010-12-10,,-1.049521190599321,0.0
2010-12-17,,-1.8032829824420054,0.0
2010-12-24,,-1.9274292576014294,0.0
2010-12-31,,-1.3824948601331166,0.0
2011-01-07,0.47118950931943165,-1.3243981686140323,0.0
2011-01-14,0.27399994130332195,-1.3090158064139,0.0
2011-01-21,-0.0733460714051146,-2.4788377972243554,0.0
2011-01-28,-0.31933217504233674,-1.7626816915975212,0.0
2011-02-04,-0.5864799503958072,-1.8553648486781158,0.0
2011-02-11,-0.8847518988530344,-2.0259361210351297,0.0
2011-02-18,-1.2103339769085182,-2.228853217422705,0.0
2011-02-25,-1.299372434890916,-0.7230433343419781,0.0
2011-03-04,-1.394083691395721,-0.8229470151055285,0.0
2011-03-11,-1.4649379922473096,-0.7070371150267889,0.0
2011-03-18,-1.5074259805650767,-0.5533283711982079,0.0
