date,article_count,pos_hits,neg_hits,sentiment_mean,sentiment_sum_scaled,sentiment_z
2026-06-05,174,328,118,0.5937434084586183,7.832013464322059,
2026-06-06,66,105,65,0.2953542981336621,2.3994696610121697,
2026-06-07,38,64,45,0.23132323124668702,1.4259721659091082,
2026-06-08,156,327,103,0.7019199913862254,8.766977882485596,
2026-06-09,197,428,146,0.678554215635228,9.523962265811372,
2026-06-10,188,358,156,0.5181230601145632,7.104145481296545,0.3291659665396484
2026-06-11,168,331,136,0.5723374391937387,7.418341070810793,0.39856078378263854
2026-06-12,163,310,93,0.6747424249730657,8.614534603189016,0.7745678538275754
2026-06-13,70,143,52,0.6174371002291069,5.165849406608073,-0.5190536878782878
2026-06-14,39,78,36,0.5142904788767044,3.211743011180373,-1.2034203381283037
2026-06-15,41,74,22,0.5943521948142857,3.805710944186763,-0.8510444906603596
