Date,NG=F,UNG
2006-01-03,10.62600040435791,
2006-01-04,10.196999549865724,
2006-01-05,9.49899959564209,
2006-01-06,9.631999969482422,
2006-01-09,9.390000343322754,
2006-01-10,9.336000442504885,
2006-01-11,9.23799991607666,
2006-01-12,8.942999839782715,
2006-01-13,8.791000366210938,
2006-01-17,9.16800022125244,
2006-01-18,8.694000244140625,
2006-01-19,8.904999732971191,
2006-01-20,9.279999732971191,
2006-01-23,8.574000358581543,
2006-01-24,8.682000160217285,
2006-01-25,8.460000038146973,
2006-01-26,8.229000091552734,
2006-01-27,8.399999618530273,
2006-01-30,9.388999938964844,
2006-01-31,9.315999984741213,
2006-02-01,8.722999572753906,
2006-02-02,8.347000122070312,
2006-02-03,8.61299991607666,
2006-02-06,7.994999885559082,
2006-02-07,7.857999801635742,
2006-02-08,7.735000133514404,
2006-02-09,7.479000091552734,
2006-02-10,7.315999984741211,
2006-02-13,7.243000030517578,
2006-02-14,7.113999843597412,
2006-02-15,7.065999984741211,
2006-02-16,7.133999824523926,
2006-02-17,7.182000160217285,
2006-02-21,7.730999946594238,
2006-02-22,7.282999992370605,
2006-02-23,7.458000183105469,
2006-02-24,7.111999988555908,
2006-02-27,6.789000034332275,
2006-02-28,6.714000225067139,
2006-03-01,6.732999801635742,
2006-03-02,6.760000228881836,
2006-03-03,6.789999961853027,
2006-03-06,6.546999931335449,
2006-03-07,6.677999973297119,
2006-03-08,6.6479997634887695,
2006-03-09,6.60099983215332,
2006-03-10,6.645999908447266,
2006-03-13,7.006999969482422,
2006-03-14,7.166999816894531,
2006-03-15,7.14300012588501,
2006-03-16,7.267000198364258,
2006-03-17,7.052999973297119,
2006-03-20,6.835000038146973,
2006-03-21,6.868000030517578,
2006-03-22,6.953000068664551,
2006-03-23,7.328000068664551,
2006-03-24,7.289999961853027,
2006-03-27,7.066999912261963,
2006-03-28,7.214000225067139,
2006-03-29,7.232999801635742,
2006-03-30,7.486999988555908,
2006-03-31,7.210000038146973,
2006-04-03,7.24399995803833,
2006-04-04,7.065000057220459,
2006-04-05,7.068999767303467,
2006-04-06,6.9720001220703125,
2006-04-07,6.743000030517578,
2006-04-10,6.881999969482422,
2006-04-11,6.9079999923706055,
2006-04-12,6.808000087738037,
2006-04-13,7.139999866485596,
2006-04-17,7.577000141143799,
2006-04-18,8.008000373840332,
2006-04-19,8.192000389099121,
2006-04-20,8.064000129699707,
2006-04-21,7.980999946594238,
2006-04-24,7.558000087738037,
2006-04-25,7.254000186920166,
2006-04-26,7.197999954223633,
2006-04-27,6.804999828338623,
2006-04-28,6.554999828338623,
2006-05-01,6.695000171661377,
2006-05-02,6.745999813079834,
2006-05-03,6.605999946594238,
2006-05-04,6.906000137329102,
2006-05-05,6.775000095367432,
2006-05-08,6.696000099182129,
2006-05-09,6.580999851226807,
2006-05-10,6.900000095367432,
2006-05-11,6.64900016784668,
2006-05-12,6.28000020980835,
2006-05-15,6.123000144958496,
2006-05-16,6.251999855041504,
2006-05-17,6.129000186920166,
2006-05-18,5.997000217437744,
2006-05-19,5.961999893188477,
2006-05-22,6.276000022888184,
2006-05-23,6.257999897003174,
2006-05-24,5.964000225067139,
2006-05-25,5.974999904632568,
2006-05-26,5.925000190734863,
2006-05-30,6.123000144958496,
2006-05-31,6.383999824523926,
2006-06-01,6.447999954223633,
2006-06-02,6.623000144958496,
2006-06-05,6.4629998207092285,
2006-06-06,6.385000228881836,
2006-06-07,5.973999977111816,
2006-06-08,6.190999984741211,
2006-06-09,6.171999931335449,
2006-06-12,6.223999977111816,
2006-06-13,6.163000106811523,
2006-06-14,6.590000152587891,
2006-06-15,7.206999778747559,
2006-06-16,7.184999942779541,
2006-06-19,6.89300012588501,
2006-06-20,6.501999855041504,
2006-06-21,6.5879998207092285,
2006-06-22,6.439000129699707,
2006-06-23,6.22599983215332,
2006-06-26,5.968999862670898,
2006-06-27,6.10699987411499,
2006-06-28,5.88700008392334,
2006-06-29,6.135000228881836,
2006-06-30,6.085000038146973,
2006-07-03,,
2006-07-05,5.764999866485596,
2006-07-06,5.664000034332275,
2006-07-07,5.5229997634887695,
2006-07-10,5.607999801635742,
2006-07-11,5.632999897003174,
2006-07-12,5.7820000648498535,
2006-07-13,6.129000186920166,
