date,delivery_month,expiry,bdays_to_expiry,calendar_days_to_expiry,ret,abs_ret,r2,month,year,near_expiry_5bd,far_expiry_15bd,log_abs_ret,lag_log_abs_ret,bucket
2006-01-04,2006-02,2006-01-27,17,23,-0.04121035084409147,0.04121035084409147,0.0016982930166931105,1,2006,0,1,-3.189041554646894,,far_15plus_bd
2006-01-05,2006-02,2006-01-27,16,22,-0.07090702789871986,0.07090702789871986,0.005027806605429837,1,2006,0,1,-2.6463716233811385,-3.189041554646894,far_15plus_bd
2006-01-06,2006-02,2006-01-27,15,21,0.01390439805853892,0.01390439805853892,0.0001933322853703009,1,2006,0,1,-4.27547816469848,-2.6463716233811385,far_15plus_bd
2006-01-09,2006-02,2006-01-27,14,18,-0.025445555615347518,0.025445555615347518,0.0006474763005737435,1,2006,0,0,-3.6711748844238676,-4.27547816469848,mid_6_14bd
2006-01-10,2006-02,2006-01-27,13,17,-0.005767387400815289,0.005767387400815289,3.326275743108293e-05,1,2006,0,0,-5.155362717451949,-3.6711748844238676,mid_6_14bd
2006-01-11,2006-02,2006-01-27,12,16,-0.010552539458114449,0.010552539458114449,0.00011135608901506238,1,2006,0,0,-4.551293981665339,-5.155362717451949,mid_6_14bd
2006-01-12,2006-02,2006-01-27,11,15,-0.032454317475175486,0.032454317475175486,0.001053282722779481,1,2006,0,0,-3.4278909825332873,-4.551293981665339,mid_6_14bd
2006-01-13,2006-02,2006-01-27,10,14,-0.017142572922135092,0.017142572922135092,0.0002938678063907193,1,2006,0,0,-4.066131932335856,-3.4278909825332873,mid_6_14bd
2006-01-17,2006-02,2006-01-27,8,10,0.04199067157897873,0.04199067157897873,0.0017632164996536524,1,2006,0,0,-3.1702839761005697,-4.066131932335856,mid_6_14bd
2006-01-18,2006-02,2006-01-27,7,9,-0.05308602345739571,0.05308602345739571,0.0028181258865191674,1,2006,0,0,-2.9358227599331532,-3.1702839761005697,mid_6_14bd
2006-01-19,2006-02,2006-01-27,6,8,0.023979726107126557,0.023979726107126557,0.000575027264172807,1,2006,0,0,-3.7305048501445026,-2.9358227599331532,mid_6_14bd
2006-01-20,2006-02,2006-01-27,5,7,0.04124863126821881,0.04124863126821881,0.0017014495815014785,1,2006,1,0,-3.188113105193671,-3.7305048501445026,near_0_5bd
2006-01-23,2006-02,2006-01-27,4,4,-0.07912710802570141,0.07912710802570141,0.006261099224511021,1,2006,1,0,-2.53668711934356,-3.188113105193671,near_0_5bd
2006-01-24,2006-02,2006-01-27,3,3,0.012517525333610868,0.012517525333610868,0.00015668844047758988,1,2006,1,0,-4.380545705102727,-2.53668711934356,near_0_5bd
2006-01-25,2006-02,2006-01-27,2,2,-0.025902757204131845,0.025902757204131845,0.0006709528307762042,1,2006,1,0,-3.653367255001074,-4.380545705102727,near_0_5bd
2006-01-26,2006-02,2006-01-27,1,1,-0.02768466637803365,0.02768466637803365,0.0007664407524630269,1,2006,1,0,-3.586840458993863,-3.653367255001074,near_0_5bd
2006-01-27,2006-02,2006-01-27,0,0,0.02056714868700754,0.02056714868700754,0.000423007605113476,1,2006,1,0,-3.8840115799991928,-3.586840458993863,near_0_5bd
2006-01-30,2006-03,2006-02-24,19,25,0.11130712433949726,0.11130712433949726,0.012389275928728303,1,2006,0,1,-2.195453028400604,-3.8840115799991928,far_15plus_bd
2006-01-31,2006-03,2006-02-24,18,24,-0.0078054343915187445,0.0078054343915187445,6.0924806040303596e-05,1,2006,0,1,-4.85280696335815,-2.195453028400604,far_15plus_bd
2006-02-01,2006-03,2006-02-24,17,23,-0.06577018391236333,0.06577018391236333,0.004325717091866097,2,2006,0,1,-2.7215734710347315,-4.85280696335815,far_15plus_bd
2006-02-02,2006-03,2006-02-24,16,22,-0.0440609589787664,0.0440609589787664,0.0019413681061285354,2,2006,0,1,-3.1221584769811126,-2.7215734710347315,far_15plus_bd
2006-02-03,2006-03,2006-02-24,15,21,0.03137047257018469,0.03137047257018469,0.0009841065492767098,2,2006,0,1,-3.4618563158926174,-3.1221584769811126,far_15plus_bd
2006-02-06,2006-03,2006-02-24,14,18,-0.0744563480913812,0.0744563480913812,0.005543747771104925,2,2006,0,0,-2.597528826382907,-3.4618563158926174,mid_6_14bd
2006-02-07,2006-03,2006-02-24,13,17,-0.01728423607919498,0.01728423607919498,0.0002987448168413454,2,2006,0,0,-4.057902547663348,-2.597528826382907,mid_6_14bd
2006-02-08,2006-03,2006-02-24,12,16,-0.015776594606558544,0.015776594606558544,0.00024890093737969213,2,2006,0,0,-4.149164408227958,-4.057902547663348,mid_6_14bd
2006-02-09,2006-03,2006-02-24,11,15,-0.033656395835265536,0.033656395835265536,0.0011327529806200794,2,2006,0,0,-3.391522459960343,-4.149164408227958,mid_6_14bd
2006-02-10,2006-03,2006-02-24,10,14,-0.02203537700789182,0.02203537700789182,0.0004855578398799275,2,2006,0,0,-3.8150606907917615,-3.391522459960343,mid_6_14bd
2006-02-13,2006-03,2006-02-24,9,11,-0.010028239016367303,0.010028239016367303,0.00010056557776939145,2,2006,0,0,-4.602250550637641,-3.8150606907917615,mid_6_14bd
2006-02-14,2006-03,2006-02-24,8,10,-0.017970837885497432,0.017970837885497432,0.00032295101430682984,2,2006,0,0,-4.018949308207883,-4.602250550637641,mid_6_14bd
2006-02-15,2006-03,2006-02-24,7,9,-0.006770104763593669,0.006770104763593669,4.583431851003369e-05,2,2006,0,0,-4.995091020202273,-4.018949308207883,mid_6_14bd
2006-02-16,2006-03,2006-02-24,6,8,0.009577515562061479,0.009577515562061479,9.172880434152981e-05,2,2006,0,0,-4.648232650773746,-4.995091020202273,mid_6_14bd
2006-02-17,2006-03,2006-02-24,5,7,0.006705855772513278,0.006705855772513278,4.496850164174966e-05,2,2006,1,0,-5.004625026119417,-4.648232650773746,near_0_5bd
2006-02-21,2006-03,2006-02-24,3,3,0.0736602953182739,0.0736602953182739,0.005425839106375323,2,2006,1,0,-2.6082777830224417,-5.004625026119417,near_0_5bd
2006-02-22,2006-03,2006-02-24,2,2,-0.059695349242119944,0.059695349242119944,0.00356353472113867,2,2006,1,0,-2.8184844121767076,-2.6082777830224417,near_0_5bd
2006-02-23,2006-03,2006-02-24,1,1,0.023744442119963988,0.023744442119963988,0.0005637985315883199,2,2006,1,0,-3.7403646776570674,-2.8184844121767076,near_0_5bd
2006-02-24,2006-03,2006-02-24,0,0,-0.0475038097057008,0.0475038097057008,0.0022566119365554334,2,2006,1,0,-3.0469243161055597,-3.7403646776570674,near_0_5bd
2006-02-27,2006-04,2006-03-29,22,30,-0.04647983622592462,0.04647983622592462,0.002160375175588775,2,2006,0,1,-3.0687151755089976,-3.0469243161055597,far_15plus_bd
2006-02-28,2006-04,2006-03-29,21,29,-0.011108728296647821,0.011108728296647821,0.000123403844368744,2,2006,0,1,-4.499934131376916,-3.0687151755089976,far_15plus_bd
2006-03-01,2006-04,2006-03-29,20,28,0.0028258480217397772,0.0028258480217397772,7.985417041970613e-06,3,2006,0,1,-5.868592961270157,-4.499934131376916,far_15plus_bd
2006-03-02,2006-04,2006-03-29,19,27,0.0040021438114852485,0.0040021438114852485,1.6017155087809673e-05,3,2006,0,1,-5.520675273690154,-5.868592961270157,far_15plus_bd
2006-03-03,2006-04,2006-03-29,18,26,0.004428012039361955,0.004428012039361955,1.9607290620734418e-05,3,2006,0,1,-5.419578735742229,-5.520675273690154,far_15plus_bd
2006-03-06,2006-04,2006-03-29,17,23,-0.03644401698148084,0.03644401698148084,0.0013281663737464637,3,2006,0,1,-3.3119505381999055,-5.419578735742229,far_15plus_bd
2006-03-07,2006-04,2006-03-29,16,22,0.0198116185518152,0.0198116185518152,0.0003925002296426282,3,2006,0,1,-3.9214362436747066,-3.3119505381999055,far_15plus_bd
2006-03-08,2006-04,2006-03-29,15,21,-0.004502515545980131,0.004502515545980131,2.027264624179276e-05,3,2006,0,1,-5.402896954769054,-3.9214362436747066,far_15plus_bd
2006-03-09,2006-04,2006-03-29,14,20,-0.007094894697677296,0.007094894697677296,5.033753077112941e-05,3,2006,0,0,-4.948238873758404,-5.402896954769054,mid_6_14bd
2006-03-10,2006-04,2006-03-29,13,19,0.006794028877616885,0.006794028877616885,4.615882838989215e-05,3,2006,0,0,-4.991563981554818,-4.948238873758404,mid_6_14bd
2006-03-13,2006-04,2006-03-29,12,16,0.05289448887631019,0.05289448887631019,0.0027978269534861024,3,2006,0,0,-2.9394372201943866,-4.991563981554818,mid_6_14bd
2006-03-14,2006-04,2006-03-29,11,15,0.022577486430271694,0.022577486430271694,0.0005097428935091025,3,2006,0,0,-3.790757753939051,-2.9394372201943866,mid_6_14bd
2006-03-15,2006-04,2006-03-29,10,14,-0.0033542576669856705,0.0033542576669856705,1.1251044496532154e-05,3,2006,0,0,-5.697226710617612,-3.790757753939051,mid_6_14bd
2006-03-16,2006-04,2006-03-29,9,13,0.017210705134695713,0.017210705134695713,0.00029620837123344135,3,2006,0,0,-4.062165595532047,-5.697226710617612,mid_6_14bd
2006-03-17,2006-04,2006-03-29,8,12,-0.029890524491069433,0.029890524491069433,0.0008934434543512216,3,2006,0,0,-3.510180300605539,-4.062165595532047,mid_6_14bd
2006-03-20,2006-04,2006-03-29,7,9,-0.03139657868297516,0.03139657868297516,0.0009857451529962501,3,2006,0,0,-3.4610245010483736,-3.510180300605539,mid_6_14bd
2006-03-21,2006-04,2006-03-29,6,8,0.004816471721638339,0.004816471721638339,2.319839984534178e-05,3,2006,0,0,-5.33550602761756,-3.4610245010483736,mid_6_14bd
2006-03-22,2006-04,2006-03-29,5,7,0.012300283513735692,0.012300283513735692,0.00015129697451827804,3,2006,1,0,-4.398051671337703,-5.33550602761756,near_0_5bd
2006-03-23,2006-04,2006-03-29,4,6,0.05252940574958227,0.05252940574958227,0.0027593384684042473,3,2006,1,0,-2.946363119896426,-4.398051671337703,near_0_5bd
2006-03-24,2006-04,2006-03-29,3,5,-0.005199095954205759,0.005199095954205759,2.7030598741038686e-05,3,2006,1,0,-5.2590782008331285,-2.946363119896426,near_0_5bd
2006-03-27,2006-04,2006-03-29,2,2,-0.03106749149424305,0.03106749149424305,0.0009651890277448641,3,2006,1,0,-3.471561108598697,-5.2590782008331285,near_0_5bd
2006-03-28,2006-04,2006-03-29,1,1,0.020587564386464745,0.020587564386464745,0.00042384780736683147,3,2006,1,0,-3.883019484197214,-3.471561108598697,near_0_5bd
2006-03-29,2006-04,2006-03-29,0,0,0.0026302467622418063,0.0026302467622418063,6.918198030283505e-06,3,2006,1,0,-5.940297491036266,-3.883019484197214,near_0_5bd
2006-03-30,2006-05,2006-04-26,19,27,0.03451432127777039,0.03451432127777039,0.0011912383732651539,3,2006,0,1,-3.3663519585179884,-5.940297491036266,far_15plus_bd
2006-03-31,2006-05,2006-04-26,18,26,-0.03769922513231987,0.03769922513231987,0.0014212315755773384,3,2006,0,1,-3.2780892128664303,-3.3663519585179884,far_15plus_bd
2006-04-03,2006-05,2006-04-26,17,23,0.004704577640856631,0.004704577640856631,2.2133050778848147e-05,4,2006,0,1,-5.359006741778894,-3.2780892128664303,far_15plus_bd
2006-04-04,2006-05,2006-04-26,16,22,-0.02502050999292079,0.02502050999292079,0.0006260259203058491,4,2006,0,1,-3.6880194243287634,-5.359006741778894,far_15plus_bd
2006-04-05,2006-05,2006-04-26,15,21,0.0005659700352952319,0.0005659700352952319,3.20322080852086e-07,4,2006,0,1,-7.47520410343684,-3.6880194243287634,far_15plus_bd
2006-04-06,2006-05,2006-04-26,14,20,-0.01381684910450589,0.01381684910450589,0.0001909053191766852,4,2006,0,0,-4.2817941091875,-7.47520410343684,mid_6_14bd
2006-04-07,2006-05,2006-04-26,13,19,-0.03339721088816405,0.03339721088816405,0.0011153736951085035,4,2006,0,0,-3.3992529466568366,-4.2817941091875,mid_6_14bd
2006-04-10,2006-05,2006-04-26,12,16,0.02040436866262209,0.02040436866262209,0.00041633826052019443,4,2006,0,0,-3.8919572430186697,-3.3992529466568366,mid_6_14bd
2006-04-11,2006-05,2006-04-26,11,15,0.0037708562391201915,0.0037708562391201915,1.4219356776111674e-05,4,2006,0,0,-5.580188027577689,-3.8919572430186697,mid_6_14bd
2006-04-12,2006-05,2006-04-26,10,14,-0.014581755021439607,0.014581755021439607,0.0002126275795052792,4,2006,0,0,-4.227915611305643,-5.580188027577689,mid_6_14bd
2006-04-13,2006-05,2006-04-26,9,13,0.047614353493432675,0.047614353493432675,0.0022671266585975645,4,2006,0,0,-3.0446000173705596,-4.227915611305643,mid_6_14bd
2006-04-17,2006-05,2006-04-26,7,9,0.059404603925166215,0.059404603925166215,0.0035289069675058732,4,2006,0,0,-2.8233667148889654,-3.0446000173705596,mid_6_14bd
2006-04-18,2006-05,2006-04-26,6,8,0.05532372711911389,0.05532372711911389,0.0030607147823501777,4,2006,0,0,-2.8945353253822868,-2.8233667148889654,mid_6_14bd
2006-04-19,2006-05,2006-04-26,5,7,0.02271702709832557,0.02271702709832557,0.0005160633201860583,4,2006,1,0,-3.7845965243606257,-2.8945353253822868,near_0_5bd
2006-04-20,2006-05,2006-04-26,4,6,-0.015748388381796468,0.015748388381796468,0.000248011736623902,4,2006,1,0,-4.150953747366323,-3.7845965243606257,near_0_5bd
2006-04-21,2006-05,2006-04-26,3,5,-0.010346017210546664,0.010346017210546664,0.00010704007212092778,4,2006,1,0,-4.57105699302383,-4.150953747366323,near_0_5bd
2006-04-24,2006-05,2006-04-26,2,2,-0.05445709366633028,0.05445709366633028,0.0029655750505834695,4,2006,1,0,-2.910323796639855,-4.57105699302383,near_0_5bd
2006-04-25,2006-05,2006-04-26,1,1,-0.04105354990734329,0.04105354990734329,0.0016853939599947264,4,2006,1,0,-3.1928536110444745,-2.910323796639855,near_0_5bd
2006-04-26,2006-05,2006-04-26,0,0,-0.007749863331341836,0.007749863331341836,6.006038165447678e-05,4,2006,1,0,-4.859951044228637,-3.1928536110444745,near_0_5bd
2006-04-27,2006-06,2006-05-29,22,32,-0.05614559241958631,0.05614559241958631,0.0031523275481463078,4,2006,0,1,-2.8797892867347454,-4.859951044228637,far_15plus_bd
2006-04-28,2006-06,2006-05-29,21,31,-0.03742951984984751,0.03742951984984751,0.001400968956190129,4,2006,0,1,-3.2852688685742804,-2.8797892867347454,far_15plus_bd
2006-05-01,2006-06,2006-05-29,20,28,0.0211329137555613,0.0211329137555613,0.000446600043799992,5,2006,0,1,-3.8568762418100224,-3.2852688685742804,far_15plus_bd
2006-05-02,2006-06,2006-05-29,19,27,0.007588704147790985,0.007588704147790985,5.75884306427001e-05,5,2006,0,1,-4.880962667544981,-3.8568762418100224,far_15plus_bd
2006-05-03,2006-06,2006-05-29,18,26,-0.0209713900469967,0.0209713900469967,0.0004397992005032723,5,2006,0,1,-3.864548465980338,-4.880962667544981,far_15plus_bd
2006-05-04,2006-06,2006-05-29,17,25,0.04441229996911183,0.04441229996911183,0.0019724523885463704,5,2006,0,1,-3.1142163055458885,-3.864548465980338,far_15plus_bd
2006-05-05,2006-06,2006-05-29,16,24,-0.019151238011138855,0.019151238011138855,0.00036676991735928974,5,2006,0,1,-3.9553357027615528,-3.1142163055458885,far_15plus_bd
2006-05-08,2006-06,2006-05-29,15,21,-0.011729032842818208,0.011729032842818208,0.00013757021142790817,5,2006,0,1,-4.445602816421422,-3.9553357027615528,far_15plus_bd
2006-05-09,2006-06,2006-05-29,14,20,-0.017323661131810362,0.017323661131810362,0.00030010923500979706,5,2006,0,0,-4.055624293588925,-4.445602816421422,mid_6_14bd
2006-05-10,2006-06,2006-05-29,13,19,0.04733473855707088,0.04733473855707088,0.0022405774742662522,5,2006,0,0,-3.0504896967539987,-4.055624293588925,mid_6_14bd
2006-05-11,2006-06,2006-05-29,12,18,-0.03705493276036465,0.03705493276036465,0.0013730680418751456,5,2006,0,0,-3.2953268115743626,-3.0504896967539987,mid_6_14bd
2006-05-12,2006-06,2006-05-29,11,17,-0.05709647877513619,0.05709647877513619,0.0032600078885195775,5,2006,0,0,-2.8629953178460434,-3.2953268115743626,mid_6_14bd
2006-05-15,2006-06,2006-05-29,10,14,-0.02531781771883884,0.02531781771883884,0.0006409918940443499,5,2006,0,0,-3.6762073763651064,-2.8629953178460434,mid_6_14bd
2006-05-16,2006-06,2006-05-29,9,13,0.020849193203049288,0.020849193203049288,0.0004346888572180766,5,2006,0,0,-3.8703920644469596,-3.6762073763651064,mid_6_14bd
2006-05-17,2006-06,2006-05-29,8,12,-0.019869754372034462,0.019869754372034462,0.00039480713880498265,5,2006,0,0,-3.918506257762407,-3.8703920644469596,mid_6_14bd
2006-05-18,2006-06,2006-05-29,7,11,-0.02177225455713056,0.02177225455713056,0.00047403106850049236,5,2006,0,0,-3.8270729175675147,-3.918506257762407,mid_6_14bd
2006-05-19,2006-06,2006-05-29,6,10,-0.005853403103630056,0.005853403103630056,3.426232789358597e-05,5,2006,0,0,-5.1405612335631545,-3.8270729175675147,mid_6_14bd
