Ticker,ICLN,ICLN,ICLN,ICLN,ICLN,XOP,XOP,XOP,XOP,XOP,XLE,XLE,XLE,XLE,XLE,XLU,XLU,XLU,XLU,XLU,TAN,TAN,TAN,TAN,TAN,SPY,SPY,SPY,SPY,SPY
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-03,6.917837365738477,6.917837365738477,6.874600717268517,6.891895294189453,70200,139.59899758853754,141.42186900627615,136.41725700741785,139.2344207763672,3467700,25.640066240897188,25.87588240142044,25.38740496739225,25.6602783203125,49246200,17.995455648456403,18.04369128671454,17.86188090583787,17.976903915405273,37761400,16.16185579272037,16.45166902441542,16.16185579272037,16.384044647216797,185500,193.79591197608372,194.476237389342,192.79697393302524,193.96815490722656,91366500
2017-01-04,6.91783713241057,7.0302520847726955,6.91783713241057,7.0129570960998535,38800,139.26757752237486,140.06300638324134,137.776132604358,139.8972930908203,2656875,25.680494852874684,25.727658088437433,25.522160031969634,25.606380462646484,22371000,18.00288077845579,18.136455551893235,17.96948708509643,18.0436954498291,29101000,16.528951840322758,16.838084473635902,16.528951840322758,16.760801315307617,137900,194.29536427788966,195.26848153297962,194.2867573884805,195.12208557128906,78744400
2017-01-05,7.004311457938744,7.073489773476906,7.004311457938744,7.05619478225708,43000,140.46078445788493,140.92478690238792,138.0413341093205,139.46649169921875,2582250,25.623218815749542,25.717545271447094,25.421090329225766,25.542367935180664,22282400,18.084503526509394,18.091923086410898,17.869299488801605,18.062240600585938,32612800,16.809101617618232,16.886384771437655,16.73181846379881,16.867063522338867,127900,194.85514465863406,195.12210279706622,194.17481926686474,194.9670867919922,78379000
2017-01-06,7.073488678924214,7.073488678924214,7.012957043692069,7.021604537963867,30800,139.83097133424195,140.0961226523037,137.80924942801946,138.43896484375,2400325,25.623231131940393,25.653551833104792,25.397520923001228,25.565961837768555,14821000,17.973199600261744,18.151298853466322,17.939805901822943,18.11790657043457,21934400,16.90570550470693,16.97332803191365,16.7994404804817,16.809101104736328,74900,195.07899964620458,196.12961819114082,194.5364634568541,195.6645965576172,71559900
2017-01-09,7.056193881224432,7.073488870235793,7.038899716883535,7.04754638671875,36100,136.9807110210178,137.21271217135578,134.46182332718473,134.56124877929688,2702775,25.397515426532426,25.4210970466882,25.158329687751348,25.19538688659668,21921800,18.184687011371743,18.192107988253447,17.87672425551734,17.880434036254883,27694400,16.8574047403652,16.944348518734017,16.79944099306884,16.867063522338867,66100,195.4063039034097,195.54409299917106,194.98432972524992,195.01878356933594,46939700
2017-01-10,7.073489773476906,7.090783940026161,7.05619478225708,7.05619478225708,16600,135.15782677819868,136.152131871778,134.1303967247346,134.56124877929688,2610425,25.17518006649314,25.23244936024295,24.94610032128954,24.966312408447266,19321600,17.876719196517247,17.884140171298863,17.754275235729903,17.82477378845215,22448400,16.876723238997414,17.0312895383213,16.876723238997414,16.97332763671875,69300,195.03599735108756,195.87132567623993,194.63125009497077,195.01878356933594,63771900
2017-01-11,7.047546082859878,7.1599610325755005,7.021604425131789,7.134019374847412,43500,134.6606694485129,136.18525185147527,134.03094128498853,135.886962890625,3509575,25.053892900140525,25.2829725584537,24.94945782562786,25.235809326171875,26254000,17.82106641625975,18.02884950849913,17.817356635776243,18.010297775268555,26795400,17.06027260128148,17.17619825515425,16.91536691587233,17.098915100097656,106700,194.93266630385088,195.56993103027344,194.2695677639523,195.56993103027344,74650000
2017-01-12,7.177256690318367,7.185904185257824,7.116725050412675,7.159961700439453,36400,137.41160280326247,137.44475305896037,134.52815007033212,134.95901489257812,3301750,25.377297205527547,25.404248356387924,25.03030949136063,25.131372451782227,21791200,18.02142956622612,18.05482325411995,17.917538721848256,18.0251407623291,18820800,17.031290939205082,17.040951564029402,16.751140189603017,16.915367126464844,89700,195.05320671675017,195.26849723189008,193.7270229252161,195.07904052734375,72113200
2017-01-13,7.159960980180119,7.1859034623887945,7.134019322641867,7.142666816711426,51000,133.96469090088686,135.19099732898619,133.7989775747729,134.1304168701172,3276200,25.097692974812638,25.15159529409407,24.99326044395992,25.057266235351562,19813400,17.988031918904493,18.051109500111476,17.88414109739451,17.999162673950195,24346600,16.925027254660822,17.17619796499566,16.925027254660822,17.06993293762207,125000,195.25129252946203,195.82826959885762,195.21685182484828,195.52687072753906,62717900
2017-01-17,7.159962622622707,7.2464359338137845,7.159962622622707,7.220494270324707,87200,136.05272332353593,137.27901719065676,135.5555833118953,136.2515869140625,4555625,25.134745510847132,25.272865680508605,25.114533429970713,25.21222686767578,19566000,18.058530114561353,18.255182429427183,18.0436895787691,18.195816040039062,30652000,17.098912133824502,17.350080962254527,17.069930264740066,17.195514678955078,101700,194.8895735022401,195.29432070049256,194.4503856051168,194.83790588378906,61240800
2017-01-18,7.281024047894733,7.29831821284736,7.1772565841674805,7.1772565841674805,24200,134.79329015226241,137.11331499105748,134.4950137069196,136.052734375,2024550,25.07410972884214,25.22233852706252,25.043789033658935,25.15496063232422,17450400,18.143867170761744,18.262599926925407,18.143867170761744,18.17354965209961,26461800,17.340421554304854,17.350080334408037,17.108570295170228,17.127891540527344,73400,195.08767433052773,195.3115849069483,194.5365310613489,195.26852416992188,54793300
2017-01-19,7.203197625857488,7.203197625857488,7.134019322641867,7.142666816711426,29700,136.38415708607587,136.74872135584988,134.82642396485812,135.68814086914062,1932175,25.154960164869134,25.16506620634111,24.95620116204342,25.0168399810791,18001800,18.069662270254934,18.173553097743962,17.969481222859212,18.014005661010742,27601000,17.031288244502043,17.243818271858796,16.982986970598507,17.04094886779785,61100,195.34602527491714,195.48381437704683,194.1145696678997,194.54515075683594,66608800
2017-01-20,7.211845792010126,7.2291399570904895,7.151314977223104,7.168609142303467,29200,136.98072173482103,137.57728713726812,135.7212777893984,136.31785583496094,2635475,25.178535585012032,25.262756003478277,25.026939859854068,25.111160278320312,18364400,18.039982358336783,18.099348760806162,17.93238172695313,18.04740333557129,23748400,17.24382068851627,17.24382068851627,17.06027250532334,17.08925437927246,61400,195.22541859869793,195.7507279330802,194.59677403141717,195.25987243652344,129168600
2017-01-23,7.203198297134694,7.2377874519659215,7.168609142303467,7.168609142303467,33500,135.4230210304947,135.9533113480988,134.22986465510593,134.89273071289062,2729525,24.99661791909336,25.047150681679476,24.723744599412637,24.845022201538086,30414000,18.07337797445368,18.11419264589017,17.936093419500175,17.95464515686035,21251000,17.13755495011255,17.16653682286125,16.94434799284824,17.01197052001953,83800,195.25988085598757,195.32015536434764,193.9939716372401,194.7517852783203,75061600
2017-01-24,7.2031989097595215,7.229140571921629,7.177257247597414,7.2031989097595215,39700,135.853818915757,137.87554106317387,135.62180516321803,137.01382446289062,2461400,24.942717798361667,25.225697152070307,24.89555457274356,25.117895126342773,23714400,17.950929641723633,18.02884776299212,17.91753595897908,17.950929641723633,22098800,17.02163225350538,17.02163225350538,16.905706597531815,16.92502784729004,92700,194.96712884168406,196.41388825981454,194.85518668418274,196.0005340576172,95555300
