date,primary_views,all_topic_views,pump_views,anchor_views,saliency_raw_z,saliency21_raw_z,pump_raw_z
2020-01-01,1179.0,1179.0,626.0,5517.0,,,
2020-01-02,1533.0,1533.0,757.0,8764.0,,,
2020-01-03,1433.0,1433.0,682.0,10286.0,,,
2020-01-04,1284.0,1284.0,667.0,7179.0,,,
2020-01-05,1284.0,1284.0,716.0,6596.0,,,
2020-01-06,1495.0,1495.0,679.0,9050.0,,,
2020-01-07,1528.0,1528.0,685.0,8829.0,,,
2020-01-08,1745.0,1745.0,689.0,9044.0,,,
2020-01-09,1786.0,1786.0,759.0,8564.0,,,
2020-01-10,1522.0,1522.0,637.0,9901.0,,,
2020-01-11,1338.0,1338.0,700.0,7031.0,,,
2020-01-12,1298.0,1298.0,699.0,7157.0,,,
2020-01-13,1756.0,1756.0,646.0,9326.0,,,
2020-01-14,2341.0,2341.0,691.0,8871.0,,,
2020-01-15,1894.0,1894.0,657.0,9548.0,,,
2020-01-16,1731.0,1731.0,657.0,10380.0,,,
2020-01-17,1563.0,1563.0,636.0,9210.0,,,
2020-01-18,1136.0,1136.0,586.0,6396.0,,,
2020-01-19,1297.0,1297.0,667.0,6383.0,,,
2020-01-20,1441.0,1441.0,635.0,7986.0,,,
2020-01-21,1453.0,1453.0,576.0,9400.0,,,
2020-01-22,1793.0,1793.0,664.0,10217.0,,,
2020-01-23,1783.0,1783.0,756.0,9145.0,,,
2020-01-24,2182.0,2182.0,1298.0,8745.0,,,
2020-01-25,1559.0,1559.0,967.0,5988.0,,,
2020-01-26,1320.0,1320.0,766.0,5644.0,,,
2020-01-27,1334.0,1334.0,693.0,10649.0,,,
2020-01-28,1411.0,1411.0,653.0,10475.0,,,
2020-01-29,1559.0,1559.0,604.0,9326.0,,,
2020-01-30,1762.0,1762.0,599.0,8814.0,,,
2020-01-31,1512.0,1512.0,632.0,10224.0,,,
2020-02-01,1276.0,1276.0,584.0,7180.0,,,
2020-02-02,1113.0,1113.0,604.0,6122.0,,,
2020-02-03,2864.0,2864.0,828.0,9070.0,,,
2020-02-04,8861.0,8861.0,673.0,9626.0,,,
2020-02-05,5597.0,5597.0,735.0,10839.0,,,
2020-02-06,2711.0,2711.0,738.0,9989.0,,,
2020-02-07,1966.0,1966.0,652.0,8622.0,,,
2020-02-08,1589.0,1589.0,708.0,6454.0,,,
2020-02-09,1875.0,1875.0,1002.0,6358.0,,,
2020-02-10,1894.0,1894.0,780.0,8730.0,,,
2020-02-11,1870.0,1870.0,767.0,9589.0,,,
2020-02-12,1862.0,1862.0,746.0,9526.0,,,
2020-02-13,1705.0,1705.0,696.0,9536.0,,,
2020-02-14,1425.0,1425.0,568.0,7782.0,,,
2020-02-15,1348.0,1348.0,641.0,6682.0,,,
2020-02-16,1431.0,1431.0,647.0,6859.0,,,
2020-02-17,1340.0,1340.0,615.0,8415.0,,,
2020-02-18,1670.0,1670.0,670.0,9444.0,,,
2020-02-19,1862.0,1862.0,761.0,8608.0,,,
2020-02-20,1920.0,1920.0,760.0,9965.0,,,
2020-02-21,1687.0,1687.0,696.0,7843.0,,,
2020-02-22,1255.0,1255.0,551.0,6268.0,,,
2020-02-23,1424.0,1424.0,654.0,6824.0,,,
2020-02-24,1724.0,1724.0,655.0,16494.0,,,
2020-02-25,1415.0,1415.0,634.0,21311.0,,,
2020-02-26,1680.0,1680.0,716.0,19539.0,,,
2020-02-27,1649.0,1649.0,652.0,28118.0,,,
2020-02-28,2005.0,2005.0,757.0,51158.0,,,
2020-02-29,1485.0,1485.0,602.0,20114.0,,,
2020-03-01,1318.0,1318.0,583.0,13331.0,,,
2020-03-02,1960.0,1960.0,770.0,20678.0,,,
2020-03-03,1997.0,1997.0,678.0,20682.0,,,
2020-03-04,3041.0,3041.0,1931.0,16581.0,,,
2020-03-05,2097.0,2097.0,1029.0,17264.0,,,
2020-03-06,1924.0,1924.0,799.0,18499.0,,,
2020-03-07,1428.0,1428.0,681.0,10254.0,-0.9705480547620362,,-0.7251193527772175
2020-03-08,1548.0,1548.0,785.0,9668.0,-0.8437899942972251,,-0.5339723337196235
2020-03-09,2023.0,2023.0,686.0,48273.0,-1.3246831574073803,,-1.2034079520193879
2020-03-10,2180.0,2180.0,716.0,41754.0,-1.586138661654651,,-1.5700386248212905
2020-03-11,1858.0,1858.0,641.0,34413.0,-1.9774264416853005,,-2.4554088829860454
2020-03-12,2056.0,2056.0,698.0,69266.0,-2.476111040347133,,-3.214261485282973
2020-03-13,3131.0,3131.0,737.0,58073.0,-2.4965400596440355,,-3.4062773961046564
2020-03-14,2451.0,2451.0,832.0,23936.0,-2.32684609800069,,-3.164264678313072
2020-03-15,2009.0,2009.0,905.0,17312.0,-2.2151756349311627,,-2.937101231813225
2020-03-16,2348.0,2348.0,690.0,53547.0,-2.1188504224800715,,-2.783870962560539
2020-03-17,2582.0,2582.0,750.0,55579.0,-2.077605636115561,,-2.7010114636118363
2020-03-18,2917.0,2917.0,839.0,48430.0,-1.9679404930640743,,-2.5661788587343675
2020-03-19,2931.0,2931.0,737.0,39369.0,-1.6392732814586262,,-2.241135060308454
2020-03-20,3204.0,3204.0,966.0,28262.0,-1.4005250121381083,,-1.8794946084554915
2020-03-21,2026.0,2026.0,885.0,20934.0,-1.3942701865602618,-1.6906683403802374,-1.7858148611706293
2020-03-22,2010.0,2010.0,984.0,17764.0,-1.370174075611429,-1.6221458718783703,-1.7156232220433907
2020-03-23,2448.0,2448.0,728.0,31792.0,-1.1826396459920379,-1.5882038876834328,-1.5075987151181138
2020-03-24,3099.0,3099.0,800.0,31683.0,-0.9315272536764466,-1.5315271126730805,-1.2779911099052852
2020-03-25,3754.0,3754.0,888.0,33542.0,-0.7181795652778297,-1.5115420546836715,-1.118175064480322
2020-03-26,3664.0,3664.0,900.0,28201.0,-0.5458859942220892,-1.4436491192919003,-0.9563014113650495
2020-03-27,3186.0,3186.0,860.0,25821.0,-0.520335637898901,-1.3832130091349815,-0.9529897611590444
2020-03-28,2275.0,2275.0,849.0,16641.0,-0.45348489167530237,-1.3397655532318768,-0.9121502206296281
2020-03-29,2157.0,2157.0,906.0,15692.0,-0.4171287544472365,-1.3066220391870513,-0.9052289843813663
2020-03-30,2564.0,2564.0,834.0,20787.0,-0.29235786376850137,-1.190502271396464,-0.7553573010829906
