date,views
2021-06-05,6.0
2021-06-06,9.0
2021-06-07,36.0
2021-06-08,56.0
2021-06-09,59.0
2021-06-10,39.0
2021-06-11,26.0
2021-06-12,11.0
2021-06-13,10.0
2021-06-14,10.0
2021-06-15,15.0
2021-06-16,19.0
2021-06-17,5.0
2021-06-18,12.0
2021-06-19,9.0
2021-06-20,9.0
2021-06-21,14.0
2021-06-22,9.0
2021-06-23,9.0
2021-06-24,7.0
2021-06-25,11.0
2021-06-26,2.0
2021-06-27,2.0
2021-06-28,11.0
2021-06-29,5.0
2021-06-30,6.0
2021-07-01,12.0
2021-07-02,9.0
2021-07-03,4.0
2021-07-04,2.0
2021-07-05,2.0
2021-07-06,2.0
2021-07-07,4.0
2021-07-08,6.0
2021-07-09,3.0
2021-07-10,7.0
2021-07-11,1.0
2021-07-12,9.0
2021-07-13,9.0
2021-07-14,8.0
2021-07-15,4.0
2021-07-16,8.0
2021-07-18,3.0
2021-07-19,9.0
2021-07-20,9.0
2021-07-21,6.0
2021-07-22,1.0
2021-07-23,6.0
2021-07-24,0.0
2021-07-25,3.0
2021-07-26,1.0
2021-07-27,2.0
2021-07-28,2.0
2021-07-29,5.0
2021-07-30,3.0
2021-07-31,2.0
2021-08-01,2.0
2021-08-02,4.0
2021-08-03,4.0
2021-08-04,13.0
2021-08-05,13.0
2021-08-06,6.0
2021-08-07,8.0
2021-08-08,5.0
2021-08-09,11.0
2021-08-10,9.0
2021-08-11,5.0
2021-08-12,5.0
2021-08-13,9.0
2021-08-14,5.0
2021-08-16,2.0
2021-08-17,2.0
2021-08-18,2.0
2021-08-19,2.0
2021-08-20,1.0
2021-08-21,1.0
2021-08-22,4.0
2021-08-23,1.0
2021-08-24,4.0
2021-08-25,12.0
2021-08-26,2.0
2021-08-27,9.0
2021-08-28,5.0
2021-08-29,1.0
2021-08-30,3.0
2021-08-31,2.0
2021-09-01,8.0
2021-09-02,9.0
2021-09-03,2.0
2021-09-04,6.0
2021-09-06,1.0
2021-09-08,4.0
2021-09-09,5.0
2021-09-10,1.0
2021-09-11,1.0
2021-09-12,2.0
2021-09-13,7.0
2021-09-14,9.0
2021-09-15,4.0
2021-09-16,5.0
2021-09-17,3.0
2021-09-18,1.0
2021-09-20,2.0
2021-09-21,2.0
2021-09-22,4.0
2021-09-23,1.0
2021-09-24,4.0
2021-09-25,2.0
2021-09-27,2.0
2021-09-28,4.0
2021-09-29,2.0
2021-09-30,5.0
2021-10-01,2.0
2021-10-02,2.0
2021-10-03,3.0
2021-10-04,2.0
2021-10-05,2.0
2021-10-06,5.0
2021-10-07,4.0
2021-10-08,3.0
2021-10-10,1.0
2021-10-11,4.0
2021-10-12,1.0
2021-10-13,7.0
2021-10-14,3.0
2021-10-15,2.0
2021-10-16,4.0
2021-10-17,4.0
2021-10-18,2.0
2021-10-19,5.0
2021-10-20,6.0
2021-10-21,77.0
2021-10-22,67.0
2021-10-23,103.0
2021-10-24,67.0
2021-10-25,190.0
2021-10-26,95.0
2021-10-27,85.0
2021-10-28,112.0
2021-10-29,5232.0
2021-10-30,146.0
2021-10-31,102.0
2021-11-01,134.0
2021-11-02,167.0
2021-11-03,343.0
2021-11-04,200.0
2021-11-05,123.0
2021-11-06,111.0
2021-11-07,113.0
2021-11-08,174.0
2021-11-09,310.0
2021-11-10,225.0
2021-11-11,211.0
2021-11-12,202.0
2021-11-13,102.0
2021-11-14,97.0
2021-11-15,138.0
2021-11-16,128.0
2021-11-17,103.0
2021-11-18,107.0
2021-11-19,118.0
2021-11-20,129.0
2021-11-21,117.0
2021-11-22,153.0
2021-11-23,128.0
2021-11-24,115.0
2021-11-25,90.0
2021-11-26,74.0
2021-11-27,66.0
2021-11-28,63.0
2021-11-29,73.0
2021-11-30,85.0
2021-12-01,119.0
2021-12-02,107.0
2021-12-03,97.0
2021-12-04,82.0
2021-12-05,105.0
2021-12-06,114.0
2021-12-07,127.0
2021-12-08,146.0
2021-12-09,149.0
2021-12-10,107.0
2021-12-11,72.0
2021-12-12,101.0
2021-12-13,172.0
2021-12-14,356.0
2021-12-15,155.0
2021-12-16,192.0
2021-12-17,162.0
2021-12-18,142.0
2021-12-19,134.0
2021-12-20,102.0
2021-12-21,78.0
2021-12-22,115.0
2021-12-23,124.0
2021-12-24,112.0
2021-12-25,86.0
2021-12-26,84.0
2021-12-27,130.0
2021-12-28,144.0
2021-12-29,108.0
