ticker,event_date,label_source,label_status
BKKT,2021-11-12,SEC complaint Attachment A,alleged manipulative trading date; retrospective weak label
BKKT,2021-11-19,SEC complaint Attachment A,alleged manipulative trading date; retrospective weak label
BKKT,2023-01-12,SEC complaint Attachment A,alleged manipulative trading date; retrospective weak label
BLBD,2023-05-12,SEC complaint Attachment A,alleged manipulative trading date; retrospective weak label
BLBX,2023-04-17,SEC complaint Attachment A,alleged manipulative trading date; retrospective weak label
BLTE,2022-05-03,SEC complaint Attachment A,alleged manipulative trading date; retrospective weak label
BLUW,2021-09-08,SEC complaint Attachment A,alleged manipulative trading date; retrospective weak label
BLZE,2021-11-17,SEC complaint Attachment A,alleged manipulative trading date; retrospective weak label
BNTX,2021-08-12,SEC complaint Attachment A,alleged manipulative trading date; retrospective weak label
BNTX,2021-08-17,SEC complaint Attachment A,alleged manipulative trading date; retrospective weak label
BODI,2023-11-22,SEC complaint Attachment A,alleged manipulative trading date; retrospective weak label
BOH,2023-05-12,SEC complaint Attachment A,alleged manipulative trading date; retrospective weak label
BON,2021-07-06,SEC complaint Attachment A,alleged manipulative trading date; retrospective weak label
BON,2021-07-14,SEC complaint Attachment A,alleged manipulative trading date; retrospective weak label
BON,2021-07-15,SEC complaint Attachment A,alleged manipulative trading date; retrospective weak label
BON,2021-07-16,SEC complaint Attachment A,alleged manipulative trading date; retrospective weak label
BON,2021-10-20,SEC complaint Attachment A,alleged manipulative trading date; retrospective weak label
BRCC,2022-02-17,SEC complaint Attachment A,alleged manipulative trading date; retrospective weak label
BRCC,2022-04-19,SEC complaint Attachment A,alleged manipulative trading date; retrospective weak label
BRCC,2022-06-29,SEC complaint Attachment A,alleged manipulative trading date; retrospective weak label
BRFH,2022-01-25,SEC complaint Attachment A,alleged manipulative trading date; retrospective weak label
BROS,2021-09-17,SEC complaint Attachment A,alleged manipulative trading date; retrospective weak label
BROS,2022-02-01,SEC complaint Attachment A,alleged manipulative trading date; retrospective weak label
BTAI,2023-07-06,SEC complaint Attachment A,alleged manipulative trading date; retrospective weak label
BTB,2023-01-17,SEC complaint Attachment A,alleged manipulative trading date; retrospective weak label
BTCM,2023-01-17,SEC complaint Attachment A,alleged manipulative trading date; retrospective weak label
BTTX,2021-11-01,SEC complaint Attachment A,alleged manipulative trading date; retrospective weak label
BTTX,2021-11-03,SEC complaint Attachment A,alleged manipulative trading date; retrospective weak label
