obs_date,release_date,value
1990-01-01,1990-02-02,5.3
1990-02-01,1990-03-09,5.3
1990-03-01,1990-04-06,5.2
1990-04-01,1990-05-04,5.4
1990-05-01,1990-06-01,5.3
1990-06-01,1990-07-06,5.2
1990-07-01,1990-08-03,5.5
1990-08-01,1990-09-07,5.6
1990-09-01,1990-10-05,5.7
1990-10-01,1990-11-02,5.7
1990-11-01,1990-12-07,5.9
1990-12-01,1991-01-04,6.1
1991-01-01,1991-02-01,6.2
1991-02-01,1991-03-08,6.5
1991-03-01,1991-04-05,6.8
1991-04-01,1991-05-03,6.6
1991-05-01,1991-06-07,6.9
1991-06-01,1991-07-05,7.0
1991-07-01,1991-08-02,6.8
1991-08-01,1991-09-06,6.8
1991-09-01,1991-10-04,6.7
1991-10-01,1991-11-01,6.8
1991-11-01,1991-12-06,6.8
1991-12-01,1992-01-10,7.1
1992-01-01,1992-02-07,7.1
1992-02-01,1992-03-06,7.3
1992-03-01,1992-04-03,7.3
1992-04-01,1992-05-08,7.2
1992-05-01,1992-06-05,7.5
1992-06-01,1992-07-02,7.8
1992-07-01,1992-08-07,7.7
1992-08-01,1992-09-04,7.6
1992-09-01,1992-10-02,7.5
1992-10-01,1992-11-06,7.4
1992-11-01,1992-12-04,7.2
1992-12-01,1993-01-08,7.3
1993-01-01,1993-02-05,7.1
1993-02-01,1993-03-05,7.0
1993-03-01,1993-04-02,7.0
1993-04-01,1993-05-07,7.0
1993-05-01,1993-06-04,6.9
1993-06-01,1993-07-02,7.0
1993-07-01,1993-08-06,6.8
1993-08-01,1993-09-03,6.7
1993-09-01,1993-10-08,6.7
1993-10-01,1993-11-05,6.8
1993-11-01,1993-12-03,6.4
1993-12-01,1994-01-07,6.4
1994-01-01,1994-02-04,6.7
1994-02-01,1994-03-04,6.5
1994-03-01,1994-04-01,6.5
1994-04-01,1994-05-06,6.4
1994-05-01,1994-06-03,6.0
1994-06-01,1994-07-08,6.0
1994-07-01,1994-08-05,6.1
1994-08-01,1994-09-02,6.1
1994-09-01,1994-10-07,5.9
1994-10-01,1994-11-04,5.8
1994-11-01,1994-12-02,5.6
1994-12-01,1995-01-06,5.4
1995-01-01,1995-02-03,5.7
1995-02-01,1995-03-10,5.4
1995-03-01,1995-04-07,5.5
1995-04-01,1995-05-05,5.8
1995-05-01,1995-06-02,5.7
1995-06-01,1995-07-07,5.6
1995-07-01,1995-08-04,5.7
1995-08-01,1995-09-01,5.6
1995-09-01,1995-10-06,5.6
1995-10-01,1995-11-03,5.5
1995-11-01,1995-12-08,5.6
1995-12-01,1996-01-19,5.6
1996-01-01,1996-02-02,5.8
