obs_date,release_date,value
1990-01-01,1990-02-21,127.7
1990-02-01,1990-03-20,128.3
1990-03-01,1990-04-17,128.9
1990-04-01,1990-05-16,129.1
1990-05-01,1990-06-15,129.3
1990-06-01,1990-07-18,130.0
1990-07-01,1990-08-16,130.5
1990-08-01,1990-09-18,131.5
1990-09-01,1990-10-18,132.5
1990-10-01,1990-11-16,133.3
1990-11-01,1990-12-18,133.7
1990-12-01,1991-01-16,134.1
1991-01-01,1991-02-20,134.8
1991-02-01,1991-03-19,135.1
1991-03-01,1991-04-12,135.0
1991-04-01,1991-05-14,135.3
1991-05-01,1991-06-14,135.7
1991-06-01,1991-07-17,136.0
1991-07-01,1991-08-14,136.3
1991-08-01,1991-09-13,136.6
1991-09-01,1991-10-17,137.1
1991-10-01,1991-11-14,137.2
1991-11-01,1991-12-13,137.8
1991-12-01,1992-01-16,138.2
1992-01-01,1992-02-19,138.3
1992-02-01,1992-03-17,138.7
1992-03-01,1992-04-10,139.4
1992-04-01,1992-05-13,139.7
1992-05-01,1992-06-12,139.9
1992-06-01,1992-07-14,140.3
1992-07-01,1992-08-13,140.5
1992-08-01,1992-09-15,140.9
1992-09-01,1992-10-15,141.2
1992-10-01,1992-11-13,141.8
1992-11-01,1992-12-13,142.1
1992-12-01,1993-01-15,142.2
1993-01-01,1993-02-18,142.9
1993-02-01,1993-03-17,143.4
1993-03-01,1993-04-09,143.6
1993-04-01,1993-05-13,144.2
1993-05-01,1993-06-15,144.4
1993-06-01,1993-07-14,144.4
1993-07-01,1993-08-13,144.5
1993-08-01,1993-09-14,144.9
1993-09-01,1993-10-15,144.9
1993-10-01,1993-11-10,145.5
1993-11-01,1993-12-10,145.8
1993-12-01,1994-01-13,146.1
1994-01-01,1994-02-17,146.3
1994-02-01,1994-03-16,146.7
1994-03-01,1994-04-13,147.2
1994-04-01,1994-05-13,147.4
1994-05-01,1994-06-14,147.7
1994-06-01,1994-07-13,148.1
1994-07-01,1994-08-12,148.6
1994-08-01,1994-09-13,149.1
1994-09-01,1994-10-14,149.4
1994-10-01,1994-11-16,149.5
1994-11-01,1994-12-14,149.9
1994-12-01,1995-01-11,150.2
1995-01-01,1995-02-15,150.6
1995-02-01,1995-03-16,151.0
1995-03-01,1995-04-12,151.3
1995-04-01,1995-05-12,151.9
1995-05-01,1995-06-13,152.3
1995-06-01,1995-07-14,152.5
1995-07-01,1995-08-11,152.8
1995-08-01,1995-09-13,153.0
1995-09-01,1995-10-13,153.2
1995-10-01,1995-11-15,153.7
1995-11-01,1995-12-14,153.7
1995-12-01,1996-02-01,154.0
1996-01-01,1996-02-28,154.7
1996-02-01,1996-03-15,155.0
1996-03-01,1996-04-12,155.6
1996-04-01,1996-05-14,156.2
1996-05-01,1996-06-12,156.7
1996-06-01,1996-07-16,156.8
1996-07-01,1996-08-13,157.2
1996-08-01,1996-09-13,157.4
1996-09-01,1996-10-16,157.8
1996-10-01,1996-11-14,158.3
1996-11-01,1996-12-12,158.7
1996-12-01,1997-01-14,159.1
1997-01-01,1997-02-19,159.4
1997-02-01,1997-03-19,159.8
1997-03-01,1997-04-15,159.9
1997-04-01,1997-05-15,160.0
1997-05-01,1997-06-17,160.1
1997-06-01,1997-07-16,160.3
1997-07-01,1997-08-14,160.6
1997-08-01,1997-09-16,160.9
1997-09-01,1997-10-16,161.3
1997-10-01,1997-11-18,161.6
1997-11-01,1997-12-16,161.8
1997-12-01,1998-01-13,161.9
1998-01-01,1998-02-24,161.9
1998-02-01,1998-03-19,162.0
1998-03-01,1998-04-14,162.0
1998-04-01,1998-05-14,162.4
1998-05-01,1998-06-16,162.9
1998-06-01,1998-07-14,163.0
1998-07-01,1998-08-18,163.3
1998-08-01,1998-09-17,163.6
1998-09-01,1998-10-16,163.6
1998-10-01,1998-11-17,164.0
1998-11-01,1998-12-15,164.3
1998-12-01,1999-01-14,164.5
1999-01-01,1999-02-19,164.6
1999-02-01,1999-03-18,164.7
1999-03-01,1999-04-13,165.0
1999-04-01,1999-05-14,166.2
1999-05-01,1999-06-16,166.2
1999-06-01,1999-07-15,166.2
1999-07-01,1999-08-17,166.7
1999-08-01,1999-09-15,167.2
1999-09-01,1999-10-19,167.9
1999-10-01,1999-11-17,168.2
1999-11-01,1999-12-14,168.4
1999-12-01,2000-01-14,168.8
2000-01-01,2000-02-18,169.1
2000-02-01,2000-03-17,170.0
2000-03-01,2000-04-14,171.2
2000-04-01,2000-05-16,171.2
2000-05-01,2000-06-14,171.3
2000-06-01,2000-07-18,172.3
2000-07-01,2000-08-16,172.7
2000-08-01,2000-09-15,172.6
2000-09-01,2000-10-18,173.6
2000-10-01,2000-11-16,173.9
2000-11-01,2000-12-15,174.2
2000-12-01,2001-01-17,174.5
2001-01-01,2001-02-21,175.7
2001-02-01,2001-03-21,176.2
2001-03-01,2001-04-17,176.3
2001-04-01,2001-05-16,176.8
2001-05-01,2001-06-15,177.5
2001-06-01,2001-07-18,177.9
2001-07-01,2001-08-16,177.4
2001-08-01,2001-09-18,177.5
2001-09-01,2001-10-19,178.2
2001-10-01,2001-11-16,177.6
2001-11-01,2001-12-14,177.6
2001-12-01,2002-01-16,177.3
2002-01-01,2002-02-20,177.6
2002-02-01,2002-03-21,178.0
2002-03-01,2002-04-16,178.6
2002-04-01,2002-05-15,179.5
2002-05-01,2002-06-18,179.5
2002-06-01,2002-07-19,179.7
2002-07-01,2002-08-16,179.9
2002-08-01,2002-09-18,180.5
2002-09-01,2002-10-18,180.8
2002-10-01,2002-11-19,181.3
2002-11-01,2002-12-17,181.5
2002-12-01,2003-01-16,181.6
2003-01-01,2003-02-21,182.2
2003-02-01,2003-03-21,183.3
2003-03-01,2003-04-16,183.9
2003-04-01,2003-05-16,183.3
2003-05-01,2003-06-17,183.3
2003-06-01,2003-07-16,183.6
2003-07-01,2003-08-15,183.9
2003-08-01,2003-09-16,184.5
2003-09-01,2003-10-16,185.0
2003-10-01,2003-11-18,185.0
2003-11-01,2003-12-16,184.6
2003-12-01,2004-01-15,185.0
2004-01-01,2004-02-20,185.8
2004-02-01,2004-03-17,186.3
