obs_date,release_date,value
1990-01-01,1990-02-16,140.9
1990-02-01,1990-03-16,141.8
1990-03-01,1990-04-17,108.8
1990-04-01,1990-05-15,108.7
1990-05-01,1990-06-15,109.7
1990-06-01,1990-07-17,109.8
1990-07-01,1990-08-15,109.9
1990-08-01,1990-09-14,109.8
1990-09-01,1990-10-17,110.7
1990-10-01,1990-11-13,109.6
1990-11-01,1990-12-14,107.5
1990-12-01,1991-01-16,107.1
1991-01-01,1991-02-15,106.5
1991-02-01,1991-03-15,105.7
1991-03-01,1991-04-16,105.3
1991-04-01,1991-05-13,105.1
1991-05-01,1991-06-14,105.8
1991-06-01,1991-07-15,106.9
1991-07-01,1991-08-16,107.6
1991-08-01,1991-09-17,108.2
1991-09-01,1991-10-17,108.1
1991-10-01,1991-11-15,108.2
1991-11-01,1991-12-16,107.8
1991-12-01,1992-01-17,107.8
1992-01-01,1992-02-14,106.7
1992-02-01,1992-03-17,107.2
1992-03-01,1992-04-15,107.2
1992-04-01,1992-05-15,108.2
1992-05-01,1992-06-16,108.8
1992-06-01,1992-07-15,108.2
1992-07-01,1992-08-14,108.9
1992-08-01,1992-09-16,108.6
1992-09-01,1992-10-16,108.6
1992-10-01,1992-11-16,109.0
1992-11-01,1992-12-16,109.7
1992-12-01,1993-01-15,110.5
1993-01-01,1993-02-18,111.0
1993-02-01,1993-03-17,111.8
1993-03-01,1993-04-16,112.0
1993-04-01,1993-05-14,110.0
1993-05-01,1993-06-16,110.4
1993-06-01,1993-07-16,110.1
1993-07-01,1993-08-16,110.6
1993-08-01,1993-09-16,111.1
1993-09-01,1993-10-15,111.0
1993-10-01,1993-11-15,112.2
1993-11-01,1993-12-15,113.2
1993-12-01,1994-01-14,114.0
1994-01-01,1994-02-15,114.4
1994-02-01,1994-03-15,115.1
1994-03-01,1994-04-15,115.6
1994-04-01,1994-05-16,116.0
1994-05-01,1994-06-15,116.1
1994-06-01,1994-07-15,116.8
1994-07-01,1994-08-15,117.2
1994-08-01,1994-09-16,118.5
1994-09-01,1994-10-14,118.7
1994-10-01,1994-11-15,119.8
1994-11-01,1994-12-14,120.2
1994-12-01,1995-01-17,121.4
1995-01-01,1995-02-15,121.9
1995-02-01,1995-03-15,122.6
1995-03-01,1995-04-14,121.9
1995-04-01,1995-05-16,121.1
1995-05-01,1995-06-15,120.9
1995-06-01,1995-07-14,121.0
1995-07-01,1995-08-15,121.3
1995-08-01,1995-09-15,123.0
1995-09-01,1995-10-17,122.6
1995-10-01,1995-11-15,122.5
1995-11-01,1995-12-14,122.8
1995-12-01,1996-01-24,122.8
1996-01-01,1996-02-16,121.9
1996-02-01,1996-03-15,123.7
1996-03-01,1996-04-16,123.5
1996-04-01,1996-05-15,124.5
1996-05-01,1996-06-14,125.3
1996-06-01,1996-07-16,125.7
1996-07-01,1996-08-15,126.2
1996-08-01,1996-09-17,126.9
1996-09-01,1996-10-17,127.1
1996-10-01,1996-11-15,126.6
1996-11-01,1996-12-16,128.0
1996-12-01,1997-01-17,129.1
1997-01-01,1997-02-14,117.689
1997-02-01,1997-03-14,118.13
1997-03-01,1997-04-16,119.59
1997-04-01,1997-05-15,118.994
1997-05-01,1997-06-17,119.737
1997-06-01,1997-07-16,119.886
1997-07-01,1997-08-14,119.811
1997-08-01,1997-09-16,121.315
1997-09-01,1997-10-17,122.387
1997-10-01,1997-11-17,122.694
1997-11-01,1997-12-15,127.327
1997-12-01,1998-01-16,128.135
1998-01-01,1998-02-17,127.925
1998-02-01,1998-03-17,128.103
1998-03-01,1998-04-17,127.693
1998-04-01,1998-05-15,127.808
1998-05-01,1998-06-16,128.763
1998-06-01,1998-07-16,128.072
1998-07-01,1998-08-14,126.788
1998-08-01,1998-09-16,129.096
1998-09-01,1998-10-16,128.658
1998-10-01,1998-11-16,128.289
1998-11-01,1998-12-16,131.811
1998-12-01,1999-01-15,132.774
1999-01-01,1999-02-17,132.506
1999-02-01,1999-03-16,132.593
1999-03-01,1999-04-16,132.755
1999-04-01,1999-05-14,133.966
1999-05-01,1999-06-16,134.126
1999-06-01,1999-07-16,134.184
1999-07-01,1999-08-17,135.148
1999-08-01,1999-09-16,135.63
1999-09-01,1999-10-15,135.043
1999-10-01,1999-11-16,136.133
1999-11-01,1999-12-15,139.542
1999-12-01,2000-01-14,140.492
2000-01-01,2000-02-15,141.485
2000-02-01,2000-03-15,142.075
2000-03-01,2000-04-14,142.017
2000-04-01,2000-05-15,143.683
2000-05-01,2000-06-15,144.159
2000-06-01,2000-07-14,144.602
2000-07-01,2000-08-15,145.319
2000-08-01,2000-09-15,145.681
2000-09-01,2000-10-17,145.96
2000-10-01,2000-11-15,146.316
2000-11-01,2000-12-15,148.602
2000-12-01,2001-01-17,147.306
2001-01-01,2001-02-16,146.997
2001-02-01,2001-03-16,146.001
2001-03-01,2001-04-17,146.466
2001-04-01,2001-05-14,144.866
2001-05-01,2001-06-15,143.12
2001-06-01,2001-07-17,142.501
2001-07-01,2001-08-15,142.849
2001-08-01,2001-09-14,141.499
2001-09-01,2001-10-16,140.3
2001-10-01,2001-11-16,139.307
2001-11-01,2001-12-14,137.139
2001-12-01,2002-01-16,136.737
2002-01-01,2002-02-15,136.518
2002-02-01,2002-03-15,137.634
2002-03-01,2002-04-16,138.845
2002-04-01,2002-05-15,139.151
2002-05-01,2002-06-14,139.334
2002-06-01,2002-07-16,140.57
2002-07-01,2002-08-15,140.687
2002-08-01,2002-09-17,140.542
2002-09-01,2002-10-17,140.493
2002-10-01,2002-11-15,139.293
2002-11-01,2002-12-17,110.796
2002-12-01,2003-01-17,110.602
2003-01-01,2003-02-14,111.129
2003-02-01,2003-03-14,111.108
2003-03-01,2003-04-15,110.14
2003-04-01,2003-05-15,109.656
2003-05-01,2003-06-17,109.583
2003-06-01,2003-07-16,109.678
2003-07-01,2003-08-15,110.037
2003-08-01,2003-09-15,110.213
2003-09-01,2003-10-16,110.602
2003-10-01,2003-11-14,111.751
2003-11-01,2003-12-16,112.946
2003-12-01,2004-01-16,113.187
2004-01-01,2004-02-17,113.795
2004-02-01,2004-03-15,114.59
2004-03-01,2004-04-16,114.523
2004-04-01,2004-05-14,115.423
2004-05-01,2004-06-16,116.947
2004-06-01,2004-07-15,116.19
2004-07-01,2004-08-17,116.213
2004-08-01,2004-09-15,116.62
2004-09-01,2004-10-15,116.666
2004-10-01,2004-11-17,117.592
2004-11-01,2004-12-14,117.6
2004-12-01,2005-01-14,117.813
2005-01-01,2005-02-16,117.667
2005-02-01,2005-03-16,118.393
2005-03-01,2005-04-15,118.527
2005-04-01,2005-05-17,118.277
2005-05-01,2005-06-15,118.641
2005-06-01,2005-07-15,119.657
2005-07-01,2005-08-16,119.444
2005-08-01,2005-09-14,119.678
2005-09-01,2005-10-14,118.016
2005-10-01,2005-11-17,107.877
2005-11-01,2005-12-15,108.96
2005-12-01,2006-01-17,109.762
2006-01-01,2006-02-15,110.269
2006-02-01,2006-03-17,110.878
2006-03-01,2006-04-14,111.2088
2006-04-01,2006-05-16,112.2624
2006-05-01,2006-06-15,112.0991
2006-06-01,2006-07-17,113.2096
2006-07-01,2006-08-16,113.5293
2006-08-01,2006-09-15,113.7063
2006-09-01,2006-10-17,113.1336
2006-10-01,2006-11-16,113.6615
2006-11-01,2006-12-15,112.3227
2006-12-01,2007-01-17,112.4425
2007-01-01,2007-02-15,111.9282
2007-02-01,2007-03-16,113.1433
2007-03-01,2007-04-17,112.4866
2007-04-01,2007-05-16,113.0344
2007-05-01,2007-06-15,112.6889
2007-06-01,2007-07-17,113.3704
2007-07-01,2007-08-15,113.8604
2007-08-01,2007-09-14,114.4254
2007-09-01,2007-10-16,114.357
2007-10-01,2007-11-16,113.9957
2007-11-01,2007-12-14,113.9019
2007-12-01,2008-01-16,113.9673
2008-01-01,2008-02-15,114.2334
2008-02-01,2008-03-17,113.6597
2008-03-01,2008-04-16,112.1281
2008-04-01,2008-05-15,111.1807
2008-05-01,2008-06-17,110.9051
2008-06-01,2008-07-16,111.7251
2008-07-01,2008-08-15,111.8419
2008-08-01,2008-09-15,110.3034
2008-09-01,2008-10-16,107.254
2008-10-01,2008-11-17,107.2854
2008-11-01,2008-12-15,106.1173
2008-12-01,2009-01-16,103.5966
2009-01-01,2009-02-18,101.337
2009-02-01,2009-03-16,99.7298
2009-03-01,2009-04-15,97.3755
2009-04-01,2009-05-15,97.0723
2009-05-01,2009-06-16,95.8402
2009-06-01,2009-07-15,95.3964
2009-07-01,2009-08-14,95.9709
2009-08-01,2009-09-16,97.4422
2009-09-01,2009-10-16,98.4622
2009-10-01,2009-11-17,98.6271
2009-11-01,2009-12-15,99.4398
2009-12-01,2010-01-15,100.3043
2010-01-01,2010-02-17,101.0516
2010-02-01,2010-03-15,100.9862
2010-03-01,2010-04-15,101.61
2010-04-01,2010-05-14,102.2666
2010-05-01,2010-06-16,103.538
2010-06-01,2010-07-15,92.5354
2010-07-01,2010-08-17,93.4009
2010-08-01,2010-09-15,93.2093
2010-09-01,2010-10-18,93.1902
2010-10-01,2010-11-16,93.3753
2010-11-01,2010-12-15,93.8961
2010-12-01,2011-01-14,94.8756
2011-01-01,2011-02-16,95.1452
2011-02-01,2011-03-17,95.485
2011-03-01,2011-04-15,93.5904
2011-04-01,2011-05-17,93.097
2011-05-01,2011-06-15,92.9815
2011-06-01,2011-07-15,93.07
2011-07-01,2011-08-16,94.1525
2011-08-01,2011-09-15,94.0419
2011-09-01,2011-10-17,94.1851
2011-10-01,2011-11-16,94.7136
2011-11-01,2011-12-15,94.8263
2011-12-01,2012-01-18,95.2915
2012-01-01,2012-02-15,95.9054
2012-02-01,2012-03-16,96.1735
2012-03-01,2012-04-17,96.5685
2012-04-01,2012-05-16,97.4133
2012-05-01,2012-06-15,97.2853
2012-06-01,2012-07-17,97.4298
2012-07-01,2012-08-15,98.0398
2012-08-01,2012-09-14,96.8202
2012-09-01,2012-10-16,97.0328
2012-10-01,2012-11-16,96.5879
2012-11-01,2012-12-14,97.509
2012-12-01,2013-01-16,98.093
2013-01-01,2013-02-15,98.6212
2013-02-01,2013-03-15,99.4965
2013-03-01,2013-04-16,99.4765
2013-04-01,2013-05-15,98.7439
2013-05-01,2013-06-14,98.6709
2013-06-01,2013-07-16,99.0549
2013-07-01,2013-08-15,98.9462
2013-08-01,2013-09-16,99.3579
2013-09-01,2013-10-28,100.0439
2013-10-01,2013-11-15,99.9778
2013-11-01,2013-12-16,101.2825
2013-12-01,2014-01-17,101.7629
2014-01-01,2014-02-14,101.0251
2014-02-01,2014-03-17,101.6276
2014-03-01,2014-04-16,103.2374
2014-04-01,2014-05-15,102.7435
2014-05-01,2014-06-16,103.6585
2014-06-01,2014-07-16,103.9152
2014-07-01,2014-08-15,104.3882
2014-08-01,2014-09-15,104.1152
2014-09-01,2014-10-16,105.0728
2014-10-01,2014-11-17,104.8568
2014-11-01,2014-12-15,106.6617
2014-12-01,2015-01-16,106.5114
2015-01-01,2015-02-18,106.1878
2015-02-01,2015-03-16,105.8028
2015-03-01,2015-04-15,105.2161
2015-04-01,2015-05-15,105.1786
2015-05-01,2015-06-15,105.1018
2015-06-01,2015-07-15,105.7065
2015-07-01,2015-08-14,107.477
2015-08-01,2015-09-15,107.0793
2015-09-01,2015-10-16,107.0917
2015-10-01,2015-11-17,107.2123
2015-11-01,2015-12-16,106.5339
2015-12-01,2016-01-15,106.0222
2016-01-01,2016-02-17,106.8477
2016-02-01,2016-03-16,106.3275
2016-03-01,2016-04-15,103.3759
2016-04-01,2016-05-17,104.147
2016-05-01,2016-06-15,103.5527
2016-06-01,2016-07-15,104.1342
2016-07-01,2016-08-16,104.9141
2016-08-01,2016-09-15,104.4016
2016-09-01,2016-10-17,104.226
2016-10-01,2016-11-16,104.2687
2016-11-01,2016-12-14,103.8589
2016-12-01,2017-01-18,104.5712
2017-01-01,2017-02-15,104.5548
2017-02-01,2017-03-17,104.7361
2017-03-01,2017-04-18,104.0998
2017-04-01,2017-05-16,105.1241
2017-05-01,2017-06-15,105.0284
2017-06-01,2017-07-14,105.16
2017-07-01,2017-08-17,105.4757
2017-08-01,2017-09-15,104.739
2017-09-01,2017-10-17,104.6367
2017-10-01,2017-11-16,106.1469
2017-11-01,2017-12-15,106.3969
2017-12-01,2018-01-17,107.4637
2018-01-01,2018-02-15,107.2433
2018-02-01,2018-03-16,108.2189
2018-03-01,2018-04-17,107.1665
2018-04-01,2018-05-16,107.3051
2018-05-01,2018-06-15,107.3006
2018-06-01,2018-07-17,107.714
2018-07-01,2018-08-15,107.9989
2018-08-01,2018-09-14,108.2317
2018-09-01,2018-10-16,108.4822
2018-10-01,2018-11-16,109.0654
2018-11-01,2018-12-14,109.3931
2018-12-01,2019-01-18,109.9487
2019-01-01,2019-02-15,109.4447
2019-02-01,2019-03-15,109.6678
2019-03-01,2019-04-16,110.2214
2019-04-01,2019-05-15,109.1818
2019-05-01,2019-06-14,109.5645
2019-06-01,2019-07-16,109.5965
2019-07-01,2019-08-15,109.1756
2019-08-01,2019-09-17,109.9206
2019-09-01,2019-10-17,109.5174
2019-10-01,2019-11-15,108.6714
2019-11-01,2019-12-17,109.677
2019-12-01,2020-01-17,109.433
2020-01-01,2020-02-14,109.2026
2020-02-01,2020-03-17,109.6035
2020-03-01,2020-04-15,103.6635
2020-04-01,2020-05-15,92.5919
2020-05-01,2020-06-16,92.5503
2020-06-01,2020-07-15,97.4587
2020-07-01,2020-08-14,100.1665
2020-08-01,2020-09-15,101.3605
2020-09-01,2020-10-16,101.5055
2020-10-01,2020-11-17,103.2054
2020-11-01,2020-12-15,103.9818
2020-12-01,2021-01-15,105.7244
2021-01-01,2021-02-17,107.1843
2021-02-01,2021-03-16,104.6526
2021-03-01,2021-04-15,105.583
2021-04-01,2021-05-14,106.3127
2021-05-01,2021-06-15,99.8562
2021-06-01,2021-07-15,100.0951
2021-07-01,2021-08-17,101.1148
2021-08-01,2021-09-15,101.5949
2021-09-01,2021-10-18,100.0178
2021-10-01,2021-11-16,101.611
2021-11-01,2021-12-16,102.2852
2021-12-01,2022-01-14,101.8926
2022-01-01,2022-02-16,103.4677
2022-02-01,2022-03-17,103.5811
2022-03-01,2022-04-15,104.5853
2022-04-01,2022-05-17,105.5973
2022-05-01,2022-06-17,105.7475
