obs_date,release_date,value
1990-01-01,1990-02-02,109823.0
1990-02-01,1990-03-09,110274.0
1990-03-01,1990-04-06,110313.0
1990-04-01,1990-05-04,110471.0
1990-05-01,1990-06-01,110568.0
1990-06-01,1990-07-06,110797.0
1990-07-01,1990-08-03,110706.0
1990-08-01,1990-09-07,110665.0
1990-09-01,1990-10-05,110556.0
1990-10-01,1990-11-02,110493.0
1990-11-01,1990-12-07,110167.0
1990-12-01,1991-01-04,110097.0
1991-01-01,1991-02-01,109785.0
1991-02-01,1991-03-08,109587.0
1991-03-01,1991-04-05,109316.0
1991-04-01,1991-05-03,109162.0
1991-05-01,1991-06-07,108781.0
1991-06-01,1991-07-05,108805.0
1991-07-01,1991-08-02,108815.0
1991-08-01,1991-09-06,108846.0
1991-09-01,1991-10-04,108960.0
1991-10-01,1991-11-01,109018.0
1991-11-01,1991-12-06,108829.0
1991-12-01,1992-01-10,108839.0
1992-01-01,1992-02-07,108755.0
1992-02-01,1992-03-06,108897.0
1992-03-01,1992-04-03,108886.0
1992-04-01,1992-05-08,109031.0
1992-05-01,1992-06-05,108450.0
1992-06-01,1992-07-02,108353.0
1992-07-01,1992-08-07,108631.0
1992-08-01,1992-09-04,108517.0
1992-09-01,1992-10-02,108409.0
1992-10-01,1992-11-06,108440.0
1992-11-01,1992-12-04,108636.0
1992-12-01,1993-01-08,108711.0
1993-01-01,1993-02-05,108842.0
1993-02-01,1993-03-05,109161.0
1993-03-01,1993-04-02,109210.0
1993-04-01,1993-05-07,109313.0
1993-05-01,1993-06-04,109990.0
1993-06-01,1993-07-02,110048.0
1993-07-01,1993-08-06,110264.0
1993-08-01,1993-09-03,110273.0
1993-09-01,1993-10-08,110453.0
1993-10-01,1993-11-05,110644.0
1993-11-01,1993-12-03,110857.0
1993-12-01,1994-01-07,111049.0
1994-01-01,1994-02-04,111132.0
1994-02-01,1994-03-04,111325.0
1994-03-01,1994-04-01,111733.0
1994-04-01,1994-05-06,112088.0
1994-05-01,1994-06-03,112847.0
1994-06-01,1994-07-08,113330.0
1994-07-01,1994-08-05,113566.0
1994-08-01,1994-09-02,113764.0
1994-09-01,1994-10-07,114109.0
1994-10-01,1994-11-04,114356.0
1994-11-01,1994-12-02,114700.0
1994-12-01,1995-01-06,115092.0
1995-01-01,1995-02-03,115226.0
1995-02-01,1995-03-10,115607.0
1995-03-01,1995-04-07,115830.0
1995-04-01,1995-05-05,115805.0
1995-05-01,1995-06-02,116194.0
1995-06-01,1995-07-07,116479.0
1995-07-01,1995-08-04,116553.0
1995-08-01,1995-09-01,116802.0
1995-09-01,1995-10-06,116958.0
1995-10-01,1995-11-03,117004.0
1995-11-01,1995-12-08,117164.0
1995-12-01,1996-01-19,117315.0
1996-01-01,1996-02-02,117172.0
1996-02-01,1996-03-08,117874.0
1996-03-01,1996-04-05,117975.0
1996-04-01,1996-05-03,118022.0
1996-05-01,1996-06-07,119248.0
1996-06-01,1996-07-05,119532.0
1996-07-01,1996-08-02,119748.0
1996-08-01,1996-09-06,120032.0
1996-09-01,1996-10-04,119989.0
1996-10-01,1996-11-01,120227.0
1996-11-01,1996-12-06,120392.0
1996-12-01,1997-01-10,120700.0
1997-01-01,1997-02-07,121024.0
1997-02-01,1997-03-07,121309.0
1997-03-01,1997-04-04,121450.0
1997-04-01,1997-05-02,121577.0
1997-05-01,1997-06-06,121805.0
1997-06-01,1997-07-03,122054.0
1997-07-01,1997-08-01,122378.0
1997-08-01,1997-09-05,122470.0
1997-09-01,1997-10-03,122695.0
1997-10-01,1997-11-07,123045.0
1997-11-01,1997-12-05,123483.0
1997-12-01,1998-01-09,123865.0
1998-01-01,1998-02-06,124225.0
1998-02-01,1998-03-06,124551.0
1998-03-01,1998-04-03,124481.0
1998-04-01,1998-05-08,124762.0
1998-05-01,1998-06-05,125512.0
1998-06-01,1998-07-02,125748.0
1998-07-01,1998-08-07,125824.0
1998-08-01,1998-09-04,126184.0
1998-09-01,1998-10-02,126247.0
1998-10-01,1998-11-05,126464.0
1998-11-01,1998-12-04,126775.0
1998-12-01,1999-01-08,127156.0
1999-01-01,1999-02-05,127347.0
1999-02-01,1999-03-05,127610.0
1999-03-01,1999-04-02,127678.0
1999-04-01,1999-05-07,127911.0
1999-05-01,1999-06-04,128167.0
1999-06-01,1999-07-02,128397.0
1999-07-01,1999-08-06,128745.0
1999-08-01,1999-09-03,128905.0
1999-09-01,1999-10-08,128911.0
1999-10-01,1999-11-05,129296.0
1999-11-01,1999-12-03,129545.0
1999-12-01,2000-01-07,129869.0
2000-01-01,2000-02-04,130292.0
2000-02-01,2000-03-03,130325.0
2000-03-01,2000-04-07,130715.0
2000-04-01,2000-05-05,131117.0
2000-05-01,2000-06-02,131654.0
2000-06-01,2000-07-07,131601.0
2000-07-01,2000-08-04,131512.0
2000-08-01,2000-09-01,131491.0
2000-09-01,2000-10-06,131768.0
2000-10-01,2000-11-03,131860.0
2000-11-01,2000-12-08,131894.0
2000-12-01,2001-01-05,131953.0
2001-01-01,2001-02-02,132129.0
2001-02-01,2001-03-09,132237.0
2001-03-01,2001-04-06,132221.0
2001-04-01,2001-05-04,132027.0
2001-05-01,2001-06-01,132453.0
2001-06-01,2001-07-06,132383.0
2001-07-01,2001-08-03,132395.0
2001-08-01,2001-09-07,132331.0
2001-09-01,2001-10-05,132166.0
2001-10-01,2001-11-02,131767.0
2001-11-01,2001-12-07,131431.0
2001-12-01,2002-01-04,131287.0
2002-01-01,2002-02-01,131208.0
2002-02-01,2002-03-08,131261.0
2002-03-01,2002-04-05,131268.0
2002-04-01,2002-05-03,131230.0
2002-05-01,2002-06-07,130748.0
2002-06-01,2002-07-05,130740.0
2002-07-01,2002-08-02,130774.0
2002-08-01,2002-09-06,130842.0
2002-09-01,2002-10-04,130854.0
2002-10-01,2002-11-01,130895.0
2002-11-01,2002-12-06,130875.0
2002-12-01,2003-01-10,130709.0
2003-01-01,2003-02-07,130804.0
2003-02-01,2003-03-07,130547.0
2003-03-01,2003-04-04,130408.0
2003-04-01,2003-05-02,130348.0
2003-05-01,2003-06-06,130067.0
2003-06-01,2003-07-03,129962.0
2003-07-01,2003-08-01,129870.0
2003-08-01,2003-09-05,129761.0
2003-09-01,2003-10-03,129862.0
2003-10-01,2003-11-07,130132.0
2003-11-01,2003-12-05,130174.0
2003-12-01,2004-01-09,130124.0
2004-01-01,2004-02-06,130155.0
2004-02-01,2004-03-05,130153.0
2004-03-01,2004-04-02,130548.0
2004-04-01,2004-05-07,130902.0
2004-05-01,2004-06-04,131224.0
2004-06-01,2004-07-02,131301.0
2004-07-01,2004-08-06,131272.0
2004-08-01,2004-09-03,131475.0
2004-09-01,2004-10-08,131567.0
2004-10-01,2004-11-05,132017.0
2004-11-01,2004-12-03,132075.0
2004-12-01,2005-01-07,132266.0
2005-01-01,2005-02-04,132573.0
2005-02-01,2005-03-04,132843.0
2005-03-01,2005-04-01,132926.0
2005-04-01,2005-05-06,133293.0
2005-05-01,2005-06-03,133347.0
2005-06-01,2005-07-08,133537.0
2005-07-01,2005-08-05,133786.0
2005-08-01,2005-09-02,133999.0
2005-09-01,2005-10-07,134041.0
2005-10-01,2005-11-04,134061.0
2005-11-01,2005-12-02,134289.0
