date,spy_adj_close,spy_high,spy_low,vix_close,spy_log_ret,rv1,parkinson_var,pm25_mean,pm25_median,pm25_max,aqi_mean,aqi_max,n_monitors,n_counties,high_aqi100_raw,high_aqi150_raw,pm25_top_decile_raw,fwd_rv1,log_fwd_rv1,fwd_rv5,log_fwd_rv5,pm25_signal,aqi_signal,high_aqi100_signal,high_aqi150_signal,pm25_top_decile_signal,pm25_3d_mean_signal,high_aqi100_3d_signal,pm25_z,pm25_3d_z,vix_signal,vix_log_signal,vix_z,rv22_lag,log_rv22_lag,parkinson22_lag,log_parkinson22_lag,ret5_lag,abs_ret5_lag,pm25_x_vix
2018-01-02,236.56216430664065,268.80999755859375,267.3999938964844,9.770000457763672,0.007131710885944109,5.086130016069371e-05,9.975788154996134e-06,8.835648222222224,9.5,11.1,52.285714285714285,55.0,9.0,5.0,0.0,0.0,0.0,5.086130016069371e-05,-9.886408234775734,0.00015575733278642357,-8.767211320914281,,,,,,,,,,,,,,,,,,,
2018-01-03,238.05845642089844,270.6400146484375,268.9599914550781,9.149999618530272,0.006305234143319183,3.9755977602077986e-05,1.398504951866223e-05,12.372159,12.372159,13.0625,,,2.0,2.0,0.0,0.0,0.0,3.9755977602077986e-05,-10.13275034824337,0.00011000897363372484,-9.114948617010795,8.835648222222224,55.0,0.0,0.0,0.0,,,,,9.770000457763672,2.2793165129086996,,,,,,,,
2018-01-04,239.06187438964844,272.1600036621094,270.5400085449219,9.220000267028809,0.004206148358386841,1.7691684012760316e-05,1.2855378475447735e-05,6.5833335,6.5833335,7.404167,,,2.0,2.0,0.0,0.0,0.0,1.7691684012760316e-05,-10.94241585857664,7.259780383101194e-05,-9.530575886852615,12.372159,,0.0,0.0,0.0,,,,,9.149999618530272,2.2137538375967485,,,,,,,,
2018-01-05,240.65489196777344,273.55999755859375,271.95001220703125,9.220000267028809,0.006641516600930153,4.410974276043081e-05,1.2566532595969839e-05,4.868187777777778,5.042857,6.0,28.571428571428573,33.0,9.0,5.0,0.0,0.0,0.0,4.410974276043081e-05,-10.02882987563884,0.00010775201658972899,-9.135678113705628,6.5833335,,0.0,0.0,0.0,9.263713574074075,0.0,,,9.220000267028809,2.221375066530412,,,,,,,,
2018-01-08,241.0950164794922,274.1000061035156,272.9800109863281,9.520000457763672,0.0018271913557317276,3.338628250460749e-06,6.04653132805265e-06,15.680092555555555,15.2,20.7,64.125,73.0,9.0,5.0,0.0,0.0,1.0,3.338628250460749e-06,-12.609950538792294,0.00010586254218390712,-9.153369077238354,4.868187777777778,33.0,0.0,0.0,0.0,7.9412267592592585,0.0,,,9.220000267028809,2.221375066530412,,,,,,,,
2018-01-09,241.6407928466797,275.25,274.0799865722656,10.079999923706056,0.0022611813301889327,5.112941007994991e-06,6.54471788782527e-06,14.9395835,14.9395835,16.0,64.0,64.0,2.0,2.0,0.0,0.0,1.0,5.112941007994991e-06,-12.183735779583081,0.00011425037743859473,-9.077118224575331,15.680092555555555,73.0,0.0,0.0,1.0,9.043871277777777,0.0,,,9.520000457763672,2.2533948968876922,,,,,,0.026111801344312013,0.026111801344312013,
2018-01-10,241.27105712890625,274.4200134277344,272.9200134277344,9.81999969482422,-0.001531276526093528,2.3448077993650627e-06,1.083539662866064e-05,7.4541665,7.4541665,8.2,46.0,46.0,2.0,2.0,0.0,0.0,0.0,2.3448077993650627e-06,-12.963307121316323,0.0001991362852781058,-8.52152111699922,14.9395835,64.0,0.0,0.0,1.0,11.829287944444445,0.0,,,10.079999923706056,2.310553255074379,,,,,,0.021241271788556837,0.021241271788556837,
2018-01-11,243.0313720703125,276.1199951171875,274.55999755859375,9.880000114440918,0.007269518331463054,5.284589677147738e-05,1.1577801620578232e-05,17.302693555555557,17.5,24.0,68.71428571428571,79.0,9.0,5.0,0.0,0.0,1.0,5.284589677147738e-05,-9.848130487801603,0.0001996211182542684,-8.519089396806544,7.4541665,46.0,0.0,0.0,0.0,12.691280851851852,0.0,,,9.81999969482422,2.2844210912894107,,,,,,0.013404761119144126,0.016467314171331182,
2018-01-12,244.61566162109375,278.1099853515625,276.0799865722656,10.15999984741211,0.006497712547859358,4.2220268354608946e-05,1.935765080834792e-05,4.547917,4.547917,7.691667,,,2.0,2.0,0.0,0.0,0.0,4.2220268354608946e-05,-10.072610159462714,0.0001673811927215462,-8.695236755554212,17.302693555555557,79.0,0.0,0.0,1.0,13.232147851851854,0.0,,,9.880000114440918,2.290512523342865,,,,,,0.01646813109222034,0.019530684144407395,
2018-01-16,243.77943420410156,280.0899963378906,276.17999267578125,11.65999984741211,-0.0034243924286139205,1.1726463505148345e-05,7.128069274464986e-05,12.1645835,12.1645835,12.2375,,,2.0,2.0,0.0,0.0,0.0,1.1726463505148345e-05,-11.353662432218782,0.00019073851210490186,-8.564607114489304,4.547917,,0.0,0.0,0.0,9.76825901851852,0.0,,,10.15999984741211,2.3184584271318425,,,,,,0.016324327039149544,0.0193868800913366,
2018-01-17,246.1031188964844,280.04998779296875,276.9700012207031,11.90999984741211,0.009486772309247549,8.999884884750607e-05,4.4110245683911864e-05,13.602777777777778,14.3,16.0,60.142857142857146,64.0,9.0,5.0,0.0,0.0,1.0,8.999884884750607e-05,-9.315713678299074,0.0001835069730761094,-8.60325789077688,12.1645835,,0.0,0.0,0.0,11.338398018518518,0.0,,,11.65999984741211,2.4561641678359063,,,,,,0.011072743254803896,0.020984081164218793,
2018-01-18,245.68948364257812,279.9599914550781,278.5799865722656,12.220000267028809,-0.0016821536123456937,2.8296407755276666e-06,8.807020866063516e-06,13.1104165,13.1104165,15.433333,,,2.0,2.0,0.0,0.0,1.0,2.8296407755276666e-06,-12.775360788808507,9.365899934603255e-05,-9.275850038164814,13.602777777777778,64.0,0.0,0.0,1.0,10.105092759259259,0.0,,,11.90999984741211,2.477378370555463,,,,,,0.018298334233862512,0.02820967214327741,
2018-01-19,246.8072967529297,280.4100036621094,279.1400146484375,11.270000457763672,0.004539380050045949,2.0605971238755165e-05,7.4318704381085656e-06,16.1041665,16.1041665,18.058333,,,2.0,2.0,0.0,0.0,1.0,2.0605971238755165e-05,-10.78992965821277,9.100911830533346e-05,-9.304550855309714,13.1104165,,0.0,0.0,1.0,12.95925925925926,0.0,,,12.220000267028809,2.5030739755952336,,,,,,0.018147457147610346,0.028360549229529575,
