,M1_base,M2_vix,M3_epu,M4_finstress,M5_sentiment,M6_all,M7_altonly
2019-01-31,-1.880799105281503,-1.8829284228917178,-1.8872056164644953,-1.8944187741301164,-1.8997364895543536,-1.8964470900110553,-1.89910217737773
2019-02-28,-2.521439457802855,-2.522347701152917,-2.5319360115797425,-2.53823844351218,-2.5413785334181958,-2.5551310648642827,-2.5546609783676133
2019-03-31,-2.3868624107064074,-2.3899240865398155,-2.3873892430595163,-2.3894512151256126,-2.3944298378901108,-2.3831570884977413,-2.3840836358545063
2019-04-30,-2.7766713223478097,-2.788914495252135,-2.775337176535578,-2.7817795772657163,-2.768942630594455,-2.779045326365397,-2.77445419767425
2019-05-31,-1.9396078504874548,-1.922028056365609,-1.9580683417463163,-1.953211595120381,-1.9418241651946793,-1.9073512891756093,-1.9259645499343663
2019-06-30,-2.3752734378936964,-2.3793803751140334,-2.3703757648075765,-2.3854540817966665,-2.376048946378226,-2.380206774996584,-2.380328746190649
2019-07-31,-2.636831352184617,-2.6368093978214207,-2.6307371003664164,-2.6419259520159146,-2.6530501297135554,-2.6561513078368577,-2.656606459203577
2019-08-31,-1.2818794014963766,-1.243882268098767,-1.3345407000742457,-1.2908018289684233,-1.2225797044389575,-1.062228478948175,-1.1418637645079452
2019-09-30,-2.4027830350329356,-2.419378148108182,-2.3992348732000273,-2.437740709267081,-2.4186967287231744,-2.438993104433834,-2.430963181718696
2019-10-31,-2.225823496616591,-2.2325345240800694,-2.2426004423135986,-2.2306478958687435,-2.21219742833659,-2.193712356665478,-2.1994023324243646
2019-11-30,-2.7802421016511087,-2.7921955405473864,-2.7570500423853685,-2.7897048156210906,-2.774151844374902,-2.8049587404373066,-2.793439464668277
2019-12-31,-2.8078423081158577,-2.811274442608153,-2.7936778499497295,-2.800774756507984,-2.782625487801672,-2.799443012742207,-2.793826730328388
2020-01-31,-2.3495765875827423,-2.34726820182666,-2.3603317832274637,-2.3534281404507427,-2.3278631910750347,-2.334481592861141,-2.336918787695823
2020-02-29,-1.4038478891005097,-1.3654456249187565,-1.4459536603150636,-1.3920831608734272,-1.3905750557524066,-1.3160119736392408,-1.3560551307000428
2020-03-31,1.3958403964233161,1.4852162581476867,1.3550207884941874,1.6181447651561025,1.6146575706262385,1.7333848866947674,1.6876480828422542
2020-04-30,-1.014967998248073,-1.0278923989235598,-1.0288328963986533,-1.043838675543434,-1.0439037048034772,-1.0494002651916978,-1.0457811974415583
2020-05-31,-1.706288186976042,-1.697690488969735,-1.6867141416387401,-1.7091424090086753,-1.58873429788344,-1.6319819628693342,-1.6319353185194223
2020-06-30,-1.3846209672850602,-1.420889753875637,-1.4627728976478767,-1.411584174130685,-1.3643165604027399,-1.470021114585119,-1.4691019074971516
2020-07-31,-2.0863662637095404,-2.070293110804454,-1.9907057016734666,-2.0941104009342997,-2.149058456222352,-2.1220154436951826,-2.111940819941826
2020-08-31,-2.5205895228978803,-2.466507569696731,-2.4453386898411735,-2.516053591971132,-2.5976557778458638,-2.595335981893421,-2.5985927010061936
2020-09-30,-1.3255469170903758,-1.456331884067334,-1.4617345159759343,-1.3512053773463655,-1.1715049525869201,-1.0878260945456426,-1.0582310376536639
2020-10-31,-1.824391750035994,-1.8219106395446776,-1.8186502167412204,-1.8249525323338174,-1.824929154739732,-1.8242601964096996,-1.8242660428587238
2020-11-30,-1.9908167275215982,-1.9800822651920211,-1.9806315856261454,-1.9937417835345494,-1.992964955871869,-1.992040250951681,-1.993850459330381
2020-12-31,-2.4866177218205423,-2.450617245307852,-2.4485622723010394,-2.5012554633713773,-2.499606028436972,-2.507424335301976,-2.5119356063081857
2021-01-31,-2.0527273205452055,-2.089746721345766,-2.085507622919143,-2.049151150243238,-2.057582307195787,-2.0569191952523016,-2.0429903246684766
2021-02-28,-2.2341393923724624,-2.218427999986926,-2.224162410386857,-2.239509724369154,-2.236786780014752,-2.238769653479606,-2.2413886709695534
2021-03-31,-2.0024475358649463,-2.0137303724474656,-2.0097558330245757,-1.9944306528136462,-1.9995233064616276,-1.992954537559211,-1.9865790022013183
2021-04-30,-2.378586039980757,-2.3648213208786864,-2.351027109751779,-2.3970536436967333,-2.3556765423810866,-2.3694387061653277,-2.3732639959324127
2021-05-31,-2.2522514053926628,-2.2533037437666903,-2.252604663571008,-2.2500171053645346,-2.232243591251719,-2.234281290480509,-2.235839108080574
2021-06-30,-2.576079788329687,-2.5587636652325063,-2.6523117294067573,-2.594988366870525,-2.57656411427598,-2.5856474048378955,-2.604526084790457
2021-07-31,-2.429402530187801,-2.4282297892749725,-2.380092988798936,-2.429032536944999,-2.4294116355107014,-2.428026221052485,-2.42479975837439
2021-08-31,-2.626199056134671,-2.616438819656694,-2.6634102609471775,-2.640980559478171,-2.6253974340768984,-2.6443808609035946,-2.650980662413342
2021-09-30,-2.26901486356786,-2.2765118011629353,-2.2540296651563754,-2.2644354613175945,-2.275338452472822,-2.255836998839845,-2.2523957206458913
2021-10-31,-2.3676110052363892,-2.359326241365527,-2.3742779830315013,-2.373994947576472,-2.358742149763786,-2.3722025760017935,-2.374810636523493
2021-11-30,-2.313647393784069,-2.3120319631777537,-2.3146101836277655,-2.314782236294022,-2.308688825416776,-2.3147554788824634,-2.31478253863827
2021-12-31,-1.9754539191257179,-1.982244725347708,-1.9649053516811061,-1.9642312022355697,-1.9817363507917383,-1.95277037438583,-1.9508421187717058
2022-01-31,-1.9397502063563006,-1.941864630810917,-1.9351187140781707,-1.934483677201689,-1.940700246269383,-1.9319595720201754,-1.9305936621976272
2022-02-28,-1.7871030188993502,-1.7942215657626361,-1.782573456616319,-1.7771914805182256,-1.794195557005165,-1.7796102224384498,-1.776186090424402
2022-03-31,-1.6413547248033482,-1.6510640433783283,-1.6381198507295263,-1.6261192461661502,-1.6532448335826953,-1.6337353688340608,-1.6295747373580525
