ticker,event_date,company_name,industry,year,proposal_count,public_goods_count,democracy_count,close_vote_count,max_vote_for,mean_vote_for,proposal_type_general,proposal_type_specific,titles,public_goods_event,democracy_event,close_vote_event,treatment_public_or_democracy
J,2020-01-14,Jacobs Solutions Inc.,Heavy Construction,2020,1,0,1,0,0.9774,0.9774,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,False,True,False,True
MU,2020-01-16,"Micron Technology, Inc.",Semiconductors & Related Devices,2020,1,0,1,0,0.9369,0.9369,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,False,True,False,True
COST,2020-01-22,Costco Wholesale Corporation,Retail Variety Stores,2020,2,1,2,0,0.9683,0.49135,Corporate Governance|Executive Compensation,Director Qualifications|Say on Pay,Advisory Vote Exec. Comp. | True Diversity Board Policy,True,True,False,True
APD,2020-01-23,"Air Products and Chemicals, Inc.",Industrial Inorganic Chemicals,2020,1,0,1,0,0.9601,0.9601,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,False,True,False,True
JBL,2020-01-23,Jabil Inc.,Technology,2020,1,0,1,0,0.9659,0.9659,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,False,True,False,True
V,2020-01-28,"Visa, Inc.",Services-Business Services,2020,1,0,1,0,0.945,0.945,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,False,True,False,True
ARMK,2020-01-29,Aramark,Retail - Eating Places,2020,1,0,1,0,0.9319,0.9319,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,False,True,False,True
ASH,2020-01-30,Ashland Inc.,Chemicals & Allied Products,2020,1,0,1,0,0.974,0.974,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,False,True,False,True
WBA,2020-01-30,"Walgreens Boots Alliance, Inc.",Retail Drug Stores & Proprietary Stores,2020,4,1,3,2,0.8278,0.39944999999999997,Corporate Governance|Executive Compensation,Chairman Independence|Rules for Annual Cash Incentive Compensation|Say on Pay|Special Meetings,Advisory Vote Exec. Comp. | Independent Board Chairman | Use a Deferral Period for Annual Bonus Payments,True,True,True,True
EMR,2020-02-04,Emerson Electric Co.,Electronics & Other Electrical Equip.,2020,1,0,1,0,0.9208,0.9208,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,False,True,False,True
OSK,2020-02-04,Oshkosh Corporation,Motor Vehicles & Passenger Car Bodies,2020,1,0,1,0,0.9417,0.9417,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,False,True,False,True
TSN,2020-02-06,"Tyson Foods, Inc.",Poultry Slaughtering & Processing,2020,5,3,1,0,0.9811,0.26818,Executive Compensation|Social Policy,Environmental|Equity Comp Rules|Human Rights|Lobbying|Say on Pay,Advisory Vote Exec. Comp. | Report on Deforestation | Report on Lobbying,True,True,False,True
