ticker,event_date,company_name,industry,year,proposal_count,public_goods_count,democracy_count,close_vote_count,max_vote_for,mean_vote_for,proposal_type_general,proposal_type_specific,titles,public_goods_event,democracy_event,close_vote_event,treatment_public_or_democracy
NAV,2020-02-25,Navistar International Corporation,Motor Vehicles & Passenger Car Bodies,2020,1,0,1,0,0.9849,0.9849,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,False,True,False,True
AAPL,2020-02-26,Apple Inc.,Electronic Computers,2020,4,2,2,2,0.9423,0.445125,Corporate Governance|Executive Compensation|Social Policy,Human Rights|Performance Metrics Requirements|Proxy Access|Say on Pay,Advisory Vote Exec. Comp. | Proxy Access Amendments | Report on Feasibility of Sustainability Metrics in Exec. Comp. Measures,True,True,True,True
DE,2020-02-26,Deere & Company,Farm Machinery & Equipment,2020,2,1,2,0,0.9488,0.48005,Corporate Governance|Executive Compensation,Director Qualifications|Say on Pay,Advisory Vote Exec. Comp. | True Diversity Board Policy,True,True,False,True
SNEX,2020-02-26,StoneX Group Inc.,"Securities Brokers, Dealers & Flotation Companies",2020,1,0,1,0,0.9293,0.9293,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,False,True,False,True
JCI,2020-03-04,Johnson Controls International plc,Public Building & Related Furniture,2020,1,0,1,0,0.8503,0.8503,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,False,True,False,True
COR,2020-03-05,"Cencora, Inc.",Wholesale - Drugs & Druggist Sundries,2020,3,0,2,2,0.9462,0.5438333333333333,Corporate Governance|Executive Compensation,Rules for Annual Cash Incentive Compensation|Say on Pay|Written Consent,Advisory Vote Exec. Comp. | Right to Act by Written Consent | Use a Deferral Period for Annual Bonus Payments,False,True,True,True
ACM,2020-03-10,AECOM,Services - Engineering Services,2020,2,0,2,1,0.7267,0.58675,Corporate Governance|Executive Compensation,Say on Pay|Written Consent,Advisory Vote Exec. Comp. | Right to Act by Written Consent,False,True,True,True
QCOM,2020-03-10,Qualcomm Incorporated,Radio & TV Broadcasting & Communications Equipment,2020,2,0,1,0,0.9829,0.58075,Executive Compensation,Say on Frequency|Say on Pay,Advisory Vote Exec. Comp. | Say on Freq - Rec 1 Year,False,True,False,True
DIS,2020-03-11,The Walt Disney Company,Services - Misc Amusement & Recreation,2020,2,1,1,2,0.5349,0.43455,Executive Compensation|Social Policy,Lobbying|Say on Pay,Advisory Vote Exec. Comp. | Report on Lobbying,True,True,True,True
AMAT,2020-03-12,"Applied Materials, Inc.",Semiconductors & Related Devices,2020,1,0,1,0,0.963,0.963,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,False,True,False,True
SNX,2020-03-17,TD SYNNEX Corporation,Wholesale - Computer & Peripheral Equipment,2020,1,0,1,0,0.9768,0.9768,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,False,True,False,True
SBUX,2020-03-18,Starbucks Corporation,Retail - Eating Places,2020,2,1,1,0,0.8449,0.43,Executive Compensation|Social Policy,Employment Rights|Say on Pay,Advisory Vote Exec. Comp. | EEO Policy Risk Report,True,True,False,True
GT,2020-04-06,The Goodyear Tire & Rubber Company,Tires & Inner Tubes,2020,2,0,2,0,0.879,0.453,Corporate Governance|Executive Compensation,Require Shareholder Vote on Bylaws|Say on Pay,Advisory Vote Exec. Comp. | Shareholder Vote on Bylaw and Charter Amendments,False,True,False,True
DOW,2020-04-09,Dow Inc.,"Plastic Material, Synthetic Resin/Rubber",2020,2,0,1,0,0.9618,0.9233,Executive Compensation,Say on Frequency|Say on Pay,Advisory Vote Exec. Comp. | Say on Freq - Rec 1 Year,False,True,False,True
BK,2020-04-15,The Bank of New York Mellon Corp.,Financial Services,2020,3,1,2,0,0.9506,0.34793333333333337,Corporate Governance|Executive Compensation|Social Policy,Gender/Racial Equality|Require Shareholder Vote on Bylaws|Say on Pay,Advisory Vote Exec. Comp. | Report on Gender/Racial Pay Equity | Let Shareholders Vote on Bylaw and Charter Amendments,True,True,False,True
PPG,2020-04-16,"PPG Industries, Inc.",Manufacturing & Industrial,2020,1,0,1,0,0.9504,0.9504,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,False,True,False,True
JEF,2020-04-17,Jefferies Financial Group Inc.,"Securities Brokers, Dealers & Flotation Companies",2020,1,0,1,1,0.6918,0.6918,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,False,True,True,True
SWK,2020-04-17,"Stanley Black & Decker, Inc.","Cutlery, Handtools, Gen. Hardware",2020,2,0,2,1,0.9518,0.731,Corporate Governance|Executive Compensation,Say on Pay|Written Consent,Advisory Vote Exec. Comp. | Right to Act by Written Consent,False,True,True,True
AEP,2020-04-21,"American Electric Power Company, Inc.",Electric Services,2020,1,0,1,0,0.9538,0.9538,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,False,True,False,True
C,2020-04-21,Citigroup Inc.,Financial Services,2020,4,1,3,1,0.9156,0.376225,Corporate Governance|Executive Compensation|Social Policy,Corporate Purpose|Lobbying|Proxy Access|Say on Pay,"Advisory Vote Exec. Comp. | Proxy Access Amendments | Board to Determine Implementation of  ""Corporate Purpose""",True,True,True,True
NEM,2020-04-21,Newmont Corporation,Metal Mining,2020,1,0,1,0,0.8555,0.8555,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,False,True,False,True
PCAR,2020-04-21,PACCAR Inc.,Motor Vehicles & Passenger Car Bodies,2020,2,0,2,1,0.9612,0.6423000000000001,Corporate Governance|Executive Compensation,Say on Pay|Written Consent,Advisory Vote Exec. Comp. | Right to Act by Written Consent,False,True,True,True
PEG,2020-04-21,Public Service Enterprise Group Incorporated,Electric & Other Services Combined,2020,1,0,1,0,0.9406,0.9406,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,False,True,False,True
USB,2020-04-21,U.S. Bancorp,National Commercial Banks,2020,1,0,1,0,0.958,0.958,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,False,True,False,True
WHR,2020-04-21,Whirlpool Corporation,Household Appliances,2020,1,0,1,0,0.935,0.935,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,False,True,False,True
AN,2020-04-22,"AutoNation, Inc.",Retail - Auto Dealers & Gas Stations,2020,2,0,2,1,0.9768,0.6718,Corporate Governance|Executive Compensation,Say on Pay|Special Meetings,Advisory Vote Exec. Comp. | Reduce Special Meetings Ownership Req. to 10%,False,True,True,True
BAC,2020-04-22,Bank of America Corporation,National Commercial Banks,2020,5,1,4,0,0.9457,0.33721999999999996,Corporate Governance|Executive Compensation|Social Policy,Corporate Purpose|Gender/Racial Equality|Proxy Access|Say on Pay|Written Consent,Advisory Vote Exec. Comp. | Proxy Access Amendments | Right to Act by Written Consent,True,True,False,True
CI,2020-04-22,The Cigna Group,Health Care,2020,4,2,3,1,0.8466,0.376625,Corporate Governance|Executive Compensation|Social Policy,Board and CEO Diversity|Employment Rights|Say on Pay|Special Meetings,Advisory Vote Exec. Comp. | Special Meetings - Reduce Required Ownership to 10% | Report on Gender Pay Gap,True,True,True,True
ETN,2020-04-22,Eaton Corporation plc,General Industrial Machinery & Equipment,2020,1,0,1,0,0.9375,0.9375,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,False,True,False,True
KO,2020-04-22,The Coca-Cola Company,Beverages,2020,2,1,1,0,0.9683,0.5226500000000001,Executive Compensation|Social Policy,Public Health|Say on Pay,Advisory Vote Exec. Comp. | Report on Sugar and Public Health,True,True,False,True
AES,2020-04-23,The AES Corporation,Cogeneration Services & Small Power Prod.,2020,2,0,2,0,0.9594,0.5672,Corporate Governance|Executive Compensation,Require Shareholder Vote on Bylaws|Say on Pay,Advisory Vote Exec. Comp. | Allow Shareholder Vote on Bylaw and Charter Amendments,False,True,False,True
EIX,2020-04-23,Edison International,Electric Services,2020,2,0,2,0,0.8943,0.45535,Corporate Governance|Executive Compensation,Require Shareholder Vote on Bylaws|Say on Pay,Advisory Vote Exec. Comp. | Shareholder Vote on Bylaw and Charter Amendments,False,True,False,True
HUM,2020-04-23,Humana Inc.,Hospital and Medical Service Plans,2020,1,0,1,0,0.9511,0.9511,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,False,True,False,True
JNJ,2020-04-23,Johnson & Johnson,Pharmaceutical Preparations,2020,3,2,2,2,0.9325,0.6533,Corporate Governance|Executive Compensation|Social Policy,Chairman Independence|Reputational Risk|Say on Pay,Advisory Vote Exec. Comp. | Independent Board Chairman | Report on Governance of Opioids-Related Risks,True,True,True,True
LMT,2020-04-23,Lockheed Martin Corporation,Guided Missiles & Space Vehicles,2020,2,0,2,1,0.9421,0.70945,Corporate Governance|Executive Compensation,Say on Pay|Written Consent,Advisory Vote Exec. Comp. | Right to Act by Written Consent,False,True,True,True
PFE,2020-04-23,Pfizer Inc.,Pharmaceutical Preparations,2020,6,3,4,3,0.9501,0.38966666666666666,Corporate Governance|Executive Compensation|Social Policy,Chairman Independence|Gender/Racial Equality|Lobbying|Proxy Access|Say on Pay,Advisory Vote Exec. Comp. | Right to Act by Written Consent | Proxy Access Amendments,True,True,True,True
TXN,2020-04-23,Texas Instruments Incorporated,Semiconductors & Related Devices,2020,1,0,1,0,0.8212,0.8212,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,False,True,False,True
ABT,2020-04-24,Abbott Laboratories,Pharmaceutical Preparations,2020,5,1,3,1,0.9201,0.45861999999999997,Corporate Governance|Executive Compensation|Social Policy|Voting Rules,Lobbying|Performance Metrics Requirements|Require Shareholder Vote on Bylaws|Say on Pay|Simple Majority Voting,Advisory Vote Exec. Comp. | Report on Lobbying | Non-GAAP Financial Perf. Metrics Disclosure,True,True,True,True
K,2020-04-24,Kellanova,Grain Mill Products,2020,2,0,2,1,0.9666,0.7462,Executive Compensation|Voting Rules,Say on Pay|Simple Majority Voting,Advisory Vote Exec. Comp. | Adopt Simple Majority Vote,False,True,True,True
LHX,2020-04-24,"L3Harris Technologies, Inc.","Search, Detection, Aeronautical Systems",2020,2,0,2,0,0.9395,0.46975,Corporate Governance|Executive Compensation,Say on Pay|Written Consent,Advisory Vote Exec. Comp. | Right to Act by Written Consent,False,True,False,True
T,2020-04-24,AT&T Inc.,Telephone Communications,2020,4,1,3,1,0.8784,0.360875,Corporate Governance|Executive Compensation,Chairman Independence|Employee Representative Director|Exec Pay Comparison|Say on Pay,Advisory Vote Exec. Comp. | Independent Board Chairman | Employee Representative Director,True,True,True,True
BA,2020-04-27,The Boeing Company,Aircraft,2020,7,3,4,3,0.7961,0.3861142857142857,Corporate Governance|Executive Compensation|Social Policy,Chairman Independence|Director Qualifications|Equity Comp Rules|Lobbying|Performance Metrics Requirements,Advisory Vote Exec. Comp. | True Diversity Board Policy | Report on Lobbying,True,True,True,True
GPC,2020-04-27,Genuine Parts Company,Wholesale-Motor Vehicle Supplies & New Parts,2020,2,1,1,0,0.9534,0.8489500000000001,Executive Compensation|Social Policy,Diversity|Say on Pay,Advisory Vote Exec. Comp. | Human Capital Management Disclosure,True,True,False,True
HON,2020-04-27,Honeywell International Inc.,Aircraft Engines & Engine Parts,2020,3,1,2,1,0.9277,0.47646666666666665,Corporate Governance|Executive Compensation|Social Policy,Lobbying|Require Shareholder Vote on Bylaws|Say on Pay,Advisory Vote Exec. Comp. | Let Shareholders Vote on Bylaw Amendments | Report on Lobbying,True,True,True,True
RTX,2020-04-27,RTX Corporation,Aircraft Engines & Engine Parts,2020,3,1,2,0,0.9728,0.6554333333333333,Executive Compensation|Social Policy|Voting Rules,Community Impact|Say on Pay|Simple Majority Voting,Advisory Vote Exec. Comp. | Simple Majority Vote | Report on Facilities Closure Impact on Communities,True,True,False,True
CNC,2020-04-28,Centene Corporation,Hospital and Medical Service Plans,2020,3,1,2,2,0.9388,0.7086666666666667,Executive Compensation|Social Policy|Voting Rules,Political Spending|Say on Pay|Simple Majority Voting,Advisory Vote Exec. Comp. | Report on Political Spending | Simple Majority Vote,True,True,True,True
EXC,2020-04-28,Exelon Corporation,Electric & Other Services Combined,2020,1,0,1,0,0.9321,0.9321,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,False,True,False,True
IBM,2020-04-28,International Business Machines Corporation,Computer & Office Equip.,2020,4,1,4,3,0.862,0.5655,Corporate Governance|Executive Compensation,Chairman Independence|Say on Pay|Shareholder Right to Remove Directors|Written Consent,Advisory Vote Exec. Comp. | Shareholder Right to Remove Directors | Right to Act by Written Consent,True,True,True,True
PNC,2020-04-28,"The PNC Financial Services Group, Inc.",National Commercial Banks,2020,1,0,1,0,0.9528,0.9528,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,False,True,False,True
TFC,2020-04-28,Truist Financial Corporation,National Commercial Banks,2020,2,1,2,1,0.9369,0.6928,Corporate Governance|Executive Compensation,Chairman Independence|Say on Pay,Advisory Vote Exec. Comp. | Independent Board Chairman,True,True,True,True
WFC,2020-04-28,Wells Fargo & Company,National Commercial Banks,2020,4,1,2,0,0.9253,0.31955,Corporate Governance|Executive Compensation|Social Policy,Gender/Racial Equality|Performance Metrics Requirements|Require Shareholder Vote on Bylaws|Say on Pay,Advisory Vote Exec. Comp. | Let Shareholders Vote on Bylaw Amendments | Report on Incentive-Based Compensation & Risks of Material Losses,True,True,False,True
WMB,2020-04-28,"The Williams Companies, Inc.",Natural Gas Transmission & Distribution,2020,1,0,1,0,0.774,0.774,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,False,True,False,True
X,2020-04-28,United States Steel Corporation,"Steel Works, Blast Furnances Rolling Mills",2020,1,0,1,0,0.7485,0.7485,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,False,True,False,True
AMP,2020-04-29,"Ameriprise Financial, Inc.",Investment Advice,2020,1,0,1,0,0.8922,0.8922,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,False,True,False,True
HUN,2020-04-29,Huntsman Corporation,Chemicals & Allied Products,2020,2,0,2,1,0.7891,0.6131,Corporate Governance|Executive Compensation,Say on Pay|Written Consent,Advisory Vote Exec. Comp. | Right to Act by Written Consent,False,True,True,True
KMB,2020-04-29,Kimberly-Clark Corporation,Converted Paper & Paperboard Products,2020,2,0,2,1,0.9485,0.7202500000000001,Corporate Governance|Executive Compensation,Say on Pay|Written Consent,Advisory Vote Exec. Comp. | Right to Act by Written Consent,False,True,True,True
MPC,2020-04-29,Marathon Petroleum Corporation,Petroleum Refining,2020,3,0,2,0,0.985,0.6548999999999999,Executive Compensation|Voting Rules,Performance Metrics Requirements|Say on Pay|Simple Majority Voting,Advisory Vote Exec. Comp. | Simple Majority Vote | Report on Incorporating Community Concerns into Exec Comp,False,True,False,True
TXT,2020-04-29,Textron Inc.,Aircraft Engines & Engine Parts,2020,1,0,1,1,0.6605,0.6605,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,False,True,True,True
AGCO,2020-04-30,AGCO Corporation,Farm Machinery & Equipment,2020,1,0,1,0,0.7715,0.7715,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,False,True,False,True
COF,2020-04-30,Capital One Financial Corporation,State Commercial Banks,2020,2,1,2,2,0.6863,0.50815,Corporate Governance|Executive Compensation,Chairman Independence|Say on Pay,Advisory Vote Exec. Comp. | Independent Board Chairman,True,True,True,True
EOG,2020-04-30,"EOG Resources, Inc.",Crude Petroleum & Natural Gas,2020,1,0,1,0,0.9496,0.9496,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,False,True,False,True
GS,2020-04-30,"The Goldman Sachs Group, Inc.","Securities Brokers, Dealers & Flotation Companies",2020,3,0,3,1,0.709,0.3934333333333333,Corporate Governance|Executive Compensation,Corporate Purpose|Say on Pay|Written Consent,"Advisory Vote Exec. Comp. | Right to Act by Written Consent | Board Oversight on ""Statement of the Purpose of a Corporation""",False,True,True,True
VLO,2020-04-30,Valero Energy Corporation,Petroleum Refining,2020,1,0,1,0,0.9109,0.9109,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,False,True,False,True
DISH,2020-05-01,DISH Network Corporation,Cable & Other Pay Television Services,2020,1,0,1,0,0.9945,0.9945,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,False,True,False,True
HCA,2020-05-01,"HCA Healthcare, Inc.",General Medical & Surgical Hospitals,2020,2,0,2,0,0.9552,0.57425,Corporate Governance|Executive Compensation,Say on Pay|Written Consent,Advisory Vote Exec. Comp. | Right to Act by Written Consent,False,True,False,True
LDOS,2020-05-01,"Leidos Holdings, Inc.",Services - Computer Integrated Systems Design,2020,2,0,2,1,0.9443,0.641,Corporate Governance|Executive Compensation,Proxy Access|Say on Pay,Advisory Vote Exec. Comp. | Proxy Access Amendments,False,True,True,True
AFL,2020-05-04,Aflac Incorporated,Accident & Health Insurance,2020,1,0,1,0,0.9783,0.9783,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,False,True,False,True
LLY,2020-05-04,Eli Lilly and Company,Pharmaceutical Preparations,2020,8,4,3,3,0.9689,0.3196625,Corporate Governance|Executive Compensation|Social Policy,Animal Rights|Chairman Independence|Clawback|Director Qualifications|Lobbying,Advisory Vote Exec. Comp. | Report on Lobbying | Report on Forced Swim Test,True,True,True,True
AXP,2020-05-05,American Express Company,Finance Services,2020,3,1,2,1,0.9607,0.46823333333333333,Corporate Governance|Executive Compensation|Social Policy,Gender/Racial Equality|Say on Pay|Written Consent,Advisory Vote Exec. Comp. | Right to Act by Written Consent | Report on Global Median Gender/Racial Pay Gap,True,True,True,True
BAX,2020-05-05,Baxter International Inc.,Surgical & Medical Instruments & Apparatus,2020,3,1,3,2,0.9455,0.6260333333333333,Corporate Governance|Executive Compensation,Chairman Independence|Say on Pay|Written Consent,Advisory Vote Exec. Comp. | Independent Board Chairman | Right to Act by Written Consent,True,True,True,True
BMY,2020-05-05,Bristol-Myers Squibb Company,Pharmaceutical Preparations,2020,3,1,3,2,0.9276,0.6009,Corporate Governance|Executive Compensation,Chairman Independence|Say on Pay|Written Consent,Advisory Vote Exec. Comp. | Independent Board Chairman | Right to Act by Written Consent,True,True,True,True
DHR,2020-05-05,Danaher Corporation,"Industrial Instrum for Measurmnt, Display, Control",2020,2,0,2,1,0.9474,0.6774,Corporate Governance|Executive Compensation,Say on Pay|Special Meetings,Advisory Vote Exec. Comp. | Reduce Special Meetings Ownership Req. to 10%,False,True,True,True
GE,2020-05-05,General Electric Company,Electronics & Other Electrical Equip.,2020,2,1,2,0,0.7363,0.49805,Corporate Governance|Executive Compensation,Chairman Independence|Say on Pay,Advisory Vote Exec. Comp. | Independent Board Chairman,True,True,False,True
SRE,2020-05-05,Sempra Energy,Gas & Other Services Combined,2020,2,1,2,1,0.9722,0.6775,Corporate Governance|Executive Compensation,Chairman Independence|Say on Pay,Advisory Vote Exec. Comp. | Independent Board Chairman,True,True,True,True
AA,2020-05-06,Alcoa Corporation,Rolling Drawing Extruding Non-Ferrous Metals,2020,2,0,2,1,0.8753,0.6452,Corporate Governance|Executive Compensation,Say on Pay|Written Consent,Advisory Vote Exec. Comp. | Right to Act by Written Consent,False,True,True,True
CSX,2020-05-06,CSX Corporation,"Railroads, Line-Haul Operating",2020,1,0,1,0,0.7513,0.7513,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,False,True,False,True
D,2020-05-06,"Dominion Energy, Inc.",Electric Services,2020,3,1,3,2,0.8661,0.5479333333333333,Corporate Governance|Executive Compensation,Chairman Independence|Say on Pay|Written Consent,Advisory Vote Exec. Comp. | Independent Board Chairman | Right to Act by Written Consent,True,True,True,True
GD,2020-05-06,General Dynamics Corporation,Ship & Boat Building,2020,2,0,2,1,0.8178,0.6095999999999999,Corporate Governance|Executive Compensation,Say on Pay|Special Meetings,Advisory Vote Exec. Comp. | Reduce Special Meetings Ownership Req. to 15%,False,True,True,True
GILD,2020-05-06,"Gilead Sciences, Inc.",Health Care,2020,3,1,3,1,0.8342,0.45416666666666666,Corporate Governance|Executive Compensation,Chairman Independence|Say on Pay|Written Consent,Advisory Vote Exec. Comp. | Independent Board Chairman | Amend Right to Act by Written Consent,True,True,True,True
PEP,2020-05-06,"PepsiCo,Inc.",Beverages,2020,3,1,2,1,0.9319,0.49720000000000003,Corporate Governance|Executive Compensation|Social Policy,Public Health|Say on Pay|Special Meetings,Advisory Vote Exec. Comp. | Special Meetings - Reduce Required Ownership to 10% | Report on Sugar and Public Health,True,True,True,True
PM,2020-05-06,Philip Morris International Inc.,Consumer Products,2020,1,0,1,0,0.943,0.943,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,False,True,False,True
PSX,2020-05-06,Phillips 66,Petroleum Refining,2020,2,1,1,1,0.8922,0.7156,Executive Compensation|Social Policy,Environmental|Say on Pay,Advisory Vote Exec. Comp. | Report on Health Risks of Gulf Coast Petrochemical Operations,True,True,True,True
ADM,2020-05-07,Archer-Daniels-Midland Company,Fats & Oils,2020,1,0,1,0,0.9314,0.9314,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,False,True,False,True
CHRW,2020-05-07,"C.H. Robinson Worldwide, Inc.",Trucking & Courier Services,2020,1,0,1,0,0.9287,0.9287,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,False,True,False,True
DUK,2020-05-07,Duke Energy Corporation,Electric & Other Services Combined,2020,5,3,3,3,0.9261,0.5921200000000001,Corporate Governance|Executive Compensation|Social Policy|Voting Rules,Chairman Independence|Lobbying|Political Spending|Say on Pay|Simple Majority Voting,Advisory Vote Exec. Comp. | Independent Board Chairman | Simple Majority Vote,True,True,True,True
ECL,2020-05-07,Ecolab Inc,"Soap, Detergent, Cleaning Preparations",2020,2,0,2,1,0.9116,0.6208,Corporate Governance|Executive Compensation,Proxy Access|Say on Pay,Advisory Vote Exec. Comp. | Proxy Access Amendments,False,True,True,True
KHC,2020-05-07,The Kraft Heinz Company,"Can, Froz & Presv Fruit, Veg & Food Specialties",2020,2,0,2,0,0.7797,0.38985,Executive Compensation|Voting Rules,Say on Pay|Simple Majority Voting,Advisory Vote Exec. Comp. | Simple Majority Vote,False,True,False,True
MOH,2020-05-07,"Molina Healthcare, Inc.",Hospital and Medical Service Plans,2020,1,0,1,0,0.9564,0.9564,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,False,True,False,True
VZ,2020-05-07,Verizon Communications Inc.,Telephone Communications,2020,6,2,2,5,0.934,0.49695,Corporate Governance|Executive Compensation|Social Policy,Exec Retirement Benefits|Golden Parachutes|Lobbying|Performance Metrics Requirements|Say on Pay,Advisory Vote Exec. Comp. | Prohibit Paying Above-Market Returns on Nonqual Exec Savings Plans | Special Meetings - Reduce Ownership Req. to 10%,True,True,True,True
ABBV,2020-05-08,AbbVie Inc.,Pharmaceutical Preparations,2020,4,2,2,0,0.9393,0.436825,Corporate Governance|Executive Compensation|Social Policy,Chairman Independence|Lobbying|Performance Metrics Requirements|Say on Pay,Advisory Vote Exec. Comp. | Report on Lobbying | Independent Board Chairman,True,True,False,True
CL,2020-05-08,Colgate-Palmolive Company,"Perfumes, Cosmetics & Other Toilet Prep.",2020,3,1,3,2,0.934,0.6142333333333333,Corporate Governance|Executive Compensation,Chairman Independence|Say on Pay|Special Meetings,Advisory Vote Exec. Comp. | Independent Board Chairman | Special Meetings - Reduce Required Ownership to 10%,True,True,True,True
ETR,2020-05-08,Entergy Corporation,Electric Services,2020,1,0,1,0,0.9563,0.9563,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,False,True,False,True
ITW,2020-05-08,Illinois Tool Works Inc.,General Industrial Machinery & Equipment,2020,2,0,2,1,0.9464,0.64925,Corporate Governance|Executive Compensation,Say on Pay|Written Consent,Advisory Vote Exec. Comp. | Right to Act by Written Consent,False,True,True,True
MAN,2020-05-08,ManpowerGroup Inc.,Services - Help Supply Services,2020,1,0,1,0,0.9113,0.9113,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,False,True,False,True
MAR,2020-05-08,"Marriott International, Inc.",Hotels & Motels,2020,3,1,2,1,0.9474,0.6308666666666667,Executive Compensation|Social Policy|Voting Rules,Diversity|Say on Pay|Simple Majority Voting,Advisory Vote Exec. Comp. | Simple Majority Vote | Report on Diversity,True,True,True,True
PGR,2020-05-08,The Progressive Corporation,"Fire, Marine & Casualty Insurance",2020,1,0,1,0,0.9563,0.9563,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,False,True,False,True
IP,2020-05-11,International Paper Company,Paper Mills,2020,2,0,2,0,0.8022,0.4011,Corporate Governance|Executive Compensation,Say on Pay|Special Meetings,Advisory Vote Exec. Comp. | Reduce Special Meetings Ownership Req. to 10%,False,True,False,True
MSI,2020-05-11,"Motorola Solutions, Inc.",Radio & TV Broadcasting & Communications Equipment,2020,2,1,1,1,0.9185,0.6891,Executive Compensation|Social Policy,Political Spending|Say on Pay,Advisory Vote Exec. Comp. | Report on Political Spending,True,True,True,True
ODP,2020-05-11,The ODP Corporation,Retail - Misc Shopping Goods Stores,2020,1,0,1,0,0.7701,0.7701,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,False,True,False,True
