proposal_id,accession_number,event_date,year,company_name,ticker,raw_ticker,industry,title,description,proposal_type_general,proposal_type_specific,proponent_name,vote_for_fraction,close_vote_30_70,public_goods,shareholder_democracy,def_14a_url
8344,8344,2017-12-13,2017,"Genworth Financial, Inc.",GNW,GNW,Life Insurance,Advisory Vote Exec. Comp.,,Executive Compensation,Say on Pay,MANAGEMENT,0.9358,False,False,True,https://www.sec.gov/Archives/edgar/data/1276520/000119312517331930/d455341ddef14a.htm#toc455341_13
8345,8345,2017-12-13,2017,"Genworth Financial, Inc.",GNW,GNW,Life Insurance,Say on Freq - Rec 1 Year,,Executive Compensation,Say on Frequency,MANAGEMENT,0.7891,False,False,False,https://www.sec.gov/Archives/edgar/data/1276520/000119312517331930/d455341ddef14a.htm#toc455341_14
7431,7431,2018-04-25,2018,"DuPont de Nemours, Inc.",DD,DD,"Plastic Material, Synthetic Resin/Rubber",Advisory Vote Exec. Comp.,,Executive Compensation,Say on Pay,MANAGEMENT,0.9376,False,False,True,https://www.sec.gov/Archives/edgar/data/1666700/000119312518085840/d529973ddef14a.htm#toc529973_19
7432,7432,2018-04-25,2018,"DuPont de Nemours, Inc.",DD,DD,"Plastic Material, Synthetic Resin/Rubber",Say on Freq - Rec 1 Year,,Executive Compensation,Say on Frequency,MANAGEMENT,0.9559,False,False,False,https://www.sec.gov/Archives/edgar/data/1666700/000119312518085840/d529973ddef14a.htm#toc529973_20
7433,7433,2018-04-25,2018,"DuPont de Nemours, Inc.",DD,DD,"Plastic Material, Synthetic Resin/Rubber",Eliminate Supermajority Vote Thresholds,,Voting Rules,Simple Majority Voting,N/A - Undisclosed,0.7167,False,False,True,https://www.sec.gov/Archives/edgar/data/1666700/000119312518085840/d529973ddef14a.htm#toc529973_23
7434,7434,2018-04-25,2018,"DuPont de Nemours, Inc.",DD,DD,"Plastic Material, Synthetic Resin/Rubber",Report on Executive Compensation,,Executive Compensation,Exec Pay Comparison,N/A - Undisclosed,0.0695,False,False,False,https://www.sec.gov/Archives/edgar/data/1666700/000119312518085840/d529973ddef14a.htm#toc529973_24
7435,7435,2018-04-25,2018,"DuPont de Nemours, Inc.",DD,DD,"Plastic Material, Synthetic Resin/Rubber",Report on Sustainability Metrics in Performance-Based Pay,,Executive Compensation,Performance Metrics Requirements,N/A - Undisclosed,0.0778,False,True,False,https://www.sec.gov/Archives/edgar/data/1666700/000119312518085840/d529973ddef14a.htm#toc529973_25
7436,7436,2018-04-25,2018,"DuPont de Nemours, Inc.",DD,DD,"Plastic Material, Synthetic Resin/Rubber",Report on Investment in India,,Social Policy,Human Rights,N/A - Undisclosed,0.0483,False,True,False,https://www.sec.gov/Archives/edgar/data/1666700/000119312518085840/d529973ddef14a.htm#toc529973_26
7437,7437,2018-04-25,2018,"DuPont de Nemours, Inc.",DD,DD,"Plastic Material, Synthetic Resin/Rubber",Special Meetings - Reduce Required Ownership to 10%,,Corporate Governance,Special Meetings,N/A - Undisclosed,0.3796,True,False,True,https://www.sec.gov/Archives/edgar/data/1666700/000119312518085840/d529973ddef14a.htm#toc529973_27
7273,7273,2018-04-26,2018,AGCO Corporation,AGCO,AGCO,Farm Machinery & Equipment,Advisory Vote Exec. Comp.,,Executive Compensation,Say on Pay,MANAGEMENT,0.9418,False,False,True,https://www.sec.gov/Archives/edgar/data/880266/000088026618000007/a2017agcodef14a.htm#s9BC71541D23E5EADB495F09B7E0904BF
7328,7328,2018-05-03,2018,Archer-Daniels-Midland Company,ADM,ADM,Fats & Oils,Advisory Vote Exec. Comp.,,Executive Compensation,Say on Pay,MANAGEMENT,0.941,False,False,True,https://www.sec.gov/Archives/edgar/data/7084/000119312518092897/d516313ddef14a.htm#toc516313_65
